sequence,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeOEJvhFXgBdmB5mBi?iBcsBzpB,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeT/IvhFNlBRhBunB/?rBasB0pB,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeT/IvhFNlBamBRiBW?sB0pBXsB,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeNEJvhFUgBRhBunB/?rBasBzpB,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeOEJvhFNlBUhB3iBq?pBxrBzrB,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeT/IvhFOlBdmBRiBC?nB0pBXsB,v115@GhA8HeB8CeA8DeC8BeB8BeC8Jex/IvhFXhBiiBTkBe?qB9rBcsB,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeNEJvhFRgB3iBmlBq?rBUnBzpB,v115@GhA8HeB8CeA8DeC8BeB8BeC8Je0/IvhFdmBRiB/pBq?rBTnBOqB,v115@GhA8HeB8CeA8DeC8BeB8BeC8Je0/IvhFdmBRiB2pBq?rBTnBXqB,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeNEJvhFamBRiBXlBu?rBcsBzpB,v115@GhA8HeB8CeA8DeC8BeB8BeC8JeXAJvhFdmBRiB2pBS?sBzrB0pB
TILJSZO,O,X,O,X,O,X,X,O,X,X,X,X
TILJSOZ,X,X,X,X,O,X,X,O,X,X,X,O
TILJZSO,O,X,O,X,O,X,X,O,X,X,X,X
TILJZOS,O,O,O,X,O,O,X,X,X,O,X,X
TILJOSZ,X,X,X,X,O,X,X,O,X,O,X,O
TILJOZS,X,X,O,X,O,X,X,X,X,O,X,O
TILSJZO,O,X,X,X,O,X,X,O,X,X,X,X
TILSJOZ,X,X,X,X,O,X,X,O,X,X,X,O
TILSZJO,O,X,X,X,O,X,X,X,X,X,O,X
TILSZOJ,O,X,O,X,O,X,X,X,O,X,X,X
TILSOJZ,X,X,X,X,O,X,X,X,O,X,X,X
TILSOZJ,X,X,X,X,O,X,X,X,O,X,X,X
TILZJSO,O,X,O,X,O,X,X,X,X,X,O,X
TILZJOS,O,O,O,X,O,O,X,X,X,X,O,X
TILZSJO,O,X,X,X,O,X,X,X,X,X,O,X
TILZSOJ,O,X,O,X,O,X,X,X,X,X,X,X
TILZOJS,O,O,O,X,O,O,X,X,X,X,X,X
TILZOSJ,O,X,O,X,O,X,X,X,X,X,X,X
TILOJSZ,O,X,X,X,O,X,X,X,O,O,X,X
TILOJZS,O,X,X,X,O,X,X,X,X,O,X,X
TILOSJZ,O,X,X,X,O,X,X,X,O,O,X,X
TILOSZJ,O,X,X,X,O,X,X,X,O,X,X,X
TILOZJS,O,X,O,X,O,X,X,X,X,O,X,X
TILOZSJ,O,X,O,X,O,X,X,X,O,X,X,X
TIJLSZO,O,X,O,X,O,X,O,O,X,X,X,X
TIJLSOZ,X,X,X,X,O,X,X,O,X,X,X,O
TIJLZSO,O,X,O,X,O,X,O,O,X,X,X,X
TIJLZOS,O,O,O,X,O,O,O,X,X,O,X,X
TIJLOSZ,X,X,X,X,O,X,X,O,X,O,X,O
TIJLOZS,X,X,O,X,O,X,X,X,X,O,X,O
TIJSLZO,O,O,O,O,O,O,O,O,X,X,X,X
TIJSLOZ,X,O,X,O,O,O,X,O,X,X,X,O
TIJSZLO,O,O,O,O,O,O,O,X,X,X,X,X
TIJSZOL,O,O,O,O,X,O,O,X,X,X,X,X
TIJSOLZ,X,X,X,X,X,X,O,X,X,X,X,X
TIJSOZL,O,O,X,O,X,O,O,X,X,X,X,X
TIJZLSO,O,X,O,O,O,X,O,O,X,X,X,X
TIJZLOS,O,O,O,X,O,O,O,X,X,O,X,X
TIJZSLO,O,O,O,O,O,O,O,X,X,X,X,X
TIJZSOL,O,O,O,O,X,O,O,X,X,X,X,X
