sequence,v115@9gC8GeB8HeB8HeD8EeA8Je3AJvhFumBcnBTjByqBFt?BxwB,v115@9gC8GeB8HeB8HeD8EeA8JecFJvhFThBOnBXjBStBFr?BRxB,v115@9gC8GeB8HeB8HeD8EeA8JeGBJvhFxiBilBXnBToBUr?B1xB,v115@9gC8GeB8HeB8HeD8EeA8JecFJvhFemBCiBTjBXnBFt?BxwB,v115@9gC8GeB8HeB8HeD8EeA8JecFJvhFThBxiBesBCoBFr?BXtB,v115@9gC8GeB8HeB8HeD8EeA8JeRBJvhFGjBTlBlnBirBXt?B0rB,v115@9gC8GeB8HeB8HeD8EeA8JecFJvhFThBiiB+oB3nBFr?BRxB,v115@9gC8GeB8HeB8HeD8EeA8Je3AJvhFFiB6oB0mBznBmq?BRxB,v115@9gC8GeB8HeB8HeD8EeA8JecFJvhFemB6oBRnB3rBzs?BFsB,v115@9gC8GeB8HeB8HeD8EeA8JeRBJvhF+oBilBfsBlnBUr?BzsB,v115@9gC8GeB8HeB8HeD8EeA8JecFJvhFihB+oBRnBFrBXs?BzsB
TILJSZO,O,O,X,X,X,X,X,O,X,X,X
TILJSOZ,O,X,X,X,X,X,X,O,X,X,X
TILJZSO,O,O,X,X,X,X,X,O,X,X,X
TILJZOS,O,O,X,X,X,X,X,O,X,X,X
TILJOSZ,O,X,O,X,X,X,X,O,X,X,X
TILJOZS,O,X,O,X,X,X,X,O,X,X,X
TILSJZO,O,O,O,X,X,X,X,X,X,X,X
TILSJOZ,O,X,O,X,X,X,X,X,X,X,X
TILSZJO,O,O,O,O,X,X,X,X,X,X,X
TILSZOJ,O,O,X,O,X,X,X,X,X,X,X
TILSOJZ,O,X,O,X,X,X,X,X,X,X,X
TILSOZJ,O,X,O,O,X,X,X,X,X,X,X
TILZJSO,O,O,X,O,X,X,X,O,X,X,X
TILZJOS,O,O,O,O,X,X,X,X,X,X,X
TILZSJO,O,O,O,O,X,X,X,O,X,X,X
TILZSOJ,O,O,O,O,X,X,X,O,X,X,X
TILZOJS,O,O,O,O,X,X,X,X,X,X,X
TILZOSJ,O,O,O,O,X,X,X,O,X,X,X
TILOJSZ,O,X,O,X,X,X,X,O,X,X,X
TILOJZS,O,X,O,X,X,X,X,O,X,X,X
TILOSJZ,O,X,O,X,X,X,X,O,X,X,X
TILOSZJ,O,X,O,O,X,X,X,O,X,X,X
TILOZJS,O,X,O,O,X,X,X,O,X,X,X
TILOZSJ,O,X,O,O,X,X,X,O,X,X,X
TIJLSZO,O,O,X,X,X,X,X,O,X,X,X
TIJLSOZ,O,X,X,X,X,X,X,O,X,X,X
TIJLZSO,O,O,X,X,X,X,X,O,X,X,X
TIJLZOS,O,O,X,X,X,X,X,O,X,X,X
TIJLOSZ,O,X,X,X,X,X,X,O,X,X,X
TIJLOZS,O,X,X,X,X,X,X,O,X,X,X
TIJSLZO,X,X,X,X,X,X,O,O,X,X,X
TIJSLOZ,X,X,X,X,X,X,X,O,X,X,X
TIJSZLO,X,X,X,O,X,X,O,O,X,X,X
TIJSZOL,X,X,X,O,X,X,O,O,X,X,X
TIJSOLZ,X,X,X,X,X,X,X,O,X,X,X
TIJSOZL,X,X,X,O,X,X,X,O,X,X,X
TIJZLSO,O,O,X,O,X,X,O,O,X,X,X
TIJZLOS,O,O,X,O,X,X,O,O,X,X,X
TIJZSLO,O,O,X,O,X,X,O,O,X,X,X
TIJZSOL,O,O,X,O,X,X,O,O,X,X,X
TIJZOLS,O,O,X,O,X,X,O,O,X,X,X
TIJZOSL,O,O,X,O,X,X,O,O,X,X,X
TIJOLSZ,O,X,X,X,X,X,X,O,X,X,X
TIJOLZS,O,X,X,X,X,X,X,O,X,X,X
TIJOSLZ,X,X,X,X,X,X,X,O,X,X,X
TIJOSZL,X,X,X,O,X,X,X,O,X,X,X
TIJOZLS,O,X,X,O,X,X,X,O,X,X,X
TIJOZSL,O,X,X,O,X,X,X,O,X,X,X
TISLJZO,O,X,O,X,X,X,X,X,X,X,X
TISLJOZ,O,X,O,X,X,X,X,X,X,X,X
TISLZJO,O,X,O,O,X,X,X,X,X,X,X
TISLZOJ,O,X,O,O,X,X,X,X,X,X,X
TISLOJZ,O,X,O,X,X,X,X,X,X,X,X
TISLOZJ,O,X,O,O,X,X,X,X,X,X,X
TISJLZO,X,X,O,X,X,X,X,X,X,X,X
TISJLOZ,X,X,O,X,X,X,X,X,X,X,X
TISJZLO,X,X,O,O,X,X,X,X,X,X,X
TISJZOL,X,X,O,O,X,X,X,X,X,X,X
TISJOLZ,X,X,O,X,X,X,X,X,X,X,X
TISJOZL,X,X,O,O,X,X,X,X,X,X,X
