sequence,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFChBliB5oB8sB3r?BmrB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFWmB3iB5oB8sBlm?BywB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFVnBaoB5oBGsBfr?B0rB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFWmBxhB/sBUoB1w?B6tB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFmiB5oBCnBlsBfr?B0rB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFynB5oBGmBFnB3s?BUrB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhF0hBxiB1sB6tBWx?BfrB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFRhBfsBStBUrBls?BGtB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFFiBGmBxsB6tB3s?BUrB,v115@9gA8IeA8IeE8EeD8DeA8Kez/IvhFWoBRmB8rB6tB3s?BFrB
TILJSZO,X,X,O,X,O,X,O,X,X,X
TILJSOZ,X,X,O,X,O,X,O,X,X,X
TILJZSO,X,O,O,X,O,X,O,X,X,X
TILJZOS,X,O,O,X,O,X,O,X,X,X
TILJOSZ,X,X,O,X,O,X,O,X,X,X
TILJOZS,X,O,O,X,O,X,O,X,X,X
TILSJZO,X,X,X,X,O,X,X,X,X,X
TILSJOZ,X,X,X,X,O,X,X,X,X,X
TILSZJO,O,X,X,X,O,X,X,X,X,X
TILSZOJ,O,X,X,X,O,X,X,X,X,X
TILSOJZ,X,X,X,X,O,X,X,X,X,X
TILSOZJ,O,X,X,X,O,X,X,X,X,X
TILZJSO,X,O,X,X,O,X,X,X,X,X
TILZJOS,O,O,X,X,O,X,X,X,X,X
TILZSJO,O,O,X,X,O,X,X,X,X,X
TILZSOJ,O,O,X,X,O,X,X,X,X,X
TILZOJS,O,O,X,X,O,X,X,X,X,X
TILZOSJ,O,O,X,X,O,X,X,X,X,X
TILOJSZ,X,X,O,X,O,X,O,X,X,X
TILOJZS,X,O,O,X,O,X,O,X,X,X
TILOSJZ,X,X,X,X,O,X,X,X,X,X
TILOSZJ,O,X,X,X,O,X,X,X,X,X
TILOZJS,O,O,X,X,O,X,X,X,X,X
TILOZSJ,O,O,X,X,O,X,X,X,X,X
TIJLSZO,X,X,O,O,O,X,O,X,O,X
TIJLSOZ,X,X,O,O,O,X,O,X,O,X
TIJLZSO,X,O,O,X,O,X,O,X,X,X
TIJLZOS,X,O,O,X,O,X,O,X,X,X
TIJLOSZ,X,X,O,O,O,X,O,X,O,X
TIJLOZS,X,O,O,X,O,X,O,X,X,X
TIJSLZO,X,X,O,O,O,X,X,X,O,X
TIJSLOZ,X,X,O,O,O,O,X,X,O,X
TIJSZLO,X,X,X,O,X,X,X,X,O,X
TIJSZOL,X,X,X,O,X,X,X,X,O,X
TIJSOLZ,X,X,O,O,O,O,X,X,O,X
TIJSOZL,X,X,X,O,X,X,X,X,O,X
TIJZLSO,X,X,O,X,O,X,X,X,X,X
TIJZLOS,X,X,O,X,O,X,X,X,X,X
TIJZSLO,X,X,X,O,X,X,X,X,X,X
TIJZSOL,X,O,X,O,X,X,X,X,X,X
TIJZOLS,X,X,O,X,O,X,X,X,X,X
TIJZOSL,X,O,X,O,X,X,X,X,X,X
TIJOLSZ,X,X,O,O,O,X,O,X,O,X
TIJOLZS,X,O,O,X,O,X,O,X,X,X
TIJOSLZ,X,X,O,O,O,O,X,X,O,X
TIJOSZL,X,X,X,O,X,X,X,X,O,X
TIJOZLS,X,X,O,X,O,X,X,X,X,X
TIJOZSL,X,O,X,O,X,X,X,X,X,X
TISLJZO,X,X,X,O,O,X,X,X,X,X
TISLJOZ,X,X,X,O,O,O,X,X,X,X
