sequence,v115@9gB8HeB8HeB8HeC8DeC8JexAJvhFOnB6oB/qBznB0r?BFrB,v115@9gB8HeB8HeB8HeC8DeC8JeFCJvhFXjBxlBStBmlB0q?BzrB,v115@9gB8HeB8HeB8HeC8DeC8JexAJvhFKnBziB+oB/qB0r?BFrB,v115@9gB8HeB8HeB8HeC8DeC8Je0AJvhFlhBziB+oB/qBxr?BywB,v115@9gB8HeB8HeB8HeC8DeC8Je3BJvhFziB+oB0lBVsBil?BRwB,v115@9gB8HeB8HeB8HeC8DeC8Je3AJvhF1mBxiBcsBToB2q?BSwB,v115@9gB8HeB8HeB8HeC8DeC8JeUBJvhFFiBTjBWtBxqByw?B/qB,v115@9gB8HeB8HeB8HeC8DeC8JeiAJvhFTjBGmBlqBxsBcs?B3rB,v115@9gB8HeB8HeB8HeC8DeC8JefIJvhF6oBTlBlmBmlBUn?BRwB,v115@9gB8HeB8HeB8HeC8DeC8JeTAJvhFUjBxmBStBlqB3r?BmrB,v115@9gB8HeB8HeB8HeC8DeC8JeXBJvhFxiB2qBToBCsBFs?B0qB
TILJSZO,X,X,X,O,O,X,O,O,X,X,X
TILJSOZ,X,X,X,O,O,X,O,O,O,X,X
TILJZSO,X,X,X,X,O,X,O,O,X,X,X
TILJZOS,X,X,X,X,O,X,O,O,X,X,X
TILJOSZ,X,X,X,O,O,X,O,O,O,X,X
TILJOZS,X,X,X,X,O,X,O,O,X,X,X
TILSJZO,X,X,X,O,O,X,O,O,X,X,X
TILSJOZ,X,X,X,O,O,X,O,O,O,X,X
TILSZJO,X,X,X,O,O,X,X,X,X,X,X
TILSZOJ,X,X,X,X,X,X,X,X,O,X,X
TILSOJZ,X,X,X,X,X,X,X,O,O,X,X
TILSOZJ,X,X,X,X,X,X,X,X,O,X,X
TILZJSO,X,X,X,X,O,X,O,O,X,X,X
TILZJOS,X,X,X,X,O,X,O,O,X,X,X
TILZSJO,X,X,X,X,O,X,X,X,X,X,X
TILZSOJ,X,X,X,X,X,X,X,X,O,X,X
TILZOJS,X,X,X,X,X,X,X,O,X,O,X
TILZOSJ,X,X,X,X,X,X,X,X,O,O,X
TILOJSZ,X,X,X,X,X,X,O,O,O,X,X
TILOJZS,X,X,X,X,X,X,O,O,X,X,X
TILOSJZ,X,X,X,X,X,X,X,O,O,X,X
TILOSZJ,X,X,X,X,X,X,X,X,O,X,X
TILOZJS,X,X,X,X,X,X,X,O,X,O,X
TILOZSJ,X,X,X,X,X,X,X,X,O,O,X
TIJLSZO,X,X,X,O,O,X,O,O,X,X,X
TIJLSOZ,X,X,X,O,O,X,O,O,O,X,X
TIJLZSO,X,X,X,X,O,X,O,O,X,X,X
TIJLZOS,X,X,X,X,O,X,O,O,X,X,X
TIJLOSZ,X,X,X,O,O,X,O,O,O,X,X
TIJLOZS,X,X,X,X,O,X,O,O,X,X,X
TIJSLZO,X,X,X,O,O,X,X,O,X,X,X
TIJSLOZ,X,X,X,O,O,X,X,O,O,X,X
TIJSZLO,X,X,X,O,O,X,X,O,X,X,X
TIJSZOL,X,X,X,O,O,X,X,O,X,X,X
TIJSOLZ,X,X,X,O,O,X,X,O,O,X,X
TIJSOZL,X,X,X,O,O,X,X,O,X,X,X
TIJZLSO,X,X,X,X,O,X,X,O,X,X,X
TIJZLOS,X,X,X,X,O,X,X,O,X,X,X
TIJZSLO,X,X,X,O,O,X,X,O,X,X,X
TIJZSOL,X,X,X,O,O,X,X,O,X,X,X
TIJZOLS,X,X,X,X,O,X,X,O,X,O,X
TIJZOSL,X,X,X,O,O,X,X,O,X,O,X
TIJOLSZ,X,X,X,O,O,X,O,O,O,X,X
TIJOLZS,X,X,X,X,O,X,O,O,X,X,X
TIJOSLZ,X,X,X,O,O,X,X,O,O,X,X
TIJOSZL,X,X,X,O,O,X,X,O,X,X,X
TIJOZLS,X,X,X,X,O,X,X,O,X,O,X
TIJOZSL,X,X,X,O,O,X,X,O,X,O,X
TISLJZO,X,X,X,O,O,X,X,O,X,X,X
TISLJOZ,X,X,X,O,O,X,X,O,O,X,X
TISLZJO,X,X,X,O,O,X,X,X,X,X,X
TISLZOJ,X,X,X,X,X,X,X,X,O,O,X
TISLOJZ,X,X,X,X,X,X,X,O,O,X,X
TISLOZJ,X,X,X,X,X,X,X,X,O,O,X
