sequence,v115@KhA8FeA8BeB8DeF8CeB8Je/EJvhFalBRhBGjBznBUs?BlrB,v115@KhA8FeA8BeB8DeF8CeB8JeT/IvhFelBFhBxiBXoBUs?BCsB,v115@KhA8FeA8BeB8DeF8CeB8Jem/IvhFFhBXiBTjB0kBRs?BSxB,v115@KhA8FeA8BeB8DeF8CeB8JeT/IvhFelBFhBSoBRsB8r?B3sB,v115@KhA8FeA8BeB8DeF8CeB8JeRBJvhF3iBcoBlkB6rBmk?BTsB,v115@KhA8FeA8BeB8DeF8CeB8Jei/IvhFRhBcoBzkBlmBXs?BusB
TOIZLSJ,X,X,O,X,O,O
TOIZJLS,X,X,O,X,X,X
TOIZJSL,X,X,O,X,X,X
TOIZSLJ,X,X,O,X,O,O
TOIZSJL,X,X,O,X,X,O
TOLIJSZ,X,X,X,O,X,O
TOLIJZS,X,X,X,O,O,X
TOLISJZ,X,X,X,X,X,O
TOLISZJ,X,X,O,X,O,O
TOLIZJS,X,X,O,X,O,X
TOLIZSJ,X,X,O,X,O,O
TOLJISZ,X,X,X,O,X,O
TOLJIZS,X,X,X,O,O,X
TOLJSIZ,X,X,X,O,X,O
TOLJSZI,X,X,X,X,X,O
TOLJZIS,X,X,X,O,O,X
TOLJZSI,X,X,X,X,O,X
TOLSIJZ,X,X,X,X,X,O
TOLSIZJ,X,X,X,X,O,O
TOLSJIZ,X,X,X,X,X,O
TOLSJZI,X,X,X,X,X,O
TOLSZIJ,X,X,X,X,O,O
TOLSZJI,X,X,X,X,O,O
TOLZIJS,X,X,O,X,O,X
TOLZISJ,X,X,O,X,O,O
TOLZJIS,X,X,O,X,O,X
TOLZJSI,X,X,X,X,O,X
TOLZSIJ,X,X,X,X,O,O
TOLZSJI,X,X,X,X,O,O
TOJILSZ,X,X,X,O,X,O
TOJILZS,X,X,X,O,X,X
TOJISLZ,O,O,X,O,X,O
TOJISZL,X,O,O,O,X,O
TOJIZLS,X,X,O,O,X,X
TOJIZSL,X,O,O,O,X,X
TOJLISZ,X,X,X,O,X,O
TOJLIZS,X,X,X,O,O,X
TOJLSIZ,X,O,X,O,X,O
TOJLSZI,X,O,X,X,X,O
TOJLZIS,X,X,X,O,O,X
TOJLZSI,X,O,X,X,O,X
TOJSILZ,O,O,X,O,X,O
TOJSIZL,X,O,X,O,X,O
TOJSLIZ,O,O,X,O,X,O
TOJSLZI,O,O,X,X,X,O
TOJSZIL,O,O,X,X,X,O
TOJSZLI,O,O,X,X,X,O
TOJZILS,X,X,O,O,X,X
TOJZISL,O,O,O,O,X,X
TOJZLIS,X,X,O,O,O,X
TOJZLSI,X,O,X,X,O,X
TOJZSIL,O,O,O,X,X,X
TOJZSLI,O,O,X,X,O,X
TOSILJZ,O,X,X,X,X,O
TOSILZJ,X,X,O,X,X,O
TOSIJLZ,O,O,X,X,X,O
TOSIJZL,X,O,O,X,X,O
TOSIZLJ,X,X,O,X,X,O
TOSIZJL,X,O,O,X,X,O
TOSLIJZ,O,X,X,X,X,O
TOSLIZJ,X,X,X,X,O,O
TOSLJIZ,O,X,X,X,X,O
TOSLJZI,O,X,X,X,X,O
TOSLZIJ,O,X,X,X,O,O
TOSLZJI,O,X,X,X,O,O
TOSJILZ,O,O,X,X,X,O
TOSJIZL,X,O,X,X,X,O
TOSJLIZ,O,O,X,X,X,O
TOSJLZI,O,O,X,X,X,O
TOSJZIL,O,O,X,X,X,O
TOSJZLI,O,O,X,X,X,O
TOSZILJ,O,X,O,X,O,O
TOSZIJL,O,O,O,X,X,O
TOSZLIJ,O,X,X,X,O,O
TOSZLJI,O,X,X,X,O,O
TOSZJIL,O,O,O,X,X,O
TOSZJLI,O,O,X,X,O,O
TOZILJS,X,X,O,X,O,X
TOZILSJ,X,X,O,X,O,O
TOZIJLS,X,X,O,X,X,X
TOZIJSL,O,X,O,X,X,X
TOZISLJ,O,X,O,X,O,O
TOZISJL,O,X,O,X,X,O
TOZLIJS,X,X,O,X,O,X
TOZLISJ,X,X,O,X,O,O
TOZLJIS,X,X,O,X,O,X
TOZLJSI,X,X,X,X,O,X
TOZLSIJ,X,X,X,X,O,O
TOZLSJI,X,X,X,X,O,O
TOZJILS,X,X,O,X,X,X
TOZJISL,O,O,O,X,X,X
TOZJLIS,X,X,O,X,O,X
TOZJLSI,X,O,X,X,O,X
TOZJSIL,O,O,O,X,X,X
TOZJSLI,O,O,X,X,O,X
TOZSILJ,O,X,O,X,O,O
TOZSIJL,O,O,O,X,X,O
TOZSLIJ,O,X,X,X,O,O
TOZSLJI,O,X,X,X,O,O
TOZSJIL,O,O,O,X,X,O
TOZSJLI,O,O,X,X,O,O
ITLJSZO,X,X,X,O,X,X
ITLJSOZ,X,X,X,O,X,X
ITLJZSO,X,X,X,O,O,X
ITLJZOS,X,X,X,O,X,X
ITLJOSZ,X,X,X,O,X,X
ITLJOZS,X,X,X,O,O,X
ITLSJZO,X,X,X,O,X,X
ITLSJOZ,X,X,X,O,X,X
ITLSZJO,X,X,O,X,O,X
ITLSZOJ,X,X,O,X,O,O
ITLSOJZ,X,X,X,X,X,O
ITLSOZJ,X,X,O,X,O,O
ITLZJSO,X,X,O,O,O,X
ITLZJOS,X,X,O,O,X,X
ITLZSJO,X,X,O,X,O,X
ITLZSOJ,X,X,O,X,O,X
ITLZOJS,X,X,O,X,O,X
ITLZOSJ,X,X,O,X,O,X
ITLOJSZ,X,X,X,O,X,O
ITLOJZS,X,X,X,O,O,X
ITLOSJZ,X,X,X,X,X,O
ITLOSZJ,X,X,O,X,O,O
ITLOZJS,X,X,O,X,O,X
ITLOZSJ,X,X,O,X,O,O
ITJLSZO,X,X,X,O,X,X
ITJLSOZ,X,X,X,O,X,X
ITJLZSO,X,X,X,O,O,X
ITJLZOS,X,X,X,O,X,X
ITJLOSZ,X,X,X,O,X,X
ITJLOZS,X,X,X,O,O,X
ITJSLZO,O,X,X,O,X,X
ITJSLOZ,O,O,X,O,X,X
ITJSZLO,X,O,O,O,X,X
ITJSZOL,X,O,O,O,X,O
ITJSOLZ,X,O,X,O,X,O
ITJSOZL,X,O,O,O,X,O
ITJZLSO,X,X,O,O,O,X
ITJZLOS,X,X,O,O,X,X
ITJZSLO,X,O,O,O,X,X
ITJZSOL,X,O,O,O,X,X
ITJZOLS,X,X,O,O,X,X
ITJZOSL,X,O,O,O,X,X
ITJOLSZ,X,X,X,O,X,O
ITJOLZS,X,X,X,O,X,X
ITJOSLZ,X,O,X,O,X,O
ITJOSZL,X,O,O,O,X,O
ITJOZLS,X,X,O,O,X,X
ITJOZSL,X,O,O,O,X,X
ITSLJZO,O,X,X,O,X,X
ITSLJOZ,O,O,X,O,X,X
ITSLZJO,O,X,O,X,O,X
ITSLZOJ,O,X,O,X,O,O
ITSLOJZ,O,X,X,X,X,O
ITSLOZJ,X,X,O,X,O,O
ITSJLZO,O,X,X,O,X,X
ITSJLOZ,O,O,X,O,X,X
ITSJZLO,X,O,O,O,X,X
ITSJZOL,X,O,O,O,X,O
ITSJOLZ,X,O,X,O,X,O
ITSJOZL,X,O,O,O,X,O
ITSZLJO,O,O,O,X,O,X
ITSZLOJ,O,X,O,X,O,O
ITSZJLO,O,O,O,X,X,X
ITSZJOL,X,O,O,X,X,O
ITSZOLJ,O,X,O,X,X,O
ITSZOJL,O,O,O,X,X,O
ITSOLJZ,O,X,X,X,X,O
ITSOLZJ,X,X,O,X,X,O
ITSOJLZ,O,O,X,X,X,O
ITSOJZL,X,O,O,X,X,O
ITSOZLJ,X,X,O,X,X,O
ITSOZJL,X,X,O,X,X,O
ITZLJSO,X,X,O,O,O,X
ITZLJOS,X,X,O,O,X,X
ITZLSJO,X,X,O,X,O,X
ITZLSOJ,X,X,O,X,O,X
ITZLOJS,X,X,O,X,O,X
ITZLOSJ,X,X,O,X,O,X
ITZJLSO,X,X,O,O,O,X
ITZJLOS,X,X,O,O,X,X
ITZJSLO,O,O,O,O,X,X
ITZJSOL,X,O,O,O,X,X
ITZJOLS,X,X,O,O,X,X
ITZJOSL,X,O,O,O,X,X
ITZSLJO,O,O,O,X,O,X
ITZSLOJ,O,X,O,X,O,O
ITZSJLO,O,O,O,X,X,X
ITZSJOL,X,O,O,X,X,O
ITZSOLJ,O,X,O,X,X,O
ITZSOJL,O,O,O,X,X,O
ITZOLJS,X,X,O,X,O,X
ITZOLSJ,X,X,O,X,O,O
ITZOJLS,X,X,O,X,X,X
ITZOJSL,O,X,O,X,X,X
ITZOSLJ,O,X,O,X,O,O
ITZOSJL,O,X,O,X,X,O
ITOLJSZ,X,X,X,O,X,O
ITOLJZS,X,X,X,O,O,X
ITOLSJZ,X,X,X,X,X,O
ITOLSZJ,X,X,O,X,O,O
ITOLZJS,X,X,O,X,O,X
ITOLZSJ,X,X,O,X,O,O
ITOJLSZ,X,X,X,O,X,O
ITOJLZS,X,X,X,O,X,X
ITOJSLZ,O,X,X,O,X,O
ITOJSZL,X,X,O,O,X,O
ITOJZLS,X,X,O,O,X,X
ITOJZSL,X,X,O,O,X,X
ITOSLJZ,O,X,X,X,X,O
ITOSLZJ,X,X,O,X,X,O
ITOSJLZ,O,X,X,X,X,O
ITOSJZL,X,X,O,X,X,O
ITOSZLJ,X,X,O,X,X,O
ITOSZJL,X,X,O,X,X,O
ITOZLJS,X,X,O,X,O,X
ITOZLSJ,X,X,O,X,O,O
ITOZJLS,X,X,O,X,X,X
ITOZJSL,X,X,O,X,X,X
ITOZSLJ,X,X,O,X,O,O
ITOZSJL,X,X,O,X,X,O
ILTJSZO,X,X,X,O,X,X
ILTJSOZ,X,X,X,O,X,X
ILTJZSO,X,X,X,O,O,X
ILTJZOS,X,X,X,O,X,X
ILTJOSZ,X,X,X,O,X,X
ILTJOZS,X,X,X,O,O,X
ILTSJZO,X,X,X,O,X,X
ILTSJOZ,X,X,X,O,X,X
ILTSZJO,X,X,O,X,O,X
ILTSZOJ,X,X,O,X,O,O
ILTSOJZ,X,X,X,X,X,O
ILTSOZJ,X,X,O,X,O,O
ILTZJSO,X,X,O,O,O,X
ILTZJOS,X,X,O,O,X,X
ILTZSJO,X,X,O,X,O,X
ILTZSOJ,X,X,O,X,O,X
ILTZOJS,X,X,O,X,O,X
ILTZOSJ,X,X,O,X,O,X
ILTOJSZ,X,X,X,O,X,O
ILTOJZS,X,X,X,O,O,X
ILTOSJZ,X,X,X,X,X,O
ILTOSZJ,X,X,O,X,O,O
ILTOZJS,X,X,O,X,O,X
ILTOZSJ,X,X,O,X,O,O
ILJTSZO,X,X,X,O,X,X
ILJTSOZ,X,X,X,O,X,X
ILJTZSO,X,X,X,O,O,X
ILJTZOS,X,X,X,O,X,X
ILJTOSZ,X,X,X,O,X,X
ILJTOZS,X,X,X,O,O,X
ILJSTZO,O,X,X,O,X,X
ILJSTOZ,O,X,X,O,X,X
ILJSZTO,O,X,X,O,X,X
ILJSZOT,O,X,X,O,X,X
ILJSOTZ,O,X,X,O,X,X
ILJSOZT,O,X,X,O,X,X
ILJZTSO,X,X,X,O,O,X
ILJZTOS,X,X,X,O,X,X
ILJZSTO,X,X,X,O,O,X
ILJZSOT,X,X,X,O,X,X
ILJZOTS,X,X,X,O,X,X
ILJZOST,X,X,X,O,X,X
ILJOTSZ,X,X,X,O,X,X
ILJOTZS,X,X,X,O,O,X
ILJOSTZ,X,X,X,O,X,X
ILJOSZT,X,X,X,O,X,X
ILJOZTS,X,X,X,O,O,X
ILJOZST,X,X,X,O,O,X
ILSTJZO,O,X,X,O,X,X
ILSTJOZ,O,X,X,O,X,X
ILSTZJO,O,X,O,X,O,X
ILSTZOJ,O,X,O,X,O,X
ILSTOJZ,O,X,X,X,X,X
ILSTOZJ,X,X,O,X,O,X
ILSJTZO,O,X,X,O,X,X
ILSJTOZ,O,X,X,O,X,X
ILSJZTO,O,X,X,O,X,X
ILSJZOT,O,X,X,O,X,X
ILSJOTZ,O,X,X,O,X,X
ILSJOZT,O,X,X,O,X,X
ILSZTJO,O,X,O,X,O,X
ILSZTOJ,O,X,O,X,O,X
ILSZJTO,O,X,O,X,O,X
ILSZJOT,O,X,O,X,X,X
ILSZOTJ,O,X,O,X,O,X
ILSZOJT,O,X,O,X,X,X
ILSOTJZ,O,X,X,X,X,X
ILSOTZJ,X,X,O,X,O,X
ILSOJTZ,O,X,X,O,X,X
ILSOJZT,O,X,X,O,X,X
ILSOZTJ,O,X,O,X,O,X
ILSOZJT,O,X,O,X,O,X
ILZTJSO,X,X,O,O,O,X
ILZTJOS,X,X,O,O,X,X
ILZTSJO,X,X,O,X,O,X
ILZTSOJ,X,X,O,X,O,X
ILZTOJS,X,X,O,X,O,X
ILZTOSJ,X,X,O,X,O,X
ILZJTSO,X,X,O,O,O,X
ILZJTOS,X,X,O,O,X,X
ILZJSTO,O,X,O,O,O,X
ILZJSOT,O,X,O,O,X,X
ILZJOTS,X,X,O,O,X,X
ILZJOST,X,X,O,O,X,X
ILZSTJO,O,X,O,X,O,X
ILZSTOJ,O,X,O,X,O,X
ILZSJTO,O,X,O,X,O,X
ILZSJOT,O,X,O,X,X,X
ILZSOTJ,O,X,O,X,O,X
ILZSOJT,O,X,O,X,X,X
ILZOTJS,X,X,O,X,O,X
ILZOTSJ,X,X,O,X,O,X
ILZOJTS,X,X,O,O,O,X
ILZOJST,O,X,O,O,O,X
ILZOSTJ,O,X,O,X,O,X
ILZOSJT,O,X,O,X,O,X
ILOTJSZ,X,X,X,O,X,O
ILOTJZS,X,X,X,O,O,X
ILOTSJZ,X,X,X,X,X,O
ILOTSZJ,X,X,O,X,O,O
ILOTZJS,X,X,O,X,O,X
ILOTZSJ,X,X,O,X,O,O
ILOJTSZ,X,X,X,O,X,O
ILOJTZS,X,X,X,O,O,X
ILOJSTZ,O,X,X,O,X,X
ILOJSZT,O,X,X,O,X,X
ILOJZTS,X,X,X,O,O,X
ILOJZST,X,X,X,O,O,X
ILOSTJZ,O,X,X,X,X,O
ILOSTZJ,X,X,O,X,O,O
ILOSJTZ,O,X,X,O,X,X
ILOSJZT,O,X,X,O,X,X
ILOSZTJ,X,X,O,X,O,X
ILOSZJT,O,X,O,X,O,X
ILOZTJS,X,X,O,X,O,X
ILOZTSJ,X,X,O,X,O,O
ILOZJTS,X,X,O,O,O,X
ILOZJST,X,X,O,O,O,X
ILOZSTJ,X,X,O,X,O,X
ILOZSJT,X,X,O,X,O,X
IJTLSZO,X,X,X,O,X,X
IJTLSOZ,X,X,X,O,X,X
IJTLZSO,X,X,X,O,O,X
IJTLZOS,X,X,X,O,X,X
IJTLOSZ,X,X,X,O,X,X
IJTLOZS,X,X,X,O,O,X
IJTSLZO,O,X,X,O,X,X
IJTSLOZ,O,O,X,O,X,X
IJTSZLO,X,O,O,O,X,X
IJTSZOL,X,O,O,O,X,O
IJTSOLZ,X,O,X,O,X,O
IJTSOZL,X,O,O,O,X,O
IJTZLSO,X,X,O,O,O,X
IJTZLOS,X,X,O,O,X,X
IJTZSLO,X,O,O,O,X,X
IJTZSOL,X,O,O,O,X,X
IJTZOLS,X,X,O,O,X,X
IJTZOSL,X,O,O,O,X,X
IJTOLSZ,X,X,X,O,X,O
IJTOLZS,X,X,X,O,X,X
IJTOSLZ,X,O,X,O,X,O
IJTOSZL,X,O,O,O,X,O
IJTOZLS,X,X,O,O,X,X
IJTOZSL,X,O,O,O,X,X
IJLTSZO,X,X,X,O,X,X
IJLTSOZ,X,X,X,O,X,X
IJLTZSO,X,X,X,O,O,X
IJLTZOS,X,X,X,O,X,X
IJLTOSZ,X,X,X,O,X,X
IJLTOZS,X,X,X,O,O,X
IJLSTZO,O,X,X,O,X,X
IJLSTOZ,O,X,X,O,X,X
IJLSZTO,O,X,X,O,X,X
IJLSZOT,O,X,X,O,X,X
IJLSOTZ,O,X,X,O,X,X
IJLSOZT,O,X,X,O,X,X
IJLZTSO,X,X,X,O,O,X
IJLZTOS,X,X,X,O,X,X
IJLZSTO,X,X,X,O,O,X
IJLZSOT,X,X,X,O,X,X
IJLZOTS,X,X,X,O,X,X
IJLZOST,X,X,X,O,X,X
IJLOTSZ,X,X,X,O,X,X
IJLOTZS,X,X,X,O,O,X
IJLOSTZ,X,X,X,O,X,X
IJLOSZT,X,X,X,O,X,X
IJLOZTS,X,X,X,O,O,X
IJLOZST,X,X,X,O,O,X
IJSTLZO,O,X,X,O,X,X
IJSTLOZ,O,O,X,O,X,X
IJSTZLO,X,O,O,O,X,X
IJSTZOL,X,O,O,O,X,X
IJSTOLZ,X,O,X,O,X,X
IJSTOZL,X,O,O,O,X,X
IJSLTZO,O,X,X,O,X,X
IJSLTOZ,O,O,X,O,X,X
IJSLZTO,O,O,X,O,X,X
IJSLZOT,O,O,X,O,X,X
IJSLOTZ,O,O,X,O,X,X
IJSLOZT,O,O,X,O,X,X
IJSZTLO,O,O,O,O,X,X
IJSZTOL,X,O,O,O,X,X
IJSZLTO,O,O,O,O,X,X
IJSZLOT,O,O,O,O,X,X
IJSZOTL,O,O,O,O,X,X
IJSZOLT,O,O,O,O,X,X
IJSOTLZ,O,O,X,O,X,X
IJSOTZL,X,O,O,O,X,X
IJSOLTZ,O,O,X,O,X,X
IJSOLZT,O,O,X,O,X,X
IJSOZTL,O,O,O,O,X,X
IJSOZLT,O,O,O,O,X,X
IJZTLSO,X,X,O,O,O,X
IJZTLOS,X,X,O,O,X,X
IJZTSLO,O,O,O,O,X,X
IJZTSOL,X,O,O,O,X,X
IJZTOLS,X,X,O,O,X,X
IJZTOSL,X,O,O,O,X,X
IJZLTSO,X,X,O,O,O,X
IJZLTOS,X,X,O,O,X,X
IJZLSTO,O,X,O,O,O,X
IJZLSOT,O,X,O,O,X,X
IJZLOTS,X,X,O,O,X,X
IJZLOST,X,X,O,O,X,X
IJZSTLO,O,O,O,O,X,X
IJZSTOL,X,O,O,O,X,X
IJZSLTO,O,O,O,O,X,X
IJZSLOT,O,O,O,O,X,X
IJZSOTL,O,O,O,O,X,X
IJZSOLT,O,O,O,O,X,X
IJZOTLS,X,X,O,O,X,X
IJZOTSL,O,O,O,O,X,X
IJZOLTS,X,X,O,O,X,X
IJZOLST,O,X,O,O,X,X
IJZOSTL,O,O,O,O,X,X
IJZOSLT,O,O,O,O,X,X
IJOTLSZ,X,X,X,O,X,O
IJOTLZS,X,X,X,O,X,X
IJOTSLZ,O,O,X,O,X,O
IJOTSZL,X,O,O,O,X,O
IJOTZLS,X,X,O,O,X,X
IJOTZSL,X,O,O,O,X,X
IJOLTSZ,X,X,X,O,X,O
IJOLTZS,X,X,X,O,X,X
IJOLSTZ,O,X,X,O,X,X
IJOLSZT,O,X,X,O,X,X
IJOLZTS,X,X,X,O,X,X
IJOLZST,X,X,X,O,X,X
IJOSTLZ,O,O,X,O,X,X
IJOSTZL,X,O,O,O,X,X
IJOSLTZ,O,O,X,O,X,X
IJOSLZT,O,O,X,O,X,X
IJOSZTL,O,O,O,O,X,X
IJOSZLT,O,O,O,O,X,X
IJOZTLS,X,X,O,O,X,X
IJOZTSL,O,O,O,O,X,X
IJOZLTS,X,X,O,O,X,X
IJOZLST,O,X,O,O,X,X
IJOZSTL,O,O,O,O,X,X
IJOZSLT,O,O,O,O,X,X
ISTLJZO,O,X,X,O,X,X
ISTLJOZ,O,O,X,O,X,X
ISTLZJO,O,X,O,X,O,X
ISTLZOJ,O,X,O,X,O,O
ISTLOJZ,O,X,X,X,X,O
ISTLOZJ,X,X,O,X,O,O
ISTJLZO,O,X,X,O,X,X
ISTJLOZ,O,O,X,O,X,X
ISTJZLO,X,O,O,O,X,X
ISTJZOL,X,O,O,O,X,O
ISTJOLZ,X,O,X,O,X,O
ISTJOZL,X,O,O,O,X,O
ISTZLJO,O,O,O,X,O,X
ISTZLOJ,O,X,O,X,O,O
ISTZJLO,O,O,O,X,X,X
ISTZJOL,X,O,O,X,X,O
ISTZOLJ,O,X,O,X,X,O
ISTZOJL,O,O,O,X,X,O
ISTOLJZ,O,X,X,X,X,O
ISTOLZJ,X,X,O,X,X,O
ISTOJLZ,O,O,X,X,X,O
ISTOJZL,X,O,O,X,X,O
ISTOZLJ,X,X,O,X,X,O
ISTOZJL,X,O,O,X,X,O
ISLTJZO,O,X,X,O,X,X
ISLTJOZ,O,O,X,O,X,X
ISLTZJO,O,X,O,X,O,X
ISLTZOJ,O,X,O,X,O,X
ISLTOJZ,O,X,X,X,X,X
ISLTOZJ,X,X,O,X,O,X
ISLJTZO,O,X,X,O,X,X
ISLJTOZ,O,O,X,O,X,X
ISLJZTO,O,O,X,O,X,X
ISLJZOT,O,O,X,O,X,X
ISLJOTZ,O,O,X,O,X,X
ISLJOZT,O,O,X,O,X,X
ISLZTJO,O,O,O,X,O,X
ISLZTOJ,O,X,O,X,O,X
ISLZJTO,O,O,O,X,O,X
ISLZJOT,O,O,O,X,X,X
ISLZOTJ,O,X,O,X,O,X
ISLZOJT,O,O,O,X,X,X
ISLOTJZ,O,X,X,X,X,X
ISLOTZJ,X,X,O,X,O,X
ISLOJTZ,O,O,X,O,X,X
ISLOJZT,O,O,X,O,X,X
ISLOZTJ,O,X,O,X,O,X
ISLOZJT,O,O,O,X,O,X
ISJTLZO,O,X,X,O,X,X
ISJTLOZ,O,O,X,O,X,X
ISJTZLO,X,O,O,O,X,X
ISJTZOL,X,O,O,O,X,X
ISJTOLZ,X,O,X,O,X,X
ISJTOZL,X,O,O,O,X,X
ISJLTZO,O,X,X,O,X,X
ISJLTOZ,O,O,X,O,X,X
ISJLZTO,O,O,X,O,X,X
ISJLZOT,O,O,X,O,X,X
ISJLOTZ,O,O,X,O,X,X
ISJLOZT,O,O,X,O,X,X
ISJZTLO,O,O,O,O,X,X
ISJZTOL,X,O,O,O,X,X
ISJZLTO,O,O,O,O,X,X
ISJZLOT,O,O,O,O,X,X
ISJZOTL,O,O,O,O,X,X
ISJZOLT,O,O,O,O,X,X
ISJOTLZ,O,O,X,O,X,X
ISJOTZL,X,O,O,O,X,X
ISJOLTZ,O,O,X,O,X,X
ISJOLZT,O,O,X,O,X,X
ISJOZTL,O,O,O,O,X,X
ISJOZLT,O,O,O,O,X,X
ISZTLJO,O,O,O,X,O,X
ISZTLOJ,O,X,O,X,O,O
ISZTJLO,O,O,O,X,X,X
ISZTJOL,X,O,O,X,X,O
ISZTOLJ,O,X,O,X,X,O
ISZTOJL,O,O,O,X,X,O
ISZLTJO,O,O,O,X,O,X
ISZLTOJ,O,X,O,X,O,X
ISZLJTO,O,O,O,X,O,X
ISZLJOT,O,O,O,X,X,X
ISZLOTJ,O,X,O,X,O,X
ISZLOJT,O,O,O,X,X,X
ISZJTLO,O,O,O,X,X,X
ISZJTOL,X,O,O,X,X,X
ISZJLTO,O,O,O,X,X,X
ISZJLOT,O,O,O,X,X,X
ISZJOTL,O,O,O,X,X,X
ISZJOLT,O,O,O,X,X,X
ISZOTLJ,O,X,O,X,X,O
ISZOTJL,O,O,O,X,X,O
ISZOLTJ,O,X,O,X,X,O
ISZOLJT,O,O,O,X,X,X
ISZOJTL,O,O,O,X,X,X
ISZOJLT,O,O,O,X,X,X
ISOTLJZ,O,X,X,X,X,O
ISOTLZJ,X,X,O,X,X,O
ISOTJLZ,O,O,X,X,X,O
ISOTJZL,X,O,O,X,X,O
ISOTZLJ,X,X,O,X,X,O
ISOTZJL,X,O,O,X,X,O
ISOLTJZ,O,X,X,X,X,O
ISOLTZJ,X,X,O,X,X,O
ISOLJTZ,O,O,X,O,X,X
ISOLJZT,O,O,X,O,X,X
ISOLZTJ,O,X,O,X,X,O
ISOLZJT,O,O,O,X,X,X
ISOJTLZ,O,O,X,O,X,X
ISOJTZL,X,O,O,O,X,X
ISOJLTZ,O,O,X,O,X,X
ISOJLZT,O,O,X,O,X,X
ISOJZTL,O,O,O,O,X,X
ISOJZLT,O,O,O,O,X,X
ISOZTLJ,O,X,O,X,X,O
ISOZTJL,O,O,O,X,X,O
ISOZLTJ,O,X,O,X,X,O
ISOZLJT,O,O,O,X,X,X
ISOZJTL,O,O,O,X,X,X
ISOZJLT,O,O,O,X,X,X
IZTLJSO,X,X,O,O,O,X
IZTLJOS,X,X,O,O,X,X
IZTLSJO,X,X,O,X,O,X
IZTLSOJ,X,X,O,X,O,X
IZTLOJS,X,X,O,X,O,X
IZTLOSJ,X,X,O,X,O,X
IZTJLSO,X,X,O,O,O,X
IZTJLOS,X,X,O,O,X,X
IZTJSLO,O,O,O,O,X,X
IZTJSOL,X,O,O,O,X,X
IZTJOLS,X,X,O,O,X,X
IZTJOSL,X,O,O,O,X,X
IZTSLJO,O,O,O,X,O,X
IZTSLOJ,O,X,O,X,O,O
IZTSJLO,O,O,O,X,X,X
IZTSJOL,X,O,O,X,X,O
IZTSOLJ,O,X,O,X,X,O
IZTSOJL,O,O,O,X,X,O
IZTOLJS,X,X,O,X,O,X
IZTOLSJ,X,X,O,X,O,O
IZTOJLS,X,X,O,X,X,X
IZTOJSL,O,X,O,X,X,X
IZTOSLJ,O,X,O,X,O,O
IZTOSJL,O,X,O,X,X,O
IZLTJSO,X,X,O,O,O,X
IZLTJOS,X,X,O,O,X,X
IZLTSJO,X,X,O,X,O,X
IZLTSOJ,X,X,O,X,O,X
IZLTOJS,X,X,O,X,O,X
IZLTOSJ,X,X,O,X,O,X
IZLJTSO,X,X,O,O,O,X
IZLJTOS,X,X,O,O,X,X
IZLJSTO,O,X,O,O,O,X
IZLJSOT,O,X,O,O,X,X
IZLJOTS,X,X,O,O,X,X
IZLJOST,X,X,O,O,X,X
IZLSTJO,O,X,O,X,O,X
IZLSTOJ,O,X,O,X,O,X
IZLSJTO,O,X,O,X,O,X
IZLSJOT,O,X,O,X,X,X
IZLSOTJ,O,X,O,X,O,X
IZLSOJT,O,X,O,X,X,X
IZLOTJS,X,X,O,X,O,X
IZLOTSJ,X,X,O,X,O,X
IZLOJTS,X,X,O,O,O,X
IZLOJST,O,X,O,O,O,X
IZLOSTJ,O,X,O,X,O,X
IZLOSJT,O,X,O,X,O,X
IZJTLSO,X,X,O,O,O,X
IZJTLOS,X,X,O,O,X,X
IZJTSLO,O,O,O,O,X,X
IZJTSOL,X,O,O,O,X,X
IZJTOLS,X,X,O,O,X,X
IZJTOSL,X,O,O,O,X,X
IZJLTSO,X,X,O,O,O,X
IZJLTOS,X,X,O,O,X,X
IZJLSTO,O,X,O,O,O,X
IZJLSOT,O,X,O,O,X,X
IZJLOTS,X,X,O,O,X,X
IZJLOST,X,X,O,O,X,X
IZJSTLO,O,O,O,O,X,X
IZJSTOL,X,O,O,O,X,X
IZJSLTO,O,O,O,O,X,X
IZJSLOT,O,O,O,O,X,X
IZJSOTL,O,O,O,O,X,X
IZJSOLT,O,O,O,O,X,X
IZJOTLS,X,X,O,O,X,X
IZJOTSL,O,O,O,O,X,X
IZJOLTS,X,X,O,O,X,X
IZJOLST,O,X,O,O,X,X
IZJOSTL,O,O,O,O,X,X
IZJOSLT,O,O,O,O,X,X
IZSTLJO,O,O,O,X,O,X
IZSTLOJ,O,X,O,X,O,O
IZSTJLO,O,O,O,X,X,X
IZSTJOL,X,O,O,X,X,O
IZSTOLJ,O,X,O,X,X,O
IZSTOJL,O,O,O,X,X,O
IZSLTJO,O,O,O,X,O,X
IZSLTOJ,O,X,O,X,O,X
IZSLJTO,O,O,O,X,O,X
IZSLJOT,O,O,O,X,X,X
IZSLOTJ,O,X,O,X,O,X
IZSLOJT,O,O,O,X,X,X
IZSJTLO,O,O,O,X,X,X
IZSJTOL,X,O,O,X,X,X
IZSJLTO,O,O,O,X,X,X
IZSJLOT,O,O,O,X,X,X
IZSJOTL,O,O,O,X,X,X
IZSJOLT,O,O,O,X,X,X
IZSOTLJ,O,X,O,X,X,O
IZSOTJL,O,O,O,X,X,O
IZSOLTJ,O,X,O,X,X,O
IZSOLJT,O,O,O,X,X,X
