sequence,v115@KhA8FeA8BeB8DeF8CeB8Je/EJvhFalBRhBGjBznBUs?BlrB,v115@KhA8FeA8BeB8DeF8CeB8JeT/IvhFelBFhBxiBXoBUs?BCsB,v115@KhA8FeA8BeB8DeF8CeB8Jem/IvhFFhBXiBTjB0kBRs?BSxB,v115@KhA8FeA8BeB8DeF8CeB8JeT/IvhFelBFhBSoBRsB8r?B3sB,v115@KhA8FeA8BeB8DeF8CeB8JeRBJvhF3iBcoBlkB6rBmk?BTsB,v115@KhA8FeA8BeB8DeF8CeB8Jei/IvhFRhBcoBzkBlmBXs?BusB
TLOJSIZ,X,X,X,O,X,O
TLOJSZI,X,X,X,X,X,O
TLOJZIS,X,X,X,O,O,X
TLOJZSI,X,X,X,X,O,X
TLOSIJZ,X,X,X,X,X,O
TLOSIZJ,X,X,X,X,O,O
TLOSJIZ,X,X,X,X,X,O
TLOSJZI,X,X,X,X,X,O
TLOSZIJ,X,X,X,X,O,O
TLOSZJI,X,X,X,X,O,O
TLOZIJS,X,X,O,X,O,X
TLOZISJ,X,X,O,X,O,O
TLOZJIS,X,X,O,X,O,X
TLOZJSI,X,X,X,X,O,X
TLOZSIJ,X,X,X,X,O,O
TLOZSJI,X,X,X,X,O,O
TJILSZO,X,X,X,O,X,X
TJILSOZ,X,X,X,O,X,X
TJILZSO,X,X,X,O,O,X
TJILZOS,X,X,X,O,X,X
TJILOSZ,X,X,X,O,X,X
TJILOZS,X,X,X,O,O,X
TJISLZO,O,X,X,O,X,X
TJISLOZ,O,O,X,O,X,X
TJISZLO,X,O,O,O,X,X
TJISZOL,X,O,O,O,X,O
TJISOLZ,X,O,X,O,X,O
TJISOZL,X,O,O,O,X,O
TJIZLSO,X,X,O,O,O,X
TJIZLOS,X,X,O,O,X,X
TJIZSLO,X,O,O,O,X,X
TJIZSOL,X,O,O,O,X,X
TJIZOLS,X,X,O,O,X,X
TJIZOSL,X,O,O,O,X,X
TJIOLSZ,X,X,X,O,X,O
TJIOLZS,X,X,X,O,X,X
TJIOSLZ,X,O,X,O,X,O
TJIOSZL,X,O,O,O,X,O
TJIOZLS,X,X,O,O,X,X
TJIOZSL,X,O,O,O,X,X
TJLISZO,X,X,X,O,X,X
TJLISOZ,X,X,X,O,X,X
TJLIZSO,X,X,X,O,O,X
TJLIZOS,X,X,X,O,X,X
TJLIOSZ,X,X,X,O,X,X
TJLIOZS,X,X,X,O,O,X
TJLSIZO,X,X,X,O,X,X
TJLSIOZ,X,O,X,O,X,X
TJLSZIO,X,O,X,X,X,X
TJLSZOI,X,O,X,X,X,X
TJLSOIZ,X,O,X,O,X,X
TJLSOZI,X,O,X,X,X,X
TJLZISO,X,X,X,O,O,X
TJLZIOS,X,X,X,O,X,X
TJLZSIO,X,O,X,X,O,X
TJLZSOI,X,O,X,X,O,X
TJLZOIS,X,X,X,O,O,X
TJLZOSI,X,O,X,X,O,X
TJLOISZ,X,X,X,O,X,X
TJLOIZS,X,X,X,O,O,X
TJLOSIZ,X,O,X,O,X,X
TJLOSZI,X,O,X,X,X,X
TJLOZIS,X,X,X,O,O,X
TJLOZSI,X,O,X,X,O,X
