sequence,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTAJvhFxhBXjBimBc?tBFqBGsB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeiAJvhFfnBxiBUmBG?oBFqBzsB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTAJvhF0hBxiB2rBC?oBFqBXtB,v115@9gB8HeB8HeA8IeB8AeD8BeA8Je2FJvhFRhBCjB3mBT?oBFqB0sB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTAJvhFKmBfnBxiBu?sBctBFqB,v115@9gB8HeB8HeA8IeB8AeD8BeA8Je2FJvhFfnBxiBqsBT?oBUmBFqB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTAJvhFKmBGjBRnBU?nBFqBXtB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeiAJvhFziB+oBRmB3?mBFqB0sB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTAJvhFOmB8mBCjBF?qBxsBXtB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTAJvhFihB3mBFqBx?sBusBctB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeiAJvhFzhBWoBUmBF?qBxsBXtB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JexAJvhFXjBmlBzmBc?tB6sBFqB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeXBJvhFliBzmBRqBC?tBOqBctB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeUCJvhFTjBxlBmlBS?sBFqBXtB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JexAJvhF0iBmlBzmBS?tBFqBXtB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JexAJvhFXjBmlBzmBS?tBFqB0sB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTBJvhFFjBSqBctBx?rBOqB/sB,v115@9gB8HeB8HeA8IeB8AeD8BeA8Je1GJvhFTjBXlBWtBR?rBiqB0sB
TJLSZIO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TJLSZOI,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X
TJLSOIZ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,O,O,X,X
TJLSOZI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X
TJLZISO,O,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X
TJLZIOS,O,X,O,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
TJLZSIO,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TJLZSOI,O,O,O,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X
TJLZOIS,O,O,O,O,O,O,X,O,O,X,O,O,X,X,O,O,X,X
TJLZOSI,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X
TJLOISZ,O,O,X,O,X,O,O,O,X,X,X,X,X,X,O,O,X,X
TJLOIZS,O,O,X,O,X,O,O,O,X,X,X,O,X,X,O,O,X,X
TJLOSIZ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,O,O,X,X
TJLOSZI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X
TJLOZIS,O,O,O,O,O,O,X,O,O,X,X,O,X,X,O,O,X,X
TJLOZSI,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X
TJSILZO,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TJSILOZ,X,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TJSIZLO,X,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TJSIZOL,X,X,O,O,X,X,X,O,X,O,X,O,X,O,X,X,X,X
TJSIOLZ,X,O,O,O,X,X,O,O,X,O,X,X,X,X,O,O,X,X
TJSIOZL,X,X,O,O,X,X,X,X,X,O,X,O,X,O,O,X,X,X
TJSLIZO,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TJSLIOZ,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,O,X,X
TJSLZIO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TJSLZOI,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X
TJSLOIZ,O,O,O,O,O,O,O,O,X,O,X,X,X,X,O,O,X,X
TJSLOZI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X
TJSZILO,O,O,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TJSZIOL,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
TJSZLIO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TJSZLOI,O,O,O,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TJSZOIL,O,O,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X
TJSZOLI,O,O,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X
TJSOILZ,X,O,O,O,X,O,O,O,X,O,X,X,X,X,O,O,X,X
TJSOIZL,X,O,O,O,X,X,X,X,X,O,X,O,X,O,O,X,X,X
TJSOLIZ,O,O,O,O,X,O,O,O,X,O,X,X,X,X,O,O,X,X
TJSOLZI,O,O,O,O,X,O,O,X,X,X,X,X,X,X,O,O,X,X
TJSOZIL,O,O,O,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X
