sequence,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTAJvhFxhBXjBimBc?tBFqBGsB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeiAJvhFfnBxiBUmBG?oBFqBzsB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTAJvhF0hBxiB2rBC?oBFqBXtB,v115@9gB8HeB8HeA8IeB8AeD8BeA8Je2FJvhFRhBCjB3mBT?oBFqB0sB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTAJvhFKmBfnBxiBu?sBctBFqB,v115@9gB8HeB8HeA8IeB8AeD8BeA8Je2FJvhFfnBxiBqsBT?oBUmBFqB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTAJvhFKmBGjBRnBU?nBFqBXtB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeiAJvhFziB+oBRmB3?mBFqB0sB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTAJvhFOmB8mBCjBF?qBxsBXtB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTAJvhFihB3mBFqBx?sBusBctB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeiAJvhFzhBWoBUmBF?qBxsBXtB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JexAJvhFXjBmlBzmBc?tB6sBFqB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeXBJvhFliBzmBRqBC?tBOqBctB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeUCJvhFTjBxlBmlBS?sBFqBXtB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JexAJvhF0iBmlBzmBS?tBFqBXtB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JexAJvhFXjBmlBzmBS?tBFqB0sB,v115@9gB8HeB8HeA8IeB8AeD8BeA8JeTBJvhFFjBSqBctBx?rBOqB/sB,v115@9gB8HeB8HeA8IeB8AeD8BeA8Je1GJvhFTjBXlBWtBR?rBiqB0sB
TIOJLSZ,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X
TIOJLZS,O,O,X,O,X,O,X,O,O,X,O,O,X,X,O,O,X,X
TIOJSLZ,X,O,O,O,X,O,X,O,X,O,X,X,X,X,O,O,X,X
TIOJSZL,X,O,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
TIOJZLS,O,O,O,O,X,O,X,O,O,X,O,O,X,X,O,O,X,X
TIOJZSL,O,O,O,X,X,X,X,O,O,X,O,O,X,X,O,X,X,X
TIOSLJZ,X,O,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X
TIOSLZJ,X,O,O,O,X,O,O,X,O,O,X,X,O,O,X,X,X,X
TIOSJLZ,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TIOSJZL,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TIOSZLJ,X,O,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X
TIOSZJL,X,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X
TIOZLJS,O,O,X,X,O,O,X,O,O,X,O,X,X,X,O,X,O,X
TIOZLSJ,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X
TIOZJLS,O,O,X,X,O,O,X,O,O,X,O,O,X,X,O,X,X,X
TIOZJSL,O,O,X,X,X,X,X,O,O,X,O,O,X,X,O,X,X,X
TIOZSLJ,O,O,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X
TIOZSJL,O,O,X,X,X,X,X,X,O,O,O,O,X,O,X,X,X,X
TLIJSZO,O,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLIJSOZ,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X
TLIJZSO,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
TLIJZOS,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X
TLIJOSZ,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,O,X,X
TLIJOZS,O,X,X,X,X,O,O,O,O,X,O,X,X,X,O,O,X,X
TLISJZO,O,O,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X
TLISJOZ,O,O,X,X,O,O,O,O,X,O,X,X,X,X,X,O,X,X
TLISZJO,O,O,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X
TLISZOJ,O,O,X,X,O,X,O,X,O,O,O,X,X,O,X,X,X,X
TLISOJZ,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X
TLISOZJ,O,O,X,X,O,O,O,X,O,O,X,X,X,O,X,X,X,X
TLIZJSO,O,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X
TLIZJOS,O,X,X,X,O,X,O,O,O,X,O,X,X,X,X,X,O,X
TLIZSJO,O,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X
TLIZSOJ,O,O,X,X,O,X,X,X,O,X,O,X,X,O,X,X,O,X
TLIZOJS,O,O,X,X,O,X,O,O,O,X,O,X,X,X,O,X,O,X
TLIZOSJ,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X
TLIOJSZ,O,O,X,X,X,O,O,O,X,X,X,X,O,X,O,O,X,X
TLIOJZS,O,O,X,X,X,O,O,O,O,X,O,X,O,X,O,O,X,X
TLIOSJZ,O,O,X,X,O,O,O,X,X,O,X,X,O,X,X,O,X,X
TLIOSZJ,O,O,X,X,O,O,O,X,O,O,X,X,O,X,X,X,X,X
TLIOZJS,O,O,X,X,O,O,O,O,O,X,O,X,O,X,O,X,O,X
TLIOZSJ,O,O,X,X,O,O,X,X,O,X,O,X,O,X,X,X,O,X
TLJISZO,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLJISOZ,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X
TLJIZSO,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLJIZOS,O,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X
TLJIOSZ,O,X,X,O,X,O,O,O,X,X,X,X,X,X,O,O,X,X
TLJIOZS,O,X,X,O,X,O,O,O,X,X,O,O,X,X,O,O,X,X
TLJSIZO,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X
TLJSZIO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLJSZOI,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X
TLJSOIZ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,O,O,X,X
TLJSOZI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X
TLJZISO,O,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X
TLJZIOS,O,X,O,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
TLJZSIO,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJZSOI,O,O,O,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X
TLJZOIS,O,O,O,O,O,O,X,O,O,X,O,O,X,X,O,O,X,X
TLJZOSI,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X
TLJOISZ,O,O,X,O,X,O,O,O,X,X,X,X,X,X,O,O,X,X
TLJOIZS,O,O,X,O,X,O,O,O,X,X,X,O,X,X,O,O,X,X
TLJOSIZ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,O,O,X,X
TLJOSZI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X
TLJOZIS,O,O,O,O,O,O,X,O,O,X,X,O,X,X,O,O,X,X
TLJOZSI,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X
TLSIJZO,O,O,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X
TLSIJOZ,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,O,X,X
TLSIZJO,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X
TLSIZOJ,O,O,O,O,O,X,O,X,X,O,O,X,X,O,X,X,X,X
TLSIOJZ,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X
TLSIOZJ,O,O,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X
TLSJIZO,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TLSJIOZ,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,O,X,X
TLSJZIO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLSJZOI,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X
TLSJOIZ,O,O,O,O,O,O,O,O,X,O,X,X,X,X,O,O,X,X
TLSJOZI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X
TLSZIJO,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X
TLSZIOJ,O,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X
TLSZJIO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLSZJOI,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X
TLSZOIJ,O,O,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X
TLSZOJI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X
TLSOIJZ,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X
TLSOIZJ,O,O,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X
TLSOJIZ,O,O,O,O,O,O,O,X,X,O,X,X,X,X,O,O,X,X
TLSOJZI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X
TLSOZIJ,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TLSOZJI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X
TLZIJSO,O,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,O,X
TLZIJOS,O,X,X,O,O,X,O,O,O,X,O,X,X,X,X,X,O,X
TLZISJO,O,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,O,X
TLZISOJ,O,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X
TLZIOJS,O,O,X,X,O,X,O,O,O,X,O,X,X,X,O,X,O,X
TLZIOSJ,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X
TLZJISO,O,O,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X
TLZJIOS,O,X,X,O,O,X,X,O,O,X,O,O,X,X,X,X,X,X
TLZJSIO,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZJSOI,O,O,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X
TLZJOIS,O,O,X,O,O,O,X,O,O,X,O,O,X,X,O,O,X,X
TLZJOSI,O,O,X,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X
TLZSIJO,O,O,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X
TLZSIOJ,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
TLZSJIO,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLZSJOI,O,O,X,O,O,O,O,O,X,X,X,O,X,X,X,O,X,X
TLZSOIJ,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
TLZSOJI,O,O,X,O,O,O,O,X,X,X,X,O,X,X,O,O,X,X
TLZOIJS,O,O,X,O,O,O,O,O,O,X,O,X,X,X,O,X,X,X
TLZOISJ,O,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
TLZOJIS,O,O,X,O,O,O,X,O,O,X,O,O,X,X,O,O,X,X
TLZOJSI,O,O,X,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X
TLZOSIJ,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
TLZOSJI,O,O,X,O,O,O,O,X,X,X,X,O,X,X,O,O,X,X
TLOIJSZ,O,O,X,O,X,O,O,O,X,X,X,X,O,X,O,O,X,X
TLOIJZS,O,O,X,O,X,O,O,O,O,X,O,X,O,X,O,O,X,X
TLOISJZ,O,O,X,O,O,O,O,X,X,O,X,X,O,X,X,O,X,X
TLOISZJ,O,O,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
TLOIZJS,O,O,X,X,O,O,O,O,O,X,O,X,O,X,O,X,X,X
TLOIZSJ,O,O,X,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X
TLOJISZ,O,O,X,O,X,O,O,O,X,X,X,X,X,X,O,O,X,X
TLOJIZS,O,O,X,O,X,O,O,O,X,X,X,O,X,X,O,O,X,X
TLOJSIZ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,O,O,X,X
TLOJSZI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X
TLOJZIS,O,O,O,O,O,O,X,O,O,X,X,O,X,X,O,O,X,X
TLOJZSI,O,O,O,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X
TLOSIJZ,O,O,O,O,O,O,O,X,X,O,X,X,O,X,X,O,X,X
TLOSIZJ,O,O,O,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X
TLOSJIZ,O,O,O,O,O,O,O,X,X,O,X,X,X,X,O,O,X,X
TLOSJZI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X
TLOSZIJ,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TLOSZJI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X
TLOZIJS,O,O,X,X,O,O,O,O,O,X,O,X,X,X,O,X,X,X
TLOZISJ,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
TLOZJIS,O,O,X,O,O,O,X,O,O,X,O,O,X,X,O,O,X,X
TLOZJSI,O,O,X,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X
TLOZSIJ,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
TLOZSJI,O,O,X,O,O,O,O,X,X,X,X,O,X,X,O,O,X,X
TJILSZO,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJILSOZ,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TJILZSO,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X
TJILZOS,O,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TJILOSZ,O,X,X,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X
TJILOZS,O,X,X,O,X,O,X,O,O,X,O,O,X,X,O,O,X,X
TJISLZO,X,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TJISLOZ,X,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TJISZLO,X,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TJISZOL,X,X,O,O,X,X,X,O,X,O,O,O,X,O,X,X,X,X
TJISOLZ,X,O,O,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X
TJISOZL,X,X,O,O,X,X,X,X,X,O,X,O,X,O,O,X,X,X
TJIZLSO,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X
TJIZLOS,O,X,O,O,X,X,X,O,O,X,O,O,X,X,X,X,X,X
TJIZSLO,O,O,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X
TJIZSOL,O,O,O,O,X,X,X,O,O,X,O,O,X,O,X,X,X,X
TJIZOLS,O,X,O,O,X,X,X,O,O,X,O,O,X,X,O,O,X,X
TJIZOSL,O,X,O,O,X,X,X,O,O,X,O,O,X,X,O,X,X,X
TJIOLSZ,O,X,X,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X
TJIOLZS,O,X,X,O,X,O,X,O,O,X,O,O,X,X,O,O,X,X
TJIOSLZ,X,O,O,O,X,O,X,O,X,O,X,X,X,X,O,O,X,X
TJIOSZL,X,X,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X,X
TJIOZLS,O,X,O,O,X,O,X,O,O,X,O,O,X,X,O,O,X,X
TJIOZSL,O,X,O,O,X,X,X,O,O,X,O,O,X,X,O,X,X,X
TJLISZO,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJLISOZ,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X
TJLIZSO,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJLIZOS,O,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X
TJLIOSZ,O,X,X,O,X,O,O,O,X,X,X,X,X,X,O,O,X,X
TJLIOZS,O,X,X,O,X,O,O,O,X,X,O,O,X,X,O,O,X,X
TJLSIZO,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJLSIOZ,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X
