sequence,v115@KhA8FeD8FeF8CeA8Je2EJvhFRgBcmB6nBTjBdsBXtB,v115@KhA8FeD8FeF8CeA8Je2EJvhFRgBUiB9oBTmB3nByxB,v115@KhA8FeD8FeF8CeA8Je2EJvhFRgBcmB6oBXnBdtBTsB,v115@KhA8FeD8FeF8CeA8JeT/IvhFigBcmB3iB9oBRsB2xB
ITZJSOL,O,X,O,O
ITZJOLS,O,O,O,O
ITZJOSL,O,O,X,O
ITZSLJO,O,X,O,O
ITZSLOJ,O,X,O,O
ITZSJLO,O,X,O,O
ITZSJOL,O,X,O,O
ITZSOLJ,O,X,O,O
ITZSOJL,O,X,O,O
ITZOLJS,O,O,O,O
ITZOLSJ,O,O,O,O
ITZOJLS,O,O,O,O
ITZOJSL,O,O,X,O
ITZOSLJ,O,X,X,O
ITZOSJL,O,O,X,O
ITOLJSZ,X,O,X,X
ITOLJZS,X,O,O,X
ITOLSJZ,X,O,X,X
ITOLSZJ,X,O,X,O
ITOLZJS,X,O,O,O
ITOLZSJ,X,O,O,O
ITOJLSZ,X,O,X,X
ITOJLZS,X,O,O,X
ITOJSLZ,X,O,X,X
ITOJSZL,X,O,X,O
ITOJZLS,X,O,O,O
ITOJZSL,X,O,X,O
ITOSLJZ,X,O,X,X
ITOSLZJ,X,O,X,O
ITOSJLZ,X,O,X,X
ITOSJZL,X,O,X,O
ITOSZLJ,X,X,X,O
ITOSZJL,X,O,X,O
ITOZLJS,X,O,O,O
ITOZLSJ,X,O,O,O
ITOZJLS,X,O,O,O
ITOZJSL,X,O,X,O
ITOZSLJ,X,X,X,O
ITOZSJL,X,O,X,O
ILTJSZO,X,X,O,X
ILTJSOZ,X,O,X,X
ILTJZSO,X,X,O,X
ILTJZOS,X,O,O,X
ILTJOSZ,X,O,X,X
ILTJOZS,X,O,O,X
ILTSJZO,X,X,O,X
ILTSJOZ,X,O,X,X
ILTSZJO,X,X,O,O
ILTSZOJ,X,X,O,O
ILTSOJZ,X,O,X,X
ILTSOZJ,X,O,X,O
ILTZJSO,X,X,O,O
ILTZJOS,X,O,O,O
ILTZSJO,X,X,O,O
ILTZSOJ,X,X,O,O
ILTZOJS,X,O,O,O
ILTZOSJ,X,O,O,O
ILTOJSZ,X,O,X,X
ILTOJZS,X,O,O,X
ILTOSJZ,X,O,X,X
ILTOSZJ,X,O,X,O
ILTOZJS,X,O,O,O
ILTOZSJ,X,O,O,O
ILJTSZO,X,X,O,X
ILJTSOZ,X,O,X,X
ILJTZSO,X,X,O,X
ILJTZOS,X,O,O,X
ILJTOSZ,X,O,X,X
ILJTOZS,X,O,O,X
ILJSTZO,X,X,O,X
ILJSTOZ,X,O,X,X
ILJSZTO,O,X,O,X
ILJSZOT,O,X,X,X
ILJSOTZ,X,O,X,X
ILJSOZT,O,O,X,X
ILJZTSO,O,X,O,X
ILJZTOS,O,O,O,X
ILJZSTO,O,X,O,X
ILJZSOT,O,X,X,X
ILJZOTS,X,O,O,X
ILJZOST,X,O,X,X
ILJOTSZ,X,O,X,X
ILJOTZS,X,O,O,X
ILJOSTZ,X,O,X,X
ILJOSZT,X,O,X,X
ILJOZTS,X,O,O,X
ILJOZST,X,O,X,X
ILSTJZO,X,X,O,X
ILSTJOZ,X,O,X,X
ILSTZJO,X,X,O,X
ILSTZOJ,X,X,O,X
ILSTOJZ,X,O,X,X
ILSTOZJ,X,O,X,X
ILSJTZO,X,X,O,X
ILSJTOZ,X,O,X,X
ILSJZTO,O,X,O,X
ILSJZOT,O,X,X,X
ILSJOTZ,X,O,X,X
ILSJOZT,O,O,X,X
ILSZTJO,O,X,O,X
ILSZTOJ,O,X,O,X
ILSZJTO,O,X,O,X
ILSZJOT,O,X,X,X
ILSZOTJ,O,X,X,X
ILSZOJT,O,X,X,X
ILSOTJZ,X,O,X,X
ILSOTZJ,X,O,X,X
ILSOJTZ,X,O,X,X
ILSOJZT,O,O,X,X
ILSOZTJ,O,O,X,X
ILSOZJT,O,O,X,X
ILZTJSO,O,X,O,O
ILZTJOS,O,O,O,O
ILZTSJO,O,X,O,O
ILZTSOJ,O,X,O,O
ILZTOJS,O,O,O,O
ILZTOSJ,O,O,O,O
ILZJTSO,O,X,O,O
ILZJTOS,O,O,O,O
ILZJSTO,O,X,O,X
ILZJSOT,O,X,X,X
ILZJOTS,X,O,O,O
ILZJOST,X,O,X,X
ILZSTJO,O,X,O,O
ILZSTOJ,O,X,O,O
ILZSJTO,O,X,O,X
ILZSJOT,O,X,X,X
ILZSOTJ,O,X,X,O
ILZSOJT,O,X,X,X
ILZOTJS,X,O,O,O
ILZOTSJ,X,O,O,O
ILZOJTS,X,O,O,O
ILZOJST,X,O,X,X
ILZOSTJ,X,O,X,O
ILZOSJT,X,O,X,X
ILOTJSZ,X,O,X,X
ILOTJZS,X,O,O,X
ILOTSJZ,X,O,X,X
ILOTSZJ,X,O,X,O
ILOTZJS,X,O,O,O
ILOTZSJ,X,O,O,O
ILOJTSZ,X,O,X,X
ILOJTZS,X,O,O,X
ILOJSTZ,X,O,X,X
ILOJSZT,X,O,X,X
ILOJZTS,X,O,O,X
ILOJZST,X,O,X,X
ILOSTJZ,X,O,X,X
ILOSTZJ,X,O,X,X
ILOSJTZ,X,O,X,X
ILOSJZT,X,O,X,X
ILOSZTJ,X,O,X,X
ILOSZJT,X,O,X,X
ILOZTJS,X,O,O,O
ILOZTSJ,X,O,O,O
ILOZJTS,X,O,O,O
ILOZJST,X,O,X,X
ILOZSTJ,X,O,X,O
ILOZSJT,X,O,X,X
IJTLSZO,O,X,O,X
IJTLSOZ,O,O,X,X
IJTLZSO,O,X,O,X
IJTLZOS,O,O,O,X
IJTLOSZ,X,O,X,X
IJTLOZS,X,O,O,X
IJTSLZO,O,X,O,X
IJTSLOZ,O,O,X,X
IJTSZLO,O,X,O,O
IJTSZOL,O,X,O,O
IJTSOLZ,O,O,X,X
IJTSOZL,O,O,X,O
IJTZLSO,O,X,O,O
IJTZLOS,O,O,O,O
IJTZSLO,O,X,O,O
IJTZSOL,O,X,O,O
IJTZOLS,O,O,O,O
IJTZOSL,O,O,X,O
IJTOLSZ,X,O,X,X
IJTOLZS,X,O,O,X
IJTOSLZ,X,O,X,X
IJTOSZL,X,O,X,O
IJTOZLS,X,O,O,O
IJTOZSL,X,O,X,O
IJLTSZO,X,X,O,X
IJLTSOZ,X,O,X,X
IJLTZSO,X,X,O,X
IJLTZOS,X,O,O,X
IJLTOSZ,X,O,X,X
IJLTOZS,X,O,O,X
IJLSTZO,X,X,O,X
IJLSTOZ,X,O,X,X
IJLSZTO,O,X,O,X
IJLSZOT,O,X,X,X
IJLSOTZ,X,O,X,X
IJLSOZT,O,O,X,X
IJLZTSO,O,X,O,X
IJLZTOS,O,O,O,X
IJLZSTO,O,X,O,X
IJLZSOT,O,X,X,X
IJLZOTS,X,O,O,X
IJLZOST,X,O,X,X
IJLOTSZ,X,O,X,X
IJLOTZS,X,O,O,X
IJLOSTZ,X,O,X,X
IJLOSZT,X,O,X,X
IJLOZTS,X,O,O,X
IJLOZST,X,O,X,X
IJSTLZO,O,X,O,X
IJSTLOZ,O,O,X,X
IJSTZLO,O,X,O,X
IJSTZOL,O,X,O,X
IJSTOLZ,O,O,X,X
IJSTOZL,O,O,X,X
IJSLTZO,O,X,O,X
IJSLTOZ,O,O,X,X
IJSLZTO,O,X,O,X
IJSLZOT,O,X,X,X
IJSLOTZ,O,O,X,X
IJSLOZT,O,O,X,X
IJSZTLO,O,X,O,X
IJSZTOL,O,X,O,X
IJSZLTO,O,X,O,X
IJSZLOT,O,X,X,X
IJSZOTL,O,X,O,X
IJSZOLT,O,X,X,X
IJSOTLZ,O,O,X,X
IJSOTZL,O,O,X,X
IJSOLTZ,O,O,X,X
IJSOLZT,O,O,X,X
IJSOZTL,O,O,X,X
IJSOZLT,O,O,X,X
IJZTLSO,O,X,O,O
IJZTLOS,O,O,O,O
IJZTSLO,O,X,O,O
IJZTSOL,O,X,O,O
IJZTOLS,O,O,O,O
IJZTOSL,O,O,X,O
IJZLTSO,O,X,O,O
IJZLTOS,O,O,O,O
IJZLSTO,O,X,O,X
IJZLSOT,O,X,X,X
IJZLOTS,X,O,O,O
IJZLOST,X,O,X,X
IJZSTLO,O,X,O,X
IJZSTOL,O,X,O,X
IJZSLTO,O,X,O,X
IJZSLOT,O,X,X,X
IJZSOTL,O,X,O,X
IJZSOLT,O,X,X,X
IJZOTLS,O,O,O,O
IJZOTSL,O,O,X,O
IJZOLTS,X,O,O,O
IJZOLST,X,O,X,X
IJZOSTL,O,O,O,X
IJZOSLT,O,O,X,X
IJOTLSZ,X,O,X,X
IJOTLZS,X,O,O,X
IJOTSLZ,X,O,X,X
IJOTSZL,X,O,X,O
IJOTZLS,X,O,O,O
IJOTZSL,X,O,X,O
IJOLTSZ,X,O,X,X
IJOLTZS,X,O,O,X
IJOLSTZ,X,O,X,X
IJOLSZT,X,O,X,X
IJOLZTS,X,O,O,X
IJOLZST,X,O,X,X
IJOSTLZ,X,O,X,X
IJOSTZL,O,O,X,X
IJOSLTZ,X,O,X,X
IJOSLZT,O,O,X,X
IJOSZTL,O,O,X,X
IJOSZLT,O,O,X,X
IJOZTLS,O,O,O,O
IJOZTSL,O,O,X,O
IJOZLTS,X,O,O,O
IJOZLST,X,O,X,X
IJOZSTL,O,O,O,X
IJOZSLT,O,O,X,X
ISTLJZO,O,X,O,X
ISTLJOZ,O,O,X,X
ISTLZJO,O,X,O,O
ISTLZOJ,O,X,O,O
ISTLOJZ,O,O,X,X
ISTLOZJ,O,O,X,O
ISTJLZO,O,X,O,X
ISTJLOZ,O,O,X,X
ISTJZLO,O,X,O,O
ISTJZOL,O,X,O,O
ISTJOLZ,O,O,X,X
ISTJOZL,O,O,X,O
ISTZLJO,O,X,O,O
ISTZLOJ,O,X,O,O
ISTZJLO,O,X,O,O
ISTZJOL,O,X,O,O
ISTZOLJ,O,X,O,O
ISTZOJL,O,X,O,O
ISTOLJZ,O,O,X,X
ISTOLZJ,O,O,X,O
ISTOJLZ,O,O,X,X
ISTOJZL,O,O,X,O
ISTOZLJ,O,X,X,O
ISTOZJL,O,O,X,O
ISLTJZO,O,X,O,X
ISLTJOZ,O,O,X,X
ISLTZJO,O,X,O,X
ISLTZOJ,O,X,O,X
ISLTOJZ,O,O,X,X
ISLTOZJ,O,O,X,X
ISLJTZO,O,X,O,X
ISLJTOZ,O,O,X,X
ISLJZTO,O,X,O,X
ISLJZOT,O,X,X,X
ISLJOTZ,O,O,X,X
ISLJOZT,O,O,X,X
ISLZTJO,O,X,O,X
ISLZTOJ,O,X,O,X
ISLZJTO,O,X,O,X
ISLZJOT,O,X,X,X
ISLZOTJ,O,X,X,X
ISLZOJT,O,X,X,X
ISLOTJZ,O,O,X,X
ISLOTZJ,O,O,X,X
ISLOJTZ,O,O,X,X
ISLOJZT,O,O,X,X
ISLOZTJ,O,O,X,X
ISLOZJT,O,O,X,X
ISJTLZO,O,X,O,X
ISJTLOZ,O,O,X,X
ISJTZLO,O,X,O,X
ISJTZOL,O,X,O,X
ISJTOLZ,O,O,X,X
ISJTOZL,O,O,X,X
ISJLTZO,O,X,O,X
ISJLTOZ,O,O,X,X
ISJLZTO,O,X,O,X
ISJLZOT,O,X,X,X
ISJLOTZ,O,O,X,X
ISJLOZT,O,O,X,X
ISJZTLO,O,X,O,X
ISJZTOL,O,X,O,X
ISJZLTO,O,X,O,X
ISJZLOT,O,X,X,X
ISJZOTL,O,X,O,X
ISJZOLT,O,X,X,X
ISJOTLZ,O,O,X,X
ISJOTZL,O,O,X,X
ISJOLTZ,O,O,X,X
ISJOLZT,O,O,X,X
ISJOZTL,O,O,X,X
ISJOZLT,O,O,X,X
ISZTLJO,O,X,O,O
ISZTLOJ,O,X,O,O
ISZTJLO,O,X,O,O
ISZTJOL,O,X,O,O
ISZTOLJ,O,X,O,O
ISZTOJL,O,X,O,O
ISZLTJO,O,X,O,O
ISZLTOJ,O,X,O,O
ISZLJTO,O,X,O,X
ISZLJOT,O,X,X,X
ISZLOTJ,O,X,X,O
ISZLOJT,O,X,X,X
ISZJTLO,O,X,O,X
ISZJTOL,O,X,O,X
ISZJLTO,O,X,O,X
ISZJLOT,O,X,X,X
ISZJOTL,O,X,O,X
ISZJOLT,O,X,X,X
ISZOTLJ,O,X,O,O
ISZOTJL,O,X,O,O
ISZOLTJ,O,X,X,O
ISZOLJT,O,X,X,X
ISZOJTL,O,X,O,X
ISZOJLT,O,X,X,X
ISOTLJZ,O,O,X,X
ISOTLZJ,O,O,X,O
ISOTJLZ,O,O,X,X
ISOTJZL,O,O,X,O
ISOTZLJ,O,X,X,O
ISOTZJL,O,O,X,O
ISOLTJZ,O,O,X,X
ISOLTZJ,O,O,X,X
ISOLJTZ,O,O,X,X
ISOLJZT,O,O,X,X
ISOLZTJ,O,O,X,X
ISOLZJT,O,O,X,X
ISOJTLZ,O,O,X,X
ISOJTZL,O,O,X,X
ISOJLTZ,O,O,X,X
ISOJLZT,O,O,X,X
ISOJZTL,O,O,X,X
ISOJZLT,O,O,X,X
ISOZTLJ,O,X,X,O
ISOZTJL,O,O,X,O
ISOZLTJ,O,O,X,O
ISOZLJT,O,O,X,X
ISOZJTL,O,O,X,X
ISOZJLT,O,O,X,X
IZTLJSO,O,X,O,O
IZTLJOS,O,O,O,O
IZTLSJO,O,X,O,O
IZTLSOJ,O,X,O,O
IZTLOJS,O,O,O,O
IZTLOSJ,O,O,O,O
IZTJLSO,O,X,O,O
IZTJLOS,O,O,O,O
IZTJSLO,O,X,O,O
IZTJSOL,O,X,O,O
IZTJOLS,O,O,O,O
IZTJOSL,O,O,X,O
IZTSLJO,O,X,O,O
IZTSLOJ,O,X,O,O
IZTSJLO,O,X,O,O
IZTSJOL,O,X,O,O
IZTSOLJ,O,X,O,O
IZTSOJL,O,X,O,O
IZTOLJS,O,O,O,O
IZTOLSJ,O,O,O,O
IZTOJLS,O,O,O,O
IZTOJSL,O,O,X,O
IZTOSLJ,O,X,X,O
IZTOSJL,O,O,X,O
IZLTJSO,O,X,O,O
IZLTJOS,O,O,O,O
IZLTSJO,O,X,O,O
IZLTSOJ,O,X,O,O
IZLTOJS,O,O,O,O
IZLTOSJ,O,O,O,O
IZLJTSO,O,X,O,O
IZLJTOS,O,O,O,O
IZLJSTO,O,X,O,X
IZLJSOT,O,X,X,X
IZLJOTS,X,O,O,O
IZLJOST,X,O,X,X
IZLSTJO,O,X,O,O
IZLSTOJ,O,X,O,O
IZLSJTO,O,X,O,X
IZLSJOT,O,X,X,X
IZLSOTJ,O,X,X,O
IZLSOJT,O,X,X,X
IZLOTJS,X,O,O,O
IZLOTSJ,X,O,O,O
IZLOJTS,X,O,O,O
IZLOJST,X,O,X,X
IZLOSTJ,X,O,X,O
IZLOSJT,X,O,X,X
IZJTLSO,O,X,O,O
IZJTLOS,O,O,O,O
IZJTSLO,O,X,O,O
IZJTSOL,O,X,O,O
IZJTOLS,O,O,O,O
IZJTOSL,O,O,X,O
IZJLTSO,O,X,O,O
IZJLTOS,O,O,O,O
IZJLSTO,O,X,O,X
IZJLSOT,O,X,X,X
IZJLOTS,X,O,O,O
IZJLOST,X,O,X,X
IZJSTLO,O,X,O,X
IZJSTOL,O,X,O,X
IZJSLTO,O,X,O,X
IZJSLOT,O,X,X,X
IZJSOTL,O,X,O,X
IZJSOLT,O,X,X,X
IZJOTLS,O,O,O,O
IZJOTSL,O,O,X,O
IZJOLTS,X,O,O,O
IZJOLST,X,O,X,X
IZJOSTL,O,O,O,X
IZJOSLT,O,O,X,X
IZSTLJO,O,X,O,O
IZSTLOJ,O,X,O,O
IZSTJLO,O,X,O,O
IZSTJOL,O,X,O,O
IZSTOLJ,O,X,O,O
IZSTOJL,O,X,O,O
IZSLTJO,O,X,O,O
IZSLTOJ,O,X,O,O
IZSLJTO,O,X,O,X
IZSLJOT,O,X,X,X
IZSLOTJ,O,X,X,O
IZSLOJT,O,X,X,X
IZSJTLO,O,X,O,X
IZSJTOL,O,X,O,X
IZSJLTO,O,X,O,X
IZSJLOT,O,X,X,X
IZSJOTL,O,X,O,X
IZSJOLT,O,X,X,X
IZSOTLJ,O,X,O,O
IZSOTJL,O,X,O,O
IZSOLTJ,O,X,X,O
IZSOLJT,O,X,X,X
IZSOJTL,O,X,O,X
IZSOJLT,O,X,X,X
IZOTLJS,O,O,O,O
IZOTLSJ,O,O,O,O
IZOTJLS,O,O,O,O
IZOTJSL,O,O,X,O
IZOTSLJ,O,X,X,O
IZOTSJL,O,O,X,O
IZOLTJS,X,O,O,O
IZOLTSJ,X,O,O,O
IZOLJTS,X,O,O,O
IZOLJST,X,O,X,X
IZOLSTJ,X,O,X,O
IZOLSJT,X,O,X,X
IZOJTLS,O,O,O,O
IZOJTSL,O,O,X,O
IZOJLTS,X,O,O,O
IZOJLST,X,O,X,X
IZOJSTL,O,O,O,X
IZOJSLT,O,O,X,X
IZOSTLJ,O,X,O,O
IZOSTJL,O,O,O,O
IZOSLTJ,O,O,X,O
IZOSLJT,O,O,X,X
IZOSJTL,O,O,O,X
IZOSJLT,O,O,X,X
IOTLJSZ,X,O,X,X
IOTLJZS,X,O,O,X
IOTLSJZ,X,O,X,X
IOTLSZJ,X,O,X,O
IOTLZJS,X,O,O,O
IOTLZSJ,X,O,O,O
IOTJLSZ,X,O,X,X
IOTJLZS,X,O,O,X
IOTJSLZ,X,O,X,X
IOTJSZL,X,O,X,O
IOTJZLS,X,O,O,O
IOTJZSL,X,O,X,O
IOTSLJZ,X,O,X,X
IOTSLZJ,X,O,X,O
IOTSJLZ,X,O,X,X
IOTSJZL,X,O,X,O
IOTSZLJ,X,X,X,O
IOTSZJL,X,O,X,O
IOTZLJS,X,O,O,O
IOTZLSJ,X,O,O,O
IOTZJLS,X,O,O,O
IOTZJSL,X,O,X,O
IOTZSLJ,X,X,X,O
IOTZSJL,X,O,X,O
IOLTJSZ,X,O,X,X
IOLTJZS,X,O,O,X
IOLTSJZ,X,O,X,X
IOLTSZJ,X,O,X,O
IOLTZJS,X,O,O,O
IOLTZSJ,X,O,O,O
IOLJTSZ,X,O,X,X
IOLJTZS,X,O,O,X
IOLJSTZ,X,O,X,X
IOLJSZT,X,O,X,X
IOLJZTS,X,O,O,X
IOLJZST,X,O,X,X
IOLSTJZ,X,O,X,X
IOLSTZJ,X,O,X,X
IOLSJTZ,X,O,X,X
IOLSJZT,X,O,X,X
IOLSZTJ,X,O,X,X
IOLSZJT,X,O,X,X
IOLZTJS,X,O,O,O
IOLZTSJ,X,O,O,O
IOLZJTS,X,O,O,O
IOLZJST,X,O,X,X
IOLZSTJ,X,O,X,O
IOLZSJT,X,O,X,X
IOJTLSZ,X,O,X,X
IOJTLZS,X,O,O,X
IOJTSLZ,X,O,X,X
IOJTSZL,X,O,X,O
IOJTZLS,X,O,O,O
IOJTZSL,X,O,X,O
IOJLTSZ,X,O,X,X
IOJLTZS,X,O,O,X
IOJLSTZ,X,O,X,X
IOJLSZT,X,O,X,X
IOJLZTS,X,O,O,X
IOJLZST,X,O,X,X
IOJSTLZ,X,O,X,X
IOJSTZL,O,O,X,X
IOJSLTZ,X,O,X,X
IOJSLZT,O,O,X,X
IOJSZTL,O,O,X,X
IOJSZLT,O,O,X,X
IOJZTLS,O,O,O,O
IOJZTSL,O,O,X,O
IOJZLTS,X,O,O,O
IOJZLST,X,O,X,X
IOJZSTL,O,O,O,X
IOJZSLT,O,O,X,X
IOSTLJZ,X,O,X,X
IOSTLZJ,X,O,X,O
IOSTJLZ,X,O,X,X
IOSTJZL,O,O,X,O
IOSTZLJ,O,X,X,O
IOSTZJL,O,O,X,O
IOSLTJZ,X,O,X,X
IOSLTZJ,X,O,X,X
IOSLJTZ,X,O,X,X
IOSLJZT,O,O,X,X
IOSLZTJ,O,O,X,X
IOSLZJT,O,O,X,X
IOSJTLZ,X,O,X,X
IOSJTZL,O,O,X,X
IOSJLTZ,X,O,X,X
IOSJLZT,O,O,X,X
IOSJZTL,O,O,X,X
IOSJZLT,O,O,X,X
IOSZTLJ,O,X,X,O
IOSZTJL,O,O,X,O
IOSZLTJ,O,O,X,O
IOSZLJT,O,O,X,X
IOSZJTL,O,O,X,X
IOSZJLT,O,O,X,X
IOZTLJS,O,O,O,O
IOZTLSJ,O,O,O,O
IOZTJLS,O,O,O,O
IOZTJSL,O,O,X,O
IOZTSLJ,O,X,X,O
IOZTSJL,O,O,X,O
IOZLTJS,X,O,O,O
IOZLTSJ,X,O,O,O
IOZLJTS,X,O,O,O
IOZLJST,X,O,X,X
IOZLSTJ,X,O,X,O
IOZLSJT,X,O,X,X
IOZJTLS,O,O,O,O
IOZJTSL,O,O,X,O
IOZJLTS,X,O,O,O
IOZJLST,X,O,X,X
IOZJSTL,O,O,O,X
IOZJSLT,O,O,X,X
IOZSTLJ,O,X,O,O
IOZSTJL,O,O,O,O
IOZSLTJ,O,O,X,O
IOZSLJT,O,O,X,X
IOZSJTL,O,O,O,X
IOZSJLT,O,O,X,X
LTIJSZO,O,X,O,X
LTIJSOZ,O,O,X,X
LTIJZSO,O,X,O,X
LTIJZOS,O,O,O,X
LTIJOSZ,X,O,X,X
LTIJOZS,X,O,O,X
LTISJZO,O,X,O,X
LTISJOZ,O,O,X,X
LTISZJO,O,X,O,O
LTISZOJ,O,X,O,O
LTISOJZ,O,O,X,X
LTISOZJ,O,O,X,O
LTIZJSO,O,X,O,O
LTIZJOS,O,O,O,O
LTIZSJO,O,X,O,O
LTIZSOJ,O,X,O,O
LTIZOJS,O,O,O,O
LTIZOSJ,O,O,O,O
LTIOJSZ,X,O,X,X
LTIOJZS,X,O,O,X
LTIOSJZ,X,O,X,X
LTIOSZJ,X,O,X,O
LTIOZJS,X,O,O,O
LTIOZSJ,X,O,O,O
LTJISZO,O,X,O,X
LTJISOZ,O,O,X,X
LTJIZSO,O,X,O,X
LTJIZOS,O,O,O,X
LTJIOSZ,X,O,X,X
LTJIOZS,X,O,O,X
LTJSIZO,O,X,O,X
LTJSIOZ,O,O,X,X
LTJSZIO,O,X,O,X
LTJSZOI,O,X,O,O
LTJSOIZ,O,O,X,X
LTJSOZI,O,O,O,O
LTJZISO,O,X,O,O
LTJZIOS,O,O,O,O
LTJZSIO,O,X,O,X
LTJZSOI,O,X,O,O
LTJZOIS,O,O,O,O
LTJZOSI,O,O,O,O
LTJOISZ,X,O,X,X
LTJOIZS,X,O,O,X
LTJOSIZ,O,O,X,X
LTJOSZI,O,O,O,O
LTJOZIS,O,O,O,O
LTJOZSI,O,O,O,O
LTSIJZO,O,X,O,X
LTSIJOZ,O,O,X,X
LTSIZJO,O,X,O,X
LTSIZOJ,O,X,O,O
LTSIOJZ,O,O,X,X
LTSIOZJ,O,O,X,O
LTSJIZO,O,X,O,X
LTSJIOZ,O,O,X,X
LTSJZIO,O,X,O,X
LTSJZOI,O,X,O,O
LTSJOIZ,O,O,X,X
LTSJOZI,O,O,O,O
LTSZIJO,O,X,O,O
LTSZIOJ,O,X,O,O
LTSZJIO,O,X,O,X
LTSZJOI,O,X,O,O
LTSZOIJ,O,X,O,O
LTSZOJI,O,X,O,O
LTSOIJZ,O,O,X,X
LTSOIZJ,O,O,X,O
LTSOJIZ,O,O,X,X
LTSOJZI,O,O,O,O
LTSOZIJ,O,O,O,O
LTSOZJI,O,O,O,O
LTZIJSO,O,X,O,O
LTZIJOS,O,O,O,O
LTZISJO,O,X,O,O
LTZISOJ,O,X,O,O
LTZIOJS,O,O,O,O
LTZIOSJ,O,O,O,O
LTZJISO,O,X,O,O
LTZJIOS,O,O,O,O
LTZJSIO,O,X,O,X
LTZJSOI,O,X,O,O
LTZJOIS,O,O,O,O
LTZJOSI,O,O,O,O
LTZSIJO,O,X,O,O
LTZSIOJ,O,X,O,O
LTZSJIO,O,X,O,X
LTZSJOI,O,X,O,O
LTZSOIJ,O,X,O,O
LTZSOJI,O,X,O,O
LTZOIJS,O,O,O,O
LTZOISJ,O,O,O,O
LTZOJIS,O,O,O,O
LTZOJSI,O,O,O,O
LTZOSIJ,O,O,O,O
LTZOSJI,O,O,O,O
LTOIJSZ,X,O,X,X
LTOIJZS,X,O,O,X
LTOISJZ,X,O,X,X
LTOISZJ,X,O,X,O
LTOIZJS,X,O,O,O
LTOIZSJ,X,O,O,O
LTOJISZ,X,O,X,X
LTOJIZS,X,O,O,X
LTOJSIZ,O,O,X,X
LTOJSZI,O,O,O,O
LTOJZIS,O,O,O,O
LTOJZSI,O,O,O,O
LTOSIJZ,O,O,X,X
LTOSIZJ,O,O,X,O
LTOSJIZ,O,O,X,X
LTOSJZI,O,O,O,O
LTOSZIJ,O,O,O,O
LTOSZJI,O,O,O,O
LTOZIJS,O,O,O,O
LTOZISJ,O,O,O,O
LTOZJIS,O,O,O,O
LTOZJSI,O,O,O,O
LTOZSIJ,O,O,O,O
LTOZSJI,O,O,O,O
LITJSZO,X,X,O,X
LITJSOZ,X,O,X,X
LITJZSO,X,X,O,X
LITJZOS,X,O,O,X
LITJOSZ,X,O,X,X
LITJOZS,X,O,O,X
LITSJZO,X,X,O,X
LITSJOZ,X,O,X,X
LITSZJO,X,X,O,O
LITSZOJ,X,X,O,O
LITSOJZ,X,O,X,X
LITSOZJ,X,O,X,O
LITZJSO,X,X,O,O
LITZJOS,X,O,O,O
LITZSJO,X,X,O,O
LITZSOJ,X,X,O,O
LITZOJS,X,O,O,O
LITZOSJ,X,O,O,O
LITOJSZ,X,O,X,X
LITOJZS,X,O,O,X
LITOSJZ,X,O,X,X
LITOSZJ,X,O,X,O
LITOZJS,X,O,O,O
LITOZSJ,X,O,O,O
LIJTSZO,X,X,O,X
LIJTSOZ,X,O,X,X
LIJTZSO,X,X,O,X
LIJTZOS,X,O,O,X
LIJTOSZ,X,O,X,X
LIJTOZS,X,O,O,X
LIJSTZO,X,X,O,X
LIJSTOZ,X,O,X,X
LIJSZTO,O,X,O,X
LIJSZOT,O,X,X,X
LIJSOTZ,X,O,X,X
LIJSOZT,O,O,X,X
LIJZTSO,O,X,O,X
LIJZTOS,O,O,O,X
LIJZSTO,O,X,O,X
LIJZSOT,O,X,X,X
LIJZOTS,X,O,O,X
LIJZOST,X,O,X,X
LIJOTSZ,X,O,X,X
LIJOTZS,X,O,O,X
LIJOSTZ,X,O,X,X
LIJOSZT,X,O,X,X
LIJOZTS,X,O,O,X
LIJOZST,X,O,X,X
LISTJZO,X,X,O,X
LISTJOZ,X,O,X,X
LISTZJO,X,X,O,X
LISTZOJ,X,X,O,X
LISTOJZ,X,O,X,X
LISTOZJ,X,O,X,X
LISJTZO,X,X,O,X
LISJTOZ,X,O,X,X
LISJZTO,O,X,O,X
LISJZOT,O,X,X,X
LISJOTZ,X,O,X,X
LISJOZT,O,O,X,X
LISZTJO,O,X,O,X
LISZTOJ,O,X,O,X
LISZJTO,O,X,O,X
LISZJOT,O,X,X,X
LISZOTJ,O,X,X,X
LISZOJT,O,X,X,X
LISOTJZ,X,O,X,X
LISOTZJ,X,O,X,X
LISOJTZ,X,O,X,X
LISOJZT,O,O,X,X
LISOZTJ,O,O,X,X
LISOZJT,O,O,X,X
LIZTJSO,O,X,O,O
LIZTJOS,O,O,O,O
LIZTSJO,O,X,O,O
LIZTSOJ,O,X,O,O
LIZTOJS,O,O,O,O
LIZTOSJ,O,O,O,O
LIZJTSO,O,X,O,O
LIZJTOS,O,O,O,O
LIZJSTO,O,X,O,X
LIZJSOT,O,X,X,X
LIZJOTS,X,O,O,O
LIZJOST,X,O,X,X
LIZSTJO,O,X,O,O
LIZSTOJ,O,X,O,O
LIZSJTO,O,X,O,X
LIZSJOT,O,X,X,X
LIZSOTJ,O,X,X,O
LIZSOJT,O,X,X,X
LIZOTJS,X,O,O,O
LIZOTSJ,X,O,O,O
