sequence,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeCAJvhFmiB5oB?XlBlmBcsBTrB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeuEJvhF8mBziB?5oBilBXsBFrB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeuEJvhFclBihB?ziB5oBFsB3rB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeGAJvhF/mBFiB?8nB5oBzkBywB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeuEJvhFXiB8nB?5oBilBzrBFrB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeCAJvhFziB5oB?XlBFsBOrB8rB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeCAJvhFThBOnB?8nB5oBXlB1wB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeuEJvhFclBThB?5oBlnB3rBisB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeWFJvhFxiBlmB?csB6tBXlBTrB
TIOJLZS,X,X,O,X,O,X,X,X,X
TIOJSLZ,X,O,X,X,X,O,X,X,X
TIOJSZL,X,X,X,O,X,O,X,X,X
TIOJZLS,X,X,O,O,O,X,X,X,X
TIOJZSL,X,X,O,O,X,X,X,X,X
TIOSLJZ,X,O,X,X,X,O,X,X,X
TIOSLZJ,X,O,O,X,X,O,X,O,X
TIOSJLZ,X,O,X,X,X,O,X,X,X
TIOSJZL,X,X,X,O,X,O,X,O,X
TIOSZLJ,X,O,O,O,X,O,X,O,X
TIOSZJL,X,X,O,O,X,O,X,O,X
TIOZLJS,X,X,O,O,O,X,X,X,X
TIOZLSJ,X,X,O,O,O,X,X,X,X
TIOZJLS,X,X,O,O,O,X,X,X,X
TIOZJSL,X,X,O,O,X,X,X,O,X
TIOZSLJ,X,X,O,O,O,O,X,O,X
TIOZSJL,X,X,O,O,X,O,X,O,X
TLIJSZO,X,O,X,X,X,X,X,X,X
TLIJSOZ,X,O,X,X,X,X,X,X,X
TLIJZSO,X,X,O,X,X,X,X,X,O
TLIJZOS,X,X,O,X,O,X,X,X,O
TLIJOSZ,X,O,X,X,X,X,X,X,X
TLIJOZS,X,X,O,X,O,X,X,X,X
TLISJZO,X,O,X,X,X,O,X,X,X
TLISJOZ,X,O,X,X,X,O,X,X,X
TLISZJO,X,O,O,X,X,O,X,O,X
TLISZOJ,X,O,O,X,X,O,X,O,X
TLISOJZ,X,O,X,X,X,O,X,X,X
TLISOZJ,X,O,O,X,X,O,X,O,X
TLIZJSO,X,X,O,X,X,X,X,O,O
TLIZJOS,X,X,O,X,O,X,X,X,O
TLIZSJO,X,X,O,X,X,X,X,O,O
TLIZSOJ,X,X,O,X,X,X,X,O,X
TLIZOJS,X,X,O,X,O,X,X,X,O
TLIZOSJ,X,X,O,X,O,X,X,X,X
TLIOJSZ,X,O,X,X,X,X,X,X,X
TLIOJZS,X,X,O,X,O,X,X,X,X
TLIOSJZ,X,O,X,X,X,O,X,X,X
TLIOSZJ,X,O,O,X,X,O,X,X,X
TLIOZJS,X,X,O,X,O,X,X,X,X
TLIOZSJ,X,X,O,X,O,X,X,X,X
TLJISZO,X,O,X,X,X,X,X,X,X
TLJISOZ,X,O,X,X,X,X,X,X,X
TLJIZSO,X,X,O,X,X,X,X,X,O
TLJIZOS,X,X,O,X,O,X,X,X,O
TLJIOSZ,X,O,X,X,X,X,X,X,X
TLJIOZS,X,X,O,X,O,X,X,X,X
TLJSIZO,X,O,X,X,X,X,X,X,X
TLJSIOZ,X,O,X,X,X,X,X,X,X
TLJSZIO,X,O,X,X,X,X,X,X,X
TLJSZOI,X,O,X,X,X,X,X,X,X
TLJSOIZ,X,O,X,X,X,X,X,X,X
TLJSOZI,X,O,X,X,X,X,X,X,X
TLJZISO,X,X,O,X,X,X,X,X,O
TLJZIOS,X,X,O,X,O,X,X,X,O
TLJZSIO,X,X,O,X,X,X,X,X,O
TLJZSOI,X,X,O,X,X,X,X,X,O
TLJZOIS,X,X,O,X,O,X,X,X,O
TLJZOSI,X,X,O,X,O,X,X,X,O
TLJOISZ,X,O,X,X,X,X,X,X,X
TLJOIZS,X,X,O,X,O,X,X,X,X
TLJOSIZ,X,O,X,X,X,X,X,X,X
TLJOSZI,X,O,X,X,X,X,X,X,X
TLJOZIS,X,X,O,X,O,X,X,X,X
TLJOZSI,X,X,O,X,O,X,X,X,X
TLSIJZO,X,O,X,X,X,O,X,X,X
TLSIJOZ,X,O,X,X,X,O,X,X,X
TLSIZJO,X,O,O,X,X,O,X,O,X
TLSIZOJ,X,O,O,X,X,O,X,O,X
TLSIOJZ,X,O,X,X,X,O,X,X,X
TLSIOZJ,X,O,O,X,X,O,X,O,X
TLSJIZO,X,O,X,X,X,O,X,X,X
TLSJIOZ,X,O,X,X,X,O,X,X,X
TLSJZIO,X,O,X,X,X,X,X,X,X
TLSJZOI,X,O,X,X,X,X,X,X,X
TLSJOIZ,X,O,X,X,X,O,X,X,X
TLSJOZI,X,O,X,X,X,X,X,X,X
TLSZIJO,X,O,O,X,X,O,X,O,X
TLSZIOJ,X,O,O,X,X,O,X,O,X
TLSZJIO,X,O,O,X,X,X,X,O,X
TLSZJOI,X,O,O,X,X,X,X,O,X
TLSZOIJ,X,O,O,X,X,O,X,O,X
TLSZOJI,X,O,O,X,X,X,X,O,X
TLSOIJZ,X,O,X,X,X,O,X,X,X
TLSOIZJ,X,O,O,X,X,O,X,O,X
TLSOJIZ,X,O,X,X,X,O,X,X,X
TLSOJZI,X,O,X,X,X,X,X,X,X
TLSOZIJ,X,O,O,X,X,O,X,O,X
TLSOZJI,X,O,O,X,X,X,X,O,X
TLZIJSO,X,X,O,X,X,X,X,O,O
TLZIJOS,X,X,O,X,O,X,X,X,O
TLZISJO,X,X,O,X,X,X,X,O,O
TLZISOJ,X,X,O,X,X,X,X,O,X
TLZIOJS,X,X,O,X,O,X,X,X,O
TLZIOSJ,X,X,O,X,O,X,X,X,X
TLZJISO,X,X,O,X,X,X,X,O,O
