sequence,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeCAJvhFmiB5oB?XlBlmBcsBTrB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeuEJvhF8mBziB?5oBilBXsBFrB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeuEJvhFclBihB?ziB5oBFsB3rB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeGAJvhF/mBFiB?8nB5oBzkBywB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeuEJvhFXiB8nB?5oBilBzrBFrB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeCAJvhFziB5oB?XlBFsBOrB8rB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeCAJvhFThBOnB?8nB5oBXlB1wB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeuEJvhFclBThB?5oBlnB3rBisB,v115@9gA8IeA8IeA8BeB8CeA8AeD8CeB8KeWFJvhFxiBlmB?csB6tBXlBTrB
TSOILJZ,X,O,X,X,X,O,X,X,X
TSOILZJ,X,O,O,X,X,O,X,O,X
TSOIJLZ,X,O,X,X,X,O,X,X,X
TSOIJZL,X,X,X,O,X,O,X,O,X
TSOIZLJ,X,O,O,O,X,O,X,O,X
TSOIZJL,X,X,O,O,X,O,X,O,X
TSOLIJZ,X,O,X,X,X,O,X,X,X
TSOLIZJ,X,O,O,X,X,O,X,O,X
TSOLJIZ,X,O,X,X,X,O,X,X,X
TSOLJZI,X,O,X,X,X,X,X,X,X
TSOLZIJ,X,O,O,X,X,O,X,O,X
TSOLZJI,X,O,O,X,X,X,X,O,X
TSOJILZ,X,O,X,X,X,O,X,X,X
TSOJIZL,X,X,X,O,X,O,X,O,X
TSOJLIZ,X,O,X,X,X,O,X,X,X
TSOJLZI,X,O,X,X,X,X,X,X,X
TSOJZIL,X,X,X,O,X,X,X,O,X
TSOJZLI,X,X,X,O,X,X,X,O,X
TSOZILJ,X,O,O,O,X,O,X,O,X
TSOZIJL,X,X,O,O,X,O,X,O,X
TSOZLIJ,X,O,O,O,X,O,X,O,X
TSOZLJI,X,O,O,O,X,X,X,O,X
TSOZJIL,X,X,O,O,X,X,X,O,X
TSOZJLI,X,X,O,O,X,X,X,O,X
TZILJSO,O,X,O,O,X,X,O,O,O
TZILJOS,X,X,O,X,O,X,O,X,O
TZILSJO,O,X,O,O,X,X,O,O,O
TZILSOJ,O,X,O,O,X,X,O,O,X
TZILOJS,X,X,O,O,O,X,O,X,O
TZILOSJ,X,X,O,O,O,X,O,X,X
TZIJLSO,O,X,O,O,X,X,O,O,O
TZIJLOS,X,X,O,X,O,X,O,X,O
TZIJSLO,O,X,O,O,X,X,O,O,X
TZIJSOL,O,X,O,O,X,X,O,O,X
TZIJOLS,X,X,O,X,O,X,O,X,X
TZIJOSL,O,X,O,X,X,X,O,O,X
TZISLJO,O,X,O,O,X,O,O,O,X
TZISLOJ,O,X,O,O,X,O,O,O,X
TZISJLO,O,X,O,O,X,O,O,O,X
TZISJOL,O,X,O,O,X,O,O,O,X
TZISOLJ,O,X,O,O,X,O,O,O,X
TZISOJL,O,X,O,O,X,O,O,O,X
TZIOLJS,X,X,O,O,O,X,O,X,X
TZIOLSJ,X,X,O,O,O,X,O,X,X
TZIOJLS,X,X,O,O,O,X,O,X,X
TZIOJSL,O,X,O,O,X,X,O,O,X
TZIOSLJ,O,X,O,O,O,O,O,O,X
TZIOSJL,O,X,O,O,X,O,O,O,X
TZLIJSO,O,X,O,O,X,X,O,O,O
TZLIJOS,X,X,O,X,O,X,O,X,O
TZLISJO,O,X,O,O,X,X,O,O,O
TZLISOJ,O,X,O,O,X,X,O,O,X
TZLIOJS,X,X,O,O,O,X,O,X,O
TZLIOSJ,X,X,O,O,O,X,O,X,X
TZLJISO,O,X,O,O,X,X,O,O,O
TZLJIOS,X,X,O,X,O,X,O,X,O
TZLJSIO,O,X,O,O,X,X,O,O,O
TZLJSOI,O,X,O,O,X,X,O,O,O
TZLJOIS,X,X,O,X,O,X,O,X,O
TZLJOSI,X,X,O,X,O,X,O,X,O
TZLSIJO,O,X,O,O,X,X,O,O,O
TZLSIOJ,O,X,O,O,X,X,O,O,X
TZLSJIO,O,X,O,O,X,X,O,O,O
TZLSJOI,O,X,O,O,X,X,O,O,O
TZLSOIJ,O,X,O,O,X,X,O,O,X
TZLSOJI,O,X,O,O,X,X,O,O,X
TZLOIJS,X,X,O,O,O,X,O,X,O
TZLOISJ,X,X,O,O,O,X,O,X,X
TZLOJIS,X,X,O,O,O,X,O,X,O
TZLOJSI,X,X,O,O,O,X,O,X,O
TZLOSIJ,X,X,O,O,O,X,O,X,X
TZLOSJI,X,X,O,O,O,X,O,X,X
TZJILSO,O,X,O,O,X,X,O,O,O
TZJILOS,X,X,O,X,O,X,O,X,O
TZJISLO,O,X,O,O,X,X,O,O,X
TZJISOL,O,X,O,O,X,X,O,O,X
TZJIOLS,X,X,O,X,O,X,O,X,X
TZJIOSL,O,X,O,X,X,X,O,O,X
TZJLISO,O,X,O,O,X,X,O,O,O
TZJLIOS,X,X,O,X,O,X,O,X,O
TZJLSIO,O,X,O,O,X,X,O,O,O
TZJLSOI,O,X,O,O,X,X,O,O,O
TZJLOIS,X,X,O,X,O,X,O,X,O
TZJLOSI,X,X,O,X,O,X,O,X,O
TZJSILO,O,X,O,O,X,X,O,O,X
TZJSIOL,O,X,O,O,X,X,O,O,X
TZJSLIO,O,X,O,O,X,X,O,O,O
TZJSLOI,O,X,O,X,X,X,O,O,O
TZJSOIL,O,X,O,O,X,X,O,O,X
TZJSOLI,O,X,O,X,X,X,O,O,X
TZJOILS,X,X,O,X,O,X,O,X,X
TZJOISL,O,X,O,X,X,X,O,O,X
TZJOLIS,X,X,O,X,O,X,O,X,O
TZJOLSI,X,X,O,X,O,X,O,X,O
TZJOSIL,O,X,O,X,X,X,O,O,X
TZJOSLI,O,X,O,X,X,X,O,O,X
TZSILJO,O,X,O,O,X,O,O,O,X
TZSILOJ,O,X,O,O,X,O,O,O,X
TZSIJLO,O,X,O,O,X,O,O,O,X
TZSIJOL,O,X,O,O,X,O,O,O,X
TZSIOLJ,O,X,O,O,X,O,O,O,X
TZSIOJL,O,X,O,O,X,O,O,O,X
TZSLIJO,O,X,O,O,X,O,O,O,O
TZSLIOJ,O,X,O,O,X,O,O,O,X
TZSLJIO,O,X,O,O,X,X,O,O,O
TZSLJOI,O,X,O,X,X,X,O,O,O
TZSLOIJ,O,X,O,O,X,O,O,O,X
TZSLOJI,O,X,O,O,X,X,O,O,X
TZSJILO,O,X,O,O,X,X,O,O,X
TZSJIOL,O,X,O,O,X,X,O,O,X
TZSJLIO,O,X,O,O,X,X,O,O,O
TZSJLOI,O,X,O,X,X,X,O,O,O
TZSJOIL,O,X,O,O,X,X,O,O,X
TZSJOLI,O,X,O,O,X,X,O,O,X
TZSOILJ,O,X,O,O,X,O,O,O,X
TZSOIJL,O,X,O,O,X,O,O,O,X
TZSOLIJ,O,X,O,O,X,O,O,O,X
TZSOLJI,O,X,O,O,X,X,O,O,X
TZSOJIL,O,X,O,O,X,X,O,O,X
TZSOJLI,O,X,O,O,X,X,O,O,X
TZOILJS,X,X,O,O,O,X,O,X,X
TZOILSJ,X,X,O,O,O,X,O,X,X
TZOIJLS,X,X,O,O,O,X,O,X,X
TZOIJSL,O,X,O,O,X,X,O,O,X
TZOISLJ,O,X,O,O,O,O,O,O,X
TZOISJL,O,X,O,O,X,O,O,O,X
TZOLIJS,X,X,O,O,O,X,O,X,O
TZOLISJ,X,X,O,O,O,X,O,X,X
TZOLJIS,X,X,O,O,O,X,O,X,O
TZOLJSI,X,X,O,O,O,X,O,X,O
TZOLSIJ,X,X,O,O,O,X,O,X,X
TZOLSJI,X,X,O,O,O,X,O,X,X
TZOJILS,X,X,O,O,O,X,O,X,X
TZOJISL,O,X,O,O,X,X,O,O,X
TZOJLIS,X,X,O,O,O,X,O,X,O
TZOJLSI,X,X,O,O,O,X,O,X,O
TZOJSIL,O,X,O,O,X,X,O,O,X
TZOJSLI,O,X,O,O,X,X,O,O,X
TZOSILJ,O,X,O,O,O,O,O,O,X
TZOSIJL,O,X,O,O,X,O,O,O,X
TZOSLIJ,O,X,O,O,O,O,O,O,X
TZOSLJI,O,X,O,O,O,X,O,O,X
TZOSJIL,O,X,O,O,X,X,O,O,X
TZOSJLI,O,X,O,O,X,X,O,O,X
TOILJSZ,X,O,X,X,X,X,X,X,X
TOILJZS,X,X,O,X,O,X,X,X,X
TOILSJZ,X,O,X,X,X,O,X,X,X
TOILSZJ,X,O,O,X,X,O,X,X,X
TOILZJS,X,X,O,X,O,X,X,X,X
TOILZSJ,X,X,O,X,O,X,X,X,X
TOIJLSZ,X,O,X,X,X,X,X,X,X
TOIJLZS,X,X,O,X,O,X,X,X,X
TOIJSLZ,X,O,X,X,X,O,X,X,X
TOIJSZL,X,X,X,O,X,O,X,X,X
TOIJZLS,X,X,O,O,O,X,X,X,X
TOIJZSL,X,X,O,O,X,X,X,X,X
TOISLJZ,X,O,X,X,X,O,X,X,X
TOISLZJ,X,O,O,X,X,O,X,O,X
TOISJLZ,X,O,X,X,X,O,X,X,X
TOISJZL,X,X,X,O,X,O,X,O,X
TOISZLJ,X,O,O,O,X,O,X,O,X
TOISZJL,X,X,O,O,X,O,X,O,X
TOIZLJS,X,X,O,O,O,X,X,X,X
TOIZLSJ,X,X,O,O,O,X,X,X,X
TOIZJLS,X,X,O,O,O,X,X,X,X
TOIZJSL,X,X,O,O,X,X,X,O,X
TOIZSLJ,X,X,O,O,O,O,X,O,X
TOIZSJL,X,X,O,O,X,O,X,O,X
TOLIJSZ,X,O,X,X,X,X,X,X,X
TOLIJZS,X,X,O,X,O,X,X,X,X
TOLISJZ,X,O,X,X,X,O,X,X,X
TOLISZJ,X,O,O,X,X,O,X,X,X
TOLIZJS,X,X,O,X,O,X,X,X,X
TOLIZSJ,X,X,O,X,O,X,X,X,X
TOLJISZ,X,O,X,X,X,X,X,X,X
TOLJIZS,X,X,O,X,O,X,X,X,X
TOLJSIZ,X,O,X,X,X,X,X,X,X
TOLJSZI,X,O,X,X,X,X,X,X,X
TOLJZIS,X,X,O,X,O,X,X,X,X
TOLJZSI,X,X,O,X,O,X,X,X,X
TOLSIJZ,X,O,X,X,X,O,X,X,X
TOLSIZJ,X,O,O,X,X,O,X,X,X
TOLSJIZ,X,O,X,X,X,O,X,X,X
TOLSJZI,X,O,X,X,X,X,X,X,X
TOLSZIJ,X,O,O,X,X,O,X,X,X
TOLSZJI,X,O,O,X,X,X,X,X,X
TOLZIJS,X,X,O,X,O,X,X,X,X
TOLZISJ,X,X,O,X,O,X,X,X,X
TOLZJIS,X,X,O,X,O,X,X,X,X
TOLZJSI,X,X,O,X,O,X,X,X,X
TOLZSIJ,X,X,O,X,O,X,X,X,X
TOLZSJI,X,X,O,X,O,X,X,X,X
TOJILSZ,X,O,X,X,X,X,X,X,X
TOJILZS,X,X,O,X,O,X,X,X,X
TOJISLZ,X,O,X,X,X,O,X,X,X
TOJISZL,X,X,X,O,X,O,X,X,X
TOJIZLS,X,X,O,O,O,X,X,X,X
TOJIZSL,X,X,O,O,X,X,X,X,X
TOJLISZ,X,O,X,X,X,X,X,X,X
TOJLIZS,X,X,O,X,O,X,X,X,X
TOJLSIZ,X,O,X,X,X,X,X,X,X
TOJLSZI,X,O,X,X,X,X,X,X,X
TOJLZIS,X,X,O,X,O,X,X,X,X
TOJLZSI,X,X,O,X,O,X,X,X,X
TOJSILZ,X,O,X,X,X,O,X,X,X
TOJSIZL,X,X,X,O,X,O,X,X,X
TOJSLIZ,X,O,X,X,X,O,X,X,X
TOJSLZI,X,O,X,X,X,X,X,X,X
TOJSZIL,X,X,X,O,X,X,X,X,X
TOJSZLI,X,X,X,O,X,X,X,X,X
TOJZILS,X,X,O,O,O,X,X,X,X
TOJZISL,X,X,O,O,X,X,X,X,X
TOJZLIS,X,X,O,O,O,X,X,X,X
TOJZLSI,X,X,O,O,O,X,X,X,X
TOJZSIL,X,X,O,O,X,X,X,X,X
TOJZSLI,X,X,O,O,X,X,X,X,X
TOSILJZ,X,O,X,X,X,O,X,X,X
TOSILZJ,X,O,O,X,X,O,X,O,X
TOSIJLZ,X,O,X,X,X,O,X,X,X
TOSIJZL,X,X,X,O,X,O,X,O,X
TOSIZLJ,X,O,O,O,X,O,X,O,X
TOSIZJL,X,X,O,O,X,O,X,O,X
TOSLIJZ,X,O,X,X,X,O,X,X,X
TOSLIZJ,X,O,O,X,X,O,X,O,X
TOSLJIZ,X,O,X,X,X,O,X,X,X
TOSLJZI,X,O,X,X,X,X,X,X,X
TOSLZIJ,X,O,O,X,X,O,X,O,X
TOSLZJI,X,O,O,X,X,X,X,O,X
TOSJILZ,X,O,X,X,X,O,X,X,X
TOSJIZL,X,X,X,O,X,O,X,O,X
TOSJLIZ,X,O,X,X,X,O,X,X,X
TOSJLZI,X,O,X,X,X,X,X,X,X
TOSJZIL,X,X,X,O,X,X,X,O,X
TOSJZLI,X,X,X,O,X,X,X,O,X
TOSZILJ,X,O,O,O,X,O,X,O,X
TOSZIJL,X,X,O,O,X,O,X,O,X
TOSZLIJ,X,O,O,O,X,O,X,O,X
TOSZLJI,X,O,O,O,X,X,X,O,X
TOSZJIL,X,X,O,O,X,X,X,O,X
TOSZJLI,X,X,O,O,X,X,X,O,X
TOZILJS,X,X,O,O,O,X,X,X,X
TOZILSJ,X,X,O,O,O,X,X,X,X
TOZIJLS,X,X,O,O,O,X,X,X,X
TOZIJSL,X,X,O,O,X,X,X,O,X
TOZISLJ,X,X,O,O,O,O,X,O,X
TOZISJL,X,X,O,O,X,O,X,O,X
TOZLIJS,X,X,O,O,O,X,X,X,X
TOZLISJ,X,X,O,O,O,X,X,X,X
TOZLJIS,X,X,O,O,O,X,X,X,X
TOZLJSI,X,X,O,O,O,X,X,X,X
TOZLSIJ,X,X,O,O,O,X,X,X,X
TOZLSJI,X,X,O,O,O,X,X,X,X
TOZJILS,X,X,O,O,O,X,X,X,X
TOZJISL,X,X,O,O,X,X,X,O,X
TOZJLIS,X,X,O,O,O,X,X,X,X
TOZJLSI,X,X,O,O,O,X,X,X,X
TOZJSIL,X,X,O,O,X,X,X,O,X
TOZJSLI,X,X,O,O,X,X,X,O,X
TOZSILJ,X,X,O,O,O,O,X,O,X
TOZSIJL,X,X,O,O,X,O,X,O,X
TOZSLIJ,X,X,O,O,O,O,X,O,X
TOZSLJI,X,X,O,O,O,X,X,O,X
TOZSJIL,X,X,O,O,X,X,X,O,X
TOZSJLI,X,X,O,O,X,X,X,O,X
ITLJSZO,X,O,X,X,X,X,X,X,X
ITLJSOZ,X,O,X,X,X,X,X,X,X
ITLJZSO,X,X,O,X,X,X,X,X,X
ITLJZOS,X,X,O,X,O,X,X,X,X
ITLJOSZ,X,O,X,X,X,X,X,X,X
ITLJOZS,X,X,O,X,O,X,X,X,X
ITLSJZO,X,O,X,X,X,O,X,X,X
ITLSJOZ,X,O,X,X,X,O,X,X,X
ITLSZJO,X,O,O,X,X,O,X,O,X
ITLSZOJ,X,O,O,X,X,O,X,O,X
ITLSOJZ,X,O,X,X,X,O,X,X,X
ITLSOZJ,X,O,O,X,X,O,X,O,X
ITLZJSO,X,X,O,X,X,X,X,O,X
ITLZJOS,X,X,O,X,O,X,X,X,X
ITLZSJO,X,X,O,X,X,X,X,O,X
ITLZSOJ,X,X,O,X,X,X,X,O,X
ITLZOJS,X,X,O,X,O,X,X,X,X
ITLZOSJ,X,X,O,X,O,X,X,X,X
ITLOJSZ,X,O,X,X,X,X,X,X,X
ITLOJZS,X,X,O,X,O,X,X,X,X
ITLOSJZ,X,O,X,X,X,O,X,X,X
ITLOSZJ,X,O,O,X,X,O,X,X,X
ITLOZJS,X,X,O,X,O,X,X,X,X
ITLOZSJ,X,X,O,X,O,X,X,X,X
ITJLSZO,X,O,X,X,X,X,X,X,X
ITJLSOZ,X,O,X,X,X,X,X,X,X
ITJLZSO,X,X,O,X,X,X,X,X,X
ITJLZOS,X,X,O,X,O,X,X,X,X
ITJLOSZ,X,O,X,X,X,X,X,X,X
ITJLOZS,X,X,O,X,O,X,X,X,X
ITJSLZO,O,O,X,X,X,O,X,X,X
ITJSLOZ,X,O,X,X,X,O,X,X,X
ITJSZLO,O,X,X,O,X,O,X,O,X
ITJSZOL,O,X,X,O,X,O,X,O,X
ITJSOLZ,X,O,X,X,X,O,X,X,X
ITJSOZL,X,X,X,X,X,O,X,O,X
ITJZLSO,O,X,O,O,X,X,X,O,X
ITJZLOS,X,X,O,X,O,X,X,X,X
ITJZSLO,O,X,O,O,X,X,X,O,X
ITJZSOL,O,X,O,O,X,X,X,O,X
ITJZOLS,X,X,O,X,O,X,X,X,X
ITJZOSL,O,X,O,X,X,X,X,O,X
ITJOLSZ,X,O,X,X,X,X,X,X,X
ITJOLZS,X,X,O,X,O,X,X,X,X
ITJOSLZ,X,O,X,X,X,O,X,X,X
ITJOSZL,X,X,X,X,X,O,X,X,X
ITJOZLS,X,X,O,X,O,X,X,X,X
ITJOZSL,X,X,O,X,X,X,X,X,X
ITSLJZO,O,O,X,X,X,O,X,X,X
ITSLJOZ,X,O,X,X,X,O,X,X,X
ITSLZJO,O,O,O,X,X,O,O,O,X
ITSLZOJ,O,O,O,X,X,O,O,O,X
ITSLOJZ,X,O,X,X,X,O,X,X,X
ITSLOZJ,X,O,O,X,X,O,X,O,X
ITSJLZO,O,O,X,X,X,O,X,X,X
ITSJLOZ,X,O,X,X,X,O,X,X,X
ITSJZLO,O,X,X,O,X,O,X,O,X
ITSJZOL,O,X,X,O,X,O,X,O,X
ITSJOLZ,X,O,X,X,X,O,X,X,X
ITSJOZL,X,X,X,X,X,O,X,O,X
ITSZLJO,O,O,O,O,X,O,O,O,X
ITSZLOJ,O,O,O,O,X,O,O,O,X
ITSZJLO,O,X,O,O,X,O,O,O,X
ITSZJOL,O,X,O,O,X,O,O,O,X
ITSZOLJ,O,O,O,O,X,O,O,O,X
ITSZOJL,O,X,O,O,X,O,O,O,X
ITSOLJZ,X,O,X,X,X,O,X,X,X
ITSOLZJ,X,O,O,X,X,O,X,O,X
ITSOJLZ,X,O,X,X,X,O,X,X,X
ITSOJZL,X,X,X,O,X,O,X,O,X
ITSOZLJ,X,O,O,O,X,O,X,O,X
ITSOZJL,X,X,O,O,X,O,X,O,X
ITZLJSO,O,X,O,O,X,X,O,O,X
ITZLJOS,X,X,O,X,O,X,O,X,X
ITZLSJO,O,X,O,O,X,X,O,O,X
ITZLSOJ,O,X,O,O,X,X,O,O,X
ITZLOJS,X,X,O,O,O,X,O,X,X
ITZLOSJ,X,X,O,O,O,X,O,X,X
ITZJLSO,O,X,O,O,X,X,O,O,X
ITZJLOS,X,X,O,X,O,X,O,X,X
ITZJSLO,O,X,O,O,X,X,O,O,X
ITZJSOL,O,X,O,O,X,X,O,O,X
ITZJOLS,X,X,O,X,O,X,O,X,X
ITZJOSL,O,X,O,X,X,X,O,O,X
ITZSLJO,O,X,O,O,X,O,O,O,X
ITZSLOJ,O,X,O,O,X,O,O,O,X
ITZSJLO,O,X,O,O,X,O,O,O,X
ITZSJOL,O,X,O,O,X,O,O,O,X
ITZSOLJ,O,X,O,O,X,O,O,O,X
ITZSOJL,O,X,O,O,X,O,O,O,X
ITZOLJS,X,X,O,O,O,X,O,X,X
ITZOLSJ,X,X,O,O,O,X,O,X,X
ITZOJLS,X,X,O,O,O,X,O,X,X
ITZOJSL,O,X,O,O,X,X,O,O,X
ITZOSLJ,O,X,O,O,O,O,O,O,X
ITZOSJL,O,X,O,O,X,O,O,O,X
ITOLJSZ,X,O,X,X,X,X,X,X,X
ITOLJZS,X,X,O,X,O,X,X,X,X
ITOLSJZ,X,O,X,X,X,O,X,X,X
ITOLSZJ,X,O,O,X,X,O,X,X,X
ITOLZJS,X,X,O,X,O,X,X,X,X
ITOLZSJ,X,X,O,X,O,X,X,X,X
ITOJLSZ,X,O,X,X,X,X,X,X,X
ITOJLZS,X,X,O,X,O,X,X,X,X
ITOJSLZ,X,O,X,X,X,O,X,X,X
ITOJSZL,X,X,X,O,X,O,X,X,X
ITOJZLS,X,X,O,O,O,X,X,X,X
ITOJZSL,X,X,O,O,X,X,X,X,X
ITOSLJZ,X,O,X,X,X,O,X,X,X
ITOSLZJ,X,O,O,X,X,O,X,O,X
ITOSJLZ,X,O,X,X,X,O,X,X,X
ITOSJZL,X,X,X,O,X,O,X,O,X
ITOSZLJ,X,O,O,O,X,O,X,O,X
ITOSZJL,X,X,O,O,X,O,X,O,X
ITOZLJS,X,X,O,O,O,X,X,X,X
ITOZLSJ,X,X,O,O,O,X,X,X,X
ITOZJLS,X,X,O,O,O,X,X,X,X
ITOZJSL,X,X,O,O,X,X,X,O,X
ITOZSLJ,X,X,O,O,O,O,X,O,X
ITOZSJL,X,X,O,O,X,O,X,O,X
ILTJSZO,X,O,X,X,X,X,X,X,X
ILTJSOZ,X,O,X,X,X,X,X,X,X
ILTJZSO,X,X,O,X,X,X,X,X,O
ILTJZOS,X,X,O,X,O,X,X,X,O
ILTJOSZ,X,O,X,X,X,X,X,X,X
ILTJOZS,X,X,O,X,O,X,X,X,X
ILTSJZO,X,O,X,X,X,O,X,X,X
ILTSJOZ,X,O,X,X,X,O,X,X,X
ILTSZJO,X,O,O,X,X,O,X,O,X
ILTSZOJ,X,O,O,X,X,O,X,O,X
ILTSOJZ,X,O,X,X,X,O,X,X,X
ILTSOZJ,X,O,O,X,X,O,X,O,X
ILTZJSO,X,X,O,X,X,X,X,O,O
ILTZJOS,X,X,O,X,O,X,X,X,O
ILTZSJO,X,X,O,X,X,X,X,O,O
ILTZSOJ,X,X,O,X,X,X,X,O,X
ILTZOJS,X,X,O,X,O,X,X,X,O
ILTZOSJ,X,X,O,X,O,X,X,X,X
ILTOJSZ,X,O,X,X,X,X,X,X,X
ILTOJZS,X,X,O,X,O,X,X,X,X
ILTOSJZ,X,O,X,X,X,O,X,X,X
ILTOSZJ,X,O,O,X,X,O,X,X,X
ILTOZJS,X,X,O,X,O,X,X,X,X
ILTOZSJ,X,X,O,X,O,X,X,X,X
ILJTSZO,X,O,X,X,X,X,X,X,X
ILJTSOZ,X,O,X,X,X,X,X,X,X
ILJTZSO,X,X,O,X,X,X,X,X,O
ILJTZOS,X,X,O,X,O,X,X,X,O
ILJTOSZ,X,O,X,X,X,X,X,X,X
ILJTOZS,X,X,O,X,O,X,X,X,X
ILJSTZO,O,O,X,X,X,X,X,X,X
ILJSTOZ,X,O,X,X,X,X,X,X,X
ILJSZTO,O,O,X,O,X,X,X,X,O
ILJSZOT,O,O,X,X,O,X,X,X,X
ILJSOTZ,X,O,X,X,X,X,X,X,X
ILJSOZT,O,O,X,X,O,X,X,X,X
ILJZTSO,O,X,O,O,X,X,X,X,O
ILJZTOS,X,X,O,X,O,X,X,X,O
ILJZSTO,O,O,O,O,X,X,X,X,O
ILJZSOT,O,O,O,O,O,X,X,X,X
ILJZOTS,X,X,O,X,O,X,X,X,O
ILJZOST,X,O,O,O,O,X,X,X,X
ILJOTSZ,X,O,X,X,X,X,X,X,X
ILJOTZS,X,X,X,X,O,X,X,X,X
ILJOSTZ,X,O,X,X,X,X,X,X,X
ILJOSZT,X,O,X,X,O,X,X,X,X
ILJOZTS,X,X,O,X,O,X,X,X,O
ILJOZST,X,O,O,X,O,X,X,X,X
ILSTJZO,O,O,X,X,X,O,X,X,X
ILSTJOZ,X,O,X,X,X,O,X,X,X
ILSTZJO,O,O,O,X,X,O,O,O,X
ILSTZOJ,O,O,O,X,X,O,O,O,X
ILSTOJZ,X,O,X,X,X,O,X,X,X
ILSTOZJ,X,O,O,X,X,O,X,O,X
ILSJTZO,O,O,X,X,X,O,X,X,X
ILSJTOZ,X,O,X,X,X,O,X,X,X
ILSJZTO,O,O,X,O,X,X,O,X,O
ILSJZOT,O,O,X,X,O,X,X,X,X
ILSJOTZ,X,O,X,X,X,O,X,X,X
ILSJOZT,O,O,X,X,O,X,X,X,X
ILSZTJO,O,O,O,O,X,O,O,O,O
ILSZTOJ,O,O,O,O,X,O,O,O,X
ILSZJTO,O,O,O,O,X,X,O,O,O
ILSZJOT,O,O,O,X,O,X,X,O,X
ILSZOTJ,O,O,X,O,O,O,O,O,X
ILSZOJT,O,O,O,O,O,X,X,O,X
ILSOTJZ,X,O,X,X,X,O,X,X,X
ILSOTZJ,X,O,X,X,X,O,X,O,X
ILSOJTZ,X,O,X,X,X,O,X,X,X
ILSOJZT,O,O,X,O,O,X,X,X,X
ILSOZTJ,O,O,X,O,O,O,O,O,X
ILSOZJT,O,O,O,O,O,X,X,O,X
ILZTJSO,O,X,O,O,X,X,O,O,O
ILZTJOS,X,X,O,X,O,X,O,X,O
ILZTSJO,O,X,O,O,X,X,O,O,O
ILZTSOJ,O,X,O,O,X,X,O,O,X
ILZTOJS,X,X,O,O,O,X,O,X,O
ILZTOSJ,X,X,O,O,O,X,O,X,X
ILZJTSO,O,X,O,O,X,X,X,O,O
ILZJTOS,X,X,O,X,O,X,X,X,O
ILZJSTO,O,O,O,O,X,X,X,O,O
ILZJSOT,O,O,O,O,O,X,X,O,X
ILZJOTS,X,X,O,O,O,X,X,X,O
ILZJOST,X,O,O,O,O,X,X,O,X
ILZSTJO,O,O,O,O,X,X,O,O,O
ILZSTOJ,O,O,O,O,X,X,O,O,X
ILZSJTO,O,O,O,O,X,X,O,O,O
ILZSJOT,O,O,O,O,O,X,X,O,X
ILZSOTJ,O,O,X,O,O,X,O,O,X
ILZSOJT,O,O,O,O,O,X,X,O,X
ILZOTJS,X,X,O,O,O,X,X,X,O
ILZOTSJ,X,X,O,O,O,X,X,X,X
ILZOJTS,X,X,O,O,O,X,X,X,O
ILZOJST,X,O,O,O,O,X,X,O,X
ILZOSTJ,X,O,X,O,O,X,X,O,X
ILZOSJT,X,O,O,O,O,X,X,O,X
ILOTJSZ,X,O,X,X,X,X,X,X,X
ILOTJZS,X,X,O,X,O,X,X,X,X
ILOTSJZ,X,O,X,X,X,O,X,X,X
ILOTSZJ,X,O,O,X,X,O,X,X,X
ILOTZJS,X,X,O,X,O,X,X,X,X
ILOTZSJ,X,X,O,X,O,X,X,X,X
ILOJTSZ,X,O,X,X,X,X,X,X,X
ILOJTZS,X,X,X,X,O,X,X,X,X
ILOJSTZ,X,O,X,X,X,X,X,X,X
ILOJSZT,X,O,X,O,O,X,X,X,X
ILOJZTS,X,X,O,O,O,X,X,X,O
ILOJZST,X,O,O,O,O,X,X,X,X
ILOSTJZ,X,O,X,X,X,O,X,X,X
ILOSTZJ,X,O,X,X,X,O,X,O,X
ILOSJTZ,X,O,X,X,X,O,X,X,X
ILOSJZT,X,O,X,O,O,X,X,X,X
ILOSZTJ,X,O,X,O,O,O,X,O,X
ILOSZJT,X,O,O,O,O,X,X,O,X
ILOZTJS,X,X,O,O,O,X,X,X,O
ILOZTSJ,X,X,O,O,O,X,X,X,X
ILOZJTS,X,X,O,O,O,X,X,X,O
ILOZJST,X,O,O,O,O,X,X,O,X
ILOZSTJ,X,O,X,O,O,X,X,O,X
ILOZSJT,X,O,O,O,O,X,X,O,X
IJTLSZO,X,O,X,X,X,X,X,X,X
IJTLSOZ,X,O,X,X,X,X,X,X,X
IJTLZSO,X,X,O,X,X,X,X,X,X
IJTLZOS,X,X,O,X,O,X,X,X,X
IJTLOSZ,X,O,X,X,X,X,X,X,X
IJTLOZS,X,X,O,X,O,X,X,X,X
IJTSLZO,O,O,X,X,X,O,X,X,X
IJTSLOZ,X,O,X,X,X,O,X,X,X
IJTSZLO,O,X,X,O,X,O,X,O,X
IJTSZOL,O,X,X,O,X,O,X,O,X
