sequence,v115@EhB8IeA8AeB8EeB8AeC8DeB8KeT/IvhFOlB/mBUiB5?oBtqBywB,v115@EhB8IeA8AeB8EeB8AeC8DeB8KeT/IvhFNlBamBUiB5?oBfsBWwB,v115@EhB8IeA8AeB8EeB8AeC8DeB8KeT/IvhFKlBWmBNnB5?oB0rBXrB,v115@EhB8IeA8AeB8EeB8AeC8DeB8KeT/IvhF0gB6mBNnB5?oB/qB2wB,v115@EhB8IeA8AeB8EeB8AeC8DeB8KeT/IvhFKlBWmBNnB5?oBXrB0rB,v115@EhB8IeA8AeB8EeB8AeC8DeB8KeT/IvhFSmBNnB5oB/?qB0rBmqB,v115@EhB8IeA8AeB8EeB8AeC8DeB8KeT/IvhFOlBNnB5oBC?mB0rBXrB,v115@EhB8IeA8AeB8EeB8AeC8DeB8KeT/IvhFNlBGhB5oB8?qBXnBywB,v115@EhB8IeA8AeB8EeB8AeC8DeB8KeT/IvhFNlBUhB5oBO?sBCrB3rB
TILJSZO,O,O,X,O,O,X,X,X,O
TILJSOZ,O,O,O,O,O,X,X,X,O
TILJZSO,O,O,O,O,X,X,O,X,O
TILJZOS,O,O,O,O,O,X,O,X,O
TILJOSZ,O,O,O,O,O,X,X,X,O
TILJOZS,O,O,O,O,O,X,O,X,O
TILSJZO,O,O,X,O,O,X,X,X,X
TILSJOZ,O,O,O,O,O,X,X,X,X
TILSZJO,O,O,O,O,O,O,X,O,X
TILSZOJ,O,O,O,O,O,O,X,O,X
TILSOJZ,O,O,O,O,O,X,X,X,X
TILSOZJ,O,O,O,O,O,O,X,O,X
TILZJSO,O,O,O,X,X,X,O,X,X
TILZJOS,O,O,O,X,O,X,O,X,X
TILZSJO,O,O,O,X,O,O,O,O,X
TILZSOJ,O,O,O,X,O,O,O,O,X
TILZOJS,O,O,O,X,O,X,O,X,X
TILZOSJ,O,O,O,X,O,O,O,O,X
TILOJSZ,O,O,O,O,O,X,X,X,O
TILOJZS,O,O,O,O,O,X,O,X,O
TILOSJZ,O,O,O,O,O,X,X,X,X
TILOSZJ,O,O,O,O,O,O,X,O,X
TILOZJS,O,O,O,X,O,X,O,X,X
TILOZSJ,O,O,O,X,O,O,O,O,X
TIJLSZO,O,O,X,O,O,X,X,X,O
TIJLSOZ,O,O,O,O,O,X,X,X,O
TIJLZSO,O,O,O,O,X,X,O,X,O
TIJLZOS,O,O,O,O,O,X,O,X,O
TIJLOSZ,O,O,O,O,O,X,X,X,O
TIJLOZS,O,O,O,O,O,X,O,X,O
TIJSLZO,O,O,X,O,O,X,X,X,O
TIJSLOZ,O,O,X,O,O,X,X,X,O
TIJSZLO,O,O,X,O,O,O,O,O,X
TIJSZOL,O,O,X,O,X,O,O,O,O
TIJSOLZ,O,O,X,O,O,X,X,X,O
TIJSOZL,O,O,X,O,X,O,O,O,O
TIJZLSO,O,O,O,O,X,X,O,X,O
TIJZLOS,O,O,O,O,X,X,O,X,O
TIJZSLO,O,O,O,O,X,O,O,O,X
TIJZSOL,O,O,X,O,X,O,O,O,O
TIJZOLS,O,O,O,O,X,X,O,X,O
TIJZOSL,O,O,X,O,X,O,O,O,O
TIJOLSZ,O,O,O,O,O,X,X,X,O
TIJOLZS,O,O,O,O,O,X,O,X,O
TIJOSLZ,O,O,X,O,O,X,X,X,O
TIJOSZL,O,O,X,O,X,O,O,O,O
TIJOZLS,O,O,O,O,X,X,O,X,O
TIJOZSL,O,O,X,O,X,O,O,O,O
TISLJZO,O,O,X,O,O,X,X,X,X
TISLJOZ,O,O,O,O,O,X,X,X,X
TISLZJO,O,O,O,O,O,O,X,O,X
TISLZOJ,O,O,O,O,O,O,X,O,X
TISLOJZ,O,O,O,O,O,X,X,X,X
TISLOZJ,O,O,O,O,O,O,X,O,X
TISJLZO,O,O,X,O,O,X,X,X,O
TISJLOZ,O,O,X,O,O,X,X,X,O
