sequence,v115@NhA8BeC8DeE8FeC8JeT/IvhFOlBxhBXjBSvB0rBFrB,v115@NhA8BeC8DeE8FeC8JeT/IvhFxhBXjBeqBFrB6qB0rB,v115@NhA8BeC8DeE8FeC8JeT/IvhFCiBXjBeqBUmBllBRwB,v115@NhA8BeC8DeE8FeC8JeT/IvhFCiBXjBllBeqBUmBRwB,v115@NhA8BeC8DeE8FeC8Je2EJvhFUhBXjB1qBCnBzpBRwB
TILJSZO,X,O,O,X,O
TILJSOZ,O,O,O,O,X
TILJZSO,X,O,O,X,O
TILJZOS,X,O,O,X,X
TILJOSZ,O,O,O,O,X
TILJOZS,X,O,O,X,X
TILSJZO,X,O,O,X,O
TILSJOZ,O,O,O,O,X
TILSZJO,X,X,X,X,O
TILSZOJ,X,X,X,O,X
TILSOJZ,O,O,O,O,X
TILSOZJ,X,X,X,O,X
TILZJSO,X,X,X,X,O
TILZJOS,X,X,X,X,X
TILZSJO,X,X,X,X,O
TILZSOJ,X,X,X,O,X
TILZOJS,X,X,X,X,X
TILZOSJ,X,X,X,O,X
TILOJSZ,O,O,O,O,X
TILOJZS,X,O,O,X,X
TILOSJZ,O,O,O,O,X
TILOSZJ,X,X,X,O,X
TILOZJS,X,X,X,X,X
TILOZSJ,X,X,X,O,X
TIJLSZO,X,O,O,X,O
TIJLSOZ,X,O,O,O,X
TIJLZSO,X,O,O,X,O
TIJLZOS,X,O,O,X,X
TIJLOSZ,X,O,O,O,X
TIJLOZS,X,O,O,X,X
TIJSLZO,X,O,O,X,O
TIJSLOZ,X,O,O,O,X
TIJSZLO,X,O,O,X,O
TIJSZOL,X,O,O,X,O
TIJSOLZ,X,O,O,O,X
TIJSOZL,X,O,O,X,O
TIJZLSO,X,O,O,X,O
TIJZLOS,X,O,O,X,X
TIJZSLO,X,O,O,X,O
TIJZSOL,X,O,O,X,O
TIJZOLS,X,O,O,X,X
TIJZOSL,X,O,O,X,O
TIJOLSZ,X,O,O,O,X
TIJOLZS,X,O,O,X,X
TIJOSLZ,X,O,O,O,X
TIJOSZL,X,O,O,X,O
TIJOZLS,X,O,O,X,X
TIJOZSL,X,O,O,X,O
TISLJZO,X,O,O,X,O
TISLJOZ,O,O,O,O,X
TISLZJO,X,X,X,X,O
TISLZOJ,X,X,X,O,X
TISLOJZ,O,O,O,O,X
TISLOZJ,X,X,X,O,X
TISJLZO,X,O,O,X,O
TISJLOZ,X,O,O,O,X
TISJZLO,X,O,O,X,O
TISJZOL,X,O,O,X,O
TISJOLZ,X,O,O,O,X
TISJOZL,X,O,O,X,O
TISZLJO,O,X,X,X,O
TISZLOJ,O,X,X,O,X
TISZJLO,X,O,X,X,O
TISZJOL,X,O,X,X,O
TISZOLJ,O,X,X,O,X
TISZOJL,X,O,X,X,O
TISOLJZ,O,O,O,O,X
TISOLZJ,X,X,X,O,X
TISOJLZ,X,O,O,O,X
TISOJZL,X,O,O,X,O
TISOZLJ,O,X,X,O,X
TISOZJL,X,O,X,X,O
TIZLJSO,O,X,X,X,O
TIZLJOS,O,X,X,X,X
TIZLSJO,O,X,X,X,O
TIZLSOJ,O,X,X,O,X
TIZLOJS,O,X,X,X,X
TIZLOSJ,O,X,X,O,X
TIZJLSO,X,O,X,X,O
