sequence,v115@GhA8GeC8AeA8GeA8AeD8CeB8JeZEJvhFGgBThBiiBU?lBlrB3sB,v115@GhA8GeC8AeA8GeA8AeD8CeB8JeZEJvhFzfBGhBiiB3?lB0rBlsB,v115@GhA8GeC8AeA8GeA8AeD8CeB8JeZEJvhFzfB+lB0hB/?rBisBlsB,v115@GhA8GeC8AeA8GeA8AeD8CeB8JeZEJvhFCgBXhB8mB2?qBznBVxB,v115@GhA8GeC8AeA8GeA8AeD8CeB8Jex/IvhF0hBOpBTlB/?rBlsBisB
TILJSZO,X,O,O,O,X
TILJSOZ,X,O,O,X,X
TILJZSO,O,X,X,O,X
TILJZOS,O,X,X,O,X
TILJOSZ,X,O,O,X,X
TILJOZS,O,X,X,O,X
TILSJZO,O,O,O,O,X
TILSJOZ,O,O,O,X,X
TILSZJO,O,O,O,O,X
TILSZOJ,O,O,X,X,X
TILSOJZ,O,O,O,X,X
TILSOZJ,O,O,X,X,X
TILZJSO,O,O,X,O,X
TILZJOS,O,O,X,O,X
TILZSJO,O,O,X,O,X
TILZSOJ,O,O,X,X,X
TILZOJS,O,O,X,O,X
TILZOSJ,O,O,X,X,X
TILOJSZ,X,O,O,X,X
TILOJZS,O,X,X,O,X
TILOSJZ,X,O,O,X,X
TILOSZJ,O,O,X,X,X
TILOZJS,O,O,X,O,X
TILOZSJ,O,O,X,X,X
TIJLSZO,X,O,O,O,X
TIJLSOZ,X,O,O,X,X
TIJLZSO,O,X,X,O,X
TIJLZOS,O,X,X,O,X
TIJLOSZ,X,O,O,X,O
TIJLOZS,O,X,X,O,X
TIJSLZO,X,O,O,O,X
TIJSLOZ,X,O,O,X,X
TIJSZLO,X,O,X,O,X
TIJSZOL,X,O,O,O,O
TIJSOLZ,X,O,O,X,O
TIJSOZL,X,O,O,X,O
TIJZLSO,O,O,X,O,X
TIJZLOS,O,O,X,O,X
TIJZSLO,O,O,X,O,X
TIJZSOL,O,O,X,O,X
TIJZOLS,O,O,X,O,X
TIJZOSL,O,O,X,O,O
TIJOLSZ,X,O,O,X,O
TIJOLZS,O,X,X,O,X
TIJOSLZ,X,O,O,X,O
TIJOSZL,X,O,O,X,O
TIJOZLS,O,O,X,O,X
TIJOZSL,O,O,X,O,O
TISLJZO,O,O,O,O,X
TISLJOZ,O,O,O,X,X
TISLZJO,O,O,O,O,X
TISLZOJ,O,O,X,X,X
TISLOJZ,O,O,O,X,X
TISLOZJ,O,O,X,X,X
TISJLZO,O,O,O,O,X
TISJLOZ,O,O,O,X,X
TISJZLO,O,O,X,O,X
TISJZOL,O,O,O,O,O
TISJOLZ,O,O,O,X,O
TISJOZL,O,O,O,X,O
TISZLJO,O,O,X,O,X
TISZLOJ,O,O,X,X,X
TISZJLO,O,O,X,O,X
TISZJOL,O,O,O,O,O
TISZOLJ,O,O,X,X,X
TISZOJL,O,O,X,O,O
