sequence,v115@QhC8BeG8GeB8Jei/IvhFzgBFiBXjBUlBWxBRvB,v115@QhC8BeG8GeB8JeT/IvhFigBUiBFjB3lBWxBRvB,v115@QhC8BeG8GeB8JeT/IvhFChBxiB0qBeqBlrB3sB,v115@QhC8BeG8GeB8JeT/IvhFOlBFjBCmB/sB0rBRvB,v115@QhC8BeG8GeB8Je2EJvhF8lBzhBXjBFlBSxBRvB,v115@QhC8BeG8GeB8JeRAJvhFFjB0qB/pBurBiqBTsB,v115@QhC8BeG8GeB8Je2EJvhFChBxiB0qBlrB3sBzpB,v115@QhC8BeG8GeB8Jex/IvhF8lBzhBXjB2vBlpBSxB
TILJSZO,O,X,X,O,X,X,X,X
TILJSOZ,O,X,X,O,X,X,X,X
TILJZSO,O,X,X,O,X,X,X,X
TILJZOS,O,X,X,O,X,X,X,X
TILJOSZ,O,X,X,O,X,X,X,X
TILJOZS,X,X,X,O,X,X,X,X
TILSJZO,O,O,X,O,X,X,X,X
TILSJOZ,O,O,X,O,X,X,X,X
TILSZJO,O,O,X,X,X,X,X,X
TILSZOJ,O,O,X,X,X,X,X,X
TILSOJZ,O,O,X,O,X,X,X,X
TILSOZJ,O,O,X,X,X,X,X,X
TILZJSO,O,X,X,O,X,X,X,X
TILZJOS,O,X,X,O,X,X,X,X
TILZSJO,O,O,X,X,X,X,X,X
TILZSOJ,O,O,X,X,X,X,X,X
TILZOJS,O,X,X,O,X,X,X,X
TILZOSJ,O,O,X,X,X,X,X,X
TILOJSZ,O,X,X,O,X,X,X,X
TILOJZS,X,X,X,O,X,X,X,X
TILOSJZ,O,O,X,O,X,X,X,X
TILOSZJ,O,O,X,X,X,X,X,X
TILOZJS,O,X,X,O,X,X,X,X
TILOZSJ,O,O,X,X,X,X,X,X
TIJLSZO,O,X,X,O,X,X,X,X
TIJLSOZ,O,X,X,O,X,X,X,X
TIJLZSO,O,X,X,O,X,X,X,X
TIJLZOS,O,X,X,O,X,X,X,X
TIJLOSZ,O,X,X,O,X,X,X,X
TIJLOZS,X,X,X,O,X,X,X,X
TIJSLZO,O,O,X,O,X,X,X,X
TIJSLOZ,O,O,X,O,X,X,X,X
TIJSZLO,O,O,X,X,X,X,X,X
TIJSZOL,O,O,X,X,O,X,X,X
TIJSOLZ,O,O,X,O,X,X,X,X
TIJSOZL,X,O,X,X,O,X,X,X
TIJZLSO,O,X,X,O,X,X,X,X
TIJZLOS,O,X,X,O,X,X,X,X
TIJZSLO,O,O,X,X,X,X,O,X
TIJZSOL,O,O,X,X,O,X,O,X
TIJZOLS,O,X,X,O,X,X,X,X
TIJZOSL,O,O,X,X,O,X,X,X
TIJOLSZ,O,X,X,O,X,X,X,X
TIJOLZS,X,X,X,O,X,X,X,X
TIJOSLZ,O,O,X,O,X,X,X,X
TIJOSZL,X,O,X,X,O,X,X,X
TIJOZLS,X,X,X,O,X,X,X,X
TIJOZSL,X,O,X,X,O,X,X,X
TISLJZO,O,O,X,O,X,X,X,X
TISLJOZ,O,O,X,O,X,X,X,X
