sequence,v115@EhC8IeA8CeA8DeD8EeC8JeOEJvhF0gBzkBRnBlmByv?BXsB,v115@EhC8IeA8CeA8DeD8EeC8JeOEJvhF0gBzkBfsBlnBim?BxvB,v115@EhC8IeA8CeA8DeD8EeC8Jex/IvhFmhBTkBKqB3nB0r?BFrB,v115@EhC8IeA8CeA8DeD8EeC8JeOEJvhFTgBfqB0mBlnBim?BRwB,v115@EhC8IeA8CeA8DeD8EeC8Jei/IvhFRhB1pBUmB3nB2v?BzrB,v115@EhC8IeA8CeA8DeD8EeC8Jel/IvhFRhB2pB3nB0rBTq?BirB,v115@EhC8IeA8CeA8DeD8EeC8Je0AJvhFmkBRnBTkBlmByv?BXsB,v115@EhC8IeA8CeA8DeD8EeC8Jel/IvhFUhB2pBxrBTqBis?B3rB,v115@EhC8IeA8CeA8DeD8EeC8JeT/IvhFRhBlnBmpBirB/q?B0rB,v115@EhC8IeA8CeA8DeD8EeC8JeKEJvhFzfBfmBRnBVsB2v?B0rB,v115@EhC8IeA8CeA8DeD8EeC8JeKEJvhFRhBFlB3nBTrBmr?BUqB,v115@EhC8IeA8CeA8DeD8EeC8Je0/IvhFVmB2pBxrBisBTq?B3rB
TILJSZO,X,X,X,O,X,X,X,X,O,X,X,O
TILJSOZ,X,X,X,O,X,X,X,X,O,O,X,X
TILJZSO,X,X,X,O,X,X,O,X,O,X,X,O
TILJZOS,X,X,X,X,X,X,O,X,O,X,X,O
TILJOSZ,X,X,X,X,X,X,X,X,O,O,X,X
TILJOZS,X,X,X,X,X,X,X,X,O,X,X,O
TILSJZO,X,X,X,O,X,X,X,X,X,X,X,X
TILSJOZ,X,X,X,O,X,X,X,X,X,X,X,X
TILSZJO,X,X,X,O,O,X,X,X,X,X,X,X
TILSZOJ,X,O,X,O,O,X,X,X,X,X,X,X
TILSOJZ,X,O,X,O,X,X,X,X,X,X,X,X
TILSOZJ,X,O,X,O,X,X,X,X,X,X,X,X
TILZJSO,X,X,X,O,O,X,O,X,X,X,X,X
TILZJOS,X,X,X,X,X,X,O,X,X,X,X,X
TILZSJO,X,X,X,O,O,X,X,X,X,X,X,X
TILZSOJ,X,O,X,O,O,X,X,X,X,X,X,X
TILZOJS,O,O,X,X,X,X,X,X,X,X,X,X
TILZOSJ,X,O,X,X,O,X,X,X,X,X,X,X
TILOJSZ,X,O,X,X,X,X,X,X,X,X,X,X
