sequence,v115@9gB8HeB8HeB8HeE8AeA8MexAJvhFdnBCjBTlB/rB8s?B+tB,v115@9gB8HeB8HeB8HeE8AeA8MeKFJvhFzgB3iB5oB9rBet?BUsB,v115@9gB8HeB8HeB8HeE8AeA8MeTAJvhFxhBXjByqBurB9t?B0sB,v115@9gB8HeB8HeB8HeE8AeA8MeKFJvhFzgBUiB5oB9rBet?B3sB,v115@9gB8HeB8HeB8HeE8AeA8MeOFJvhF8lBRiBSoB9rB/s?BTtB,v115@9gB8HeB8HeB8HeE8AeA8MexAJvhFdnBGjBTlB/rBCt?BUtB,v115@9gB8HeB8HeB8HeE8AeA8MexAJvhFdnBunBcoBTlB/r?BSyB,v115@9gB8HeB8HeB8HeE8AeA8MeTAJvhF2mBXjB9tBxqB0s?BCsB,v115@9gB8HeB8HeB8HeE8AeA8MeKFJvhFzgBUiB9rBxsBXt?BGtB,v115@9gB8HeB8HeB8HeE8AeA8MexAJvhFdnBTlB/rBGoBUt?BCtB,v115@9gB8HeB8HeB8HeE8AeA8MemAJvhF0iBTlBxrBXtBtr?B6tB,v115@9gB8HeB8HeB8HeE8AeA8Me2FJvhFRiBcoB9rBTnB3l?BSyB,v115@9gB8HeB8HeB8HeE8AeA8MexAJvhFdnBSoBTlB/rBUo?BWyB,v115@9gB8HeB8HeB8HeE8AeA8MeNFJvhF3hB5nB8rBOtBzl?B6tB,v115@9gB8HeB8HeB8HeE8AeA8MemAJvhFdoB5oBTlB3mB0s?BCsB,v115@9gB8HeB8HeB8HeE8AeA8MeKFJvhFzgB9rBxnBUnBXt?BGtB,v115@9gB8HeB8HeB8HeE8AeA8MexAJvhFXjBTlBimB+tB8r?BtsB,v115@9gB8HeB8HeB8HeE8AeA8MeKFJvhFzgBRnBctB9rB/s?BGtB
TILJSZO,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TILJSOZ,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TILJZSO,X,O,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TILJZOS,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TILJOSZ,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TILJOZS,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TILSJZO,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TILSJOZ,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X
TILSZJO,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
TILSZOJ,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X
TILSOJZ,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X
TILSOZJ,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X
TILZJSO,X,O,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X
TILZJOS,X,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TILZSJO,X,X,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
TILZSOJ,X,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TILZOJS,X,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TILZOSJ,X,X,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TILOJSZ,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TILOJZS,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TILOSJZ,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X
TILOSZJ,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X
TILOZJS,X,O,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TILOZSJ,X,X,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TIJLSZO,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJLSOZ,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TIJLZSO,X,O,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TIJLZOS,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TIJLOSZ,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
TIJLOZS,X,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TIJSLZO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJSZLO,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIJSZOL,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIJSOLZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJSOZL,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TIJZLSO,O,O,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TIJZLOS,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIJZSLO,O,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIJZSOL,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIJZOLS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJZOSL,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIJOLSZ,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJOLZS,X,O,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TIJOSLZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJOSZL,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TIJOZLS,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJOZSL,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TISLJZO,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TISLJOZ,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X
TISLZJO,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TISLZOJ,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X
TISLOJZ,X,O,O,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X
TISLOZJ,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X
TISJLZO,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TISJLOZ,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
TISJZLO,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TISJZOL,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TISJOLZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISJOZL,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TISZLJO,X,X,X,X,O,O,O,O,O,X,X,X,X,O,X,X,X,X
TISZLOJ,X,X,O,X,O,X,O,O,O,X,X,X,X,X,O,O,X,X
TISZJLO,O,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TISZJOL,O,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X
TISZOLJ,X,X,X,X,O,X,X,O,X,O,O,X,X,X,O,X,X,X
TISZOJL,X,X,X,X,O,X,X,O,X,O,O,X,X,O,O,X,X,X
TISOLJZ,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,O,X,X
TISOLZJ,X,X,O,X,O,O,O,X,X,O,O,X,X,X,X,O,X,X
TISOJLZ,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
TISOJZL,O,X,X,X,O,X,X,O,X,O,O,X,O,X,O,X,X,X
TISOZLJ,X,X,X,X,O,O,O,O,X,O,O,X,X,X,O,X,X,X
TISOZJL,O,X,X,X,O,X,X,O,X,O,O,X,O,X,O,X,X,X
TIZLJSO,X,O,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TIZLJOS,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIZLSJO,X,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TIZLSOJ,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
TIZLOJS,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIZLOSJ,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
TIZJLSO,X,O,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TIZJLOS,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TIZJSLO,X,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
