sequence,v115@EhB8IeA8AeA8EeC8AeB8DeC8KeT/IvhFigBUiB5oBF?qBXrBGrB,v115@EhB8IeA8AeA8EeC8AeB8DeC8KeT/IvhF/lBVnB5oBK?rBGmBUqB,v115@EhB8IeA8AeA8EeC8AeB8DeC8Ke/EJvhFVmBUiB5oBK?qBGlBTrB,v115@EhB8IeA8AeA8EeC8AeB8DeC8Ke/EJvhFzgBUiB5oB+?rBlqBaqB
TILJSZO,O,X,X,O
TILJSOZ,O,X,X,O
TILJZSO,X,O,X,O
TILJZOS,O,O,X,O
TILJOSZ,O,X,X,O
TILJOZS,O,O,X,O
TILSJZO,O,X,X,O
TILSJOZ,O,X,X,O
TILSZJO,O,O,X,X
TILSZOJ,O,O,O,X
TILSOJZ,O,X,O,O
TILSOZJ,O,O,O,X
TILZJSO,X,O,X,X
TILZJOS,O,O,X,X
TILZSJO,O,O,X,X
TILZSOJ,O,O,O,X
TILZOJS,O,O,O,X
TILZOSJ,O,O,O,X
TILOJSZ,O,X,O,O
TILOJZS,O,O,O,O
TILOSJZ,O,X,O,O
TILOSZJ,O,O,O,X
TILOZJS,O,O,O,X
TILOZSJ,O,O,O,X
TIJLSZO,O,X,X,O
TIJLSOZ,O,X,X,O
TIJLZSO,X,O,X,O
TIJLZOS,O,O,X,O
TIJLOSZ,O,X,X,O
TIJLOZS,O,O,X,O
TIJSLZO,O,X,X,O
TIJSLOZ,O,X,X,O
TIJSZLO,O,X,X,O
TIJSZOL,O,X,X,O
TIJSOLZ,O,X,X,O
TIJSOZL,O,X,X,O
TIJZLSO,X,O,X,O
TIJZLOS,O,O,X,O
TIJZSLO,O,O,X,O
TIJZSOL,O,O,X,O
TIJZOLS,O,O,X,O
TIJZOSL,O,O,X,O
TIJOLSZ,O,X,X,O
TIJOLZS,O,O,X,O
TIJOSLZ,O,X,X,O
TIJOSZL,O,X,X,O
TIJOZLS,O,O,X,O
TIJOZSL,O,O,X,O
TISLJZO,O,X,X,O
TISLJOZ,O,X,X,O
TISLZJO,O,O,X,X
TISLZOJ,O,O,O,X
TISLOJZ,O,X,O,O
TISLOZJ,O,O,O,X
TISJLZO,O,X,X,O
TISJLOZ,O,X,X,O
TISJZLO,O,X,X,O
TISJZOL,O,X,X,O
TISJOLZ,O,X,X,O
TISJOZL,O,X,X,O
TISZLJO,O,O,X,X
TISZLOJ,O,O,O,X
TISZJLO,O,O,X,O
TISZJOL,O,O,X,O
TISZOLJ,O,O,O,X
TISZOJL,O,O,O,O
TISOLJZ,O,X,O,O
TISOLZJ,O,O,O,X
TISOJLZ,O,X,O,O
TISOJZL,O,X,O,O
TISOZLJ,O,O,O,X
TISOZJL,O,O,O,O
TIZLJSO,X,O,X,X
TIZLJOS,O,O,X,X
TIZLSJO,O,O,X,X
TIZLSOJ,O,O,O,X
TIZLOJS,O,O,O,X
TIZLOSJ,O,O,O,X
TIZJLSO,X,O,X,O
TIZJLOS,O,O,X,O
TIZJSLO,O,O,X,O
TIZJSOL,O,O,X,O
TIZJOLS,O,O,X,O
TIZJOSL,O,O,X,O
TIZSLJO,O,O,X,X
TIZSLOJ,O,O,O,X
