sequence,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeGAJvhFThB/nBaoB5?oBUqBFrB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeGAJvhFThBxiB0nB6?tBFqBXrB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeGAJvhFThBynB5oB0?nBFqBXrB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeXBJvhFiiB5oBcrBz?nBFqBGqB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeXBJvhFiiB5oBcrBz?nBGqBFqB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeGAJvhFxiBTmB0nB6?tBFqBXrB
TLIOZSJ,X,X,X,O,X,O
TLJISZO,O,O,O,X,X,X
TLJISOZ,O,O,O,X,X,X
TLJIZSO,X,O,O,X,X,O
TLJIZOS,X,O,X,X,X,O
TLJIOSZ,O,X,O,X,X,X
TLJIOZS,X,X,X,X,X,O
TLJSIZO,O,O,O,X,X,X
TLJSIOZ,O,O,O,X,X,X
TLJSZIO,O,O,O,X,X,O
TLJSZOI,O,O,O,X,X,O
TLJSOIZ,O,O,O,X,X,X
TLJSOZI,O,O,O,X,X,O
TLJZISO,X,O,O,X,X,O
TLJZIOS,X,O,X,X,X,O
TLJZSIO,X,O,O,X,X,O
TLJZSOI,X,O,O,X,X,O
TLJZOIS,X,O,X,X,X,O
TLJZOSI,X,O,X,X,X,O
TLJOISZ,O,X,O,X,X,X
TLJOIZS,X,X,X,X,X,O
TLJOSIZ,O,X,O,X,X,X
TLJOSZI,O,X,O,X,X,O
TLJOZIS,X,O,X,X,X,O
TLJOZSI,X,O,X,X,X,O
TLSIJZO,O,O,O,X,X,X
TLSIJOZ,O,O,O,X,X,X
TLSIZJO,O,O,O,X,X,X
TLSIZOJ,O,O,O,X,X,X
TLSIOJZ,O,O,O,X,X,X
TLSIOZJ,O,O,O,X,X,X
TLSJIZO,O,O,O,X,X,X
TLSJIOZ,O,O,O,X,X,X
TLSJZIO,O,O,O,X,X,O
TLSJZOI,O,O,O,X,X,O
TLSJOIZ,O,O,O,X,X,X
TLSJOZI,O,O,O,X,X,O
TLSZIJO,O,O,O,X,X,O
TLSZIOJ,O,O,O,X,X,O
TLSZJIO,O,O,O,X,X,O
TLSZJOI,O,O,O,X,X,O
TLSZOIJ,O,O,O,X,X,O
TLSZOJI,O,O,O,X,X,O
TLSOIJZ,O,O,O,X,X,X
TLSOIZJ,O,O,O,X,X,X
TLSOJIZ,O,O,O,X,X,X
TLSOJZI,O,O,O,X,X,O
TLSOZIJ,O,O,O,X,X,O
TLSOZJI,O,O,O,X,X,O
TLZIJSO,X,O,O,X,X,O
TLZIJOS,X,O,X,X,X,O
TLZISJO,X,O,O,X,X,O
TLZISOJ,X,O,O,O,X,O
TLZIOJS,X,O,X,O,X,O
TLZIOSJ,X,O,X,O,X,O
TLZJISO,X,O,O,X,X,O
TLZJIOS,X,O,X,X,X,O
TLZJSIO,X,O,O,X,X,O
TLZJSOI,X,O,O,X,X,O
TLZJOIS,X,O,X,X,X,O
TLZJOSI,X,O,X,X,X,O
TLZSIJO,X,O,O,X,X,O
TLZSIOJ,X,O,O,O,X,O
TLZSJIO,X,O,O,X,X,O
TLZSJOI,X,O,O,X,X,O
TLZSOIJ,X,O,O,O,X,O
TLZSOJI,X,O,O,O,X,O
TLZOIJS,X,O,X,O,X,O
TLZOISJ,X,O,X,O,X,O
TLZOJIS,X,O,X,O,X,O
TLZOJSI,X,O,X,O,X,O
TLZOSIJ,X,O,X,O,X,O
TLZOSJI,X,O,X,O,X,O
TLOIJSZ,O,X,O,X,X,X
TLOIJZS,X,X,X,O,X,O
TLOISJZ,O,O,O,X,X,X
TLOISZJ,O,O,O,O,X,X
TLOIZJS,X,X,X,O,X,O
TLOIZSJ,X,X,X,O,X,O
TLOJISZ,O,X,O,X,X,X
TLOJIZS,X,X,X,O,X,O
TLOJSIZ,O,X,O,X,X,X
TLOJSZI,O,X,O,X,X,O
TLOJZIS,X,O,X,O,X,O
TLOJZSI,X,O,X,O,X,O
TLOSIJZ,O,O,O,X,X,X
TLOSIZJ,O,O,O,O,X,X
TLOSJIZ,O,O,O,X,X,X
TLOSJZI,O,O,O,X,X,O
TLOSZIJ,O,O,O,O,X,O
TLOSZJI,O,O,O,O,X,O
TLOZIJS,X,O,X,O,X,O
TLOZISJ,X,O,X,O,X,O
TLOZJIS,X,O,X,O,X,O
TLOZJSI,X,O,X,O,X,O
TLOZSIJ,X,O,X,O,X,O
TLOZSJI,X,O,X,O,X,O
TJILSZO,O,X,O,X,X,X
TJILSOZ,O,X,O,X,X,X
TJILZSO,X,O,O,X,X,O
TJILZOS,X,O,X,X,X,O
TJILOSZ,O,X,O,X,X,X
TJILOZS,X,X,X,X,X,O
TJISLZO,O,X,O,X,X,X
TJISLOZ,O,X,O,X,X,X
TJISZLO,O,X,O,X,X,X
TJISZOL,O,X,O,X,X,X
TJISOLZ,O,X,O,X,X,X
TJISOZL,O,X,O,X,X,X
TJIZLSO,O,O,O,X,X,O
TJIZLOS,O,O,X,X,X,O
TJIZSLO,O,O,X,X,X,X
TJIZSOL,O,O,X,O,O,X
TJIZOLS,O,X,X,O,O,O
TJIZOSL,O,O,X,O,O,X
TJIOLSZ,O,X,O,X,X,X
TJIOLZS,X,X,X,O,O,O
TJIOSLZ,O,X,X,X,X,X
TJIOSZL,O,X,X,X,X,X
TJIOZLS,X,X,X,O,O,O
TJIOZSL,O,X,X,O,O,X
TJLISZO,O,O,O,X,X,X
TJLISOZ,O,O,O,X,X,X
TJLIZSO,X,O,O,X,X,O
TJLIZOS,X,O,X,X,X,O
TJLIOSZ,O,X,O,X,X,X
TJLIOZS,X,X,X,X,X,O
TJLSIZO,O,O,O,X,X,X
TJLSIOZ,O,O,O,X,X,X
TJLSZIO,O,O,O,X,X,O
TJLSZOI,O,O,O,X,X,O
TJLSOIZ,O,O,O,X,X,X
TJLSOZI,O,O,O,X,X,O
TJLZISO,X,O,O,X,X,O
TJLZIOS,X,O,X,X,X,O
TJLZSIO,X,O,O,X,X,O
TJLZSOI,X,O,O,X,X,O
TJLZOIS,X,O,X,X,X,O
TJLZOSI,X,O,X,X,X,O
TJLOISZ,O,X,O,X,X,X
TJLOIZS,X,X,X,X,X,O
TJLOSIZ,O,X,O,X,X,X
TJLOSZI,O,X,O,X,X,O
TJLOZIS,X,O,X,X,X,O
TJLOZSI,X,O,X,X,X,O
TJSILZO,O,O,O,X,X,X
TJSILOZ,O,O,O,X,X,X
TJSIZLO,O,O,O,X,X,X
TJSIZOL,O,O,O,X,X,X
TJSIOLZ,O,O,O,X,X,X
TJSIOZL,O,O,O,X,X,X
TJSLIZO,O,O,O,X,X,X
TJSLIOZ,O,O,O,X,X,X
TJSLZIO,O,O,O,X,X,O
TJSLZOI,O,O,O,X,X,O
TJSLOIZ,O,O,O,X,X,X
TJSLOZI,O,O,O,X,X,O
TJSZILO,O,O,O,X,X,X
TJSZIOL,O,O,O,X,X,X
TJSZLIO,O,O,O,X,X,O
TJSZLOI,O,O,O,X,X,O
TJSZOIL,O,O,O,X,X,X
TJSZOLI,O,O,O,X,X,O
TJSOILZ,O,O,O,X,X,X
TJSOIZL,O,O,O,X,X,X
TJSOLIZ,O,O,O,X,X,X
TJSOLZI,O,O,O,X,X,O
TJSOZIL,O,O,O,X,X,X
TJSOZLI,O,O,O,X,X,O
TJZILSO,O,O,O,X,X,O
TJZILOS,O,O,X,X,X,O
TJZISLO,O,O,X,X,X,X
TJZISOL,O,O,X,O,O,X
TJZIOLS,O,X,X,O,O,O
TJZIOSL,O,O,X,O,O,X
TJZLISO,O,O,O,X,X,O
TJZLIOS,O,O,X,X,X,O
TJZLSIO,O,O,O,X,X,O
TJZLSOI,O,O,O,X,X,O
TJZLOIS,O,O,X,X,X,O
TJZLOSI,O,O,X,X,X,O
TJZSILO,O,O,X,X,X,X
TJZSIOL,O,O,X,O,O,X
TJZSLIO,O,O,X,X,X,O
TJZSLOI,O,O,X,X,X,O
TJZSOIL,O,O,X,O,O,X
TJZSOLI,O,O,X,O,O,O
TJZOILS,O,X,X,O,O,O
TJZOISL,O,O,X,O,O,X
TJZOLIS,O,O,X,O,O,O
TJZOLSI,O,O,X,O,O,O
TJZOSIL,O,O,X,O,O,X
TJZOSLI,O,O,X,O,O,O
TJOILSZ,O,X,O,X,X,X
TJOILZS,X,X,X,O,O,O
TJOISLZ,O,X,X,X,X,X
TJOISZL,O,X,X,X,X,X
TJOIZLS,X,X,X,O,O,O
TJOIZSL,O,X,X,O,O,X
TJOLISZ,O,X,O,X,X,X
TJOLIZS,X,X,X,O,O,O
TJOLSIZ,O,X,O,X,X,X
TJOLSZI,O,X,O,X,X,O
TJOLZIS,X,O,X,O,O,O
TJOLZSI,X,O,X,O,O,O
TJOSILZ,O,X,X,X,X,X
TJOSIZL,O,X,X,X,X,X
TJOSLIZ,O,X,X,X,X,X
TJOSLZI,O,X,X,X,X,O
TJOSZIL,O,X,X,X,X,X
TJOSZLI,O,X,X,X,X,O
TJOZILS,X,X,X,O,O,O
TJOZISL,O,O,X,O,O,X
TJOZLIS,X,O,X,O,O,O
TJOZLSI,X,O,X,O,O,O
TJOZSIL,O,O,X,O,O,X
TJOZSLI,O,O,X,O,O,O
TSILJZO,O,O,O,X,X,X
TSILJOZ,O,O,O,X,X,X
TSILZJO,O,O,O,X,X,X
TSILZOJ,O,O,O,X,X,X
TSILOJZ,O,O,O,X,X,X
TSILOZJ,O,O,O,X,X,X
TSIJLZO,O,O,O,X,X,X
TSIJLOZ,O,O,O,X,X,X
TSIJZLO,O,O,O,X,X,X
TSIJZOL,O,O,O,X,X,X
TSIJOLZ,O,O,O,X,X,X
TSIJOZL,O,O,O,X,X,X
TSIZLJO,O,O,O,X,X,X
TSIZLOJ,O,O,O,O,X,X
TSIZJLO,O,O,O,X,X,X
TSIZJOL,O,O,O,O,X,X
TSIZOLJ,O,O,O,O,X,X
TSIZOJL,O,O,O,O,X,X
TSIOLJZ,O,O,O,X,X,X
TSIOLZJ,O,O,O,O,X,X
TSIOJLZ,O,O,O,X,X,X
TSIOJZL,O,O,O,X,X,X
TSIOZLJ,O,O,O,O,X,X
TSIOZJL,O,O,O,O,X,X
TSLIJZO,O,O,O,X,X,X
TSLIJOZ,O,O,O,X,X,X
TSLIZJO,O,O,O,X,X,X
TSLIZOJ,O,O,O,X,X,X
TSLIOJZ,O,O,O,X,X,X
TSLIOZJ,O,O,O,X,X,X
TSLJIZO,O,O,O,X,X,X
TSLJIOZ,O,O,O,X,X,X
TSLJZIO,O,O,O,X,X,O
TSLJZOI,O,O,O,X,X,O
TSLJOIZ,O,O,O,X,X,X
TSLJOZI,O,O,O,X,X,O
TSLZIJO,O,O,O,X,X,O
TSLZIOJ,O,O,O,X,X,O
TSLZJIO,O,O,O,X,X,O
TSLZJOI,O,O,O,X,X,O
TSLZOIJ,O,O,O,X,X,O
TSLZOJI,O,O,O,X,X,O
TSLOIJZ,O,O,O,X,X,X
TSLOIZJ,O,O,O,X,X,X
TSLOJIZ,O,O,O,X,X,X
TSLOJZI,O,O,O,X,X,O
TSLOZIJ,O,O,O,X,X,O
TSLOZJI,O,O,O,X,X,O
TSJILZO,O,O,O,X,X,X
TSJILOZ,O,O,O,X,X,X
TSJIZLO,O,O,O,X,X,X
TSJIZOL,O,O,O,X,X,X
TSJIOLZ,O,O,O,X,X,X
TSJIOZL,O,O,O,X,X,X
TSJLIZO,O,O,O,X,X,X
TSJLIOZ,O,O,O,X,X,X
TSJLZIO,O,O,O,X,X,O
TSJLZOI,O,O,O,X,X,O
TSJLOIZ,O,O,O,X,X,X
TSJLOZI,O,O,O,X,X,O
TSJZILO,O,O,O,X,X,X
TSJZIOL,O,O,O,X,X,X
TSJZLIO,O,O,O,X,X,O
TSJZLOI,O,O,O,X,X,O
TSJZOIL,O,O,O,X,X,X
TSJZOLI,O,O,O,X,X,O
TSJOILZ,O,O,O,X,X,X
TSJOIZL,O,O,O,X,X,X
TSJOLIZ,O,O,O,X,X,X
TSJOLZI,O,O,O,X,X,O
TSJOZIL,O,O,O,X,X,X
TSJOZLI,O,O,O,X,X,O
TSZILJO,O,O,O,X,X,X
TSZILOJ,O,O,O,O,X,X
TSZIJLO,O,O,O,X,X,X
TSZIJOL,O,O,O,O,X,X
TSZIOLJ,O,O,O,O,X,X
TSZIOJL,O,O,O,O,X,X
TSZLIJO,O,O,O,X,X,O
TSZLIOJ,O,O,O,O,X,O
TSZLJIO,O,O,O,X,X,O
TSZLJOI,O,O,O,X,X,O
TSZLOIJ,O,O,O,O,X,O
TSZLOJI,O,O,O,O,X,O
TSZJILO,O,O,O,X,X,X
TSZJIOL,O,O,O,O,X,X
TSZJLIO,O,O,O,X,X,O
TSZJLOI,O,O,O,X,X,O
TSZJOIL,O,O,O,O,X,X
TSZJOLI,O,O,O,O,X,O
TSZOILJ,O,O,O,O,X,X
TSZOIJL,O,O,O,O,X,X
TSZOLIJ,O,O,O,O,X,O
TSZOLJI,O,O,O,O,X,O
TSZOJIL,O,O,O,O,X,X
TSZOJLI,O,O,O,O,X,O
TSOILJZ,O,O,O,X,X,X
TSOILZJ,O,O,O,O,X,X
TSOIJLZ,O,O,O,X,X,X
TSOIJZL,O,O,O,X,X,X
TSOIZLJ,O,O,O,O,X,X
TSOIZJL,O,O,O,O,X,X
TSOLIJZ,O,O,O,X,X,X
TSOLIZJ,O,O,O,O,X,X
TSOLJIZ,O,O,O,X,X,X
TSOLJZI,O,O,O,X,X,O
TSOLZIJ,O,O,O,O,X,O
TSOLZJI,O,O,O,O,X,O
TSOJILZ,O,O,O,X,X,X
TSOJIZL,O,O,O,X,X,X
TSOJLIZ,O,O,O,X,X,X
TSOJLZI,O,O,O,X,X,O
TSOJZIL,O,O,O,X,X,X
TSOJZLI,O,O,O,X,X,O
TSOZILJ,O,O,O,O,X,X
TSOZIJL,O,O,O,O,X,X
TSOZLIJ,O,O,O,O,X,O
TSOZLJI,O,O,O,O,X,O
TSOZJIL,O,O,O,O,X,X
TSOZJLI,O,O,O,O,X,O
TZILJSO,O,O,O,X,X,O
TZILJOS,O,O,X,X,X,O
TZILSJO,O,O,O,X,X,O
TZILSOJ,O,O,O,O,X,O
TZILOJS,O,O,X,O,X,O
TZILOSJ,O,O,X,O,X,O
TZIJLSO,O,O,O,X,X,O
TZIJLOS,O,O,X,X,X,O
TZIJSLO,O,O,X,X,X,X
TZIJSOL,O,O,X,O,O,X
TZIJOLS,O,X,X,O,O,O
TZIJOSL,O,O,X,O,O,X
TZISLJO,O,O,O,X,X,X
TZISLOJ,O,O,O,O,X,X
TZISJLO,O,O,O,X,X,X
TZISJOL,O,O,O,O,X,X
TZISOLJ,O,O,O,O,O,X
TZISOJL,O,O,O,O,X,X
TZIOLJS,O,X,X,O,O,O
TZIOLSJ,O,X,X,O,O,O
TZIOJLS,O,X,X,O,O,O
TZIOJSL,O,O,X,O,O,X
TZIOSLJ,O,O,X,O,O,X
TZIOSJL,O,O,X,O,X,X
TZLIJSO,O,O,O,X,X,O
TZLIJOS,O,O,X,X,X,O
TZLISJO,O,O,O,X,X,O
TZLISOJ,O,O,O,O,X,O
TZLIOJS,O,O,X,O,X,O
TZLIOSJ,O,O,X,O,X,O
TZLJISO,O,O,O,X,X,O
TZLJIOS,O,O,X,X,X,O
TZLJSIO,O,O,O,X,X,O
TZLJSOI,O,O,O,X,X,O
TZLJOIS,O,O,X,X,X,O
TZLJOSI,O,O,X,X,X,O
TZLSIJO,O,O,O,X,X,O
TZLSIOJ,O,O,O,O,X,O
TZLSJIO,O,O,O,X,X,O
TZLSJOI,O,O,O,X,X,O
TZLSOIJ,O,O,O,O,X,O
TZLSOJI,O,O,O,O,X,O
TZLOIJS,O,O,X,O,X,O
TZLOISJ,O,O,X,O,X,O
TZLOJIS,O,O,X,O,X,O
TZLOJSI,O,O,X,O,X,O
TZLOSIJ,O,O,X,O,X,O
TZLOSJI,O,O,X,O,X,O
TZJILSO,O,O,O,X,X,O
TZJILOS,O,O,X,X,X,O
TZJISLO,O,O,X,X,X,X
TZJISOL,O,O,X,O,O,X
TZJIOLS,O,X,X,O,O,O
TZJIOSL,O,O,X,O,O,X
TZJLISO,O,O,O,X,X,O
TZJLIOS,O,O,X,X,X,O
TZJLSIO,O,O,O,X,X,O
TZJLSOI,O,O,O,X,X,O
TZJLOIS,O,O,X,X,X,O
TZJLOSI,O,O,X,X,X,O
TZJSILO,O,O,X,X,X,X
TZJSIOL,O,O,X,O,O,X
TZJSLIO,O,O,X,X,X,O
TZJSLOI,O,O,X,X,X,O
TZJSOIL,O,O,X,O,O,X
TZJSOLI,O,O,X,O,O,O
TZJOILS,O,X,X,O,O,O
TZJOISL,O,O,X,O,O,X
TZJOLIS,O,O,X,O,O,O
TZJOLSI,O,O,X,O,O,O
TZJOSIL,O,O,X,O,O,X
TZJOSLI,O,O,X,O,O,O
TZSILJO,O,O,O,X,X,X
TZSILOJ,O,O,O,O,X,X
TZSIJLO,O,O,O,X,X,X
TZSIJOL,O,O,O,O,X,X
TZSIOLJ,O,O,O,O,O,X
TZSIOJL,O,O,O,O,X,X
TZSLIJO,O,O,O,X,X,O
TZSLIOJ,O,O,O,O,X,O
TZSLJIO,O,O,O,X,X,O
TZSLJOI,O,O,O,X,X,O
TZSLOIJ,O,O,O,O,X,O
TZSLOJI,O,O,O,O,X,O
TZSJILO,O,O,O,X,X,X
TZSJIOL,O,O,O,O,X,X
TZSJLIO,O,O,O,X,X,O
TZSJLOI,O,O,O,X,X,O
TZSJOIL,O,O,O,O,X,X
TZSJOLI,O,O,O,O,X,O
TZSOILJ,O,O,O,O,O,X
TZSOIJL,O,O,O,O,X,X
TZSOLIJ,O,O,O,O,O,O
TZSOLJI,O,O,O,O,X,O
TZSOJIL,O,O,O,O,X,X
