sequence,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeGAJvhFThB/nBaoB5?oBUqBFrB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeGAJvhFThBxiB0nB6?tBFqBXrB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeGAJvhFThBynB5oB0?nBFqBXrB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeXBJvhFiiB5oBcrBz?nBFqBGqB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeXBJvhFiiB5oBcrBz?nBGqBFqB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeGAJvhFxiBTmB0nB6?tBFqBXrB
TOJILSZ,O,X,O,X,X,X
TOJILZS,X,X,X,O,O,O
TOJISLZ,O,X,X,X,X,X
TOJISZL,O,X,X,X,X,X
TOJIZLS,X,X,X,O,O,O
TOJIZSL,O,X,X,O,O,X
TOJLISZ,O,X,O,X,X,X
TOJLIZS,X,X,X,O,O,O
TOJLSIZ,O,X,O,X,X,X
TOJLSZI,O,X,O,X,X,O
TOJLZIS,X,O,X,O,O,O
TOJLZSI,X,O,X,O,O,O
TOJSILZ,O,X,X,X,X,X
TOJSIZL,O,X,X,X,X,X
TOJSLIZ,O,X,X,X,X,X
TOJSLZI,O,X,X,X,X,O
TOJSZIL,O,X,X,X,X,X
TOJSZLI,O,X,X,X,X,O
TOJZILS,X,X,X,O,O,O
TOJZISL,O,O,X,O,O,X
TOJZLIS,X,O,X,O,O,O
TOJZLSI,X,O,X,O,O,O
TOJZSIL,O,O,X,O,O,X
TOJZSLI,O,O,X,O,O,O
TOSILJZ,O,O,O,X,X,X
TOSILZJ,O,O,O,O,X,X
TOSIJLZ,O,O,O,X,X,X
TOSIJZL,O,O,O,X,X,X
TOSIZLJ,O,O,O,O,X,X
TOSIZJL,O,O,O,O,X,X
TOSLIJZ,O,O,O,X,X,X
TOSLIZJ,O,O,O,O,X,X
TOSLJIZ,O,O,O,X,X,X
TOSLJZI,O,O,O,X,X,O
TOSLZIJ,O,O,O,O,X,O
TOSLZJI,O,O,O,O,X,O
TOSJILZ,O,O,O,X,X,X
TOSJIZL,O,O,O,X,X,X
TOSJLIZ,O,O,O,X,X,X
TOSJLZI,O,O,O,X,X,O
TOSJZIL,O,O,O,X,X,X
TOSJZLI,O,O,O,X,X,O
TOSZILJ,O,O,O,O,X,X
TOSZIJL,O,O,O,O,X,X
TOSZLIJ,O,O,O,O,X,O
TOSZLJI,O,O,O,O,X,O
TOSZJIL,O,O,O,O,X,X
TOSZJLI,O,O,O,O,X,O
TOZILJS,X,X,X,O,O,O
TOZILSJ,X,X,X,O,O,O
TOZIJLS,X,X,X,O,O,O
TOZIJSL,O,O,X,O,O,X
TOZISLJ,O,O,X,O,O,X
TOZISJL,O,O,X,O,X,X
TOZLIJS,X,O,X,O,O,O
TOZLISJ,X,O,X,O,O,O
TOZLJIS,X,O,X,O,O,O
TOZLJSI,X,O,X,O,O,O
TOZLSIJ,X,O,X,O,O,O
TOZLSJI,X,O,X,O,X,O
TOZJILS,X,X,X,O,O,O
TOZJISL,O,O,X,O,O,X
TOZJLIS,X,O,X,O,O,O
TOZJLSI,X,O,X,O,O,O
TOZJSIL,O,O,X,O,O,X
TOZJSLI,O,O,X,O,O,O
TOZSILJ,O,O,X,O,O,X
TOZSIJL,O,O,X,O,X,X
TOZSLIJ,O,O,X,O,O,O
TOZSLJI,O,O,X,O,X,O
TOZSJIL,O,O,X,O,X,X
TOZSJLI,O,O,X,O,X,O
ITLJSZO,O,O,O,X,X,X
ITLJSOZ,O,O,O,X,X,X
ITLJZSO,X,O,O,X,X,O
ITLJZOS,X,O,X,X,X,O
ITLJOSZ,O,X,O,X,X,X
ITLJOZS,X,X,X,X,X,O
ITLSJZO,O,O,O,X,X,X
ITLSJOZ,O,O,O,X,X,X
ITLSZJO,O,O,O,X,X,X
ITLSZOJ,O,O,O,X,X,X
ITLSOJZ,O,O,O,X,X,X
ITLSOZJ,O,O,O,X,X,X
ITLZJSO,X,O,O,X,X,O
ITLZJOS,X,O,X,X,X,O
ITLZSJO,X,O,O,X,X,O
ITLZSOJ,X,O,O,O,X,O
ITLZOJS,X,O,X,O,X,O
ITLZOSJ,X,O,X,O,X,O
ITLOJSZ,O,X,O,X,X,X
ITLOJZS,X,X,X,O,X,O
ITLOSJZ,O,O,O,X,X,X
ITLOSZJ,O,O,O,O,X,X
ITLOZJS,X,X,X,O,X,O
ITLOZSJ,X,X,X,O,X,O
ITJLSZO,O,X,O,X,X,X
ITJLSOZ,O,X,O,X,X,X
ITJLZSO,X,O,O,X,X,O
ITJLZOS,X,O,X,X,X,O
ITJLOSZ,O,X,O,X,X,X
ITJLOZS,X,X,X,X,X,O
ITJSLZO,O,X,O,X,X,X
ITJSLOZ,O,X,O,X,X,X
ITJSZLO,O,X,O,X,X,X
ITJSZOL,O,X,O,X,X,X
ITJSOLZ,O,X,O,X,X,X
ITJSOZL,O,X,O,X,X,X
ITJZLSO,O,O,O,X,X,O
ITJZLOS,O,O,X,X,X,O
ITJZSLO,O,O,X,X,X,X
ITJZSOL,O,O,X,O,O,X
ITJZOLS,O,X,X,O,O,O
ITJZOSL,O,O,X,O,O,X
ITJOLSZ,O,X,O,X,X,X
ITJOLZS,X,X,X,O,O,O
ITJOSLZ,O,X,X,X,X,X
ITJOSZL,O,X,X,X,X,X
ITJOZLS,X,X,X,O,O,O
ITJOZSL,O,X,X,O,O,X
ITSLJZO,O,O,O,X,X,X
ITSLJOZ,O,O,O,X,X,X
ITSLZJO,O,O,O,X,X,X
ITSLZOJ,O,O,O,X,X,X
ITSLOJZ,O,O,O,X,X,X
ITSLOZJ,O,O,O,X,X,X
ITSJLZO,O,O,O,X,X,X
ITSJLOZ,O,O,O,X,X,X
ITSJZLO,O,O,O,X,X,X
ITSJZOL,O,O,O,X,X,X
ITSJOLZ,O,O,O,X,X,X
ITSJOZL,O,O,O,X,X,X
ITSZLJO,O,O,O,X,X,X
ITSZLOJ,O,O,O,O,X,X
ITSZJLO,O,O,O,X,X,X
ITSZJOL,O,O,O,O,X,X
ITSZOLJ,O,O,O,O,X,X
ITSZOJL,O,O,O,O,X,X
ITSOLJZ,O,O,O,X,X,X
ITSOLZJ,O,O,O,O,X,X
ITSOJLZ,O,O,O,X,X,X
ITSOJZL,O,O,O,X,X,X
ITSOZLJ,O,O,O,O,X,X
ITSOZJL,O,O,O,O,X,X
ITZLJSO,O,O,O,X,X,O
ITZLJOS,O,O,X,X,X,O
ITZLSJO,O,O,O,X,X,O
ITZLSOJ,O,O,O,O,X,O
ITZLOJS,O,O,X,O,X,O
ITZLOSJ,O,O,X,O,X,O
ITZJLSO,O,O,O,X,X,O
ITZJLOS,O,O,X,X,X,O
ITZJSLO,O,O,X,X,X,X
ITZJSOL,O,O,X,O,O,X
ITZJOLS,O,X,X,O,O,O
ITZJOSL,O,O,X,O,O,X
ITZSLJO,O,O,O,X,X,X
ITZSLOJ,O,O,O,O,X,X
ITZSJLO,O,O,O,X,X,X
ITZSJOL,O,O,O,O,X,X
ITZSOLJ,O,O,O,O,O,X
ITZSOJL,O,O,O,O,X,X
ITZOLJS,O,X,X,O,O,O
ITZOLSJ,O,X,X,O,O,O
ITZOJLS,O,X,X,O,O,O
ITZOJSL,O,O,X,O,O,X
ITZOSLJ,O,O,X,O,O,X
ITZOSJL,O,O,X,O,X,X
ITOLJSZ,O,X,O,X,X,X
ITOLJZS,X,X,X,O,O,O
ITOLSJZ,O,X,O,X,X,X
ITOLSZJ,O,X,O,O,X,X
ITOLZJS,X,X,X,O,O,O
ITOLZSJ,X,X,X,O,O,O
ITOJLSZ,O,X,O,X,X,X
ITOJLZS,X,X,X,O,O,O
ITOJSLZ,O,X,X,X,X,X
ITOJSZL,O,X,X,X,X,X
ITOJZLS,X,X,X,O,O,O
ITOJZSL,O,X,X,O,O,X
ITOSLJZ,O,X,O,X,X,X
ITOSLZJ,O,X,O,O,X,X
ITOSJLZ,O,X,O,X,X,X
ITOSJZL,O,X,O,X,X,X
ITOSZLJ,O,X,O,O,X,X
ITOSZJL,O,X,O,O,X,X
ITOZLJS,X,X,X,O,O,O
ITOZLSJ,X,X,X,O,O,O
ITOZJLS,X,X,X,O,O,O
ITOZJSL,O,X,X,O,O,X
ITOZSLJ,O,X,X,O,O,X
ITOZSJL,O,X,X,O,X,X
ILTJSZO,O,O,O,X,X,X
ILTJSOZ,O,O,O,X,X,X
ILTJZSO,X,O,O,X,X,O
ILTJZOS,X,O,X,X,X,O
ILTJOSZ,O,X,O,X,X,X
ILTJOZS,X,X,X,X,X,O
ILTSJZO,O,O,O,X,X,X
ILTSJOZ,O,O,O,X,X,X
ILTSZJO,O,O,O,X,X,X
ILTSZOJ,O,O,O,X,X,X
ILTSOJZ,O,O,O,X,X,X
ILTSOZJ,O,O,O,X,X,X
ILTZJSO,X,O,O,X,X,O
ILTZJOS,X,O,X,X,X,O
ILTZSJO,X,O,O,X,X,O
ILTZSOJ,X,O,O,O,X,O
ILTZOJS,X,O,X,O,X,O
ILTZOSJ,X,O,X,O,X,O
ILTOJSZ,O,X,O,X,X,X
ILTOJZS,X,X,X,O,X,O
ILTOSJZ,O,O,O,X,X,X
ILTOSZJ,O,O,O,O,X,X
ILTOZJS,X,X,X,O,X,O
ILTOZSJ,X,X,X,O,X,O
ILJTSZO,O,O,O,X,X,X
ILJTSOZ,O,O,O,X,X,X
ILJTZSO,X,O,O,X,X,O
ILJTZOS,X,O,X,X,X,O
ILJTOSZ,O,X,O,X,X,X
ILJTOZS,X,X,X,X,X,O
ILJSTZO,O,X,O,X,X,X
ILJSTOZ,O,O,O,X,X,X
ILJSZTO,O,O,X,X,X,X
ILJSZOT,O,O,O,X,X,X
ILJSOTZ,O,O,O,X,X,X
ILJSOZT,O,O,O,X,X,X
ILJZTSO,O,O,O,X,X,O
ILJZTOS,O,O,X,X,X,O
ILJZSTO,O,O,X,X,X,O
ILJZSOT,O,O,O,X,O,X
ILJZOTS,X,O,X,X,O,O
ILJZOST,X,O,X,X,O,X
ILJOTSZ,X,X,O,X,X,X
ILJOTZS,X,X,X,X,O,X
ILJOSTZ,X,O,O,X,X,X
ILJOSZT,X,O,O,X,O,X
ILJOZTS,X,X,X,X,O,X
ILJOZST,X,X,X,X,O,X
ILSTJZO,O,O,O,X,X,X
ILSTJOZ,O,O,O,X,X,X
ILSTZJO,O,O,O,X,X,X
ILSTZOJ,O,O,O,X,X,X
ILSTOJZ,O,O,O,X,X,X
ILSTOZJ,O,O,O,X,X,X
ILSJTZO,O,X,O,X,X,X
ILSJTOZ,O,O,O,X,X,X
ILSJZTO,O,O,X,X,X,X
ILSJZOT,O,O,O,X,X,X
ILSJOTZ,O,O,O,X,X,X
ILSJOZT,O,O,O,X,X,X
ILSZTJO,O,O,X,X,X,X
ILSZTOJ,O,O,X,X,X,X
ILSZJTO,O,O,X,X,X,X
ILSZJOT,O,O,O,X,X,X
ILSZOTJ,O,O,X,X,X,X
ILSZOJT,O,O,O,X,X,X
ILSOTJZ,O,O,O,X,X,X
ILSOTZJ,O,X,X,X,X,X
ILSOJTZ,O,O,O,X,X,X
ILSOJZT,O,O,O,X,X,X
ILSOZTJ,O,O,X,X,X,X
ILSOZJT,O,O,O,X,X,X
ILZTJSO,O,O,O,X,X,O
ILZTJOS,O,O,X,X,X,O
ILZTSJO,O,O,O,X,X,O
ILZTSOJ,O,O,O,X,X,O
ILZTOJS,O,O,X,X,X,O
ILZTOSJ,O,O,X,X,X,O
ILZJTSO,O,O,O,X,X,O
ILZJTOS,O,O,X,X,X,O
ILZJSTO,O,O,X,X,X,O
ILZJSOT,O,O,O,X,O,X
ILZJOTS,X,O,X,X,O,O
ILZJOST,X,O,X,X,O,X
ILZSTJO,O,O,X,X,X,O
ILZSTOJ,O,O,X,X,X,O
ILZSJTO,O,O,X,X,X,O
ILZSJOT,O,O,O,X,X,X
ILZSOTJ,O,O,X,O,O,X
ILZSOJT,O,O,O,O,O,X
ILZOTJS,X,O,X,X,O,O
ILZOTSJ,X,O,X,O,O,O
ILZOJTS,X,O,X,X,O,O
ILZOJST,X,O,X,O,O,X
ILZOSTJ,X,O,X,O,O,X
ILZOSJT,X,O,X,O,O,X
ILOTJSZ,X,X,O,X,X,X
ILOTJZS,X,X,X,O,O,X
ILOTSJZ,X,O,O,X,X,X
ILOTSZJ,X,O,O,O,X,X
ILOTZJS,X,X,X,O,O,X
ILOTZSJ,X,X,X,O,O,X
ILOJTSZ,X,X,O,X,X,X
ILOJTZS,X,X,X,O,O,X
ILOJSTZ,X,O,O,X,X,X
ILOJSZT,X,O,O,X,O,X
ILOJZTS,X,X,X,X,O,X
ILOJZST,X,X,X,O,O,X
ILOSTJZ,X,O,O,X,X,X
ILOSTZJ,X,X,X,O,X,X
ILOSJTZ,X,O,O,X,X,X
ILOSJZT,X,O,O,X,O,X
ILOSZTJ,X,X,X,O,O,X
ILOSZJT,X,O,O,O,O,X
ILOZTJS,X,X,X,O,O,X
ILOZTSJ,X,X,X,O,O,X
ILOZJTS,X,X,X,X,O,X
ILOZJST,X,X,X,O,O,X
ILOZSTJ,X,X,X,O,O,X
ILOZSJT,X,X,X,O,O,X
IJTLSZO,O,X,O,X,X,X
IJTLSOZ,O,X,O,X,X,X
IJTLZSO,X,O,O,X,X,O
IJTLZOS,X,O,X,X,X,O
IJTLOSZ,O,X,O,X,X,X
IJTLOZS,X,X,X,X,X,O
IJTSLZO,O,X,O,X,X,X
IJTSLOZ,O,X,O,X,X,X
IJTSZLO,O,X,O,X,X,X
IJTSZOL,O,X,O,X,X,X
IJTSOLZ,O,X,O,X,X,X
IJTSOZL,O,X,O,X,X,X
IJTZLSO,O,O,O,X,X,O
IJTZLOS,O,O,X,X,X,O
IJTZSLO,O,O,X,X,X,X
IJTZSOL,O,O,X,O,O,X
IJTZOLS,O,X,X,O,O,O
IJTZOSL,O,O,X,O,O,X
IJTOLSZ,O,X,O,X,X,X
IJTOLZS,X,X,X,O,O,O
IJTOSLZ,O,X,X,X,X,X
IJTOSZL,O,X,X,X,X,X
IJTOZLS,X,X,X,O,O,O
IJTOZSL,O,X,X,O,O,X
IJLTSZO,O,X,O,X,X,X
IJLTSOZ,O,O,O,X,X,X
IJLTZSO,X,O,O,X,X,O
IJLTZOS,X,O,X,X,X,O
IJLTOSZ,O,X,O,X,X,X
IJLTOZS,X,X,X,X,X,O
IJLSTZO,O,X,O,X,X,X
IJLSTOZ,O,O,O,X,X,X
IJLSZTO,O,O,X,X,X,X
IJLSZOT,O,O,O,X,X,X
IJLSOTZ,O,O,O,X,X,X
IJLSOZT,O,O,O,X,X,X
IJLZTSO,O,O,O,X,X,O
IJLZTOS,O,O,X,X,X,O
IJLZSTO,O,O,X,X,X,O
IJLZSOT,O,O,O,X,O,X
IJLZOTS,X,O,X,X,O,O
IJLZOST,X,O,X,X,O,X
IJLOTSZ,X,X,O,X,X,X
IJLOTZS,X,X,X,X,O,X
IJLOSTZ,X,O,O,X,X,X
IJLOSZT,X,O,O,X,O,X
IJLOZTS,X,X,X,X,O,X
IJLOZST,X,X,X,X,O,X
IJSTLZO,O,X,O,X,X,X
IJSTLOZ,O,X,O,X,X,X
IJSTZLO,O,X,X,X,X,X
IJSTZOL,O,X,X,X,X,X
IJSTOLZ,O,X,O,X,X,X
IJSTOZL,O,X,X,X,X,X
IJSLTZO,O,X,O,X,X,X
IJSLTOZ,O,O,O,X,X,X
IJSLZTO,O,O,X,X,X,X
IJSLZOT,O,O,O,X,X,X
IJSLOTZ,O,O,O,X,X,X
IJSLOZT,O,O,O,X,X,X
IJSZTLO,O,X,X,X,X,X
IJSZTOL,O,O,X,X,O,X
IJSZLTO,O,O,X,X,X,X
IJSZLOT,O,O,O,X,O,X
IJSZOTL,O,O,X,X,O,X
IJSZOLT,O,O,O,X,O,X
IJSOTLZ,O,X,O,X,X,X
IJSOTZL,O,X,X,X,X,X
IJSOLTZ,O,O,O,X,X,X
IJSOLZT,O,O,O,X,O,X
IJSOZTL,O,O,X,X,O,X
IJSOZLT,O,O,O,X,O,X
IJZTLSO,O,O,O,X,X,O
IJZTLOS,O,O,X,X,X,O
IJZTSLO,O,O,X,X,X,X
IJZTSOL,O,O,X,X,O,X
IJZTOLS,O,X,X,X,O,O
IJZTOSL,O,O,X,X,O,X
IJZLTSO,O,O,O,X,X,O
IJZLTOS,O,O,X,X,X,O
IJZLSTO,O,O,X,X,X,O
IJZLSOT,O,O,O,X,O,X
IJZLOTS,X,O,X,X,O,O
IJZLOST,X,O,X,X,O,X
IJZSTLO,O,O,X,X,X,X
IJZSTOL,O,O,X,X,O,X
IJZSLTO,O,O,X,X,X,X
IJZSLOT,O,O,O,X,O,X
IJZSOTL,O,O,X,X,O,X
IJZSOLT,O,O,O,O,O,X
IJZOTLS,O,X,X,X,O,X
IJZOTSL,O,O,X,X,O,X
IJZOLTS,X,X,X,X,O,X
IJZOLST,X,X,X,O,O,X
IJZOSTL,O,O,X,X,O,X
IJZOSLT,O,O,X,O,O,X
IJOTLSZ,O,X,O,X,X,X
IJOTLZS,X,X,X,O,O,X
IJOTSLZ,O,X,X,X,X,X
IJOTSZL,O,X,X,X,X,X
IJOTZLS,X,X,X,O,O,X
IJOTZSL,O,X,X,O,O,X
IJOLTSZ,X,X,O,X,X,X
IJOLTZS,X,X,X,O,O,X
IJOLSTZ,X,X,O,X,X,X
IJOLSZT,X,X,O,X,O,X
IJOLZTS,X,X,X,X,O,X
IJOLZST,X,X,X,O,O,X
IJOSTLZ,O,X,O,X,X,X
IJOSTZL,O,X,X,X,X,X
IJOSLTZ,O,X,O,X,X,X
IJOSLZT,O,X,O,X,O,X
IJOSZTL,O,X,X,X,O,X
IJOSZLT,O,X,O,X,O,X
IJOZTLS,O,X,X,X,O,X
IJOZTSL,O,X,X,X,O,X
IJOZLTS,X,X,X,X,O,X
IJOZLST,X,X,X,O,O,X
IJOZSTL,O,X,X,X,O,X
IJOZSLT,O,X,X,O,O,X
ISTLJZO,O,X,O,X,X,X
ISTLJOZ,O,X,O,X,X,X
ISTLZJO,O,X,O,X,X,X
ISTLZOJ,O,X,O,X,X,X
ISTLOJZ,O,X,O,X,X,X
ISTLOZJ,O,X,O,X,X,X
ISTJLZO,O,X,O,X,X,X
ISTJLOZ,O,X,O,X,X,X
ISTJZLO,O,X,O,X,X,X
ISTJZOL,O,X,O,X,X,X
ISTJOLZ,O,X,O,X,X,X
ISTJOZL,O,X,O,X,X,X
ISTZLJO,O,X,O,X,X,X
ISTZLOJ,O,X,O,O,X,X
ISTZJLO,O,X,O,X,X,X
ISTZJOL,O,X,O,O,X,X
ISTZOLJ,O,X,O,O,X,X
ISTZOJL,O,X,O,O,X,X
ISTOLJZ,O,X,O,X,X,X
ISTOLZJ,O,X,O,O,X,X
ISTOJLZ,O,X,O,X,X,X
ISTOJZL,O,X,O,X,X,X
ISTOZLJ,O,X,O,O,X,X
ISTOZJL,O,X,O,O,X,X
ISLTJZO,O,X,O,X,X,X
ISLTJOZ,O,O,O,X,X,X
ISLTZJO,O,X,O,X,X,X
ISLTZOJ,O,X,O,X,X,X
ISLTOJZ,O,O,O,X,X,X
ISLTOZJ,O,X,O,X,X,X
ISLJTZO,O,X,O,X,X,X
ISLJTOZ,O,O,O,X,X,X
ISLJZTO,O,O,X,X,X,X
ISLJZOT,O,O,O,X,X,X
ISLJOTZ,O,O,O,X,X,X
ISLJOZT,O,O,O,X,X,X
ISLZTJO,O,O,X,X,X,X
ISLZTOJ,O,O,X,X,X,X
ISLZJTO,O,O,X,X,X,X
ISLZJOT,O,O,O,X,X,X
ISLZOTJ,O,O,X,X,X,X
ISLZOJT,O,O,O,X,X,X
ISLOTJZ,O,O,O,X,X,X
ISLOTZJ,O,X,X,X,X,X
ISLOJTZ,O,O,O,X,X,X
ISLOJZT,O,O,O,X,X,X
ISLOZTJ,O,O,X,X,X,X
ISLOZJT,O,O,O,X,X,X
ISJTLZO,O,X,O,X,X,X
ISJTLOZ,O,X,O,X,X,X
ISJTZLO,O,X,X,X,X,X
ISJTZOL,O,X,X,X,X,X
ISJTOLZ,O,X,O,X,X,X
ISJTOZL,O,X,X,X,X,X
ISJLTZO,O,X,O,X,X,X
ISJLTOZ,O,O,O,X,X,X
ISJLZTO,O,O,X,X,X,X
ISJLZOT,O,O,O,X,X,X
ISJLOTZ,O,O,O,X,X,X
ISJLOZT,O,O,O,X,X,X
ISJZTLO,O,X,X,X,X,X
ISJZTOL,O,O,X,X,O,X
ISJZLTO,O,O,X,X,X,X
ISJZLOT,O,O,O,X,O,X
ISJZOTL,O,O,X,X,O,X
ISJZOLT,O,O,O,X,O,X
ISJOTLZ,O,X,O,X,X,X
ISJOTZL,O,X,X,X,X,X
ISJOLTZ,O,O,O,X,X,X
ISJOLZT,O,O,O,X,O,X
ISJOZTL,O,O,X,X,O,X
ISJOZLT,O,O,O,X,O,X
ISZTLJO,O,X,X,X,X,X
ISZTLOJ,O,X,X,X,X,X
ISZTJLO,O,X,X,X,X,X
ISZTJOL,O,O,X,X,X,X
ISZTOLJ,O,X,X,O,O,X
ISZTOJL,O,O,X,X,X,X
ISZLTJO,O,O,X,X,X,X
ISZLTOJ,O,O,X,X,X,X
ISZLJTO,O,O,X,X,X,X
ISZLJOT,O,O,O,X,X,X
ISZLOTJ,O,O,X,O,O,X
ISZLOJT,O,O,O,O,O,X
ISZJTLO,O,X,X,X,X,X
ISZJTOL,O,O,X,X,O,X
ISZJLTO,O,O,X,X,X,X
ISZJLOT,O,O,O,X,O,X
ISZJOTL,O,O,X,X,O,X
ISZJOLT,O,O,O,O,O,X
ISZOTLJ,O,X,X,O,O,X
ISZOTJL,O,O,X,X,X,X
ISZOLTJ,O,O,X,O,O,X
ISZOLJT,O,O,O,O,O,X
ISZOJTL,O,O,X,X,O,X
ISZOJLT,O,O,O,O,O,X
ISOTLJZ,O,X,O,X,X,X
ISOTLZJ,O,X,X,O,X,X
ISOTJLZ,O,X,O,X,X,X
ISOTJZL,O,X,X,X,X,X
ISOTZLJ,O,X,X,O,X,X
ISOTZJL,O,X,X,O,X,X
ISOLTJZ,O,O,O,X,X,X
ISOLTZJ,O,X,X,O,X,X
ISOLJTZ,O,O,O,X,X,X
ISOLJZT,O,O,O,X,O,X
ISOLZTJ,O,O,X,O,O,X
ISOLZJT,O,O,O,O,O,X
ISOJTLZ,O,X,O,X,X,X
ISOJTZL,O,X,X,X,X,X
ISOJLTZ,O,O,O,X,X,X
ISOJLZT,O,O,O,X,O,X
ISOJZTL,O,O,X,X,O,X
ISOJZLT,O,O,O,X,O,X
ISOZTLJ,O,X,X,O,O,X
ISOZTJL,O,O,X,X,X,X
ISOZLTJ,O,O,X,O,O,X
ISOZLJT,O,O,O,O,O,X
ISOZJTL,O,O,X,X,O,X
ISOZJLT,O,O,O,O,O,X
IZTLJSO,O,O,O,X,X,O
IZTLJOS,O,O,X,X,X,O
IZTLSJO,O,O,O,X,X,O
IZTLSOJ,O,O,O,O,X,O
IZTLOJS,O,O,X,O,X,O
IZTLOSJ,O,O,X,O,X,O
IZTJLSO,O,O,O,X,X,O
IZTJLOS,O,O,X,X,X,O
IZTJSLO,O,O,X,X,X,X
IZTJSOL,O,O,X,O,O,X
IZTJOLS,O,X,X,O,O,O
IZTJOSL,O,O,X,O,O,X
IZTSLJO,O,O,O,X,X,X
IZTSLOJ,O,O,O,O,X,X
IZTSJLO,O,O,O,X,X,X
IZTSJOL,O,O,O,O,X,X
IZTSOLJ,O,O,O,O,O,X
IZTSOJL,O,O,O,O,X,X
IZTOLJS,O,X,X,O,O,O
IZTOLSJ,O,X,X,O,O,O
IZTOJLS,O,X,X,O,O,O
IZTOJSL,O,O,X,O,O,X
IZTOSLJ,O,O,X,O,O,X
IZTOSJL,O,O,X,O,X,X
IZLTJSO,O,O,O,X,X,O
IZLTJOS,O,O,X,X,X,O
IZLTSJO,O,O,O,X,X,O
IZLTSOJ,O,O,O,X,X,O
IZLTOJS,O,O,X,X,X,O
IZLTOSJ,O,O,X,X,X,O
IZLJTSO,O,O,O,X,X,O
IZLJTOS,O,O,X,X,X,O
IZLJSTO,O,O,X,X,X,O
IZLJSOT,O,O,O,X,O,X
IZLJOTS,X,O,X,X,O,O
IZLJOST,X,O,X,X,O,X
IZLSTJO,O,O,X,X,X,O
IZLSTOJ,O,O,X,X,X,O
IZLSJTO,O,O,X,X,X,O
IZLSJOT,O,O,O,X,X,X
IZLSOTJ,O,O,X,O,O,X
IZLSOJT,O,O,O,O,O,X
IZLOTJS,X,O,X,X,O,O
IZLOTSJ,X,O,X,O,O,O
IZLOJTS,X,O,X,X,O,O
IZLOJST,X,O,X,O,O,X
IZLOSTJ,X,O,X,O,O,X
IZLOSJT,X,O,X,O,O,X
IZJTLSO,O,O,O,X,X,O
IZJTLOS,O,O,X,X,X,O
IZJTSLO,O,O,X,X,X,X
IZJTSOL,O,O,X,X,O,X
IZJTOLS,O,X,X,X,O,O
IZJTOSL,O,O,X,X,O,X
IZJLTSO,O,O,O,X,X,O
IZJLTOS,O,O,X,X,X,O
IZJLSTO,O,O,X,X,X,O
IZJLSOT,O,O,O,X,O,X
IZJLOTS,X,O,X,X,O,O
IZJLOST,X,O,X,X,O,X
IZJSTLO,O,O,X,X,X,X
IZJSTOL,O,O,X,X,O,X
IZJSLTO,O,O,X,X,X,X
IZJSLOT,O,O,O,X,O,X
IZJSOTL,O,O,X,X,O,X
IZJSOLT,O,O,O,O,O,X
IZJOTLS,O,X,X,X,O,X
IZJOTSL,O,O,X,X,O,X
IZJOLTS,X,X,X,X,O,X
IZJOLST,X,X,X,O,O,X
IZJOSTL,O,O,X,X,O,X
IZJOSLT,O,O,X,O,O,X
IZSTLJO,O,O,X,X,X,X
IZSTLOJ,O,O,X,X,X,X
IZSTJLO,O,O,X,X,X,X
IZSTJOL,O,O,X,X,X,X
IZSTOLJ,O,O,X,O,O,X
IZSTOJL,O,O,X,X,X,X
IZSLTJO,O,O,X,X,X,X
IZSLTOJ,O,O,X,X,X,X
IZSLJTO,O,O,X,X,X,X
IZSLJOT,O,O,O,X,X,X
IZSLOTJ,O,O,X,O,O,X
IZSLOJT,O,O,O,O,O,X
IZSJTLO,O,O,X,X,X,X
IZSJTOL,O,O,X,X,O,X
IZSJLTO,O,O,X,X,X,X
IZSJLOT,O,O,O,X,O,X
IZSJOTL,O,O,X,X,O,X
IZSJOLT,O,O,O,O,O,X
IZSOTLJ,O,X,X,O,O,X
IZSOTJL,O,O,X,X,X,X
IZSOLTJ,O,O,X,O,O,X
IZSOLJT,O,O,O,O,O,X
IZSOJTL,O,O,X,X,O,X
IZSOJLT,O,O,O,O,O,X
IZOTLJS,O,X,X,O,O,X
IZOTLSJ,O,X,X,O,O,X
IZOTJLS,O,X,X,O,O,X
IZOTJSL,O,O,X,O,O,X
IZOTSLJ,O,O,X,O,O,X
IZOTSJL,O,O,X,O,X,X
IZOLTJS,X,X,X,O,O,X
IZOLTSJ,X,X,X,O,O,X
IZOLJTS,X,X,X,X,O,X
IZOLJST,X,X,X,O,O,X
IZOLSTJ,X,X,X,O,O,X
IZOLSJT,X,X,X,O,O,X
IZOJTLS,O,X,X,X,O,X
IZOJTSL,O,O,X,X,O,X
IZOJLTS,X,X,X,X,O,X
IZOJLST,X,X,X,O,O,X
IZOJSTL,O,O,X,X,O,X
IZOJSLT,O,O,X,O,O,X
IZOSTLJ,O,X,X,O,O,X
IZOSTJL,O,O,X,X,X,X
IZOSLTJ,O,X,X,O,O,X
IZOSLJT,O,O,X,O,O,X
IZOSJTL,O,O,X,X,O,X
IZOSJLT,O,O,X,O,O,X
IOTLJSZ,O,X,O,X,X,X
IOTLJZS,X,X,X,O,O,X
