sequence,v115@EhC8HeB8HeC8EeD8JeT/IvhF/lBamBUiBWsBlpBxvB,v115@EhC8HeB8HeC8EeD8Je0/IvhF6lBThB/nB2pBlrBRvB,v115@EhC8HeB8HeC8EeD8Jex/IvhFihBTkB0lBGnBVvB3rB,v115@EhC8HeB8HeC8EeD8JeT/IvhFmgBqmB/nB0lBlpBxvB,v115@EhC8HeB8HeC8EeD8Jex/IvhFThB/nBmkBqqB0pBlrB,v115@EhC8HeB8HeC8EeD8Jei/IvhFRhBFlBTnB0pBGrBXrB,v115@EhC8HeB8HeC8EeD8JeKEJvhFGgBThB/nBUlBlrBRvB,v115@EhC8HeB8HeC8EeD8JeOEJvhFlgBUiBzkBXmBCsBRvB,v115@EhC8HeB8HeC8EeD8JeOEJvhFqmB/nBRlBzpBUrBlqB,v115@EhC8HeB8HeC8EeD8JeKEJvhFRhBFlB8qBGnB3rBzpB,v115@EhC8HeB8HeC8EeD8JeKEJvhFGhB/nBRlB0qBlrBzpB
TILJSZO,O,O,X,X,X,X,X,O,X,X,X
TILJSOZ,O,O,X,X,X,X,X,O,X,X,X
TILJZSO,O,O,X,X,X,X,X,O,X,X,X
TILJZOS,O,X,X,X,X,X,X,O,X,X,X
TILJOSZ,O,X,X,X,X,X,X,O,X,X,X
TILJOZS,O,X,X,X,X,X,X,O,X,X,X
TILSJZO,O,O,X,O,X,X,O,O,X,X,X
TILSJOZ,O,O,X,O,X,X,O,O,X,X,X
TILSZJO,O,O,X,O,X,X,O,O,X,X,X
TILSZOJ,O,O,X,O,X,X,O,O,X,X,X
TILSOJZ,O,O,X,O,X,X,O,O,X,X,X
TILSOZJ,O,O,X,O,X,X,O,O,X,X,X
TILZJSO,X,X,X,X,X,X,O,O,X,X,X
TILZJOS,X,X,X,X,X,X,X,O,X,X,X
TILZSJO,X,X,X,O,X,X,O,O,X,X,X
TILZSOJ,X,X,X,O,X,X,O,O,X,X,X
TILZOJS,X,X,X,X,X,X,X,O,X,X,X
TILZOSJ,X,X,X,O,X,X,X,O,X,X,X
TILOJSZ,O,X,X,X,X,X,X,O,X,X,X
TILOJZS,O,X,X,X,X,X,X,O,X,X,X
