sequence,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeFAJvhF0hB5oB3lBz?nBinBWxB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KelBJvhF3iB5oBilB8?sBGlBzrB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KelBJvhFziB5oBilB8?rBGlB3sB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeFAJvhFTiBeoB5oB3?lBUsB6rB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeRAJvhF3hBTlB8rB+?sB6tBFtB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeaFJvhFulB1mB5oBz?nB8rB3sB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeFAJvhF0hBxiB3lBz?rBCtBGtB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeUAJvhFxmB6tB3lBF?oBGsBzrB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeRAJvhFTlBlmBUoBX?sB6tBGsB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeRAJvhF3hBTlB8rBV?tB+sB6tB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeRAJvhF1mBSoBTlB8?rBGtB3sB,v115@9gA8IeB8HeB8BeA8EeE8CeA8Ke3AJvhFxmB6tBUlBF?oBGsBzrB
TILJSZO,X,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,O,X,X,X,X,X,X
TILJZSO,X,O,O,X,X,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,O,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,O,X,X,X,X,X,X
TILJOZS,X,O,X,X,X,O,X,X,X,X,X,X
TILSJZO,X,X,X,X,X,X,X,X,X,X,X,O
TILSJOZ,X,X,X,X,X,O,X,X,X,X,X,O
TILSZJO,X,O,O,X,X,X,X,X,X,X,X,O
TILSZOJ,X,O,O,X,X,X,X,X,X,X,X,O
TILSOJZ,X,X,X,X,X,O,X,X,X,X,X,O
TILSOZJ,X,O,O,X,X,X,X,X,X,X,X,O
TILZJSO,X,O,O,X,X,X,X,O,X,X,X,X
TILZJOS,X,X,X,X,X,O,X,O,X,X,X,X
TILZSJO,X,O,O,X,X,X,X,O,X,X,X,X
TILZSOJ,X,O,O,X,X,X,X,O,X,X,X,X
TILZOJS,X,O,X,X,X,O,X,O,X,X,X,X
TILZOSJ,X,O,O,X,X,X,X,O,X,X,X,X
TILOJSZ,X,X,X,X,X,O,X,X,X,X,X,X
TILOJZS,X,O,X,X,X,O,X,X,X,X,X,X
TILOSJZ,X,X,X,X,X,O,X,X,X,X,X,X
TILOSZJ,X,O,X,X,X,X,X,X,X,X,X,X
TILOZJS,X,O,X,X,X,O,O,X,X,X,X,X
TILOZSJ,X,O,O,X,X,X,O,X,X,X,X,X
TIJLSZO,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,O,X,X,X,X,X,X
TIJLZSO,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZOS,X,X,X,X,X,O,X,X,X,X,X,X
TIJLOSZ,X,X,X,X,X,O,X,X,X,X,O,X
TIJLOZS,X,X,X,X,X,O,X,X,X,X,O,X
TIJSLZO,O,X,X,O,X,X,X,X,X,X,X,X
TIJSLOZ,O,X,X,X,X,O,X,X,X,X,X,X
TIJSZLO,O,X,X,O,X,X,X,X,X,X,X,X
TIJSZOL,O,X,X,O,X,X,X,X,X,X,X,X
TIJSOLZ,O,X,X,X,X,O,X,X,X,X,X,X
TIJSOZL,O,X,X,O,X,X,X,X,X,X,X,X
TIJZLSO,X,X,X,X,X,X,X,X,X,X,X,X
TIJZLOS,X,X,X,X,X,O,X,X,X,X,X,X
TIJZSLO,O,X,X,O,X,X,X,X,X,X,X,X
TIJZSOL,O,X,X,O,X,X,X,X,X,X,X,X
TIJZOLS,X,X,X,X,X,O,X,X,X,X,X,X
TIJZOSL,O,X,X,O,X,X,X,X,X,X,X,X
TIJOLSZ,X,X,X,X,X,O,X,X,X,X,O,X
TIJOLZS,X,X,X,X,X,O,X,X,X,X,O,X
TIJOSLZ,O,X,X,X,X,O,X,X,X,X,O,X
TIJOSZL,O,X,X,X,X,X,X,X,X,X,X,X
TIJOZLS,X,X,X,X,X,O,X,X,X,X,O,X
TIJOZSL,O,X,X,X,X,X,X,X,X,X,X,X
TISLJZO,O,X,X,O,X,X,X,X,X,X,X,O
TISLJOZ,O,X,X,X,X,O,X,X,X,X,X,O
TISLZJO,O,X,O,O,X,X,X,X,X,X,X,O
TISLZOJ,O,X,O,X,X,X,X,X,X,X,X,O
TISLOJZ,O,X,X,X,X,O,X,X,X,X,X,O
TISLOZJ,O,X,O,X,X,X,X,X,X,X,X,O
TISJLZO,O,X,X,O,X,X,X,X,X,X,X,X
TISJLOZ,O,X,X,X,X,O,X,X,X,X,X,X
TISJZLO,O,X,X,O,X,X,X,X,X,X,X,X
TISJZOL,O,X,X,O,X,X,X,X,X,X,X,X
TISJOLZ,O,X,X,X,X,O,X,X,X,X,X,X
TISJOZL,O,X,X,O,X,X,X,X,X,X,X,X
TISZLJO,O,X,O,O,X,X,X,X,X,X,X,X
TISZLOJ,O,X,O,X,X,X,X,X,X,X,X,X
TISZJLO,O,X,O,O,X,X,X,X,X,X,X,X
TISZJOL,O,X,O,O,X,X,X,X,X,X,X,X
TISZOLJ,O,X,O,X,X,X,X,X,O,X,X,X
TISZOJL,O,X,O,O,X,X,X,X,O,X,X,X
TISOLJZ,O,X,X,X,X,O,X,X,X,X,X,X
TISOLZJ,O,X,O,X,X,X,X,X,O,X,X,X
TISOJLZ,O,X,X,X,X,O,X,X,X,X,X,X
TISOJZL,O,X,X,O,X,X,X,X,O,X,X,X
TISOZLJ,O,X,O,X,X,X,X,X,O,X,X,X
TISOZJL,O,X,O,O,X,X,X,X,O,X,X,X
TIZLJSO,X,O,O,X,X,X,X,O,X,X,X,X
TIZLJOS,X,X,X,X,X,O,X,O,X,X,X,X
TIZLSJO,X,O,O,X,X,X,X,O,X,X,X,X
TIZLSOJ,X,O,O,X,X,X,X,O,X,X,X,X
TIZLOJS,X,O,X,X,X,O,X,O,X,X,X,X
TIZLOSJ,X,O,O,X,X,X,X,O,X,X,X,X
TIZJLSO,X,X,O,X,X,X,X,X,X,X,X,X
TIZJLOS,X,X,X,X,X,O,X,X,X,X,X,X
TIZJSLO,X,X,O,O,X,X,X,X,X,X,X,X
TIZJSOL,X,X,O,O,X,X,X,X,X,X,X,X
TIZJOLS,X,X,X,X,X,O,X,X,X,X,X,X
TIZJOSL,X,X,X,O,X,X,X,X,X,X,X,X
TIZSLJO,X,O,O,O,X,X,X,X,X,X,X,X
TIZSLOJ,X,O,O,X,X,X,X,X,X,X,X,X
TIZSJLO,X,O,O,O,X,X,X,X,X,X,X,X
TIZSJOL,X,X,O,O,X,X,X,X,X,X,X,X
TIZSOLJ,X,O,O,X,X,X,X,X,X,O,X,X
TIZSOJL,X,X,O,O,X,X,X,X,X,O,X,X
TIZOLJS,X,O,X,X,X,O,X,X,X,O,X,X
TIZOLSJ,X,O,O,X,X,X,X,X,X,O,X,X
TIZOJLS,X,O,X,X,X,O,X,X,X,O,X,X
TIZOJSL,X,O,X,X,X,X,X,X,X,O,X,X
TIZOSLJ,X,O,O,X,X,X,X,X,X,O,X,X
TIZOSJL,X,O,O,X,X,X,X,X,X,O,X,X
TIOLJSZ,X,X,X,X,X,O,X,X,X,X,O,X
TIOLJZS,X,O,X,X,X,O,X,X,X,X,O,X
TIOLSJZ,X,X,X,X,X,O,X,X,X,X,X,X
TIOLSZJ,X,O,X,X,X,X,X,X,O,X,X,X
TIOLZJS,X,O,X,X,X,O,O,X,X,O,X,X
TIOLZSJ,X,O,X,X,X,X,O,X,X,O,X,X
TIOJLSZ,X,X,X,X,X,O,X,X,X,X,O,X
TIOJLZS,X,O,X,X,X,O,X,X,X,X,O,X
TIOJSLZ,O,X,X,X,X,O,X,X,X,X,O,X
TIOJSZL,O,X,X,X,X,X,X,X,O,X,X,X
TIOJZLS,X,O,X,X,X,O,X,X,X,O,O,X
TIOJZSL,O,O,X,X,X,X,X,X,X,O,X,X
TIOSLJZ,O,X,X,X,X,O,X,X,X,X,X,X
TIOSLZJ,O,O,X,X,X,X,X,X,O,X,X,X
