sequence,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFzfBChBXiB8?nBerBFqB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFqkBTgBOmBX?iB8nB1vB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFukBFhBXiB8?nBTlByvB,v115@GhA8IeA8EeB8AeB8AeA8CeE8Jei/IvhF3gBRiBcpBO?rBlnBTqB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFGgBFiB8nBz?kBXmByvB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeTAJvhFRiBOpBXmBl?nB0kByvB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFVmBynBzkBf?rBGnBUqB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFukBXiB8nBK?qBzlBFrB
TILJSZO,O,O,O,O,X,X,X,X
TILJSOZ,O,O,X,X,X,O,X,X
TILJZSO,O,O,O,O,X,X,X,O
TILJZOS,O,O,O,O,X,X,X,O
TILJOSZ,O,O,O,O,X,X,O,X
TILJOZS,O,O,O,O,X,X,O,O
TILSJZO,X,O,O,X,X,X,X,X
TILSJOZ,X,O,X,X,X,O,X,X
TILSZJO,X,O,O,X,X,X,X,X
TILSZOJ,X,O,O,X,X,X,X,X
TILSOJZ,X,O,O,X,X,O,O,X
TILSOZJ,X,O,O,X,X,X,O,X
TILZJSO,O,O,O,O,X,X,X,O
TILZJOS,O,O,O,O,X,X,X,O
TILZSJO,X,O,O,O,X,X,X,O
TILZSOJ,X,O,O,O,X,X,X,O
TILZOJS,O,O,O,O,X,X,O,O
TILZOSJ,X,O,O,O,X,X,O,O
TILOJSZ,O,O,O,X,X,X,O,X
TILOJZS,O,O,O,X,X,X,O,O
TILOSJZ,X,O,O,X,X,X,O,X
TILOSZJ,X,O,O,O,X,X,O,X
TILOZJS,O,O,O,O,X,X,O,O
TILOZSJ,X,O,O,O,X,X,O,O
TIJLSZO,O,O,O,O,X,X,X,X
TIJLSOZ,O,O,X,X,X,O,X,X
TIJLZSO,O,O,O,O,X,X,X,O
TIJLZOS,O,O,O,O,X,X,X,O
TIJLOSZ,O,O,X,O,X,X,O,X
TIJLOZS,O,O,O,O,X,X,O,O
TIJSLZO,O,O,X,O,X,X,X,X
TIJSLOZ,O,O,X,X,X,O,X,X
TIJSZLO,O,O,X,O,X,X,X,X
TIJSZOL,O,O,X,O,X,O,X,X
TIJSOLZ,O,X,X,O,X,O,X,X
TIJSOZL,O,X,X,O,X,O,X,X
TIJZLSO,O,O,O,O,X,X,X,O
TIJZLOS,O,O,O,O,X,X,X,O
TIJZSLO,O,O,O,O,X,X,X,O
TIJZSOL,O,O,O,O,X,O,X,X
TIJZOLS,O,O,X,O,X,X,X,X
TIJZOSL,O,O,X,O,X,X,X,X
TIJOLSZ,O,O,X,O,X,X,O,X
TIJOLZS,O,O,X,O,X,X,O,X
TIJOSLZ,O,X,X,O,X,O,X,X
TIJOSZL,O,X,X,O,X,O,X,X
TIJOZLS,O,O,X,O,X,X,X,X
TIJOZSL,O,O,X,O,X,X,X,X
TISLJZO,X,O,X,X,X,X,X,X
TISLJOZ,X,O,X,X,X,O,X,X
TISLZJO,X,O,X,X,X,X,X,X
TISLZOJ,X,O,X,X,X,X,X,X
TISLOJZ,X,O,X,X,X,O,O,X
TISLOZJ,X,O,X,X,X,X,O,X
TISJLZO,O,O,X,O,X,X,X,X
TISJLOZ,O,O,X,X,X,O,X,X
TISJZLO,O,O,X,O,X,X,X,X
TISJZOL,O,O,X,O,X,O,X,X
TISJOLZ,O,X,X,O,X,O,X,X
TISJOZL,O,X,X,O,X,O,X,X
TISZLJO,X,O,X,O,X,X,X,X
TISZLOJ,X,O,X,O,O,X,X,X
TISZJLO,O,O,X,O,X,X,X,X
TISZJOL,O,O,X,O,O,O,X,X
TISZOLJ,X,O,X,O,O,X,X,X
TISZOJL,O,O,X,O,O,O,X,X
TISOLJZ,X,X,X,X,X,O,O,X
TISOLZJ,X,X,X,O,X,X,O,X
TISOJLZ,O,X,X,X,X,O,X,X
TISOJZL,O,X,X,O,O,O,X,X
TISOZLJ,X,X,X,O,O,X,X,X
TISOZJL,O,X,X,O,O,O,X,X
TIZLJSO,O,O,O,O,X,X,X,O
TIZLJOS,O,O,O,O,X,X,X,O
TIZLSJO,X,O,O,O,X,X,X,O
TIZLSOJ,X,O,O,O,O,X,X,O
TIZLOJS,O,O,O,O,X,X,O,O
TIZLOSJ,X,O,O,O,O,X,O,O
TIZJLSO,O,O,O,O,X,X,X,O
TIZJLOS,O,O,O,O,X,X,X,O
TIZJSLO,O,O,O,O,X,X,X,O
TIZJSOL,O,O,O,O,O,O,X,X
TIZJOLS,O,O,X,O,X,X,X,X
TIZJOSL,O,O,X,O,O,X,X,X
TIZSLJO,O,O,O,O,X,X,X,O
TIZSLOJ,X,O,O,O,O,X,X,O
TIZSJLO,O,O,O,O,X,X,X,O
TIZSJOL,O,O,O,O,O,O,X,X
TIZSOLJ,X,O,O,O,O,X,X,X
TIZSOJL,O,O,O,O,O,O,X,X
TIZOLJS,O,O,X,O,X,X,O,X
TIZOLSJ,X,O,X,O,O,X,O,X
TIZOJLS,O,O,X,O,X,X,X,X
TIZOJSL,O,O,X,O,O,X,X,X
TIZOSLJ,X,O,X,O,O,X,X,X
TIZOSJL,O,O,X,O,O,X,X,X
TIOLJSZ,O,O,X,X,X,X,O,X
TIOLJZS,O,O,X,X,X,X,O,X
TIOLSJZ,X,O,X,X,X,X,O,X
TIOLSZJ,X,O,X,O,X,X,O,X
TIOLZJS,O,O,X,O,X,X,O,X
TIOLZSJ,X,O,X,O,X,X,O,X
TIOJLSZ,O,O,X,O,X,X,O,X
TIOJLZS,O,O,X,O,X,X,O,X
TIOJSLZ,O,X,X,O,X,O,X,X
TIOJSZL,O,X,X,O,X,O,X,X
TIOJZLS,O,O,X,O,X,X,X,X
TIOJZSL,O,O,X,O,X,X,X,X
TIOSLJZ,X,X,X,X,X,O,O,X
TIOSLZJ,X,X,X,O,X,X,O,X
TIOSJLZ,O,X,X,X,X,O,X,X
TIOSJZL,O,X,X,O,O,O,X,X
TIOSZLJ,X,X,X,O,O,X,X,X
TIOSZJL,O,X,X,O,O,O,X,X
TIOZLJS,O,O,X,O,X,X,O,X
TIOZLSJ,X,O,X,O,O,X,O,X
TIOZJLS,O,O,X,O,X,X,X,X
TIOZJSL,O,O,X,O,O,X,X,X
TIOZSLJ,X,O,X,O,O,X,X,X
TIOZSJL,O,O,X,O,O,X,X,X
TLIJSZO,O,O,O,O,X,X,X,X
TLIJSOZ,O,O,X,X,X,O,X,X
TLIJZSO,O,O,O,O,X,X,X,O
TLIJZOS,O,O,O,O,X,X,X,O
TLIJOSZ,O,O,O,O,X,X,O,X
