sequence,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhF3gBcmB6nBT?jBdsBWwB,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhF3gBumB9nBT?jB8qBywB,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhF9lBymB+nBT?jBXrB0rB,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhF9lBOmBXiBT?jBcsBSwB,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhF9lBymB+nBT?jB0rBXrB,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhF9lB2mBTjBc?sBXrBCsB,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhF9lB6nBTjBm?mBXrB0rB,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhFihB9nBTjB0?lBfsBWwB,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhF3hB9nBTjB6?qBmrBUrB
TILJSZO,X,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,X,O
TILJZSO,O,O,X,O,X,X,X,X,X
TILJZOS,O,O,X,O,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X,O
TILJOZS,O,O,X,O,X,X,X,X,X
TILSJZO,X,X,X,X,X,X,X,X,X
TILSJOZ,X,X,X,X,X,X,O,X,X
TILSZJO,X,X,X,X,X,X,X,X,X
TILSZOJ,X,X,X,X,X,X,X,X,X
TILSOJZ,X,X,X,X,X,X,O,X,O
TILSOZJ,X,X,X,X,X,X,X,X,X
TILZJSO,X,O,X,O,X,X,X,X,X
TILZJOS,X,O,X,O,X,X,X,X,X
TILZSJO,X,O,X,O,X,X,X,X,X
TILZSOJ,O,O,X,O,X,X,X,X,X
TILZOJS,X,O,X,O,X,X,X,X,X
TILZOSJ,O,O,X,O,X,X,X,X,X
TILOJSZ,X,X,X,X,X,X,X,X,O
TILOJZS,O,O,X,O,X,X,X,X,X
TILOSJZ,X,X,X,X,X,X,O,X,O
TILOSZJ,X,X,X,X,X,X,X,X,X
TILOZJS,X,O,X,O,X,X,X,X,X
TILOZSJ,O,O,X,O,X,X,X,X,X
TIJLSZO,X,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,X,X,X,X
TIJLZSO,O,O,X,X,X,X,X,X,X
TIJLZOS,O,O,X,X,X,X,X,X,X
TIJLOSZ,X,X,O,X,X,X,X,X,X
TIJLOZS,O,O,X,X,O,X,X,X,X
TIJSLZO,X,X,X,X,X,X,X,X,X
TIJSLOZ,X,X,O,X,X,X,X,X,X
TIJSZLO,X,X,X,X,X,X,X,X,X
TIJSZOL,X,X,X,X,X,X,X,X,X
TIJSOLZ,X,X,O,X,X,X,X,X,X
TIJSOZL,X,X,X,X,X,X,X,X,X
TIJZLSO,O,X,X,X,X,X,X,X,X
TIJZLOS,O,X,X,X,O,X,X,X,X
TIJZSLO,O,X,X,X,X,X,X,X,X
TIJZSOL,O,O,X,X,X,X,X,X,X
TIJZOLS,O,X,X,X,O,X,X,X,X
TIJZOSL,O,O,X,X,X,X,X,X,X
TIJOLSZ,X,X,O,X,X,X,X,X,X
TIJOLZS,O,O,X,X,O,X,X,X,X
TIJOSLZ,X,X,O,X,X,X,X,X,X
TIJOSZL,X,X,X,X,X,X,X,X,X
TIJOZLS,O,X,X,X,O,X,X,X,X
TIJOZSL,O,O,X,X,X,X,X,X,X
TISLJZO,X,X,X,X,X,X,X,X,X
TISLJOZ,X,X,O,X,X,X,O,X,X
TISLZJO,X,X,X,X,X,X,X,X,X
TISLZOJ,X,X,X,X,X,X,X,X,X
TISLOJZ,X,X,X,X,X,X,O,X,X
TISLOZJ,X,X,X,X,X,X,X,X,X
TISJLZO,X,X,X,X,X,X,X,X,X
TISJLOZ,X,X,O,X,X,X,O,X,X
TISJZLO,X,X,X,X,X,X,X,X,X
TISJZOL,X,X,X,X,X,X,X,X,X
TISJOLZ,X,X,O,X,X,X,O,X,X
TISJOZL,X,X,X,X,X,X,X,X,X
TISZLJO,X,X,X,X,X,X,X,X,X
TISZLOJ,X,X,X,X,X,X,X,O,X
TISZJLO,X,X,X,X,X,X,X,X,X
TISZJOL,X,O,X,X,X,O,X,X,X
TISZOLJ,X,X,X,X,X,X,X,O,X
TISZOJL,X,O,X,X,X,O,X,X,X
TISOLJZ,X,X,X,X,X,X,O,X,X
TISOLZJ,X,X,X,X,X,X,X,X,X
TISOJLZ,X,X,O,X,X,X,O,X,X
TISOJZL,X,X,X,X,X,X,X,X,X
TISOZLJ,X,X,X,X,X,X,X,O,X
TISOZJL,X,O,X,X,X,O,X,X,X
TIZLJSO,X,X,X,O,X,X,X,X,X
TIZLJOS,X,X,X,O,O,X,X,X,X
TIZLSJO,X,X,X,O,X,X,X,X,X
TIZLSOJ,O,X,X,O,X,X,X,X,X
TIZLOJS,X,X,X,O,X,X,X,X,X
TIZLOSJ,O,X,X,O,X,X,X,X,X
TIZJLSO,X,X,X,X,X,X,X,X,X
TIZJLOS,X,X,X,X,O,X,X,X,X
