sequence,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF0hBliB5oBzlBet?BCsB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBWnBxiB6tBlr?BzsB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBzhB5nBOtB6t?BlrB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBCiBxnBToBlr?BWyB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBzhB5nB6tBOt?BlrB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF0hBxiBzlBGoBCs?BVyB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBWnBxiBlrBCt?BTtB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhFlhB5nBzlB8rB6t?BOtB,v115@9gB8HeA8IeC8GeE8AeA8MeGDJvhFRlBzmBqsB/tB0l?BlrB
SILZTJO,X,X,X,X,X,X,X,X,X
SILZTOJ,X,X,X,X,O,X,X,X,X
SILZJTO,X,X,X,X,X,X,X,X,X
SILZJOT,X,X,X,X,X,X,X,X,X
SILZOTJ,X,X,X,X,X,X,X,X,X
SILZOJT,X,X,X,X,X,X,X,X,X
SILOTJZ,X,X,X,X,X,X,X,X,X
SILOTZJ,X,X,X,X,X,X,X,X,X
SILOJTZ,X,X,X,X,X,X,X,X,X
SILOJZT,X,X,X,X,X,X,X,X,O
SILOZTJ,X,X,X,X,X,X,X,O,X
SILOZJT,X,X,X,X,X,X,X,X,X
SIJTLZO,X,X,X,X,X,X,X,X,X
SIJTLOZ,X,X,X,X,X,X,X,X,X
SIJTZLO,X,X,X,X,X,X,X,X,X
SIJTZOL,X,X,X,X,X,X,X,X,X
SIJTOLZ,O,X,X,X,X,X,X,X,X
SIJTOZL,O,X,X,X,X,X,X,X,X
SIJLTZO,O,X,X,X,X,X,X,X,X
SIJLTOZ,X,X,X,X,X,X,X,X,X
SIJLZTO,O,X,X,X,X,X,X,X,X
SIJLZOT,X,X,X,X,X,X,X,X,X
SIJLOTZ,X,X,X,X,X,X,X,X,X
SIJLOZT,X,X,X,X,X,X,X,X,O
SIJZTLO,X,X,X,X,X,X,X,X,X
SIJZTOL,X,X,O,X,X,X,X,X,X
SIJZLTO,X,X,X,X,X,X,X,X,X
SIJZLOT,X,X,X,X,X,X,X,X,X
SIJZOTL,X,X,X,X,X,X,X,X,X
SIJZOLT,X,X,X,X,X,X,X,X,X
SIJOTLZ,O,X,X,X,X,X,X,X,X
SIJOTZL,O,X,X,X,X,X,X,X,X
SIJOLTZ,O,X,X,X,X,X,X,X,X
SIJOLZT,O,X,X,X,X,X,X,X,X
SIJOZTL,O,X,X,X,X,X,X,X,X
SIJOZLT,O,X,X,X,X,X,X,X,X
SIZTLJO,X,X,X,X,X,X,X,X,X
SIZTLOJ,X,X,X,X,O,X,X,X,X
SIZTJLO,X,X,X,X,X,X,X,X,X
SIZTJOL,X,X,O,X,X,X,X,X,X
SIZTOLJ,X,X,X,X,O,X,X,X,X
SIZTOJL,X,X,O,X,X,X,X,X,X
SIZLTJO,X,X,X,X,X,X,X,X,X
SIZLTOJ,X,X,X,X,O,X,X,X,X
SIZLJTO,X,X,X,X,X,X,X,X,X
SIZLJOT,X,X,X,X,X,X,X,X,X
SIZLOTJ,X,X,X,X,X,X,X,X,X
SIZLOJT,X,X,X,X,X,X,X,X,X
SIZJTLO,X,X,X,X,X,X,X,X,X
SIZJTOL,X,X,O,X,X,X,X,X,X
SIZJLTO,X,X,X,X,X,X,X,X,X
SIZJLOT,X,X,X,X,X,X,X,X,X
SIZJOTL,X,X,X,X,X,X,X,X,X
SIZJOLT,X,X,X,X,X,X,X,X,X
SIZOTLJ,X,X,X,X,X,X,X,X,X
SIZOTJL,X,X,X,X,X,X,X,X,X
SIZOLTJ,X,X,X,X,X,X,X,X,X
SIZOLJT,X,X,X,X,X,X,X,X,X
SIZOJTL,X,X,X,X,X,X,X,X,X
SIZOJLT,X,X,X,X,X,X,X,X,X
SIOTLJZ,X,X,X,X,X,X,X,X,X
SIOTLZJ,X,X,X,X,X,X,X,X,X
SIOTJLZ,X,X,X,X,X,X,X,X,X
SIOTJZL,X,X,X,X,X,X,X,X,X
SIOTZLJ,X,X,X,X,X,X,X,X,X
SIOTZJL,X,X,X,X,X,X,X,X,X
SIOLTJZ,X,X,X,X,X,X,X,X,X
SIOLTZJ,X,X,X,X,X,X,X,X,X
SIOLJTZ,X,X,X,X,X,X,X,X,X
SIOLJZT,X,X,X,X,X,X,X,X,X
SIOLZTJ,X,X,X,X,X,X,X,O,X
SIOLZJT,X,X,X,X,X,X,X,X,X
SIOJTLZ,O,X,X,X,X,X,X,X,X
SIOJTZL,O,X,X,X,X,X,X,X,X
SIOJLTZ,O,X,X,X,X,X,X,X,X
SIOJLZT,O,X,X,X,X,X,X,X,X
SIOJZTL,O,X,X,X,X,X,X,X,X
SIOJZLT,O,X,X,X,X,X,X,X,X
SIOZTLJ,X,X,X,X,X,X,X,O,X
SIOZTJL,O,X,X,X,X,X,X,X,X
SIOZLTJ,X,X,X,X,X,X,X,O,X
SIOZLJT,X,X,X,X,X,X,X,X,X
SIOZJTL,O,X,X,X,X,X,X,X,X
SIOZJLT,O,X,X,X,X,X,X,X,X
SLTIJZO,X,X,X,X,X,X,X,X,X
SLTIJOZ,X,X,X,X,X,X,X,X,X
SLTIZJO,X,X,X,X,X,X,X,X,X
SLTIZOJ,X,X,X,X,X,X,X,X,X
SLTIOJZ,X,X,X,X,X,X,X,X,X
SLTIOZJ,X,X,X,X,X,X,X,X,X
SLTJIZO,X,X,X,X,X,O,X,X,X
SLTJIOZ,X,X,X,X,X,X,X,X,X
SLTJZIO,X,X,X,X,X,O,X,X,X
SLTJZOI,X,X,X,X,X,X,X,X,X
SLTJOIZ,X,X,X,X,X,X,X,X,X
SLTJOZI,X,X,X,X,X,X,X,X,X
SLTZIJO,X,X,X,X,X,O,X,X,X
SLTZIOJ,X,X,X,X,X,O,X,X,X
SLTZJIO,X,X,X,X,X,O,X,X,X
SLTZJOI,X,X,X,X,X,X,X,X,X
SLTZOIJ,X,X,X,X,X,X,X,X,X
SLTZOJI,X,X,X,X,X,X,X,X,X
SLTOIJZ,X,X,X,X,X,X,X,X,X
SLTOIZJ,X,X,X,X,X,X,X,X,X
SLTOJIZ,X,X,X,X,X,X,X,X,X
SLTOJZI,X,X,X,X,X,X,X,X,X
SLTOZIJ,X,X,X,X,X,X,X,X,X
SLTOZJI,X,X,X,X,X,X,X,X,X
SLITJZO,X,X,X,X,X,X,X,X,X
SLITJOZ,X,X,X,X,X,X,X,X,X
SLITZJO,X,X,X,X,X,X,X,X,X
SLITZOJ,X,X,X,X,X,X,X,X,X
SLITOJZ,X,X,X,X,X,X,X,X,X
SLITOZJ,X,X,X,X,X,X,X,X,X
SLIJTZO,X,X,X,X,X,X,X,X,X
SLIJTOZ,X,X,X,X,X,X,X,X,X
SLIJZTO,X,X,X,X,X,X,X,X,X
SLIJZOT,X,X,X,X,X,X,X,X,X
SLIJOTZ,X,X,X,X,X,X,X,X,X
SLIJOZT,X,X,X,X,X,X,X,X,O
SLIZTJO,X,X,X,X,X,X,X,X,X
SLIZTOJ,X,X,X,X,O,X,X,X,X
SLIZJTO,X,X,X,X,X,X,X,X,X
SLIZJOT,X,X,X,X,X,X,X,X,X
SLIZOTJ,X,X,X,X,X,X,X,X,X
SLIZOJT,X,X,X,X,X,X,X,X,X
SLIOTJZ,X,X,X,X,X,X,X,X,X
SLIOTZJ,X,X,X,X,X,X,X,X,X
SLIOJTZ,X,X,X,X,X,X,X,X,X
SLIOJZT,X,X,X,X,X,X,X,X,O
SLIOZTJ,X,X,X,X,X,X,X,O,X
SLIOZJT,X,X,X,X,X,X,X,X,X
SLJTIZO,O,X,X,X,X,X,X,X,X
SLJTIOZ,X,X,X,X,X,X,X,X,X
SLJTZIO,O,X,X,X,X,X,X,X,X
SLJTZOI,X,X,X,X,X,X,X,X,X
SLJTOIZ,X,X,X,X,X,X,X,X,X
SLJTOZI,X,X,X,X,X,X,X,X,X
SLJITZO,O,X,X,X,X,X,X,X,X
SLJITOZ,X,X,X,X,X,X,X,X,X
SLJIZTO,O,X,X,X,X,X,X,X,X
SLJIZOT,X,X,X,X,X,X,X,X,X
SLJIOTZ,X,X,X,X,X,X,X,X,X
SLJIOZT,X,X,X,X,X,X,X,X,O
SLJZTIO,O,X,X,X,X,X,X,X,X
SLJZTOI,X,X,X,X,X,X,X,X,X
SLJZITO,O,X,X,X,X,X,X,X,X
SLJZIOT,X,X,X,X,X,X,X,X,X
SLJZOTI,X,X,X,X,X,X,X,X,X
SLJZOIT,X,X,X,X,X,X,X,X,X
SLJOTIZ,X,X,X,X,X,X,X,X,X
SLJOTZI,X,X,X,X,X,X,X,X,X
SLJOITZ,X,X,X,X,X,X,X,X,X
SLJOIZT,X,X,X,X,X,X,X,X,O
SLJOZTI,X,X,X,X,X,X,X,X,X
SLJOZIT,X,X,X,X,X,X,X,X,X
SLZTIJO,X,O,X,X,X,O,X,X,X
SLZTIOJ,X,X,X,X,O,O,X,X,X
SLZTJIO,X,O,X,X,X,O,O,X,X
SLZTJOI,X,O,X,X,X,X,O,X,X
SLZTOIJ,X,X,X,X,O,X,O,X,X
SLZTOJI,X,X,X,X,X,X,O,X,X
SLZITJO,X,X,X,X,X,O,X,X,X
SLZITOJ,X,X,X,X,O,O,X,X,X
SLZIJTO,X,X,X,X,X,X,X,X,X
SLZIJOT,X,X,X,X,X,X,X,X,X
SLZIOTJ,X,X,X,X,X,O,X,X,X
SLZIOJT,X,X,X,X,X,X,X,X,X
SLZJTIO,O,X,X,X,X,X,X,X,X
SLZJTOI,X,X,X,X,X,X,X,X,X
SLZJITO,O,X,X,X,X,X,X,X,X
SLZJIOT,X,X,X,X,X,X,X,X,X
SLZJOTI,X,X,X,X,X,X,X,X,X
SLZJOIT,X,X,X,X,X,X,X,X,X
SLZOTIJ,X,X,X,X,X,X,X,X,X
SLZOTJI,X,X,X,X,X,X,X,X,X
SLZOITJ,X,X,X,X,X,X,X,X,X
SLZOIJT,X,X,X,X,X,X,X,X,X
SLZOJTI,X,X,X,X,X,X,X,X,X
SLZOJIT,X,X,X,X,X,X,X,X,X
SLOTIJZ,X,X,X,X,X,X,X,X,X
SLOTIZJ,X,X,X,X,X,X,X,X,X
SLOTJIZ,X,X,X,X,X,X,X,X,X
SLOTJZI,X,X,X,X,X,X,X,X,X
SLOTZIJ,X,X,X,X,X,X,X,X,X
SLOTZJI,X,X,X,X,X,X,X,X,X
SLOITJZ,X,X,X,X,X,X,X,X,X
SLOITZJ,X,X,X,X,X,X,X,X,X
SLOIJTZ,X,X,X,X,X,X,X,X,X
SLOIJZT,X,X,X,X,X,X,X,X,O
SLOIZTJ,X,X,X,X,X,X,X,O,X
SLOIZJT,X,X,X,X,X,X,X,X,X
SLOJTIZ,X,X,X,X,X,X,X,X,X
SLOJTZI,X,X,X,X,X,X,X,X,X
SLOJITZ,X,X,X,X,X,X,X,X,X
SLOJIZT,X,X,X,X,X,X,X,X,O
SLOJZTI,X,X,X,X,X,X,X,X,X
SLOJZIT,X,X,X,X,X,X,X,X,X
SLOZTIJ,X,X,X,X,X,X,X,O,X
SLOZTJI,X,X,X,X,X,X,X,X,X
SLOZITJ,X,X,X,X,X,X,X,O,X
SLOZIJT,X,X,X,X,X,X,X,X,X
SLOZJTI,X,X,X,X,X,X,X,X,X
SLOZJIT,X,X,X,X,X,X,X,X,X
SJTILZO,X,X,X,X,X,X,X,X,X
SJTILOZ,X,X,X,X,X,X,X,X,X
SJTIZLO,X,X,X,X,X,X,X,X,X
SJTIZOL,X,X,X,X,X,X,X,X,X
SJTIOLZ,O,X,X,X,X,X,X,X,X
SJTIOZL,O,X,X,X,X,X,X,X,X
SJTLIZO,X,X,X,X,X,X,X,X,X
SJTLIOZ,X,X,X,X,X,X,X,X,X
SJTLZIO,X,X,X,X,X,X,X,X,X
SJTLZOI,X,X,X,X,X,X,X,X,X
SJTLOIZ,X,X,X,X,X,X,X,X,X
SJTLOZI,X,X,X,X,X,X,X,X,X
SJTZILO,X,X,X,X,X,X,X,X,X
SJTZIOL,X,X,X,X,X,X,X,X,X
SJTZLIO,X,X,X,X,X,X,X,X,X
SJTZLOI,X,X,X,X,X,X,X,X,X
SJTZOIL,X,X,X,X,X,X,X,X,X
SJTZOLI,X,X,X,X,X,X,X,X,X
SJTOILZ,O,X,X,X,X,X,X,X,X
SJTOIZL,O,X,X,X,X,X,X,X,X
SJTOLIZ,O,X,X,X,X,X,X,X,X
SJTOLZI,O,X,X,X,X,X,X,X,X
SJTOZIL,O,X,X,X,X,X,X,X,X
SJTOZLI,X,X,X,X,X,X,X,X,X
SJITLZO,X,X,X,X,X,X,X,X,X
SJITLOZ,X,X,X,X,X,X,X,X,X
SJITZLO,X,X,X,X,X,X,X,X,X
SJITZOL,X,X,X,X,X,X,X,X,X
SJITOLZ,O,X,X,X,X,X,X,X,X
SJITOZL,O,X,X,X,X,X,X,X,X
SJILTZO,O,X,X,X,X,X,X,X,X
SJILTOZ,X,X,X,X,X,X,X,X,X
SJILZTO,O,X,X,X,X,X,X,X,X
SJILZOT,X,X,X,X,X,X,X,X,X
SJILOTZ,X,X,X,X,X,X,X,X,X
SJILOZT,X,X,X,X,X,X,X,X,O
SJIZTLO,X,X,X,X,X,X,X,X,X
SJIZTOL,X,X,O,X,X,X,X,X,X
SJIZLTO,X,X,X,X,X,X,X,X,X
SJIZLOT,X,X,X,O,X,X,X,X,X
SJIZOTL,X,X,X,X,X,X,X,X,X
SJIZOLT,X,X,X,X,X,X,X,X,X
SJIOTLZ,O,X,X,X,X,X,X,X,X
SJIOTZL,O,X,X,X,X,X,X,X,X
SJIOLTZ,O,X,X,X,X,X,X,X,X
SJIOLZT,O,X,X,X,X,X,X,X,X
SJIOZTL,O,X,X,X,X,X,X,X,X
SJIOZLT,O,X,X,X,X,X,X,X,X
SJLTIZO,O,X,X,X,X,X,X,X,X
SJLTIOZ,X,X,X,X,X,X,X,X,X
SJLTZIO,O,X,X,X,X,X,X,X,X
SJLTZOI,X,X,X,X,X,X,X,X,X
SJLTOIZ,X,X,X,X,X,X,X,X,X
SJLTOZI,X,X,X,X,X,X,X,X,X
SJLITZO,O,X,X,X,X,X,X,X,X
SJLITOZ,X,X,X,X,X,X,X,X,X
SJLIZTO,O,X,X,X,X,X,X,X,X
SJLIZOT,X,X,X,X,X,X,X,X,X
SJLIOTZ,X,X,X,X,X,X,X,X,X
SJLIOZT,X,X,X,X,X,X,X,X,O
SJLZTIO,O,X,X,X,X,X,X,X,X
SJLZTOI,X,X,X,X,X,X,X,X,X
SJLZITO,O,X,X,X,X,X,X,X,X
SJLZIOT,X,X,X,X,X,X,X,X,X
SJLZOTI,X,X,X,X,X,X,X,X,X
SJLZOIT,X,X,X,X,X,X,X,X,X
SJLOTIZ,X,X,X,X,X,X,X,X,X
SJLOTZI,X,X,X,X,X,X,X,X,X
SJLOITZ,X,X,X,X,X,X,X,X,X
SJLOIZT,X,X,X,X,X,X,X,X,O
SJLOZTI,X,X,X,X,X,X,X,X,X
SJLOZIT,X,X,X,X,X,X,X,X,X
SJZTILO,X,X,X,O,X,X,X,X,X
SJZTIOL,X,X,O,X,X,X,X,X,X
SJZTLIO,X,X,X,O,X,X,X,X,X
SJZTLOI,X,X,X,X,X,X,X,X,X
SJZTOIL,X,X,O,X,X,X,X,X,X
SJZTOLI,X,X,X,X,X,X,X,X,X
SJZITLO,X,X,X,X,X,X,X,X,X
SJZITOL,X,X,O,X,X,X,X,X,X
SJZILTO,X,X,X,X,X,X,X,X,X
SJZILOT,X,X,X,O,X,X,X,X,X
SJZIOTL,X,X,X,X,X,X,X,X,X
SJZIOLT,X,X,X,X,X,X,X,X,X
SJZLTIO,X,X,X,X,X,X,X,X,X
SJZLTOI,X,X,X,X,X,X,X,X,X
SJZLITO,X,X,X,X,X,X,X,X,X
SJZLIOT,X,X,X,X,X,X,X,X,X
SJZLOTI,X,X,X,X,X,X,X,X,X
SJZLOIT,X,X,X,X,X,X,X,X,X
SJZOTIL,X,X,X,X,X,X,X,X,X
SJZOTLI,X,X,X,X,X,X,X,X,X
SJZOITL,X,X,X,X,X,X,X,X,X
SJZOILT,X,X,X,X,X,X,X,X,X
SJZOLTI,X,X,X,X,X,X,X,X,X
SJZOLIT,X,X,X,X,X,X,X,X,X
SJOTILZ,O,X,X,X,X,X,X,X,X
SJOTIZL,O,X,X,X,X,X,X,X,X
SJOTLIZ,O,X,X,X,X,X,X,X,X
SJOTLZI,O,X,X,X,X,X,X,X,X
SJOTZIL,O,X,X,X,X,X,X,X,X
SJOTZLI,X,X,X,X,X,X,X,X,X
SJOITLZ,O,X,X,X,X,X,X,X,X
SJOITZL,O,X,X,X,X,X,X,X,X
SJOILTZ,O,X,X,X,X,X,X,X,X
SJOILZT,O,X,X,X,X,X,X,X,X
SJOIZTL,O,X,X,X,X,X,X,X,X
SJOIZLT,O,X,X,X,X,X,X,X,X
SJOLTIZ,O,X,X,X,X,X,X,X,X
SJOLTZI,O,X,X,X,X,X,X,X,X
SJOLITZ,O,X,X,X,X,X,X,X,X
SJOLIZT,O,X,X,X,X,X,X,X,X
SJOLZTI,O,X,X,X,X,X,X,X,X
SJOLZIT,O,X,X,X,X,X,X,X,X
SJOZTIL,O,X,X,X,X,X,X,X,X
SJOZTLI,X,X,X,X,X,X,X,X,X
SJOZITL,O,X,X,X,X,X,X,X,X
SJOZILT,O,X,X,X,X,X,X,X,X
SJOZLTI,O,X,X,X,X,X,X,X,X
SJOZLIT,O,X,X,X,X,X,X,X,X
SZTILJO,X,X,X,O,X,X,X,X,X
SZTILOJ,X,X,X,X,O,X,X,X,X
SZTIJLO,X,X,X,X,X,X,X,X,X
SZTIJOL,X,X,O,X,X,X,X,X,X
SZTIOLJ,X,X,X,X,O,X,X,X,X
SZTIOJL,X,X,O,X,X,X,X,X,X
SZTLIJO,X,O,X,O,X,X,X,X,X
SZTLIOJ,X,X,X,X,O,X,X,X,X
SZTLJIO,X,O,X,O,X,X,O,X,X
SZTLJOI,X,O,X,X,X,X,O,X,X
SZTLOIJ,X,X,X,X,O,X,O,X,X
SZTLOJI,X,X,X,X,X,X,O,X,X
SZTJILO,X,O,X,O,X,X,O,X,X
SZTJIOL,X,O,O,X,X,X,X,X,X
SZTJLIO,X,O,X,O,X,X,O,X,X
SZTJLOI,X,O,X,X,X,X,O,X,X
SZTJOIL,X,O,O,X,X,X,X,X,X
SZTJOLI,X,O,X,X,X,X,X,X,X
SZTOILJ,X,X,X,X,O,X,X,X,X
SZTOIJL,X,X,O,X,X,X,X,X,X
SZTOLIJ,X,O,X,X,O,X,X,X,X
SZTOLJI,X,O,X,X,X,X,X,X,X
SZTOJIL,X,O,O,X,X,X,X,X,X
SZTOJLI,X,O,X,X,X,X,X,X,X
SZITLJO,X,X,X,X,X,X,X,X,X
SZITLOJ,X,X,X,X,O,X,X,X,X
SZITJLO,X,X,X,X,X,X,X,X,X
SZITJOL,X,X,O,X,X,X,X,X,X
SZITOLJ,X,X,X,X,O,X,X,X,X
SZITOJL,X,X,O,X,X,X,X,X,X
SZILTJO,X,X,X,X,X,X,X,X,X
SZILTOJ,X,X,X,X,O,X,X,X,X
SZILJTO,X,X,X,X,X,X,X,X,X
SZILJOT,X,X,X,X,X,X,X,X,X
SZILOTJ,X,X,X,X,X,X,X,X,X
SZILOJT,X,X,X,X,X,X,X,X,X
SZIJTLO,X,X,X,X,X,X,X,X,X
SZIJTOL,X,X,O,X,X,X,X,X,X
SZIJLTO,X,X,X,X,X,X,X,X,X
SZIJLOT,X,X,X,X,X,X,X,X,X
SZIJOTL,X,X,X,X,X,X,X,X,X
SZIJOLT,X,X,X,X,X,X,X,X,X
SZIOTLJ,X,X,X,X,X,X,X,X,X
SZIOTJL,X,X,X,X,X,X,X,X,X
SZIOLTJ,X,X,X,X,X,X,X,X,X
SZIOLJT,X,X,X,X,X,X,X,X,X
SZIOJTL,X,X,X,X,X,X,X,X,X
SZIOJLT,X,X,X,X,X,X,X,X,X
SZLTIJO,X,O,X,X,X,X,X,X,X
SZLTIOJ,X,X,X,X,O,X,X,X,X
SZLTJIO,X,O,X,X,X,X,O,X,X
SZLTJOI,X,O,X,X,X,X,O,X,X
SZLTOIJ,X,X,X,X,O,X,O,X,X
SZLTOJI,X,X,X,X,X,X,O,X,X
SZLITJO,X,X,X,X,X,X,X,X,X
SZLITOJ,X,X,X,X,O,X,X,X,X
SZLIJTO,X,X,X,X,X,X,X,X,X
SZLIJOT,X,X,X,X,X,X,X,X,X
SZLIOTJ,X,X,X,X,X,X,X,X,X
SZLIOJT,X,X,X,X,X,X,X,X,X
SZLJTIO,X,X,X,X,X,X,X,X,X
SZLJTOI,X,X,X,X,X,X,X,X,X
SZLJITO,X,X,X,X,X,X,X,X,X
SZLJIOT,X,X,X,X,X,X,X,X,X
SZLJOTI,X,X,X,X,X,X,X,X,X
SZLJOIT,X,X,X,X,X,X,X,X,X
SZLOTIJ,X,X,X,X,X,X,X,X,X
SZLOTJI,X,X,X,X,X,X,X,X,X
SZLOITJ,X,X,X,X,X,X,X,X,X
SZLOIJT,X,X,X,X,X,X,X,X,X
SZLOJTI,X,X,X,X,X,X,X,X,X
SZLOJIT,X,X,X,X,X,X,X,X,X
SZJTILO,X,X,X,O,X,X,X,X,X
SZJTIOL,X,X,O,X,X,X,X,X,X
SZJTLIO,X,X,X,O,X,X,X,X,X
SZJTLOI,X,X,X,X,X,X,X,X,X
SZJTOIL,X,X,O,X,X,X,X,X,X
SZJTOLI,X,X,X,X,X,X,X,X,X
SZJITLO,X,X,X,X,X,X,X,X,X
SZJITOL,X,X,O,X,X,X,X,X,X
SZJILTO,X,X,X,X,X,X,X,X,X
SZJILOT,X,X,X,O,X,X,X,X,X
SZJIOTL,X,X,X,X,X,X,X,X,X
SZJIOLT,X,X,X,X,X,X,X,X,X
SZJLTIO,X,X,X,X,X,X,X,X,X
SZJLTOI,X,X,X,X,X,X,X,X,X
SZJLITO,X,X,X,X,X,X,X,X,X
SZJLIOT,X,X,X,X,X,X,X,X,X
SZJLOTI,X,X,X,X,X,X,X,X,X
SZJLOIT,X,X,X,X,X,X,X,X,X
SZJOTIL,X,X,X,X,X,X,X,X,X
SZJOTLI,X,X,X,X,X,X,X,X,X
SZJOITL,X,X,X,X,X,X,X,X,X
SZJOILT,X,X,X,X,X,X,X,X,X
SZJOLTI,X,X,X,X,X,X,X,X,X
SZJOLIT,X,X,X,X,X,X,X,X,X
SZOTILJ,X,X,X,X,X,X,X,X,X
SZOTIJL,X,X,X,X,X,X,X,X,X
SZOTLIJ,X,O,X,X,X,X,X,X,X
SZOTLJI,X,O,X,X,X,X,X,X,X
SZOTJIL,X,O,X,X,X,X,X,X,X
SZOTJLI,X,O,X,X,X,X,X,X,X
SZOITLJ,X,X,X,X,X,X,X,X,X
SZOITJL,X,X,X,X,X,X,X,X,X
SZOILTJ,X,X,X,X,X,X,X,X,X
SZOILJT,X,X,X,X,X,X,X,X,X
SZOIJTL,X,X,X,X,X,X,X,X,X
SZOIJLT,X,X,X,X,X,X,X,X,X
SZOLTIJ,X,O,X,X,X,X,X,X,X
SZOLTJI,X,O,X,X,X,X,X,X,X
SZOLITJ,X,X,X,X,X,X,X,X,X
SZOLIJT,X,O,X,X,X,X,X,X,X
SZOLJTI,X,X,X,X,X,X,X,X,X
SZOLJIT,X,O,X,X,X,X,X,X,X
SZOJTIL,X,X,X,X,X,X,X,X,X
SZOJTLI,X,X,X,X,X,X,X,X,X
SZOJITL,X,X,X,X,X,X,X,X,X
SZOJILT,X,O,X,X,X,X,X,X,X
SZOJLTI,X,X,X,X,X,X,X,X,X
SZOJLIT,X,O,X,X,X,X,X,X,X
SOTILJZ,X,X,X,X,X,X,X,X,X
SOTILZJ,X,X,X,X,X,X,X,X,X
SOTIJLZ,X,X,X,X,X,X,X,X,X
SOTIJZL,X,X,X,X,X,X,X,X,X
SOTIZLJ,X,X,X,X,X,X,X,X,X
SOTIZJL,X,X,X,X,X,X,X,X,X
SOTLIJZ,X,X,X,X,X,X,X,X,X
SOTLIZJ,X,X,X,X,X,X,X,X,X
SOTLJIZ,X,X,X,X,X,O,X,X,X
SOTLJZI,X,X,X,X,X,O,X,X,X
SOTLZIJ,X,X,X,X,X,O,X,X,X
SOTLZJI,X,X,X,X,X,O,X,X,X
SOTJILZ,X,X,X,X,X,O,X,X,X
SOTJIZL,X,X,X,X,X,O,X,X,X
SOTJLIZ,X,X,X,X,X,O,X,X,X
SOTJLZI,X,X,X,X,X,O,X,X,X
SOTJZIL,X,X,X,X,X,O,X,X,X
SOTJZLI,X,X,X,X,X,X,X,X,X
SOTZILJ,X,X,X,X,X,O,X,X,X
SOTZIJL,X,X,X,X,X,O,X,X,X
SOTZLIJ,X,X,X,X,X,O,X,X,X
SOTZLJI,X,X,X,X,X,O,X,X,X
SOTZJIL,X,X,X,X,X,O,X,X,X
SOTZJLI,X,X,X,X,X,X,X,X,X
SOITLJZ,X,X,X,X,X,X,X,X,X
SOITLZJ,X,X,X,X,X,X,X,X,X
SOITJLZ,X,X,X,X,X,X,X,X,X
SOITJZL,X,X,X,X,X,X,X,X,X
SOITZLJ,X,X,X,X,X,X,X,X,X
SOITZJL,X,X,X,X,X,X,X,X,X
SOILTJZ,X,X,X,X,X,X,X,X,X
SOILTZJ,X,X,X,X,X,X,X,X,X
SOILJTZ,X,X,X,X,X,X,X,X,X
SOILJZT,X,X,X,X,X,X,X,X,X
SOILZTJ,X,X,X,X,X,X,X,O,X
SOILZJT,X,X,X,X,X,X,X,X,X
SOIJTLZ,O,X,X,X,X,X,X,X,X
SOIJTZL,O,X,X,X,X,X,X,X,X
SOIJLTZ,O,X,X,X,X,X,X,X,X
SOIJLZT,O,X,X,X,X,X,X,X,X
SOIJZTL,O,X,X,X,X,X,X,X,X
SOIJZLT,O,X,X,X,X,X,X,X,X
SOIZTLJ,X,X,X,X,X,X,X,O,X
SOIZTJL,O,X,X,X,X,X,X,X,X
SOIZLTJ,X,X,X,X,X,X,X,O,X
SOIZLJT,X,X,X,X,X,X,X,X,X
SOIZJTL,O,X,X,X,X,X,X,X,X
SOIZJLT,O,X,X,X,X,X,X,X,X
SOLTIJZ,X,X,X,X,X,X,X,X,X
SOLTIZJ,X,X,X,X,X,X,X,X,X
SOLTJIZ,X,X,X,X,X,O,X,X,X
SOLTJZI,X,X,X,X,X,O,X,X,X
SOLTZIJ,X,X,X,X,X,O,X,X,X
SOLTZJI,X,X,X,X,X,O,X,X,X
SOLITJZ,X,X,X,X,X,X,X,X,X
SOLITZJ,X,X,X,X,X,X,X,X,X
SOLIJTZ,X,X,X,X,X,X,X,X,X
SOLIJZT,X,X,X,X,X,X,X,X,X
SOLIZTJ,X,X,X,X,X,X,X,O,X
SOLIZJT,X,O,X,X,X,X,X,X,X
SOLJTIZ,O,X,X,X,X,X,X,X,X
SOLJTZI,O,X,X,X,X,X,X,X,X
SOLJITZ,O,X,X,X,X,X,X,X,X
SOLJIZT,O,X,X,X,X,X,X,X,X
SOLJZTI,O,X,X,X,X,X,X,X,X
SOLJZIT,O,X,X,X,X,X,X,X,X
SOLZTIJ,X,O,X,X,X,O,X,O,X
SOLZTJI,X,O,X,X,X,O,X,X,X
SOLZITJ,X,X,X,X,X,O,X,O,X
SOLZIJT,X,O,X,X,X,X,X,X,X
SOLZJTI,O,X,X,X,X,X,X,X,X
SOLZJIT,O,O,X,X,X,X,X,X,X
SOJTILZ,O,X,X,X,X,X,X,X,X
SOJTIZL,O,X,X,X,X,X,X,X,X
SOJTLIZ,O,X,X,X,X,X,X,X,X
