sequence,v115@PhD8GeD8BeB8AeB8Jei/IvhFzgBWnBxiBUlBXrBlsB,v115@PhD8GeD8BeB8AeB8JeT/IvhF2lBRhBCjB3mB0qBlsB,v115@PhD8GeD8BeB8AeB8Jex/IvhFXhB8mBCjBmkBzqBlsB,v115@PhD8GeD8BeB8AeB8Jex/IvhF8lBzhBCjBmkBXrBlsB,v115@PhD8GeD8BeB8AeB8JeT/IvhF0gBxiB/qBCnBOrBlsB,v115@PhD8GeD8BeB8AeB8JeT/IvhFXhBxiB2qBCnBlsB0qB,v115@PhD8GeD8BeB8AeB8JeT/IvhFUiB/qBFmBRsBmqBCtB
TILJSZO,O,X,O,O,O,O,X
TILJSOZ,O,X,O,O,O,O,X
TILJZSO,O,X,O,X,X,O,X
TILJZOS,O,X,O,X,X,O,X
TILJOSZ,O,X,O,O,O,O,X
TILJOZS,O,X,O,X,X,O,X
TILSJZO,O,O,X,O,O,O,X
TILSJOZ,O,O,X,O,O,O,X
TILSZJO,O,O,X,O,O,O,X
TILSZOJ,O,O,X,O,O,O,X
TILSOJZ,O,O,X,O,O,O,X
TILSOZJ,O,O,X,O,O,O,X
TILZJSO,O,O,O,X,X,O,X
TILZJOS,O,O,O,X,X,O,X
TILZSJO,O,O,O,X,O,O,X
TILZSOJ,O,O,O,X,O,O,X
TILZOJS,O,O,O,X,X,O,X
TILZOSJ,O,O,O,X,O,O,X
TILOJSZ,O,X,O,O,O,O,X
TILOJZS,O,X,O,X,X,O,X
TILOSJZ,O,O,X,O,O,O,X
TILOSZJ,O,O,X,O,O,O,X
TILOZJS,O,O,O,X,X,O,X
TILOZSJ,O,O,O,X,O,O,X
TIJLSZO,O,X,O,O,O,O,X
TIJLSOZ,O,X,O,O,O,O,X
TIJLZSO,O,X,O,X,X,O,X
TIJLZOS,O,X,O,X,X,O,X
TIJLOSZ,O,X,O,O,O,O,X
TIJLOZS,O,X,O,X,X,O,X
TIJSLZO,O,X,O,O,O,O,X
TIJSLOZ,O,X,O,O,O,O,X
TIJSZLO,O,X,O,O,O,X,X
TIJSZOL,O,X,O,O,O,X,X
TIJSOLZ,O,X,O,O,O,O,X
TIJSOZL,O,X,O,O,O,X,X
TIJZLSO,O,X,O,X,X,O,X
TIJZLOS,O,X,O,X,X,O,X
TIJZSLO,O,X,O,X,X,X,X
TIJZSOL,O,X,O,X,X,X,X
TIJZOLS,O,X,O,X,X,O,X
TIJZOSL,O,X,O,X,X,X,X
TIJOLSZ,O,X,O,O,O,O,X
TIJOLZS,O,X,O,X,X,O,X
TIJOSLZ,O,X,O,O,O,O,X
TIJOSZL,O,X,O,O,O,X,X
TIJOZLS,O,X,O,X,X,O,X
TIJOZSL,O,X,O,X,X,X,X
TISLJZO,O,O,X,O,O,O,X
TISLJOZ,O,O,X,O,O,O,X
TISLZJO,O,O,X,O,O,O,X
TISLZOJ,O,O,X,O,O,O,O
TISLOJZ,O,O,X,O,O,O,X
TISLOZJ,O,O,X,O,O,O,O
TISJLZO,O,O,X,O,O,O,X
TISJLOZ,O,O,X,O,O,O,X
TISJZLO,O,O,X,O,O,X,X
TISJZOL,O,O,X,O,O,X,O
TISJOLZ,O,O,X,O,O,O,X
TISJOZL,O,O,X,O,O,X,O
TISZLJO,O,O,X,O,O,X,X
TISZLOJ,O,O,X,O,O,X,O
TISZJLO,O,O,X,O,O,X,X
TISZJOL,O,O,X,O,O,X,O
TISZOLJ,O,O,X,O,O,X,O
TISZOJL,O,O,X,O,O,X,O
TISOLJZ,O,O,X,O,O,O,X
TISOLZJ,O,O,X,O,O,O,O
TISOJLZ,O,O,X,O,O,O,X
TISOJZL,O,O,X,O,O,X,O
TISOZLJ,O,O,X,O,O,X,O
TISOZJL,O,O,X,O,O,X,O
TIZLJSO,O,O,O,X,X,O,X
TIZLJOS,O,O,O,X,X,O,X
TIZLSJO,O,O,O,X,O,O,X
TIZLSOJ,O,O,O,X,O,O,X
TIZLOJS,O,O,O,X,X,O,X
TIZLOSJ,O,O,O,X,O,O,X
TIZJLSO,O,O,O,X,X,O,X
TIZJLOS,O,O,O,X,X,O,X
TIZJSLO,O,O,O,X,X,X,X
TIZJSOL,O,O,O,X,X,X,X
TIZJOLS,O,O,O,X,X,O,X
TIZJOSL,O,O,O,X,X,X,X
TIZSLJO,O,O,O,X,O,X,X
TIZSLOJ,O,O,O,X,O,X,O
TIZSJLO,O,O,O,X,O,X,X
TIZSJOL,O,O,O,X,O,X,O
TIZSOLJ,O,O,O,X,O,X,O
TIZSOJL,O,O,X,X,O,X,O
TIZOLJS,O,O,O,X,X,O,X
TIZOLSJ,O,O,O,X,O,O,X
TIZOJLS,O,O,O,X,X,O,X
TIZOJSL,O,O,O,X,X,X,X
TIZOSLJ,O,O,O,X,O,X,O
TIZOSJL,O,O,O,X,O,X,O
TIOLJSZ,O,X,O,O,O,O,X
TIOLJZS,O,X,O,X,X,O,X
TIOLSJZ,O,O,X,O,O,O,X
TIOLSZJ,O,O,X,O,O,O,X
TIOLZJS,O,O,O,X,X,O,X
TIOLZSJ,O,O,O,X,O,O,X
TIOJLSZ,O,X,O,O,O,O,X
TIOJLZS,O,X,O,X,X,O,X
TIOJSLZ,O,X,O,O,O,O,X
TIOJSZL,O,X,O,O,O,X,X
TIOJZLS,O,X,O,X,X,O,X
TIOJZSL,O,X,O,X,X,X,X
TIOSLJZ,O,O,X,O,O,O,X
TIOSLZJ,O,O,X,O,O,O,O
TIOSJLZ,O,O,X,O,O,O,X
TIOSJZL,O,O,X,O,O,X,O
TIOSZLJ,O,O,X,O,O,X,O
TIOSZJL,O,O,X,O,O,X,O
TIOZLJS,O,O,O,X,X,O,X
TIOZLSJ,O,O,O,X,O,O,X
TIOZJLS,O,O,O,X,X,O,X
TIOZJSL,O,O,O,X,X,X,X
TIOZSLJ,O,O,O,X,O,X,O
TIOZSJL,O,O,O,X,O,X,O
TLIJSZO,O,X,O,O,O,O,X
TLIJSOZ,O,X,O,O,O,O,X
TLIJZSO,O,X,O,X,X,O,X
TLIJZOS,O,X,O,X,X,O,X
TLIJOSZ,O,X,O,O,O,O,X
TLIJOZS,O,X,O,X,X,O,X
TLISJZO,O,O,X,O,O,O,X
TLISJOZ,O,O,X,O,O,O,X
TLISZJO,O,O,X,O,O,O,X
TLISZOJ,O,O,X,O,O,O,X
TLISOJZ,O,O,X,O,O,O,X
TLISOZJ,O,O,X,O,O,O,X
TLIZJSO,O,O,O,X,X,O,X
TLIZJOS,O,O,O,X,X,O,X
TLIZSJO,O,O,O,X,O,O,X
TLIZSOJ,O,O,O,X,O,O,X
TLIZOJS,O,O,O,X,X,O,X
TLIZOSJ,O,O,O,X,O,O,X
