sequence,v115@HhB8HeB8EeD8EeD8Jem/IvhFRiBSoBFmB8rBXqBzqB,v115@HhB8HeB8EeD8EeD8Jex/IvhFlhBcnBTjBmlBXqBSwB,v115@HhB8HeB8EeD8EeD8Jex/IvhFylBumBcnBTjBXqBVwB,v115@HhB8HeB8EeD8EeD8Jex/IvhF8lBCiBTjBeqBXnBVwB,v115@HhB8HeB8EeD8EeD8JeKFJvhFWmBxhBTjBXnBVwB0pB,v115@HhB8HeB8EeD8EeD8Jem/IvhFUhBTjB1qBXnBCsBRvB,v115@HhB8HeB8EeD8EeD8Jem/IvhFSnBTjB3lBFmB8rBRvB
TILJSZO,X,X,X,X,O,O,X
TILJSOZ,X,X,X,X,O,O,O
TILJZSO,X,O,O,X,X,O,X
TILJZOS,X,O,O,X,X,O,X
TILJOSZ,X,X,X,X,O,O,O
TILJOZS,X,O,O,X,X,O,X
TILSJZO,X,X,X,X,O,O,X
TILSJOZ,X,X,X,X,O,O,O
TILSZJO,X,X,O,X,O,O,X
TILSZOJ,X,X,O,X,O,O,X
TILSOJZ,X,X,X,X,O,O,O
TILSOZJ,X,X,O,X,O,O,X
TILZJSO,X,O,O,X,X,O,X
TILZJOS,X,O,O,X,X,O,X
TILZSJO,X,X,O,X,X,O,X
TILZSOJ,X,O,O,X,X,O,X
TILZOJS,X,O,O,X,X,O,X
TILZOSJ,X,O,O,X,X,O,X
TILOJSZ,X,X,X,X,O,O,O
TILOJZS,X,O,O,X,X,O,X
TILOSJZ,X,X,X,X,O,O,O
TILOSZJ,X,X,O,X,O,O,X
TILOZJS,X,O,O,X,X,O,X
TILOZSJ,X,O,O,X,X,O,X
TIJLSZO,X,X,X,X,O,O,X
TIJLSOZ,X,X,X,X,O,O,O
TIJLZSO,X,X,O,X,X,O,X
TIJLZOS,X,X,O,X,X,O,X
TIJLOSZ,X,X,X,X,O,O,O
TIJLOZS,X,X,O,X,X,O,X
TIJSLZO,X,X,X,O,O,O,X
TIJSLOZ,X,X,X,O,O,O,O
TIJSZLO,X,X,X,O,O,O,X
TIJSZOL,X,X,X,O,O,O,X
TIJSOLZ,X,X,X,O,O,O,O
TIJSOZL,X,X,X,O,O,O,X
TIJZLSO,X,X,O,O,X,O,X
TIJZLOS,X,X,O,O,X,O,X
TIJZSLO,X,X,O,O,X,O,X
TIJZSOL,X,X,O,O,X,O,X
TIJZOLS,X,X,O,O,X,O,X
TIJZOSL,X,X,O,O,X,O,X
TIJOLSZ,X,X,X,X,O,O,O
TIJOLZS,X,X,O,X,X,O,X
TIJOSLZ,X,X,X,O,O,O,O
TIJOSZL,X,X,X,O,O,O,X
TIJOZLS,X,X,O,O,X,O,X
TIJOZSL,X,X,O,O,X,O,X
TISLJZO,X,X,X,O,O,O,X
TISLJOZ,X,X,X,O,O,O,O
TISLZJO,X,X,O,X,O,O,X
TISLZOJ,X,X,O,X,O,O,X
TISLOJZ,X,X,X,O,O,O,O
TISLOZJ,X,X,O,X,O,O,X
TISJLZO,X,X,X,O,O,O,X
TISJLOZ,X,X,X,O,O,O,O
TISJZLO,X,O,X,O,O,O,X
TISJZOL,X,O,X,O,O,O,X
TISJOLZ,X,X,X,O,O,O,O
TISJOZL,X,O,X,O,O,O,X
TISZLJO,X,O,O,X,O,O,X
TISZLOJ,X,O,O,X,O,O,X
TISZJLO,X,O,O,X,O,O,X
TISZJOL,X,O,O,X,O,O,X
TISZOLJ,X,O,O,X,O,O,X
TISZOJL,X,O,O,X,O,O,X
TISOLJZ,X,X,X,O,O,O,O
TISOLZJ,X,X,O,X,O,O,X
TISOJLZ,X,X,X,O,O,O,O
TISOJZL,X,O,X,O,O,O,X
TISOZLJ,X,O,O,X,O,O,X
TISOZJL,X,O,O,X,O,O,X
TIZLJSO,X,O,O,X,X,O,X
TIZLJOS,X,O,O,X,X,O,X
TIZLSJO,X,X,O,X,X,O,X
TIZLSOJ,X,O,O,X,X,O,X
TIZLOJS,X,O,O,X,X,O,X
TIZLOSJ,X,O,O,X,X,O,X
TIZJLSO,X,X,O,X,X,O,X
TIZJLOS,X,X,O,X,X,O,X
TIZJSLO,X,X,O,X,X,O,X
TIZJSOL,X,X,O,X,X,O,X
TIZJOLS,X,O,O,X,X,O,X
TIZJOSL,X,O,O,X,X,O,X
TIZSLJO,X,O,O,X,X,O,X
TIZSLOJ,X,O,O,X,X,O,X
TIZSJLO,X,O,O,X,X,O,X
TIZSJOL,X,O,O,X,X,O,X
TIZSOLJ,X,O,O,X,X,O,X
TIZSOJL,X,O,O,X,X,O,X
