sequence,v115@vhHT1IZkBtpBmlBfsB0nB6tBWwB,v115@vhHT5I5oBOpB8pBCmBXnBdtB2wB,v115@vhHT5I5oBikBGmBOsBdtB3pBUrB,v115@vhHT5I5oBOpB8pBfrB6rBOsBdtB,v115@vhHu6I8kB6oBznB2uBlqB3rBxxB,v115@vhHOEJzgB+pBKqBUnB/tBFrBRxB,v115@vhHT/IulBypBlmB3nBctB2wBxuB,v115@vhH8EJWmB6oBznB2uBlqB3rBxxB,v115@vhHz/IOoBKpBUmB/sB+tBFqBRwB,v115@vhH3/I6oBllBRnBTpB2vBmrBUtB,v115@vhHT/I8lBWnB+tBipBlrB3sBRvB,v115@vhHz/I8lBWnB+tBipBlrB3sBRvB,v115@vhHu7ITfB8lB+tBipBlrB3sBRvB,v115@vhHu7IzfB8lB+tBipBlrB3sBRvB,v115@vhHx7IfnBKpBdrBznB+tBUqBWxB,v115@vhHx8I8lBmkBtrB+tBTpByvB3sB,v115@vhHx8IylB0kBtrB+tB2uBzqB3sB,v115@vhHO6I+fBKqBUnB/tBTpBFrBRxB,v115@vhHT1IOkB+pBKqBUnB/tBFrBRxB,v115@vhHO+I+jBKpBUmB/sBFqBTtBRwB,v115@vhHT5IOoBKpBUmB/sB+tBFqBRwB,v115@vhH++IWoBKpBUmB/sBFqBTtBRwB,v115@vhH/6I2kB8lBStBTpB2vBlrBxxB,v115@vhHZ6IqfB8lB+tBTpB2vBlrB3sB,v115@vhHu9IejBKpBUmB/sBFqBTtBRwB,v115@vhHu6I8kBzmBftB6tB2uBlqBxwB,v115@vhHWAJ8mB3kBzlB+tByuBlsBRwB,v115@vhHeCJ8kBziBStB2uBlqB3rBxxB,v115@vhH2CJ8kBzmBftB6tB2uBlqBxwB,v115@vhHq7IxcBcqBerBtrB+tBTpB3sB,v115@vhHeGJ8mBziB3kB+tByuBlsBRwB,v115@vhH8EJzgBZnB+rBXoB2uBlqBSyB,v115@vhHe+IWlBKpBTnB/tBUqBFrBRxB,v115@vhHe+IckBXlBesBznBFrBSyBxuB,v115@vhHq6I/oBGlB0nBTpB2vBlrBxxB,v115@vhH+DJ0fBfmBKpBFqBGsBTtBRwB,v115@vhH26IZkB8nBtpB+rBKsB3qBTtB,v115@vhH8CJ+jBfmBKpBFqBGsBTtBRwB,v115@vhH++I8kBzmBftB6tB2uBlqBxwB,v115@vhH28IamBcpBTlBtrB+tB3sBRvB,v115@vhH26IZkB8mBtpBusB3qBywBTtB,v115@vhHS+IfmB5oBzkBdtB2uBWwBUsB,v115@vhHS8IfnB8nB2pBdrBWxBTtBxuB,v115@vhH28I8kBZmBKpBtrB+tBTqB3sB,v115@vhH2CJ5oBOpBXlBlmBatBUrBTsB,v115@vhH/CJTjBxkBlmBipBUrB2xBGtB,v115@vhH/CJOoBxkBlmB+tBipBUrBTsB,v115@vhHO6I+jBKpBUmB/sBFqBTtBRwB,v115@vhHO6IejBKpBUmB/sBFqBTtBRwB,v115@vhH/6I2kB8mB+tBTpBiqBlsBRwB,v115@vhH/6IZkB8mBzkB+tBSvB2wBlsB,v115@vhH8EJzgB5oB+rB3nB2uBlqByxB,v115@vhH++IzfB8lB+tBipBlrB3sBRvB,v115@vhHX5I+jBikBRmB9sBGqB0rBTtB,v115@vhHu6I8kBzgBStB2uBlqB3rBxxB,v115@vhHu6IXgB8lBStBTpB2vBlrBxxB,v115@vhHu6IKlBzgBcpB+tBlrB3sBRvB,v115@vhHO7I+fBKqBUnB/tBTpBFrBRxB,v115@vhHG5IdoB5oBikBuqB3mBzpB0sB,v115@vhHi1IZkBtkBUmBGnBToBXqB2xB,v115@vhH++I8kB6nBToB2uBlqB3rBxxB,v115@vhH++ITfB8lB+tBipBlrB3sBRvB,v115@vhH6+IejBcqB3mB+tBTpBlsBRwB,v115@vhH+/I8mBXjB+tBTpBiqBlsBRwB,v115@vhH5/I8mBXjBKpB+tBTqB2wBlsB,v115@vhH+DJ8lBXiB+sBipBlrBTtBRvB,v115@vhH5DJ8lBXiB+sBKtBTpB2vBlrB,v115@vhHuCJfnBTjBKpBUqBFrBGtBRxB,v115@vhHz6I2kB8lB+tBipBlrB3sBRvB,v115@vhHU+IfnBWoB2pBFrBSxBTtBxuB,v115@vhHz9IWnB5oBKpBetBUqBFrBXsB,v115@vhHz9IWnBcoB2pBFrBXsBSyBxuB,v115@vhHZEJ8mBziBqpB/qB+tB2wBlsB,v115@vhH+AJ/kB0mBCoB2uBlqBTtBxwB,v115@vhHT8I/kB8mByqB+tB2uBlsBRwB,v115@vhHS+I8kBTjBWtB2uBlqB3rBxxB,v115@vhH5+IajB8kB+sB2uBlqB3rBTtB,v115@vhH26IOkBfoBzkBUrBFsBSyBxuB,v115@vhH5+I/kBylB+sB2uB0qBlrBTtB,v115@vhHZ6I/lBymB+tBTpB2vB0rBlsB
comments,J-01,J-02,J-02,J-02,J-03,J-04,J-05,J-06,J-07,J-08,J-09,J-10,J-11,J-12,J-13,J-13M,J-13M,J-14,J-14,J-15,J-15,J-16,J-17,J-17,J-18,J-19,J-20,J-21,J-21,J-22,J-23,J-24,J-25,J-25,J-25M,J-26,J-27,J-28,J-29,J-30,J-31,J-31M,J-32,J-33,J-34,J-34,J-34,J-35,J-36,J-37,J-37,J-38,J-39,J-40,J-41,J-41,J-41,J-42,J-43,J-43M,J-44,J-45,J-46,J-47,J-47,J-48,J-48,J-49,J-49M,J-49,J-49,J-49,J-50,J-51,J-52,J-53,J-53,J-53M,J-54,J-55
score,5161.8849206349205,5102.400793650793,5102.400793650793,5102.400793650793,4983.392857142857,4974.087301587301,4974.087301587301,4965.873015873016,4964.523809523809,4964.523809523809,4952.460317460317,4947.380952380952,4931.091269841269,4931.091269841269,4894.523809523809,4894.523809523809,4894.523809523809,4845.337301587301,4845.337301587301,4845.337301587301,4845.337301587301,4825.079365079365,4810.992063492064,4810.992063492064,4808.630952380952,4808.1349206349205,4780.238095238095,4771.686507936508,4771.686507936508,4751.825396825398,4734.3452380952385,4728.908730158731,4706.09126984127,4706.09126984127,4706.09126984127,4671.805555555556,4670.93253968254,4668.710317460317,4661.0317460317465,4654.603174603175,4638.888888888889,4638.888888888889,4611.210317460317,4600.972222222223,4597.956349206349,4597.956349206349,4597.956349206349,4590.31746031746,4574.444444444444,4568.253968253968,4568.253968253968,4563.9682539682535,4563.809523809524,4563.194444444444,4540.6547619047615,4540.6547619047615,4540.6547619047615,4540.1984126984125,4526.8849206349205,4526.8849206349205,4522.162698412699,4520.119047619048,4517.976190476191,4517.619047619048,4517.619047619048,4517.619047619048,4517.619047619048,4516.309523809524,4516.309523809524,4516.309523809524,4516.309523809524,4516.309523809524,4497.380952380952,4497.361111111111,4493.591269841269,4491.0515873015875,4491.0515873015875,4491.0515873015875,4485.694444444444,4471.25
TILJSZO,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TILJSOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TILJZSO,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TILJOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TILJOZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TILSJZO,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X
TILSJOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
