sequence,v115@JhA8GeD8FeF8CeA8JeT/IvhF0gBxhBXjB1rBStB2xB,v115@JhA8GeD8FeF8CeA8JeT/IvhF0gBlhBxnBCoBmrBXtB,v115@JhA8GeD8FeF8CeA8JeT/IvhFxgB/nB+oBFmBUsBatB,v115@JhA8GeD8FeF8CeA8JeT/IvhF0gBGjBRnBimBFsBXtB,v115@JhA8GeD8FeF8CeA8JeT/IvhF0gBlhBGjBxrBXtBisB,v115@JhA8GeD8FeF8CeA8JeT/IvhF0gBlhB3iB+oBxrByxB
TILJSZO,O,X,X,X,X,O
TILJSOZ,O,X,X,X,X,O
TILJZSO,O,X,O,X,X,O
TILJZOS,O,X,O,O,X,O
TILJOSZ,O,X,X,X,X,O
TILJOZS,O,X,O,O,X,O
TILSJZO,O,X,X,X,O,X
TILSJOZ,O,X,X,X,O,X
TILSZJO,O,X,X,X,O,X
TILSZOJ,O,X,X,X,O,X
TILSOJZ,O,X,X,X,O,X
TILSOZJ,O,X,X,X,O,X
TILZJSO,O,X,O,X,X,O
TILZJOS,O,X,O,O,X,O
TILZSJO,O,X,O,X,O,X
TILZSOJ,O,X,O,X,O,X
TILZOJS,O,X,O,O,X,O
TILZOSJ,O,X,O,X,O,X
TILOJSZ,O,X,X,X,X,O
TILOJZS,O,X,O,O,X,O
TILOSJZ,O,X,X,X,O,X
TILOSZJ,O,X,X,X,O,X
TILOZJS,O,X,O,O,X,O
TILOZSJ,O,X,O,X,O,X
TIJLSZO,O,X,X,X,X,O
TIJLSOZ,O,X,X,X,X,O
TIJLZSO,O,X,O,X,X,O
TIJLZOS,O,X,O,O,X,O
TIJLOSZ,O,X,X,X,X,O
TIJLOZS,O,X,O,O,X,O
TIJSLZO,X,X,X,X,O,O
TIJSLOZ,X,X,X,X,O,O
TIJSZLO,X,X,O,X,O,O
TIJSZOL,X,X,O,O,O,O
TIJSOLZ,X,X,X,X,O,O
TIJSOZL,X,X,O,O,O,O
TIJZLSO,O,X,O,X,X,O
TIJZLOS,O,X,O,O,X,O
TIJZSLO,X,X,O,X,O,O
TIJZSOL,X,X,O,O,O,O
TIJZOLS,O,X,O,O,X,O
TIJZOSL,X,X,O,O,O,O
TIJOLSZ,O,X,X,X,X,O
TIJOLZS,O,X,O,O,X,O
TIJOSLZ,X,X,X,X,O,O
TIJOSZL,X,X,O,O,O,O
TIJOZLS,O,X,O,O,X,O
TIJOZSL,X,X,O,O,O,O
TISLJZO,O,X,X,O,O,X
TISLJOZ,O,X,X,O,O,X
TISLZJO,O,X,X,O,O,X
TISLZOJ,O,X,X,O,O,X
TISLOJZ,O,X,X,O,O,X
TISLOZJ,O,X,X,O,O,X
TISJLZO,X,X,X,O,O,O
TISJLOZ,X,X,X,O,O,O
TISJZLO,X,X,O,O,O,O
TISJZOL,X,X,O,O,O,O
TISJOLZ,X,X,X,O,O,O
TISJOZL,X,X,O,O,O,O
TISZLJO,O,X,O,O,O,X
TISZLOJ,O,X,O,O,O,X
TISZJLO,X,X,O,O,O,O
TISZJOL,X,X,O,O,O,O
TISZOLJ,O,X,O,O,O,X
TISZOJL,X,X,O,O,O,O
TISOLJZ,O,X,X,O,O,X
TISOLZJ,O,X,X,O,O,X
TISOJLZ,X,X,X,O,O,O
TISOJZL,X,X,O,O,O,O
TISOZLJ,O,X,O,O,O,X
TISOZJL,X,X,O,O,O,O
TIZLJSO,O,X,O,X,X,O
TIZLJOS,O,X,O,O,X,O
TIZLSJO,O,X,O,X,O,X
TIZLSOJ,O,X,O,X,O,X
TIZLOJS,O,X,O,O,X,O
TIZLOSJ,O,X,O,X,O,X
TIZJLSO,O,X,O,X,X,O
TIZJLOS,O,X,O,O,X,O
TIZJSLO,X,X,O,X,O,O
TIZJSOL,X,X,O,O,O,O
TIZJOLS,O,X,O,O,X,O
TIZJOSL,X,X,O,O,O,O
TIZSLJO,O,X,O,O,O,X
TIZSLOJ,O,X,O,O,O,X
TIZSJLO,X,X,O,O,O,O
TIZSJOL,X,X,O,O,O,O
TIZSOLJ,O,X,O,O,O,X
TIZSOJL,X,X,O,O,O,O
TIZOLJS,O,X,O,O,X,O
TIZOLSJ,O,X,O,X,O,X
TIZOJLS,O,X,O,O,X,O
TIZOJSL,X,X,O,O,O,O
