sequence,v115@QhA8HeE8AeF8JeUBJvhFFiBXjBTkB6qBmpBxwB,v115@QhA8HeE8AeF8Je1FJvhF0hBxiBTkB3nBmkBCrB,v115@QhA8HeE8AeF8Je3AJvhFqmBxiBTkB8qBlsBmpB,v115@QhA8HeE8AeF8JeOEJvhFXgBzhBFjBSsBRqB8qB,v115@QhA8HeE8AeF8JeOEJvhFxhBXjBzkBVrBUnB6qB,v115@QhA8HeE8AeF8JexCJvhFTkB0lBlmB3nBmkBCrB,v115@QhA8HeE8AeF8Jex/IvhFqmB/nBFjBTkB2qB8qB,v115@QhA8HeE8AeF8JeT/IvhFXjBmlBUnBCnBxpBlqB,v115@QhA8HeE8AeF8JeFCJvhFXjBxkB8qBWxBTpBiqB,v115@QhA8HeE8AeF8JeUBJvhFFjBxkBTnBikB3mBGqB
TILJSZO,O,X,X,O,X,X,X,X,X,X
TILJSOZ,O,X,X,O,X,X,X,X,X,X
TILJZSO,O,X,O,O,X,X,X,X,X,X
TILJZOS,O,X,O,O,X,X,X,X,X,X
TILJOSZ,O,X,X,O,X,X,X,X,X,X
TILJOZS,O,X,O,O,X,X,X,X,X,X
TILSJZO,O,X,X,O,X,X,X,X,X,X
TILSJOZ,O,X,X,O,X,X,X,X,X,X
TILSZJO,O,X,O,X,X,X,X,X,X,X
TILSZOJ,O,X,O,X,X,X,X,X,X,X
TILSOJZ,O,X,X,O,X,X,X,X,X,X
TILSOZJ,O,X,O,X,X,X,X,X,X,X
TILZJSO,O,X,O,O,X,X,X,X,X,X
TILZJOS,O,X,O,O,X,X,X,X,X,X
TILZSJO,O,X,O,X,X,X,X,X,X,X
TILZSOJ,O,X,O,X,X,X,X,X,X,X
TILZOJS,O,X,O,O,X,X,X,X,X,X
TILZOSJ,O,X,O,X,X,X,X,X,X,X
TILOJSZ,O,X,X,O,X,X,X,X,X,X
TILOJZS,O,X,O,O,X,X,X,X,X,X
TILOSJZ,O,X,X,O,X,X,X,X,X,X
TILOSZJ,O,X,O,X,X,X,X,X,X,X
TILOZJS,O,X,O,O,X,X,X,X,X,X
TILOZSJ,O,X,O,X,X,X,X,X,X,X
TIJLSZO,O,X,X,O,X,X,X,X,X,X
TIJLSOZ,O,X,X,O,X,X,X,X,X,X
TIJLZSO,O,X,O,O,X,X,X,X,X,X
TIJLZOS,O,X,O,O,X,X,X,X,X,X
TIJLOSZ,O,X,X,O,X,X,X,X,X,X
TIJLOZS,O,X,O,O,X,X,X,X,X,O
TIJSLZO,O,X,X,O,X,X,X,X,X,X
TIJSLOZ,O,X,X,O,X,X,O,X,X,X
TIJSZLO,O,X,X,X,X,X,X,X,X,X
TIJSZOL,X,X,X,X,X,X,X,O,X,X
TIJSOLZ,O,X,X,X,X,X,O,X,X,X
TIJSOZL,X,X,X,X,X,X,X,O,X,O
TIJZLSO,O,X,O,O,X,X,X,X,X,X
TIJZLOS,O,X,O,O,X,X,X,X,X,X
TIJZSLO,O,X,X,X,X,X,X,X,X,X
TIJZSOL,X,X,X,X,X,X,X,O,X,X
TIJZOLS,X,X,O,X,X,X,X,X,X,O
TIJZOSL,X,X,X,X,X,X,X,O,X,O
TIJOLSZ,O,X,X,O,X,X,X,X,X,X
TIJOLZS,O,X,O,O,X,X,X,X,X,O
TIJOSLZ,O,X,X,X,X,X,O,X,X,X
TIJOSZL,X,X,X,X,X,X,X,O,X,O
TIJOZLS,X,X,O,X,X,X,X,X,X,O
TIJOZSL,X,X,X,X,X,X,X,O,X,O
TISLJZO,O,O,X,O,X,X,X,X,X,X
TISLJOZ,O,O,X,O,X,X,O,X,X,X
TISLZJO,O,O,O,X,X,X,X,X,X,X
TISLZOJ,O,O,O,X,X,O,X,X,X,X
TISLOJZ,O,O,X,O,X,X,O,X,X,X
TISLOZJ,O,O,O,X,X,O,X,X,X,X
TISJLZO,O,X,X,O,X,X,X,X,X,X
TISJLOZ,O,X,X,O,X,X,O,X,X,X
TISJZLO,O,X,X,X,X,X,X,X,X,X
TISJZOL,X,X,X,X,X,O,X,O,X,X
TISJOLZ,O,X,X,X,X,X,O,X,X,X
TISJOZL,X,X,X,X,X,O,X,O,X,X
TISZLJO,O,X,O,X,X,X,X,X,X,X
TISZLOJ,O,X,O,X,O,O,X,X,X,X
TISZJLO,O,X,X,X,X,X,X,X,X,X
TISZJOL,X,X,X,X,O,O,X,O,X,X
TISZOLJ,O,X,O,X,O,O,X,X,X,X
TISZOJL,X,X,X,X,O,O,X,O,X,X
TISOLJZ,O,O,X,X,X,X,O,X,X,X
TISOLZJ,O,O,O,X,X,O,X,X,X,X
TISOJLZ,O,X,X,X,X,X,O,X,X,X
TISOJZL,X,X,X,X,O,O,X,O,X,X
TISOZLJ,O,X,O,X,O,O,X,X,X,X
TISOZJL,X,X,X,X,O,O,X,O,X,X
TIZLJSO,O,X,O,O,X,X,X,X,X,X
TIZLJOS,O,X,O,O,X,X,X,X,X,X
TIZLSJO,O,X,O,X,X,X,X,X,X,X
TIZLSOJ,O,X,O,X,O,X,X,X,X,X
TIZLOJS,O,X,O,O,O,X,X,X,X,X
TIZLOSJ,O,X,O,X,O,X,X,X,X,X
TIZJLSO,O,X,O,O,X,X,X,X,X,X
TIZJLOS,O,X,O,O,X,X,X,X,X,X
TIZJSLO,O,X,X,X,X,X,X,X,X,X
TIZJSOL,X,X,X,X,O,X,X,O,X,X
TIZJOLS,X,X,O,X,O,X,X,X,X,X
TIZJOSL,X,X,X,X,O,X,X,O,X,X
TIZSLJO,O,X,O,X,X,X,X,X,X,X
TIZSLOJ,O,X,O,X,O,O,X,X,X,X
TIZSJLO,O,X,X,X,X,X,X,X,X,X
TIZSJOL,X,X,X,X,O,O,X,O,X,X
TIZSOLJ,O,X,O,X,O,O,X,X,X,X
TIZSOJL,X,X,X,X,O,O,X,O,X,X
TIZOLJS,O,X,O,X,O,X,X,X,X,X
TIZOLSJ,O,X,O,X,O,X,X,X,X,X
TIZOJLS,X,X,O,X,O,X,X,X,X,X
TIZOJSL,X,X,X,X,O,X,X,O,X,X
TIZOSLJ,O,X,O,X,O,O,X,X,X,X
TIZOSJL,X,X,X,X,O,O,X,O,X,X
TIOLJSZ,O,X,X,O,X,X,X,X,X,X
TIOLJZS,O,X,O,O,X,X,X,X,X,X
TIOLSJZ,O,X,X,O,X,X,X,X,X,X
TIOLSZJ,O,X,O,X,X,X,X,X,X,X
TIOLZJS,O,X,O,O,X,X,X,X,X,X
TIOLZSJ,O,X,O,X,X,X,X,X,X,X
TIOJLSZ,O,X,X,O,X,X,X,X,X,X
TIOJLZS,O,X,O,O,X,X,X,X,X,O
TIOJSLZ,O,X,X,X,X,X,O,X,X,X
TIOJSZL,X,X,X,X,O,X,X,O,X,O
TIOJZLS,X,X,O,X,O,X,X,X,X,O
TIOJZSL,X,X,X,X,O,X,X,O,X,O
TIOSLJZ,O,O,X,X,X,X,O,X,X,X
TIOSLZJ,O,O,O,X,X,O,X,X,X,X
TIOSJLZ,O,X,X,X,X,X,O,X,X,X
TIOSJZL,X,X,X,X,O,O,X,O,X,X
TIOSZLJ,O,X,O,X,O,O,X,X,X,X
TIOSZJL,X,X,X,X,O,O,X,O,X,X
TIOZLJS,O,X,O,X,O,X,X,X,X,X
TIOZLSJ,O,X,O,X,O,X,X,X,X,X
TIOZJLS,X,X,O,X,O,X,X,X,X,X
TIOZJSL,X,X,X,X,O,X,X,O,X,X
TIOZSLJ,O,X,O,X,O,O,X,X,X,X
TIOZSJL,X,X,X,X,O,O,X,O,X,X
TLIJSZO,O,X,X,O,X,X,X,X,X,X
TLIJSOZ,O,X,X,O,X,X,X,X,X,X
TLIJZSO,O,X,O,O,X,X,X,X,X,X
TLIJZOS,O,X,O,O,X,X,X,X,X,X
TLIJOSZ,O,X,X,O,X,X,X,X,X,X
TLIJOZS,O,X,O,O,X,X,X,X,X,X
TLISJZO,O,O,X,O,X,X,X,X,X,X
TLISJOZ,O,O,X,O,X,X,X,X,X,X
TLISZJO,O,O,O,X,X,X,X,X,X,X
TLISZOJ,O,O,O,X,X,X,X,X,X,X
TLISOJZ,O,O,X,O,X,X,X,X,X,X
TLISOZJ,O,O,O,X,X,X,X,X,X,X
TLIZJSO,O,X,O,O,X,X,X,X,X,X
