sequence,v115@AhA8IeE8EeB8HeC8CeA8Je/EJvhFalBxhBTjB2uBUs?BFtB,v115@AhA8IeE8EeB8HeC8CeA8Jem/IvhFxhBTjBKpBfqBUs?BFtB,v115@AhA8IeE8EeB8HeC8CeA8Je2EJvhFxhBTjB3kByuBUs?BFtB,v115@AhA8IeE8EeB8HeC8CeA8JeyEJvhFxhBTjB0kB2uBFs?BXtB,v115@AhA8IeE8EeB8HeC8CeA8Jei/IvhFxhBTjBcpBeqBFs?BXtB,v115@AhA8IeE8EeB8HeC8CeA8Jei/IvhFxhBTjBmpBUsBFt?B3pB,v115@AhA8IeE8EeB8HeC8CeA8JeOEJvhF8kBxhBTjByuBFs?BXtB,v115@AhA8IeE8EeB8HeC8CeA8JexBJvhFTjBikB3pBUsBFt?BmpB,v115@AhA8IeE8EeB8HeC8CeA8JeyEJvhFxhBToB0kB2uBFs?BXtB,v115@AhA8IeE8EeB8HeC8CeA8JeZFJvhFOpBToB6pBlmBcs?BXtB,v115@AhA8IeE8EeB8HeC8CeA8JeZFJvhF6pBToBOpBlmBcs?BXtB,v115@AhA8IeE8EeB8HeC8CeA8JeOEJvhF8kBxhBToByuBFs?BXtB,v115@AhA8IeE8EeB8HeC8CeA8JexCJvhFikBToB0mB3pB1x?BmpB,v115@AhA8IeE8EeB8HeC8CeA8JexBJvhFTjBmkB0pBFsBXt?BipB,v115@AhA8IeE8EeB8HeC8CeA8JeZFJvhFTjB6pBOpBlmBcs?BXtB
TILJSZO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TILJSOZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
TILJZSO,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X
TILJZOS,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X
TILJOSZ,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TILJOZS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TILSJZO,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TILSJOZ,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TILSZJO,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
TILSZOJ,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
TILSOJZ,X,O,O,O,O,X,O,X,X,X,X,X,X,X,O
TILSOZJ,X,O,X,X,X,X,O,X,X,X,X,O,X,O,O
TILZJSO,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TILZJOS,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TILZSJO,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TILZSOJ,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X
TILZOJS,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TILZOSJ,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TILOJSZ,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X
TILOJZS,X,X,O,X,X,X,X,X,O,X,O,O,X,X,X
TILOSJZ,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X
TILOSZJ,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
TILOZJS,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X
TILOZSJ,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X
TIJLSZO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TIJLSOZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
TIJLZSO,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X
TIJLZOS,X,X,O,X,O,O,O,X,O,X,X,O,X,X,X
TIJLOSZ,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TIJLOZS,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TIJSLZO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TIJSLOZ,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X
TIJSZLO,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TIJSZOL,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TIJSOLZ,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X
TIJSOZL,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TIJZLSO,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TIJZLOS,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TIJZSLO,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TIJZSOL,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TIJZOLS,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TIJZOSL,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X
TIJOLSZ,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X
TIJOLZS,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X
TIJOSLZ,O,X,X,O,O,X,X,X,O,O,X,X,X,X,X
TIJOSZL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TIJOZLS,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
TIJOZSL,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TISLJZO,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TISLJOZ,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TISLZJO,X,O,X,X,X,X,O,O,X,X,X,O,X,O,X
TISLZOJ,X,O,X,X,X,X,O,O,X,X,X,O,X,O,X
TISLOJZ,X,O,O,O,O,X,O,X,X,X,X,X,O,X,O
TISLOZJ,X,O,X,X,X,X,O,O,X,X,X,O,O,O,O
TISJLZO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TISJLOZ,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X
TISJZLO,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TISJZOL,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TISJOLZ,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X
TISJOZL,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TISZLJO,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TISZLOJ,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TISZJLO,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X
TISZJOL,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X
TISZOLJ,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TISZOJL,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X
TISOLJZ,X,O,O,O,O,X,O,X,X,X,X,X,O,X,O
TISOLZJ,X,O,X,X,X,X,O,O,X,X,X,O,O,O,O
TISOJLZ,O,X,X,O,O,X,O,X,O,X,X,X,O,X,X
TISOJZL,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TISOZLJ,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
TISOZJL,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TIZLJSO,O,O,O,X,X,O,O,X,X,X,X,O,X,O,X
TIZLJOS,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TIZLSJO,X,O,O,X,X,X,O,O,X,X,X,O,X,O,X
TIZLSOJ,X,O,O,X,X,X,O,O,X,X,X,O,X,O,X
TIZLOJS,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TIZLOSJ,X,O,O,X,X,X,O,O,X,X,X,O,X,X,X
TIZJLSO,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X
TIZJLOS,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TIZJSLO,O,X,X,O,O,O,X,O,X,X,X,X,X,O,X
TIZJSOL,O,X,X,O,O,O,X,O,X,X,X,X,X,O,X
TIZJOLS,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TIZJOSL,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X
TIZSLJO,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X
TIZSLOJ,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X
TIZSJLO,O,X,X,O,O,O,X,O,X,X,X,X,X,O,X
TIZSJOL,O,X,X,O,O,O,X,O,X,X,X,X,X,O,X
TIZSOLJ,X,O,O,X,X,X,O,O,X,X,X,X,X,O,X
TIZSOJL,O,X,X,O,O,O,X,O,X,X,X,X,X,O,X
TIZOLJS,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X
TIZOLSJ,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X
TIZOJLS,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X
TIZOJSL,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X
TIZOSLJ,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
TIZOSJL,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X
TIOLJSZ,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X
TIOLJZS,X,X,O,X,X,X,X,X,O,X,O,O,X,X,X
TIOLSJZ,X,O,O,X,X,X,O,X,X,X,O,X,O,X,X
TIOLSZJ,X,O,X,X,X,X,O,X,X,X,O,O,O,X,X
TIOLZJS,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X
