sequence,v115@LhD8FeA8EeF8CeA8JeOEJvhFXgBxhBTjBSqBUsBFtB,v115@LhD8FeA8EeF8CeA8Jei/IvhF+lBxhBTjB3kBUsBFtB,v115@LhD8FeA8EeF8CeA8Je0/IvhF6lBxhBTjB2pBFsBXtB,v115@LhD8FeA8EeF8CeA8Jei/IvhF+lBxiB3kBToB0mB1xB,v115@LhD8FeA8EeF8CeA8JeKEJvhFGgBxhBTjBUlBFsBXtB
TLJOSIZ,O,X,X,X,X
TLJOSZI,O,X,X,X,X
TLJOZIS,X,X,X,X,X
TLJOZSI,X,X,X,X,X
TLSIJZO,X,X,O,X,X
TLSIJOZ,O,X,O,X,X
TLSIZJO,X,X,X,X,O
TLSIZOJ,X,X,X,X,O
TLSIOJZ,O,X,O,X,X
TLSIOZJ,X,X,X,X,O
TLSJIZO,X,X,O,X,X
TLSJIOZ,O,X,O,X,X
TLSJZIO,X,X,O,X,X
TLSJZOI,X,X,O,X,X
TLSJOIZ,O,X,O,X,X
TLSJOZI,O,X,O,X,X
TLSZIJO,X,X,X,X,O
TLSZIOJ,X,X,X,X,O
TLSZJIO,X,X,X,X,O
TLSZJOI,X,X,X,X,O
TLSZOIJ,X,X,X,X,O
TLSZOJI,X,X,X,X,O
TLSOIJZ,O,X,O,X,X
TLSOIZJ,X,X,X,X,O
TLSOJIZ,O,X,O,X,X
TLSOJZI,O,X,O,X,X
TLSOZIJ,X,X,X,X,O
TLSOZJI,X,X,X,X,O
TLZIJSO,X,X,X,X,O
TLZIJOS,X,X,X,X,X
TLZISJO,X,X,X,X,O
TLZISOJ,X,X,X,X,O
TLZIOJS,X,X,X,X,X
TLZIOSJ,X,X,X,X,X
TLZJISO,X,X,X,X,O
TLZJIOS,X,X,X,X,X
TLZJSIO,X,X,X,X,O
TLZJSOI,X,X,X,X,O
TLZJOIS,X,X,X,X,X
TLZJOSI,X,X,X,X,X
TLZSIJO,X,X,X,X,O
TLZSIOJ,X,X,X,X,O
TLZSJIO,X,X,X,X,O
TLZSJOI,X,X,X,X,O
TLZSOIJ,X,X,X,X,O
TLZSOJI,X,X,X,X,O
TLZOIJS,X,X,X,X,X
TLZOISJ,X,X,X,X,X
TLZOJIS,X,X,X,X,X
TLZOJSI,X,X,X,X,X
TLZOSIJ,X,X,X,X,X
TLZOSJI,X,X,X,X,X
TLOIJSZ,O,X,X,X,X
TLOIJZS,X,X,X,X,X
TLOISJZ,O,X,X,X,X
TLOISZJ,X,X,X,X,X
TLOIZJS,X,X,X,X,X
TLOIZSJ,X,X,X,X,X
TLOJISZ,O,X,X,X,X
TLOJIZS,X,X,X,X,X
TLOJSIZ,O,X,X,X,X
TLOJSZI,O,X,X,X,X
TLOJZIS,X,X,X,X,X
TLOJZSI,X,X,X,X,X
TLOSIJZ,O,X,X,X,X
TLOSIZJ,X,X,X,X,X
TLOSJIZ,O,X,X,X,X
TLOSJZI,O,X,X,X,X
TLOSZIJ,X,X,X,X,X
TLOSZJI,X,X,X,X,X
TLOZIJS,X,X,X,X,X
TLOZISJ,X,X,X,X,X
TLOZJIS,X,X,X,X,X
TLOZJSI,X,X,X,X,X
TLOZSIJ,X,X,X,X,X
TLOZSJI,X,X,X,X,X
TJILSZO,X,X,O,X,X
TJILSOZ,O,X,O,X,X
TJILZSO,X,X,O,X,X
TJILZOS,X,X,X,X,X
TJILOSZ,O,X,X,X,X
TJILOZS,X,X,X,X,X
TJISLZO,X,X,O,X,X
TJISLOZ,X,O,O,X,X
TJISZLO,X,X,O,X,X
TJISZOL,X,X,O,X,X
TJISOLZ,X,O,O,X,X
TJISOZL,X,X,O,X,X
TJIZLSO,X,X,O,X,X
TJIZLOS,X,X,X,X,X
TJIZSLO,X,X,O,X,X
TJIZSOL,X,X,O,X,X
TJIZOLS,X,X,X,X,X
TJIZOSL,X,X,X,X,X
TJIOLSZ,O,X,X,X,X
TJIOLZS,X,X,X,X,X
TJIOSLZ,X,O,X,X,X
TJIOSZL,X,X,X,X,X
TJIOZLS,X,X,X,X,X
TJIOZSL,X,X,X,X,X
TJLISZO,X,X,O,X,X
TJLISOZ,O,X,O,X,X
TJLIZSO,X,X,O,X,X
TJLIZOS,X,X,X,X,X
TJLIOSZ,O,X,X,X,X
TJLIOZS,X,X,X,X,X
TJLSIZO,X,X,O,X,X
TJLSIOZ,O,X,O,X,X
TJLSZIO,X,X,O,X,X
TJLSZOI,X,X,O,X,X
TJLSOIZ,O,X,O,X,X
TJLSOZI,O,X,O,X,X
TJLZISO,X,X,O,X,X
TJLZIOS,X,X,X,X,X
TJLZSIO,X,X,O,X,X
