sequence,v115@HhB8HeD8FeC8CeB8AeA8Jex/IvhFylBcnBTjBXrBFt?BurB,v115@HhB8HeD8FeC8CeB8AeA8Jem/IvhFzgBFiBXjBctBxr?BSwB,v115@HhB8HeD8FeC8CeB8AeA8Jex/IvhFylBFjBTnBctBXr?BurB,v115@HhB8HeD8FeC8CeB8AeA8Jex/IvhFlhB+oB/rBTnBat?B0qB,v115@HhB8HeD8FeC8CeB8AeA8Jex/IvhFGiBTjByrBFtB/r?B0qB,v115@HhB8HeD8FeC8CeB8AeA8Jex/IvhFSnBTjBmlB8rBFt?BXrB,v115@HhB8HeD8FeC8CeB8AeA8Jex/IvhFmlBSsBToB8rBXr?BFtB,v115@HhB8HeD8FeC8CeB8AeA8Jem/IvhFUiBToBxrBqqB/r?BFtB,v115@HhB8HeD8FeC8CeB8AeA8Jex/IvhF0iB6oB3mBmsBlq?BTrB
TILJSZO,O,X,X,X,O,X,X,X,X
TILJSOZ,O,X,X,X,O,O,X,X,X
TILJZSO,X,O,X,X,O,X,X,X,X
TILJZOS,X,O,X,X,O,O,X,X,X
TILJOSZ,O,X,X,X,O,O,X,X,X
TILJOZS,X,O,X,X,O,O,O,X,X
TILSJZO,O,X,X,X,O,X,X,X,X
TILSJOZ,O,X,X,X,O,O,X,X,X
TILSZJO,O,X,X,X,O,X,X,X,X
TILSZOJ,O,X,O,X,O,X,X,X,X
TILSOJZ,O,X,X,X,O,O,X,X,X
TILSOZJ,O,X,O,X,O,X,X,X,X
TILZJSO,X,O,X,X,O,X,X,X,X
TILZJOS,X,O,X,X,O,O,X,X,X
TILZSJO,O,O,X,X,O,X,X,X,X
TILZSOJ,O,O,O,X,O,X,X,X,X
TILZOJS,X,O,X,X,O,O,X,X,X
TILZOSJ,O,O,X,X,O,X,X,X,X
TILOJSZ,O,X,X,X,O,O,X,X,X
TILOJZS,X,O,X,X,O,O,O,X,X
TILOSJZ,O,X,X,X,O,O,X,X,X
TILOSZJ,O,X,X,X,O,X,X,X,X
TILOZJS,X,O,X,X,O,O,X,X,X
TILOZSJ,O,O,X,X,O,X,X,X,X
TIJLSZO,O,X,X,X,O,X,X,X,X
TIJLSOZ,O,X,X,X,O,O,X,X,X
TIJLZSO,X,O,X,X,O,X,X,X,X
TIJLZOS,X,O,X,X,O,O,X,X,X
TIJLOSZ,O,X,X,X,O,O,X,X,X
TIJLOZS,X,O,X,X,O,O,O,X,X
TIJSLZO,O,X,X,X,X,X,X,X,X
TIJSLOZ,O,X,X,X,X,O,X,X,X
