sequence,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8JeuEJvhF0iB6oB?/qBRmBFmBzsB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8JexBJvhFTjBClB?8qBGnBFlBXtB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8JeGAJvhFlhBzkB?8qBxnBCoBXtB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8Jez/IvhFfmB0hB?xiBGqBFtBCtB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8Jez/IvhF3hBFjB?StBRqBuqB0sB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8Jez/IvhF1mB0iB?StBRqBuqBXtB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8Jez/IvhFRhB3iB?FmBGqBCtBctB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8JeCAJvhFlhBXlB?8qBxnBGoBzsB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8Jez/IvhF3hBlnB?ctBRqBuqBCtB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8JexBJvhFClB8qB?GnBToBFlBXtB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8JeqEJvhF3hB0lB?xnBGoBzsBlqB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8JeqEJvhFTgBlhB?8qBxnBWtBXtB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8Je3BJvhFFlBxnB?ClB8qBGoBzsB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8Jez/IvhFXjBRmB?ctBFmB6sBGqB
TILJSZO,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TILJZSO,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,O,O,O,X,X,X,X,O,X,X
TILJOSZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TILSJZO,X,X,X,X,O,O,O,X,X,X,X,X,O,X
TILSJOZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TILSZJO,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TILSZOJ,X,X,X,X,O,O,X,X,X,X,O,O,O,X
TILSOJZ,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TILSOZJ,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TILZJSO,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TILZJOS,X,X,X,X,O,O,O,X,X,X,X,O,X,X
TILZSJO,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TILZSOJ,X,X,X,X,O,O,X,O,X,X,O,O,X,X
TILZOJS,X,X,O,X,O,O,X,X,X,X,X,O,X,X
TILZOSJ,X,X,X,X,O,O,X,X,X,X,X,O,X,X
TILOJSZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TILOJZS,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TILOSJZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TILOZJS,X,X,X,X,O,O,X,X,X,X,X,O,X,X
