sequence,v115@KhB8GeC8DeE8DeB8JeKEJvhFzfBRhBGjB8sB3rBFsB,v115@KhB8GeC8DeE8DeB8JeKEJvhFzfBGhBcoBXnBlnBxwB,v115@KhB8GeC8DeE8DeB8JeRBJvhF3iBcoBlkB+rBikBTsB,v115@KhB8GeC8DeE8DeB8JeGBJvhFTjBlkB0nBikBXnBxwB,v115@KhB8GeC8DeE8DeB8Jei/IvhFRhBTjB3kB+rBlsBcsB,v115@KhB8GeC8DeE8DeB8JeKEJvhFzfBRhBcoBFsBusB3rB,v115@KhB8GeC8DeE8DeB8JeGBJvhFTjBikBXnBlkB0nBxwB,v115@KhB8GeC8DeE8DeB8Jem/IvhFxiBTkBXoBUsBCsBFrB,v115@KhB8GeC8DeE8DeB8Jei/IvhFTjB3kBFnBGmB0nBxwB
TILJSZO,X,O,X,X,X,X,X,X,X
TILJSOZ,X,O,X,X,X,X,O,X,X
TILJZSO,X,O,O,X,X,O,X,X,X
TILJZOS,X,O,X,O,X,O,X,X,X
TILJOSZ,O,O,X,X,X,X,O,X,X
TILJOZS,O,O,O,O,X,O,X,X,X
TILSJZO,X,O,X,X,X,X,X,X,X
TILSJOZ,O,O,X,X,X,X,O,X,O
TILSZJO,O,O,X,X,X,O,X,X,X
TILSZOJ,O,O,X,X,X,O,X,X,O
TILSOJZ,O,O,X,X,X,X,O,X,O
TILSOZJ,O,O,X,X,X,O,X,X,O
TILZJSO,X,O,O,X,X,O,X,X,X
TILZJOS,O,O,X,O,X,O,X,X,X
TILZSJO,X,O,X,X,X,O,X,X,X
TILZSOJ,X,O,X,X,X,O,X,X,X
TILZOJS,O,O,X,O,X,O,X,X,X
TILZOSJ,X,O,X,X,X,O,X,X,X
TILOJSZ,O,O,X,X,X,X,O,X,X
TILOJZS,O,O,X,O,X,O,X,X,X
TILOSJZ,O,O,X,X,X,X,O,X,O
TILOSZJ,O,O,X,X,X,O,X,X,O
TILOZJS,O,O,X,O,X,O,X,X,X
TILOZSJ,X,O,X,X,X,O,X,X,X
TIJLSZO,X,O,X,X,X,X,X,X,X
TIJLSOZ,X,O,X,X,X,X,O,X,X
TIJLZSO,X,O,O,X,X,O,X,X,X
TIJLZOS,X,O,X,O,X,O,X,X,X
TIJLOSZ,O,O,X,X,X,X,O,X,X
TIJLOZS,O,O,O,O,X,O,X,X,X
TIJSLZO,X,O,X,X,O,X,X,X,X
TIJSLOZ,X,O,X,X,O,X,O,X,O
TIJSZLO,X,O,O,X,O,X,X,X,X
TIJSZOL,X,X,O,O,O,X,X,X,X
TIJSOLZ,X,X,X,X,O,X,O,X,O
TIJSOZL,X,X,O,O,O,X,X,X,X
TIJZLSO,X,O,O,X,X,O,X,X,X
TIJZLOS,X,O,X,O,X,O,X,X,X
TIJZSLO,X,O,O,X,X,X,X,X,X
TIJZSOL,X,X,O,O,X,X,X,X,X
TIJZOLS,X,X,O,O,X,X,X,X,X
TIJZOSL,X,X,O,O,X,X,X,X,X
TIJOLSZ,X,X,X,X,X,X,O,X,X
TIJOLZS,X,X,O,O,X,X,X,X,X
TIJOSLZ,X,X,X,X,O,X,O,X,O
TIJOSZL,X,X,O,O,O,X,X,X,X
TIJOZLS,X,X,O,O,X,X,X,X,X
TIJOZSL,X,X,O,O,X,X,X,X,X
TISLJZO,X,O,X,X,O,X,X,X,X
TISLJOZ,O,O,X,X,O,X,O,X,O
TISLZJO,O,O,X,X,X,O,X,X,X
TISLZOJ,O,O,X,X,X,O,X,X,O
TISLOJZ,O,O,X,X,O,X,O,X,O
TISLOZJ,O,O,X,X,X,O,X,X,O
TISJLZO,X,O,X,X,O,X,X,X,X
TISJLOZ,O,O,X,X,O,X,O,X,O
TISJZLO,X,O,O,X,O,X,X,X,X
TISJZOL,X,X,O,O,O,X,X,X,X
TISJOLZ,X,X,X,X,O,X,O,X,O
TISJOZL,X,X,O,O,O,X,X,X,X
TISZLJO,O,O,X,X,X,O,X,X,X
TISZLOJ,O,O,X,X,X,O,X,X,O
TISZJLO,O,O,O,X,X,X,X,X,X
TISZJOL,X,X,O,O,X,X,X,X,X
TISZOLJ,X,X,X,X,X,X,X,X,O
TISZOJL,X,X,X,O,X,X,X,X,X
TISOLJZ,X,X,X,X,O,X,O,X,O
TISOLZJ,X,X,X,X,X,X,X,X,O
TISOJLZ,X,X,X,X,O,X,O,X,O
TISOJZL,X,X,X,O,O,X,X,X,X
TISOZLJ,X,X,X,X,X,X,X,X,O
TISOZJL,X,X,X,O,X,X,X,X,X
TIZLJSO,X,O,O,X,X,O,X,X,X
TIZLJOS,O,O,X,O,X,O,X,X,X
TIZLSJO,X,O,X,X,X,O,X,X,X
TIZLSOJ,X,O,X,X,X,O,X,X,X
TIZLOJS,O,O,X,O,X,O,X,X,X
TIZLOSJ,X,O,X,X,X,O,X,X,X
TIZJLSO,X,O,O,X,X,O,X,X,X
TIZJLOS,O,O,X,O,X,O,X,X,X
TIZJSLO,X,O,O,X,X,X,X,X,X
TIZJSOL,X,X,O,O,X,X,X,X,X
TIZJOLS,X,X,O,O,X,X,X,X,X
TIZJOSL,X,X,O,O,X,X,X,X,X
TIZSLJO,X,O,X,X,X,O,X,X,X
TIZSLOJ,X,O,X,X,X,O,X,X,O
TIZSJLO,X,O,O,X,X,X,X,X,X
TIZSJOL,X,X,O,O,X,X,X,X,X
TIZSOLJ,X,X,X,X,X,X,X,X,O
TIZSOJL,X,X,X,O,X,X,X,X,X
TIZOLJS,X,X,X,O,X,O,X,X,X
TIZOLSJ,X,X,X,X,X,O,X,X,X
TIZOJLS,X,X,O,O,X,X,X,X,X
TIZOJSL,X,X,O,O,X,X,X,X,X
TIZOSLJ,X,X,X,X,X,X,X,X,O
TIZOSJL,X,X,X,O,X,X,X,X,X
TIOLJSZ,X,X,X,X,X,X,O,X,X
TIOLJZS,X,X,X,O,X,O,X,X,X
TIOLSJZ,X,X,X,X,X,X,O,X,O
TIOLSZJ,X,X,X,X,X,O,X,X,O
TIOLZJS,X,X,X,O,X,O,X,X,X
TIOLZSJ,X,X,X,X,X,O,X,X,X
TIOJLSZ,X,X,X,X,X,X,O,X,X
TIOJLZS,X,X,O,O,X,X,X,X,X
TIOJSLZ,X,X,X,X,O,X,O,X,O
TIOJSZL,X,X,O,O,O,X,X,X,X
TIOJZLS,X,X,O,O,X,X,X,X,X
TIOJZSL,X,X,O,O,X,X,X,X,X
TIOSLJZ,X,X,X,X,O,X,O,X,O
TIOSLZJ,X,X,X,X,X,X,X,X,O
TIOSJLZ,X,X,X,X,O,X,O,X,O
TIOSJZL,X,X,X,O,O,X,X,X,X
TIOSZLJ,X,X,X,X,X,X,X,X,O
TIOSZJL,X,X,X,O,X,X,X,X,X
TIOZLJS,X,X,X,O,X,O,X,X,X
TIOZLSJ,X,X,X,X,X,O,X,X,X
TIOZJLS,X,X,O,O,X,X,X,X,X
TIOZJSL,X,X,O,O,X,X,X,X,X
TIOZSLJ,X,X,X,X,X,X,X,X,O
TIOZSJL,X,X,X,O,X,X,X,X,X
TLIJSZO,X,O,X,X,X,X,X,X,X
TLIJSOZ,X,O,X,X,X,X,O,X,X
TLIJZSO,X,O,O,X,X,O,X,X,X
TLIJZOS,X,O,X,O,X,O,X,X,X
TLIJOSZ,O,O,X,X,X,X,O,X,X
TLIJOZS,O,O,O,O,X,O,X,X,X
TLISJZO,X,O,X,X,X,X,X,X,X
TLISJOZ,O,O,X,X,X,X,O,X,X
TLISZJO,O,O,X,X,X,O,X,X,X
TLISZOJ,O,O,X,X,X,O,X,X,X
TLISOJZ,O,O,X,X,X,X,O,X,X
TLISOZJ,O,O,X,X,X,O,X,X,X
TLIZJSO,X,O,O,X,X,O,X,X,X
TLIZJOS,O,O,X,O,X,O,X,X,X
TLIZSJO,X,O,X,X,X,O,X,X,X
TLIZSOJ,X,O,X,X,X,O,X,X,X
TLIZOJS,O,O,X,O,X,O,X,X,X
TLIZOSJ,X,O,X,X,X,O,X,X,X
TLIOJSZ,O,O,X,X,X,X,O,X,X
TLIOJZS,O,O,X,O,X,O,X,X,X
TLIOSJZ,O,O,X,X,X,X,O,X,X
TLIOSZJ,O,O,X,X,X,O,X,X,X
TLIOZJS,O,O,X,O,X,O,X,X,X
TLIOZSJ,X,O,X,X,X,O,X,X,X
TLJISZO,X,O,X,X,X,X,X,X,X
TLJISOZ,X,O,X,X,X,X,O,X,X
TLJIZSO,X,O,O,X,X,O,X,X,X
TLJIZOS,X,O,X,O,X,O,X,X,X
TLJIOSZ,O,O,X,X,X,X,O,X,X
TLJIOZS,O,O,O,O,X,O,X,X,X
TLJSIZO,X,X,X,X,O,X,X,X,X
TLJSIOZ,O,X,X,X,O,X,X,X,X
TLJSZIO,X,X,X,X,O,X,X,X,X
TLJSZOI,X,X,X,X,O,X,X,X,X
TLJSOIZ,O,X,X,X,O,X,X,X,X
TLJSOZI,X,X,X,X,O,X,X,X,X
TLJZISO,X,O,O,X,X,O,X,X,X
TLJZIOS,O,O,X,X,X,O,X,X,X
TLJZSIO,O,X,O,X,X,O,X,X,X
TLJZSOI,O,X,O,X,X,O,X,X,X
TLJZOIS,O,O,O,O,X,O,X,X,X
TLJZOSI,O,X,O,O,X,O,X,X,X
TLJOISZ,O,O,X,X,X,X,O,X,X
TLJOIZS,O,O,O,O,X,O,X,X,X
TLJOSIZ,O,X,X,X,O,X,X,X,X
TLJOSZI,X,X,X,X,O,X,X,X,X
TLJOZIS,O,O,O,O,X,O,X,X,X
TLJOZSI,O,X,O,O,X,O,X,X,X
TLSIJZO,X,X,X,X,O,X,X,X,X
TLSIJOZ,O,X,X,X,O,X,X,X,X
TLSIZJO,O,X,X,X,X,O,X,X,X
TLSIZOJ,O,X,X,X,X,O,X,X,X
TLSIOJZ,O,X,X,X,O,X,X,X,X
TLSIOZJ,O,X,X,X,X,O,X,X,X
TLSJIZO,X,X,X,X,O,X,X,X,X
TLSJIOZ,O,X,X,X,O,X,X,X,X
TLSJZIO,X,X,X,X,O,X,X,X,X
TLSJZOI,X,X,X,X,O,X,X,X,X
TLSJOIZ,O,X,X,X,O,X,X,X,X
TLSJOZI,X,X,X,X,O,X,X,X,X
TLSZIJO,O,X,X,X,X,O,X,X,X
TLSZIOJ,O,X,X,X,X,O,X,X,X
TLSZJIO,O,X,X,X,O,O,X,X,X
TLSZJOI,O,X,X,X,O,O,X,X,X
TLSZOIJ,O,X,X,X,X,O,X,X,X
TLSZOJI,O,X,X,X,O,O,X,X,X
TLSOIJZ,O,X,X,X,O,X,X,X,X
TLSOIZJ,O,X,X,X,X,O,X,X,X
TLSOJIZ,O,X,X,X,O,X,X,X,X
TLSOJZI,X,X,X,X,O,X,X,X,X
TLSOZIJ,O,X,X,X,X,O,X,X,X
TLSOZJI,O,X,X,X,O,O,X,X,X
TLZIJSO,X,O,O,X,X,O,X,X,X
TLZIJOS,O,O,X,X,X,O,X,X,X
TLZISJO,X,O,X,X,X,O,X,X,X
TLZISOJ,X,O,X,X,X,O,X,X,X
TLZIOJS,O,O,X,X,X,O,X,X,X
TLZIOSJ,X,O,X,X,X,O,X,X,X
TLZJISO,X,O,O,X,X,O,X,X,X
TLZJIOS,O,O,X,X,X,O,X,X,X
TLZJSIO,O,X,O,X,X,O,X,X,X
TLZJSOI,O,X,O,X,X,O,X,X,X
TLZJOIS,O,O,O,O,X,O,X,X,X
TLZJOSI,O,X,O,O,X,O,X,X,X
TLZSIJO,O,X,X,X,X,O,X,X,X
TLZSIOJ,O,X,X,X,X,O,X,X,X
TLZSJIO,O,X,X,X,X,O,X,X,X
TLZSJOI,O,X,X,X,X,O,X,X,X
TLZSOIJ,O,X,X,X,X,O,X,X,X
TLZSOJI,O,X,X,X,X,O,X,X,X
TLZOIJS,O,O,X,X,X,O,X,X,X
TLZOISJ,X,O,X,X,X,O,X,X,X
TLZOJIS,O,O,O,O,X,O,X,X,X
TLZOJSI,O,X,O,O,X,O,X,X,X
TLZOSIJ,O,X,X,X,X,O,X,X,X
TLZOSJI,O,X,X,X,X,O,X,X,X
TLOIJSZ,O,O,X,X,X,X,O,X,X
TLOIJZS,O,O,X,O,X,O,X,X,X
TLOISJZ,O,O,X,X,X,X,O,X,X
TLOISZJ,O,O,X,X,X,O,X,X,X
TLOIZJS,O,O,X,O,X,O,X,X,X
TLOIZSJ,X,O,X,X,X,O,X,X,X
TLOJISZ,O,O,X,X,X,X,O,X,X
TLOJIZS,O,O,O,O,X,O,X,X,X
TLOJSIZ,O,X,X,X,O,X,X,X,X
TLOJSZI,X,X,X,X,O,X,X,X,X
TLOJZIS,O,O,O,O,X,O,X,X,X
TLOJZSI,O,X,O,O,X,O,X,X,X
TLOSIJZ,O,X,X,X,O,X,X,X,X
TLOSIZJ,O,X,X,X,X,O,X,X,X
TLOSJIZ,O,X,X,X,O,X,X,X,X
TLOSJZI,X,X,X,X,O,X,X,X,X
TLOSZIJ,O,X,X,X,X,O,X,X,X
TLOSZJI,O,X,X,X,O,O,X,X,X
TLOZIJS,O,O,X,X,X,O,X,X,X
TLOZISJ,X,O,X,X,X,O,X,X,X
TLOZJIS,O,O,O,O,X,O,X,X,X
TLOZJSI,O,X,O,O,X,O,X,X,X
TLOZSIJ,O,X,X,X,X,O,X,X,X
TLOZSJI,O,X,X,X,X,O,X,X,X
TJILSZO,X,O,X,X,X,X,X,X,X
TJILSOZ,X,O,X,X,X,X,O,X,X
