sequence,v115@GhA8IeC8CeB8BeD8BeA8CeA8JeT/IvhFlgBRiB2qB0?nBXrByxB,v115@GhA8IeC8CeB8BeD8BeA8CeA8JeT/IvhFUiBxlBmqB3?sBatBlqB,v115@GhA8IeC8CeB8BeD8BeA8CeA8JeT/IvhFUiBxlBlqB3?sBatBmqB,v115@GhA8IeC8CeB8BeD8BeA8CeA8Jei/IvhFUhBRiBFlBz?qB3sBmsB,v115@GhA8IeC8CeB8BeD8BeA8CeA8JeT/IvhFXhB2qBRnBl?nByxB0qB,v115@GhA8IeC8CeB8BeD8BeA8CeA8Jex/IvhFVmBUiBmkBz?qB3sBatB,v115@GhA8IeC8CeB8BeD8BeA8CeA8JeFBJvhFXiB8nBxkBm?kBzqByxB,v115@GhA8IeC8CeB8BeD8BeA8CeA8JeT/IvhFUhBRiBlnBm?qByxB/qB,v115@GhA8IeC8CeB8BeD8BeA8CeA8JeT/IvhF0gB2qBRnBl?nByxBXrB,v115@GhA8IeC8CeB8BeD8BeA8CeA8JeT/IvhFxgBXiB8nBl?qByxBmqB,v115@GhA8IeC8CeB8BeD8BeA8CeA8JeT/IvhFxgB/qBarB8?sBFsBmsB,v115@GhA8IeC8CeB8BeD8BeA8CeA8JeUCJvhFaoBxkBXmBm?kB1xBzqB,v115@GhA8IeC8CeB8BeD8BeA8CeA8JeT/IvhFilBRnBXmBm?nB1xB0qB,v115@GhA8IeC8CeB8BeD8BeA8CeA8JeT/IvhFUhBZoB6sBm?qB/qBFsB,v115@GhA8IeC8CeB8BeD8BeA8CeA8JeT/IvhFigBRiBFmB0?qB3sBmsB,v115@GhA8IeC8CeB8BeD8BeA8CeA8Jex/IvhFVmBynBmkBf?tBzqBUsB,v115@GhA8IeC8CeB8BeD8BeA8CeA8JeT/IvhFynBxlBftBm?qBlqBUsB,v115@GhA8IeC8CeB8BeD8BeA8CeA8JexEJvhFXmBlnBmkBa?tBzqBUsB
TILJSZO,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TILJZSO,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TILJOZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILSJZO,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TILSJOZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TILSZJO,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TILSZOJ,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TILSOJZ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
TILSOZJ,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TILZJSO,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
TILZJOS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILZSJO,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
TILZSOJ,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
TILZOJS,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TILZOSJ,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X
TILOJSZ,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X
TILOJZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILOSJZ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TILOSZJ,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TILOZJS,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TILOZSJ,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X
TIJLSZO,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TIJLSOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJLZSO,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
