sequence,v115@RhA8CeB8DeH8AeA8Je2EJvhFRgB3hBcnBTjBSqBFtB,v115@RhA8CeB8DeH8AeA8Je/EJvhFRgB1mB0iB6oBTlBmsB,v115@RhA8CeB8DeH8AeA8Je2EJvhFRgB3hBFjBSqBTnBctB,v115@RhA8CeB8DeH8AeA8Jei/IvhFulB1mBxiBzkB3nBctB,v115@RhA8CeB8DeH8AeA8JeXDJvhFlkBRmBctBmpBCrBTsB
TJIZLOS,X,X,X,X,X
TJIZSLO,X,X,X,X,X
TJIZSOL,O,X,X,X,X
TJIZOLS,X,X,X,X,X
TJIZOSL,O,X,X,X,X
TJIOLSZ,X,X,X,X,X
TJIOLZS,X,X,X,O,X
TJIOSLZ,X,X,X,X,X
TJIOSZL,X,X,X,X,X
TJIOZLS,X,X,X,X,X
TJIOZSL,O,X,X,X,X
TJLISZO,X,X,X,X,X
TJLISOZ,X,X,X,X,X
TJLIZSO,O,X,X,O,X
TJLIZOS,O,X,X,O,X
TJLIOSZ,X,X,X,X,X
TJLIOZS,O,X,X,O,X
TJLSIZO,X,X,X,X,X
TJLSIOZ,X,X,X,X,X
TJLSZIO,X,X,X,X,X
TJLSZOI,X,X,X,X,X
TJLSOIZ,X,X,X,X,X
TJLSOZI,X,X,X,X,X
TJLZISO,O,X,X,O,X
TJLZIOS,O,X,X,O,X
TJLZSIO,O,X,X,O,X
TJLZSOI,O,X,X,X,X
TJLZOIS,O,X,X,X,X
TJLZOSI,O,X,X,X,X
TJLOISZ,X,X,X,X,X
TJLOIZS,O,X,X,X,X
TJLOSIZ,X,X,X,X,X
TJLOSZI,X,X,X,X,X
TJLOZIS,O,X,X,X,X
TJLOZSI,O,X,X,X,X
TJSILZO,X,X,X,X,X
TJSILOZ,X,X,X,X,X
TJSIZLO,X,X,X,X,X
TJSIZOL,X,X,X,X,X
TJSIOLZ,X,X,X,X,X
TJSIOZL,X,X,X,X,X
TJSLIZO,X,X,X,X,X
TJSLIOZ,X,X,X,X,X
TJSLZIO,X,X,X,X,X
TJSLZOI,X,X,X,X,X
TJSLOIZ,X,X,X,X,X
TJSLOZI,X,X,X,X,X
TJSZILO,X,X,X,X,X
TJSZIOL,X,X,X,X,X
TJSZLIO,X,X,X,X,X
TJSZLOI,X,X,X,X,X
TJSZOIL,X,X,X,X,X
TJSZOLI,X,X,X,X,X
TJSOILZ,X,X,X,X,X
TJSOIZL,X,X,X,X,X
TJSOLIZ,X,X,X,X,X
TJSOLZI,X,X,X,X,X
TJSOZIL,X,X,X,X,X
TJSOZLI,X,X,X,X,X
TJZILSO,X,X,X,O,X
TJZILOS,X,X,X,O,X
TJZISLO,X,X,X,X,X
TJZISOL,O,X,X,X,X
TJZIOLS,X,X,X,O,X
TJZIOSL,O,X,X,X,X
TJZLISO,O,X,X,O,X
TJZLIOS,O,X,X,O,X
TJZLSIO,O,X,X,O,X
TJZLSOI,O,X,X,X,X
TJZLOIS,O,X,X,X,X
TJZLOSI,O,X,X,X,X
TJZSILO,X,X,X,O,X
TJZSIOL,O,X,X,O,X
TJZSLIO,O,X,X,O,X
TJZSLOI,O,X,X,X,X
TJZSOIL,O,X,X,O,X
TJZSOLI,O,X,X,O,X
TJZOILS,X,X,X,O,X
TJZOISL,O,X,X,X,X
TJZOLIS,O,X,X,O,X
TJZOLSI,O,X,X,O,X
TJZOSIL,O,X,X,O,X
TJZOSLI,O,X,X,O,X
TJOILSZ,X,X,X,X,X
TJOILZS,X,X,X,O,X
TJOISLZ,X,X,X,X,X
TJOISZL,X,X,X,X,X
TJOIZLS,X,X,X,X,X
TJOIZSL,O,X,X,X,X
TJOLISZ,X,X,X,X,X
TJOLIZS,O,X,X,O,X
TJOLSIZ,X,X,X,X,X
TJOLSZI,X,X,X,X,X
TJOLZIS,O,X,X,O,X
TJOLZSI,O,X,X,O,X
TJOSILZ,X,X,X,X,X
TJOSIZL,X,X,X,X,X
TJOSLIZ,X,X,X,X,X
TJOSLZI,X,X,X,X,X
TJOSZIL,X,X,X,X,X
TJOSZLI,X,X,X,X,X
TJOZILS,X,X,X,O,X
TJOZISL,O,X,X,X,X
TJOZLIS,O,X,X,O,X
TJOZLSI,O,X,X,O,X
TJOZSIL,O,X,X,O,X
TJOZSLI,O,X,X,O,X
TSILJZO,X,X,X,X,X
TSILJOZ,X,X,X,X,X
TSILZJO,X,X,X,X,X
TSILZOJ,X,O,X,X,X
TSILOJZ,X,X,X,X,X
TSILOZJ,X,X,X,X,X
TSIJLZO,X,X,X,X,X
TSIJLOZ,X,X,X,X,X
TSIJZLO,X,X,X,X,X
TSIJZOL,X,X,X,X,X
TSIJOLZ,X,X,X,X,X
TSIJOZL,X,X,X,X,X
TSIZLJO,X,X,X,X,X
TSIZLOJ,X,O,X,X,X
TSIZJLO,X,X,X,X,X
TSIZJOL,X,X,X,X,X
TSIZOLJ,X,X,X,X,X
TSIZOJL,X,X,X,X,X
TSIOLJZ,X,X,X,X,X
TSIOLZJ,X,X,X,X,X
TSIOJLZ,X,X,X,X,X
TSIOJZL,X,X,X,X,X
TSIOZLJ,X,X,X,X,X
TSIOZJL,X,X,X,X,X
TSLIJZO,X,X,X,X,X
TSLIJOZ,X,X,X,X,X
TSLIZJO,X,X,X,X,X
TSLIZOJ,X,O,X,X,X
TSLIOJZ,X,X,X,X,X
TSLIOZJ,X,X,X,X,X
TSLJIZO,X,X,X,X,X
TSLJIOZ,X,X,X,X,X
TSLJZIO,X,X,X,X,X
TSLJZOI,X,X,X,X,X
TSLJOIZ,X,X,X,X,X
TSLJOZI,X,X,X,X,X
TSLZIJO,X,X,X,X,X
TSLZIOJ,X,O,X,X,X
TSLZJIO,X,X,X,X,X
TSLZJOI,X,X,X,X,X
TSLZOIJ,X,O,X,X,X
TSLZOJI,X,X,X,X,X
TSLOIJZ,X,X,X,X,X
TSLOIZJ,X,O,X,X,X
TSLOJIZ,X,X,X,X,X
TSLOJZI,X,X,X,X,X
TSLOZIJ,X,O,X,X,X
TSLOZJI,X,X,X,X,X
TSJILZO,X,X,X,X,X
TSJILOZ,X,X,X,X,X
TSJIZLO,X,X,X,X,X
TSJIZOL,X,X,X,X,X
TSJIOLZ,X,X,X,X,X
TSJIOZL,X,X,X,X,X
TSJLIZO,X,X,X,X,X
TSJLIOZ,X,X,X,X,X
TSJLZIO,X,X,X,X,X
TSJLZOI,X,X,X,X,X
TSJLOIZ,X,X,X,X,X
TSJLOZI,X,X,X,X,X
TSJZILO,X,X,X,X,X
TSJZIOL,X,X,X,X,X
TSJZLIO,X,X,X,X,X
TSJZLOI,X,X,X,X,X
TSJZOIL,X,X,X,X,X
TSJZOLI,X,X,X,X,X
TSJOILZ,X,X,X,X,X
TSJOIZL,X,X,X,X,X
TSJOLIZ,X,X,X,X,X
TSJOLZI,X,X,X,X,X
TSJOZIL,X,X,X,X,X
TSJOZLI,X,X,X,X,X
TSZILJO,X,X,X,X,X
TSZILOJ,X,O,X,X,X
TSZIJLO,X,X,X,X,X
TSZIJOL,X,X,X,X,X
TSZIOLJ,X,X,X,X,X
TSZIOJL,X,X,X,X,X
TSZLIJO,X,X,X,X,X
TSZLIOJ,X,O,X,X,X
TSZLJIO,X,X,X,X,X
TSZLJOI,X,X,X,X,X
TSZLOIJ,X,O,X,X,X
TSZLOJI,X,X,X,X,X
TSZJILO,X,X,X,X,X
TSZJIOL,X,X,X,X,X
TSZJLIO,X,X,X,X,X
TSZJLOI,X,X,X,X,X
TSZJOIL,X,X,X,X,X
TSZJOLI,X,X,X,X,X
TSZOILJ,X,O,X,X,X
TSZOIJL,X,X,X,X,X
TSZOLIJ,X,O,X,X,X
TSZOLJI,X,X,X,X,X
TSZOJIL,X,X,X,X,X
TSZOJLI,X,X,X,X,X
TSOILJZ,X,X,X,X,X
TSOILZJ,X,O,X,X,X
TSOIJLZ,X,X,X,X,X
TSOIJZL,X,X,X,X,X
TSOIZLJ,X,O,X,X,X
TSOIZJL,X,X,X,X,X
TSOLIJZ,X,X,X,X,X
TSOLIZJ,X,O,X,X,X
TSOLJIZ,X,X,X,X,X
TSOLJZI,X,X,X,X,X
TSOLZIJ,X,O,X,X,X
TSOLZJI,X,X,X,X,X
TSOJILZ,X,X,X,X,X
TSOJIZL,X,X,X,X,X
TSOJLIZ,X,X,X,X,X
TSOJLZI,X,X,X,X,X
TSOJZIL,X,X,X,X,X
TSOJZLI,X,X,X,X,X
TSOZILJ,X,O,X,X,X
TSOZIJL,X,X,X,X,X
TSOZLIJ,X,O,X,X,X
TSOZLJI,X,X,X,X,X
TSOZJIL,X,X,X,X,X
TSOZJLI,X,X,X,X,X
TZILJSO,X,X,X,O,X
TZILJOS,X,X,X,O,X
TZILSJO,X,X,X,X,X
