sequence,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeeFJvhFRhBCjB8rBT?oB3qBFrB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JelAJvhF3hBCjB8rBT?oBRqB2vB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JecGJvhFenBCjBXlBT?oBllBxvB,v115@9gB8HeB8HeA8FeA8BeB8DeD8Je/FJvhFxiBKrBFnBT?oBGmBUqB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeaHJvhFGjBXlBTmBU?oBllBxvB,v115@9gB8HeB8HeA8FeA8BeB8DeD8Je/FJvhFRhBziB+oBU?qBirBlrB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeCCJvhFmlBxnBllBT?oBUqB3rB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeiAJvhFcmBxiBXnBT?oBFqBWwB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeiBJvhFXlBzmBFoB0?lBGoBxvB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JezBJvhFSoBXlB2rBl?lBUoBxvB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JexAJvhFziB+oBVqBi?rB8rB3qB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JexCJvhFmlBXnBToBF?qB6rB0qB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeGDJvhFVqBRmBUoBi?mB3rBTqB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JeaHJvhFWoBxlB/rBT?oBFqB0qB,v115@9gB8HeB8HeA8FeA8BeB8DeD8Je0AJvhFfoB6oBzmBR?qB2vBlrB,v115@9gB8HeB8HeA8FeA8BeB8DeD8Je0BJvhFWoBllBXlBy?rBToBxvB,v115@9gB8HeB8HeA8FeA8BeB8DeD8JefIJvhF6oBVqBRmBO?rB8rBTqB
TILJSZO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TILJSOZ,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
TILJZSO,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TILJZOS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TILJOSZ,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
TILJOZS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TILSJZO,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O
TILSJOZ,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X
TILSZJO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TILSZOJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TILSOJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
TILZJSO,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X
TILZJOS,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X
TILZSJO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILZSOJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZOJS,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TILZOSJ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TILOJSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TILOJZS,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TILOSJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILOSZJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TILOZJS,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIJLSZO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TIJLSOZ,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
TIJLZSO,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TIJLZOS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TIJLOSZ,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
TIJLOZS,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TIJSLZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
TIJSLOZ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TIJSZLO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
