sequence,v115@vhH+CJzfBvtBUmBKpB0sBFqBRwB,v115@vhH+DJ0fBvsBUmBKpBTtBFqBRwB,v115@vhHU4IPoBzhB2pBSyBFsBUrBxuB,v115@vhHU4I0iBPnB2pBTtBSxBFrBxuB,v115@vhH32IzgBskBStBlrB0qB2uBxxB,v115@vhHU4I+nBzhBvtBKpBFrBUqBRxB,v115@vhHO6IzfBvtBUmBKpB0sBFqBRwB,v115@vhHT1IPoB0fB2pBSyBFsBUrBxuB,v115@vhHT5I5oBsnBskByxB3rBlqB2uB,v115@vhHM/I5oBmnB6rBFlB0sB3qBTpB,v115@vhHMAJslBTfB+tB3sBlrBipBRvB,v115@vhHsBJGjBvtBTnBKpBFrBUqBRxB,v115@vhHzBJslBalB+tBMpB3sBlrBRvB,v115@vhHzBJKmBUgB+tBMpBlsBXqBRwB,v115@vhHz1IslBalB+tBMpB3sBlrBRvB,v115@vhHWIJ0fBvsBUmBKpBTtBFqBRwB,v115@vhH03IzhBKmB+tBMpBlsBXqBRwB,v115@vhHi1IMfBxnB0mBFlBGtB3qBTpB,v115@vhHMIJUiBXmBmkBSyBFsBTpBxvB,v115@vhHUBJZkB6tBXnBFlBzsBUrBWvB,v115@vhHUBJKkBToBXnBFlBWyBUrBxuB,v115@vhH6+IUjB+sB3lBMpBTtBlrBRvB,v115@vhHO6IzfBvtBUnBKpBFrBUqBRxB,v115@vhHm6I0fBvsBUmBKpBTtBFqBRwB,v115@vhHPDJ2kBStBFnBUmB0qBTpBRxB,v115@vhH5IJ0hB3nBllBOpByxBTrBUqB,v115@vhHi1IMfBxnBXmBFlBGtBUsBTpB,v115@vhHT1IPnB0fBKpBGtBFrBUqBRxB,v115@vhH5IJ0gBatB3mBlkBTsB0qB2uB,v115@vhH03IzhBslB+tB3sBlrBipBRvB,v115@vhH03IsmBXhB+tBlsBiqBTpBRwB,v115@vhH03IihB+tB3mBMqBlsBTpBRwB,v115@vhHXDJsmB+tB0lBTkBlsByuBRwB,v115@vhHM+I5oBlnB0mBXlBOpByxBzqB,v115@vhHT5IMoBXmBspBOpBSyBFsBxvB,v115@vhH+GJzgB0fBvtBKpB0sBFqBRwB,v115@vhHPIJzhB0fB2pBSyBFsBUrBxuB,v115@vhH0CJPnB0fB2pBTtBSxBFrBxuB,v115@vhH5IJsnBzgBskByxB3rBlqB2uB,v115@vhH5IJsnBslBXgByxBlrB2vBTpB,v115@vhHXDJzgBskBStBlrB0qB2uBxxB,v115@vhH+HJzhB0fBvtBKpBFrBUqBRxB,v115@vhHM/IynBMtBXmBFlBGsBTpBxvB,v115@vhHMDJslBTfB+tB3sBlrBipBRvB,v115@vhH+DJsiBvsBUmBKpBTtBFqBRwB,v115@vhHT6IskB+tB3mBMqBKpBlsBRwB,v115@vhHUAJvkBCoB0mBTtBlqB2uBxwB,v115@vhHMBJ5lB6tBFnBmkB3sBTrB0pB,v115@vhHMBJMlB6tBFnBTkB3sBGrBRvB,v115@vhHT1IvjB0iB0hBFgBZkBuqBqpB,v115@vhHPDJZkBMtBFnBUmBupBSxBTqB,v115@vhHe+IshBvtBTnBKpBFrBUqBRxB,v115@vhHWDJskBZkB6tBFnB3lBzsB0rB,v115@vhHT6IMoBXmBspBOpBSyBFsBxvB,v115@vhH6DJsnBvkB0mBTtBlqB2uBxwB,v115@vhH5+IulBMkB3nBlmBspBTtByvB,v115@vhHM+IMoBXmBmkBSyBFsBTpBxvB,v115@vhHZ6IynBUhBMtBFlBGsB3qBTpB,v115@vhH5DJzcBKtB+sBsrBFmBUlBvpB,v115@vhH5DJzcBinBFmBUlBvpBUtBWxB,v115@vhH6DJliB0hB0gBOkBvtBzkBxuB,v115@vhHPHJ0fBusBUmBKpBTtBFqBRwB,v115@vhHMDJTiBKmB+tBMpBlsBXqBRwB,v115@vhHG4IshBvtBTnBKpBFrBUqBRxB,v115@vhH5IJ3fBatBUnBllB0rB2vBTpB,v115@vhHz8I5oBlnB0mBXlBOpByxBUrB,v115@vhH++IUiBToBFmBUlBvpBCsBxxB,v115@vhH5+IeoBUiBFmBUlBvpBSyBzrB,v115@vhH5+IKoBUiBFmBUlBvpBWyBzrB,v115@vhH5+IsnBanBFmBUlBvpBTtBWxB,v115@vhHZ6I3hBWlBMtBlnBUsBiqBTpB,v115@vhHs/IZkBGoBUnBllByxBXrBzpB,v115@vhHs/IZkBMtBusBasBllBXrBzpB
comments,Z-01/Hold O TKI,Z-02,Z-03/Out of Order TKI,Z-03/Out of Order TKI,Z-03M/Out of Order TKI,Z-03/Out of Order TKI,Z-04,Z-05/Shifted God,Z-05M/Shifted God,Z-06/TSD/New SOS,Z-07,Z-07M,Z-08/Slanted TKI,Z-08/Slanted TKI,Z-09/Slanted O God,Z-10,Z-11,Z-12,Z-13,Z-14,Z-14,Z-15,Z-15M,Z-16,Z-17,Z-18,Z-19,Z-20,Z-21/Elephant,Z-22/Reversed TKI,Z-22/Reversed TKI,Z-22/Reversed TKI,Z-23,Z-24,Z-25,Z-26/Shifted TKI,Z-27/Centre TKI,Z-27/Centre TKI,Z-27M/Centre TKI,Z-27M/Centre TKI,Z-27M/Centre TKI,Z-27/Centre TKI,Z-28,Z-29,Z-30,Z-30M,Z-31,Z-32,Z-32,Z-33,Z-34,Z-35,Z-36,Z-37,Z-37M,Z-38,Z-39,Z-40,Z-41/Pelican,Z-41/Pelican,Z-42,Z-43,Z-44,Z-45,Z-46,Z-47/Angry Lime/Tomato/ZZO,Z-48,Z-48,Z-48,Z-48,Z-49,Z-50/Kuruma/Trident,Z-50/Kuruma/Trident/Old ZOZ
score,5089.880952380952,5046.507936507936,5017.857142857143,5017.857142857143,5017.857142857143,5017.857142857143,5017.341269841269,5003.452380952381,5003.452380952381,4988.789682539683,4977.5,4977.5,4951.746031746032,4951.746031746032,4926.984126984127,4923.630952380952,4913.253968253968,4899.4047619047615,4892.916666666667,4892.916666666667,4892.916666666667,4887.341269841269,4887.341269841269,4887.063492063492,4885.853174603175,4881.388888888889,4879.285714285715,4872.996031746032,4861.309523809524,4850.952380952381,4850.952380952381,4850.952380952381,4850.178571428572,4841.746031746032,4836.269841269841,4820.773809523809,4818.690476190476,4818.690476190476,4818.690476190476,4818.690476190476,4818.690476190476,4818.690476190476,4806.230158730159,4800.793650793651,4773.035714285715,4773.035714285715,4751.269841269841,4739.444444444444,4739.444444444444,4729.4047619047615,4706.646825396825,4697.6984126984125,4697.242063492064,4697.162698412699,4697.162698412699,4673.373015873016,4665.6547619047615,4659.146825396825,4656.825396825397,4656.825396825397,4655.2182539682535,4647.837301587301,4645.257936507936,4641.706349206349,4628.353174603175,4628.253968253968,4618.888888888889,4618.888888888889,4618.888888888889,4618.888888888889,4616.111111111111,4606.984126984127,4606.984126984127,4606.984126984127
TILJSZO,O,X,O,X,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TILJSOZ,X,X,O,X,X,X,X,O,X,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TILJZSO,O,X,X,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O
TILJOZS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
TILSJZO,O,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X
TILSJOZ,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
