sequence,v115@HhA8IeB8HeF8AeC8Je0/IvhFlgB3hBOsBTtBCtBxvB,v115@HhA8IeB8HeF8AeC8Jex/IvhFXhBVnBUlBToBCoBmrB,v115@HhA8IeB8HeF8AeC8Jex/IvhFemBUiBFlBfsBTtBCtB,v115@HhA8IeB8HeF8AeC8Jel/IvhFzgB0iB6oB2qBRsBfsB,v115@HhA8IeB8HeF8AeC8Je0/IvhFxgB6oB3lB1rBznBOsB,v115@HhA8IeB8HeF8AeC8Jex/IvhFUlBFmBXnBToBCoBmrB,v115@HhA8IeB8HeF8AeC8Jel/IvhFclBemBxiBSsBToBfsB,v115@HhA8IeB8HeF8AeC8Je0/IvhFTjB3lBCnBmlBxsBFsB,v115@HhA8IeB8HeF8AeC8Je0/IvhFlgByqBfsBxsBGsBTtB,v115@HhA8IeB8HeF8AeC8Jel/IvhF3hBTlBxnBUmBGoBisB
TILJSZO,O,X,O,O,X,X,X,X,X,X
TILJSOZ,O,X,O,O,X,X,X,X,X,X
TILJZSO,O,X,X,O,X,X,X,X,X,X
TILJZOS,O,X,X,O,X,X,X,X,X,X
TILJOSZ,O,X,O,O,X,X,X,X,X,O
TILJOZS,O,X,X,O,X,X,X,X,X,X
TILSJZO,O,X,O,O,X,X,X,X,X,X
TILSJOZ,O,X,O,O,X,X,X,X,X,X
TILSZJO,O,X,X,X,X,X,X,X,X,X
TILSZOJ,X,X,X,X,X,X,X,O,X,X
TILSOJZ,X,X,O,X,X,X,X,X,X,O
TILSOZJ,X,X,X,X,X,X,X,O,X,O
TILZJSO,O,X,X,O,X,X,X,X,X,X
TILZJOS,O,X,X,O,X,X,O,X,X,X
TILZSJO,O,X,X,X,X,X,X,X,X,X
TILZSOJ,X,X,X,X,X,X,X,O,X,X
TILZOJS,O,X,X,X,X,X,O,X,X,X
TILZOSJ,X,X,X,X,X,X,X,O,X,O
TILOJSZ,O,X,O,O,X,X,X,X,X,O
TILOJZS,O,X,X,O,X,X,X,X,X,X
TILOSJZ,X,X,O,X,X,X,X,X,X,O
TILOSZJ,X,X,X,X,X,X,X,O,X,O
TILOZJS,O,X,X,X,X,X,O,X,X,X
TILOZSJ,X,X,X,X,X,X,X,O,X,O
TIJLSZO,O,X,O,O,X,X,X,X,X,X
TIJLSOZ,O,X,O,O,X,X,X,X,X,X
TIJLZSO,O,X,X,O,X,X,X,X,X,X
TIJLZOS,O,X,X,O,X,X,X,X,X,X
TIJLOSZ,O,X,O,O,X,X,X,X,X,X
TIJLOZS,O,X,X,O,X,X,X,X,X,X
TIJSLZO,O,X,O,O,X,X,X,X,X,X
TIJSLOZ,O,X,O,O,X,X,X,X,X,X
TIJSZLO,O,X,O,X,X,X,X,X,X,X
TIJSZOL,O,X,O,X,X,X,X,X,X,X
TIJSOLZ,O,X,O,O,X,X,X,X,X,X
TIJSOZL,O,X,O,X,X,X,X,X,X,X
TIJZLSO,O,X,X,O,X,X,X,X,X,X
TIJZLOS,O,X,X,O,X,X,X,X,X,X
TIJZSLO,O,X,O,X,X,X,X,X,X,X
TIJZSOL,O,X,O,X,X,X,X,X,X,X
TIJZOLS,O,X,X,O,X,X,X,X,X,X
TIJZOSL,O,X,O,X,X,X,X,X,X,X
TIJOLSZ,O,X,O,O,X,X,X,X,X,X
TIJOLZS,O,X,X,O,X,X,X,X,X,X
TIJOSLZ,O,X,O,O,X,X,X,X,X,X
TIJOSZL,O,X,O,X,X,X,X,X,X,X
TIJOZLS,O,X,X,O,X,X,X,X,X,X
TIJOZSL,O,X,O,X,X,X,X,X,X,X
TISLJZO,O,X,O,O,X,X,X,X,X,X
TISLJOZ,O,X,O,O,X,X,X,X,X,X
TISLZJO,O,X,X,X,X,X,X,X,X,X
TISLZOJ,X,X,X,X,O,X,X,O,X,X
TISLOJZ,X,X,O,X,O,X,X,X,X,X
TISLOZJ,X,X,X,X,O,X,X,O,X,X
TISJLZO,O,X,O,O,X,X,X,X,X,X
TISJLOZ,O,X,O,O,X,X,X,X,X,X
TISJZLO,O,X,O,X,X,X,X,X,X,X
TISJZOL,O,X,O,X,O,X,X,X,X,X
TISJOLZ,O,X,O,O,O,X,X,X,X,X
TISJOZL,O,X,O,X,O,X,X,X,X,X
TISZLJO,O,X,X,X,X,X,X,X,X,X
TISZLOJ,X,X,X,X,O,O,X,O,X,X
TISZJLO,O,X,O,X,X,X,X,X,X,X
TISZJOL,O,X,O,X,O,O,X,X,X,X
TISZOLJ,X,X,X,X,O,O,X,O,X,X
TISZOJL,O,X,O,X,O,O,X,X,X,X
TISOLJZ,X,X,O,X,O,X,X,X,X,X
TISOLZJ,X,X,X,X,O,X,X,O,X,X
TISOJLZ,O,X,O,X,O,X,X,X,X,X
TISOJZL,O,X,O,X,O,X,X,X,X,X
TISOZLJ,X,X,X,X,O,O,X,O,X,X
