sequence,v115@vhETJJ2vBRrBSxBTtB,v115@vhETJJiqBGsBTtBRwB,v115@vhHT5IfnBTjBKpBUqBFrBGtBRxB,v115@vhHT1ITfB8lB+tBipBlrB3sBRvB,v115@vhHT1IOkBfoBzkBUrBFsBSyBxuB,v115@vhHT5I8kB6oBznB2uBlqB3rBxxB,v115@vhHc/I5oBFlB6rBTnBetBTpB3qB,v115@vhH/DJZkBqpBTlBOrBlnBUsBTtB,v115@vhHzAJfnBziBKpBUqBFrBGtBRxB,v115@vhHz/I8lBzhB+tBipBlrB3sBRvB,v115@vhHfGJ0hBziBKpBFqBGsBTtBRwB,v115@vhHz/IXhB8mB+tBTpBiqBlsBRwB,v115@vhHGBJziBKpBUmB/sBFqBTtBRwB,v115@vhHz/IihBcqB3mB+tBTpBlsBRwB,v115@vhHz4IfnBziBKpBUqBFrBGtBRxB,v115@vhHz1IzfB8lB+tBipBlrB3sBRvB,v115@vhH2/IKpBfqBllBcrBTnBToBxxB,v115@vhH2/IKpBfqBllBcrBxnBTsBTtB,v115@vhHSDJTkBTlB/rBFnB8sB+tBxuB,v115@vhHSDJxkB/rBFnB8sB+tBTpBTqB,v115@vhHT6IegBKpBUmB/sBFqBTtBRwB,v115@vhHqCJTeBcqB3mB+tBTpBlsBRwB,v115@vhHT1I0fBfnB2pBFrBSxBTtBxuB,v115@vhHT5I8lBXjBStBTpB2vBlrBxxB,v115@vhHT5IcoBmkBXmBTpBFsBSyBxvB,v115@vhHT1I/kB0mBCoB2uBlqBTtBxwB,v115@vhHzAJfnBTjBKpBUqBFrBGtBRxB,v115@vhHT/I8lBzhB+tBipBlrB3sBRvB,v115@vhHfGJ0hBTjBKpBFqBGsBTtBRwB,v115@vhHT/IXhB8mB+tBTpBiqBlsBRwB,v115@vhHGBJTjBKpBUmB/sBFqBTtBRwB,v115@vhHT/IihBcqB3mB+tBTpBlsBRwB,v115@vhHT/IfnB0iBKqBTpBFrBGtBRxB,v115@vhHXAJ8lBTjB+sBipBlrBTtBRvB,v115@vhHT/IGiBKqBUnB/tBTpBFrBRxB,v115@vhHiAJTjBcpB3lB+sBlrBTtBRvB,v115@vhHOEJzhBfoBzkBUrBFsBSyBxuB,v115@vhH8EJzgB6oBznB2uBlqB3rBxxB,v115@vhHOEJfnB0iBzkBFrBSxBTtBxuB,v115@vhHXAJ8lB6oBznBTpB2vBlrBxxB,v115@vhH26ITfBKqBUnB/tBTpBFrBRxB,v115@vhHS+ITjBcpB3lB+sBlrBTtBRvB,v115@vhHT1I0fBfmBKpBFqBGsBTtBRwB,v115@vhHT5I8mBXjB+tBTpBiqBlsBRwB,v115@vhH0/IfmBziBKpBFqBGsBTtBRwB,v115@vhHz/I8mBXjB+tBTpBiqBlsBRwB,v115@vhHT+IWoBKpBUmB/sBFqBTtBRwB,v115@vhHT6IykBcqB3mB+tBTpBlsBRwB,v115@vhHcBJ5lBTkBeqBFnB6tBTrB3sB,v115@vhH/BJZnBOpBllBqsBToBUqBTrB,v115@vhHG5I/jBxkB0mBlnBTpBiqBTtB,v115@vhHi1IcfBFlBXmBxnBTpBGsBTtB,v115@vhHfDJ2kBUmBFnBStBTpBTqBRxB,v115@vhH8/ISoB2pBllB3mBTsBTtBRvB,v115@vhHT6IcoBmkBXmBTpBFsBSyBxvB,v115@vhHT+I/kB0mBCoB2uBlqBTtBxwB,v115@vhHO6IzfBKpBUmB/sBFqBTtBRwB,v115@vhH6+IziBcqB3mB+tBTpBlsBRwB,v115@vhHG5I/jBxkB0mBlnBipBzqBTtB,v115@vhHi1IcfBFlBXmBxnBTpBzrBGtB,v115@vhHz8I5jB/pBUlBFmBTnBKtBWxB,v115@vhHZ/IzbB+pBTlBlmB3nBctByvB,v115@vhHT5IfjB5oBikBUmBFnBGqBzsB,v115@vhHT1I8fBZkBllB3mBGoBzpBisB,v115@vhHcFJThBTkBesBqsB/tBFrBxuB,v115@vhHTBJ/nBcpBeqBqqBToBlrBxxB,v115@vhHcFJThBTkBmnBFrBXsBSyBxuB,v115@vhHTBJ/nBClBToB2uB0qBlrBxxB,v115@vhH8/IZkBllBasBGoBzpBXrBzsB,v115@vhHfDJ5oBikBuqBFnBzpB0rBzsB,v115@vhHWDJ/pBRlBFnB6tBTqB0rBzsB,v115@vhHy/IOpBllBRnBctBzpBXrBTsB
comments,2L,2L,O-01/God,O-01M/God,O-02/Shifted God,O-02M/Shifted God,O-03/TSD,O-03M/TSD,O-04/Shifted TKI,O-04M/Shifted TKI,O-04/Shifted TKI,O-04M/Shifted TKI,O-04/Shifted TKI,O-04M/Shifted TKI,O-05/God (shifted O tower),O-05M/God (shifted O tower),O-06/Butter,O-06/Butter,O-06M/Butter,O-06M/Butter,O-07,O-07M,O-08,O-08M,O-09,O-09M,O-10/TKI,O-10M/TKI,O-10/TKI,O-10M/TKI,O-10/TKI,O-10M/TKI,O-11/Centre TKI,O-11M/Centre TKI,O-11/Centre TKI,O-11M/Centre TKI,O-11/Centre TKI,O-11M/Centre TKI,O-11/Centre TKI,O-11M/Centre TKI,O-12,O-12M,O-13,O-13M,O-14,O-14M,O-15,O-15M,O-16,O-16M,O-17,O-17M,O-18,O-18M,O-19,O-19M,O-20,O-20M,O-21,O-21M,O-22/Pelican,O-22M/Pelican,O-23,O-23M,O-24,O-24M,O-24,O-24M,O-25/Kurama/Trident,O-25M/Kurama/Trident,O-25M/Kurama/Trident,O-25/Kurama/Trident
score,8620.21,8620.21,5003.452380952381,5003.452380952381,5003.452380952381,5003.452380952381,4988.789682539683,4988.789682539683,4951.746031746032,4951.746031746032,4951.746031746032,4951.746031746032,4951.746031746032,4951.746031746032,4926.984126984127,4926.984126984127,4890.714285714285,4890.714285714285,4890.714285714285,4890.714285714285,4887.063492063492,4887.063492063492,4872.996031746032,4872.996031746032,4836.269841269841,4836.269841269841,4819.186507936508,4819.186507936508,4819.186507936508,4819.186507936508,4819.186507936508,4819.186507936508,4818.690476190476,4818.690476190476,4818.690476190476,4818.690476190476,4818.690476190476,4818.690476190476,4818.690476190476,4818.690476190476,4798.968253968254,4798.968253968254,4781.0515873015875,4781.0515873015875,4779.186507936508,4779.186507936508,4773.035714285715,4773.035714285715,4739.444444444444,4739.444444444444,4734.3452380952385,4734.3452380952385,4706.646825396825,4706.646825396825,4697.162698412699,4697.162698412699,4691.0515873015875,4691.0515873015875,4672.619047619048,4672.619047619048,4656.825396825397,4656.825396825397,4639.603174603175,4639.603174603175,4628.769841269841,4628.769841269841,4628.769841269841,4628.769841269841,4606.984126984127,4606.984126984127,4606.984126984127,4606.984126984127
TILJSZO,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,O,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X,O,O,X,X,O,O,X,X,X,X,O,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TILJZSO,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O,X,O,X,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O,X,O,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TILJOSZ,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
TILJOZS,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X
TILSJZO,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,X,X,O,X,O,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILSJOZ,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,O,X,X,O,X,O,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
