sequence,v115@LhB8GeC8CeB8BeC8BeB8JeT/IvhFNlBRhBGjBinB0p?B3sB,v115@LhB8GeC8CeB8BeC8BeB8JeOEJvhFNlBRhB3iBcoBqp?BTsB,v115@LhB8GeC8CeB8BeC8BeB8JeNEJvhFUgBRhBGjBinBzp?B3sB,v115@LhB8GeC8CeB8BeC8BeB8Jei/IvhFRhB3iBcoB9pBOq?BTsB,v115@LhB8GeC8CeB8BeC8BeB8JeT/IvhFNlBRhBSoB2sB0p?B3sB,v115@LhB8GeC8CeB8BeC8BeB8Jei/IvhFRhBcnBTjB9pBOq?B3sB,v115@LhB8GeC8CeB8BeC8BeB8JeT/IvhFNlBRhBOsBXoB0p?BCtB,v115@LhB8GeC8CeB8BeC8BeB8JeT/IvhFNlBRhBWoBKsBXo?B0pB,v115@LhB8GeC8CeB8BeC8BeB8JeNFJvhFRhBGjBTkBinB3s?B0pB,v115@LhB8GeC8CeB8BeC8BeB8JeNEJvhFRhBunBcoBXlBKs?BzpB,v115@LhB8GeC8CeB8BeC8BeB8JeUAJvhFRhBTjBmpBisB/p?B9sB
TSIZLJO,O,O,O,O,X,O,X,O,O,O,X
TSIZLOJ,O,O,O,O,X,O,X,O,O,O,X
TSIZJLO,O,O,O,O,O,O,O,X,X,X,X
TSIZJOL,O,X,O,X,O,O,O,X,X,X,X
TSIZOLJ,O,O,O,O,X,O,X,O,O,X,X
TSIZOJL,O,X,O,X,O,O,O,X,X,X,X
TSIOLJZ,O,O,O,X,X,X,X,X,O,X,X
TSIOLZJ,O,O,O,O,X,O,X,X,O,O,X
TSIOJLZ,X,X,O,X,X,O,X,X,O,X,X
TSIOJZL,O,X,O,X,X,O,X,X,X,X,X
TSIOZLJ,O,O,O,O,X,O,X,X,O,X,X
TSIOZJL,O,O,O,O,X,O,X,X,X,X,X
TSLIJZO,O,O,O,X,X,X,X,O,O,O,X
TSLIJOZ,O,O,O,X,X,X,X,X,O,X,X
TSLIZJO,O,O,O,O,X,O,X,O,O,O,X
TSLIZOJ,O,O,O,O,X,O,X,O,O,O,X
TSLIOJZ,O,O,O,X,X,X,X,X,O,X,X
TSLIOZJ,O,O,O,O,X,O,X,X,O,O,X
TSLJIZO,O,O,O,X,O,O,O,O,O,O,X
TSLJIOZ,O,O,O,X,X,O,X,X,O,X,X
TSLJZIO,O,O,O,X,O,O,O,O,O,O,X
TSLJZOI,O,O,O,X,O,O,O,O,O,O,X
TSLJOIZ,O,O,O,X,X,O,X,X,O,X,X
TSLJOZI,O,O,O,X,X,O,X,X,O,X,X
TSLZIJO,O,O,O,O,X,O,X,O,O,O,X
TSLZIOJ,O,O,O,O,X,O,X,O,O,O,X
TSLZJIO,O,O,O,O,O,O,O,O,O,O,X
TSLZJOI,O,O,O,X,O,O,O,O,O,O,X
TSLZOIJ,O,O,O,O,X,O,X,O,O,O,X
TSLZOJI,O,O,O,O,O,O,O,O,O,O,X
TSLOIJZ,O,O,O,X,X,X,X,X,O,X,X
TSLOIZJ,O,O,O,O,X,O,X,X,O,O,X
TSLOJIZ,O,O,O,X,X,O,X,X,O,X,X
TSLOJZI,O,O,O,X,X,O,X,X,O,X,X
TSLOZIJ,O,O,O,O,X,O,X,X,O,O,X
TSLOZJI,O,O,O,O,X,O,X,X,O,O,X
TSJILZO,O,X,O,O,O,O,O,X,O,O,X
TSJILOZ,O,X,O,O,X,O,X,X,O,X,X
TSJIZLO,O,X,O,O,O,O,O,X,X,X,X
TSJIZOL,O,X,O,O,O,O,O,X,X,X,X
TSJIOLZ,X,X,O,O,X,O,X,X,O,X,X
TSJIOZL,O,X,O,O,X,O,O,X,X,X,X
TSJLIZO,O,X,O,O,O,O,O,O,O,O,X
TSJLIOZ,O,X,O,O,X,O,X,X,O,X,X
TSJLZIO,O,X,O,O,O,O,O,O,O,O,X
TSJLZOI,O,X,O,O,O,O,O,O,O,O,X
TSJLOIZ,O,X,O,O,X,O,X,X,O,X,X
TSJLOZI,O,X,O,O,X,O,X,X,O,X,X
TSJZILO,O,X,O,O,O,O,O,X,X,X,X
TSJZIOL,O,X,O,O,O,O,O,X,X,X,X
TSJZLIO,O,X,O,O,O,O,O,O,O,O,X
TSJZLOI,O,X,O,O,O,O,O,O,O,O,X
TSJZOIL,O,X,O,O,O,O,O,X,X,X,X
TSJZOLI,O,X,O,O,O,O,O,O,O,X,X
TSJOILZ,X,X,O,O,X,O,X,X,O,X,X
TSJOIZL,O,X,O,O,X,O,O,X,X,X,X
TSJOLIZ,O,X,O,O,X,O,X,X,O,X,X
TSJOLZI,O,X,O,O,X,O,X,X,O,X,X
TSJOZIL,O,X,O,O,X,O,O,X,X,X,X
TSJOZLI,O,X,O,O,X,O,O,X,O,X,X
TSZILJO,O,O,O,O,X,O,X,O,O,O,X
TSZILOJ,O,O,O,O,X,O,X,O,O,O,X
TSZIJLO,O,O,O,O,O,O,O,X,X,X,X
TSZIJOL,O,X,O,O,O,O,O,X,X,X,X
TSZIOLJ,O,O,O,O,X,O,X,O,O,X,X
TSZIOJL,O,X,O,X,O,O,O,X,X,X,X
TSZLIJO,O,O,O,O,X,O,X,O,O,O,X
TSZLIOJ,O,O,O,O,X,O,X,O,O,O,X
TSZLJIO,O,O,O,O,O,O,O,O,O,O,X
TSZLJOI,O,O,O,O,O,O,O,O,O,O,X
TSZLOIJ,O,O,O,O,X,O,X,O,O,O,X
TSZLOJI,O,O,O,O,O,O,O,O,O,O,X
TSZJILO,O,O,O,O,O,O,O,X,X,X,X
TSZJIOL,O,X,O,O,O,O,O,X,X,X,X
TSZJLIO,O,O,O,O,O,O,O,O,O,O,X
TSZJLOI,O,O,O,O,O,O,O,O,O,O,X
TSZJOIL,O,X,O,O,O,O,O,X,X,X,X
TSZJOLI,O,X,O,O,O,O,O,O,O,X,X
TSZOILJ,O,O,O,O,X,O,X,O,O,X,X
TSZOIJL,O,O,O,O,O,O,O,X,X,X,X
TSZOLIJ,O,O,O,O,X,O,X,O,O,O,X
TSZOLJI,O,O,O,O,O,O,O,O,O,O,X
TSZOJIL,O,O,O,O,O,O,O,X,X,X,X
TSZOJLI,O,O,O,O,O,O,O,O,O,X,X
TSOILJZ,O,O,O,X,X,X,X,X,O,X,X
TSOILZJ,O,O,O,O,X,O,X,X,O,O,X
TSOIJLZ,X,X,O,X,X,O,X,X,O,X,X
TSOIJZL,O,X,O,X,X,O,X,X,X,X,X
TSOIZLJ,O,O,O,O,X,O,X,X,O,X,X
TSOIZJL,O,O,O,O,X,O,X,X,X,X,X
TSOLIJZ,O,O,O,X,X,X,X,X,O,X,X
TSOLIZJ,O,O,O,O,X,O,X,X,O,O,X
TSOLJIZ,O,O,O,X,X,O,X,X,O,X,X
TSOLJZI,O,O,O,X,X,O,X,X,O,X,X
TSOLZIJ,O,O,O,O,X,O,X,X,O,O,X
TSOLZJI,O,O,O,O,X,O,X,X,O,O,X
TSOJILZ,X,X,O,O,X,O,X,X,O,X,X
TSOJIZL,O,X,O,O,X,O,O,X,X,X,X
TSOJLIZ,O,X,O,O,X,O,X,X,O,X,X
TSOJLZI,O,X,O,O,X,O,X,X,O,X,X
TSOJZIL,O,X,O,O,X,O,O,X,X,X,X
TSOJZLI,O,X,O,O,X,O,O,X,O,X,X
TSOZILJ,O,O,O,O,X,O,X,X,O,X,X
TSOZIJL,O,O,O,O,X,O,O,X,X,X,X
TSOZLIJ,O,O,O,O,X,O,X,X,O,O,X
TSOZLJI,O,O,O,O,X,O,O,X,O,O,X
TSOZJIL,O,O,O,O,X,O,O,X,X,X,X
TSOZJLI,O,O,O,O,X,O,O,X,O,X,X
TZILJSO,X,O,O,O,O,X,O,O,X,O,X
TZILJOS,O,O,X,X,O,X,O,O,X,O,X
TZILSJO,O,O,O,O,X,X,X,O,X,O,X
TZILSOJ,O,O,O,O,X,X,X,O,X,O,X
TZILOJS,O,O,X,O,O,X,O,O,X,O,X
TZILOSJ,O,O,X,O,X,X,X,O,X,O,X
TZIJLSO,X,O,O,O,O,X,O,O,X,X,X
TZIJLOS,O,O,X,O,O,X,O,O,X,X,X
TZIJSLO,O,O,O,O,O,X,O,X,X,X,X
TZIJSOL,O,X,O,O,O,X,O,X,X,X,X
TZIJOLS,O,X,X,O,O,X,O,O,X,X,X
TZIJOSL,O,X,O,O,O,X,O,X,X,X,X
TZISLJO,O,O,O,O,X,X,X,O,O,O,X
TZISLOJ,O,O,O,O,X,X,X,O,O,O,X
TZISJLO,O,O,O,O,O,X,O,X,X,X,X
TZISJOL,O,X,O,O,O,X,O,X,X,X,X
TZISOLJ,O,O,O,O,X,X,X,O,O,X,X
TZISOJL,O,X,O,X,O,X,O,X,X,X,X
TZIOLJS,O,O,X,O,O,X,O,O,X,X,X
TZIOLSJ,O,O,X,O,X,X,X,O,X,X,X
TZIOJLS,O,O,X,O,O,X,O,O,X,X,X
TZIOJSL,O,O,O,O,O,X,O,X,X,X,X
TZIOSLJ,O,O,O,O,X,X,X,O,O,X,X
TZIOSJL,O,O,O,O,O,X,O,X,X,X,X
TZLIJSO,X,O,O,O,O,X,O,O,X,O,X
TZLIJOS,O,O,X,X,O,X,O,O,X,O,X
TZLISJO,O,O,O,O,X,X,X,O,X,O,X
TZLISOJ,O,O,O,O,X,X,X,O,X,O,X
TZLIOJS,O,O,X,O,O,X,O,O,X,O,X
TZLIOSJ,O,O,X,O,X,X,X,O,X,O,X
TZLJISO,X,O,O,O,O,X,O,O,X,O,X
TZLJIOS,O,O,X,O,O,X,O,O,X,O,X
TZLJSIO,X,O,X,O,O,X,O,O,X,O,X
TZLJSOI,X,O,X,O,O,X,O,O,X,O,X
TZLJOIS,O,O,X,O,O,X,O,O,X,O,X
TZLJOSI,X,O,X,O,O,X,O,O,X,O,X
TZLSIJO,O,O,O,O,X,O,X,O,X,O,X
TZLSIOJ,O,O,O,O,X,O,X,O,X,O,X
TZLSJIO,O,O,O,O,O,O,O,O,X,O,X
TZLSJOI,O,O,O,O,O,O,O,O,X,O,X
TZLSOIJ,O,O,O,O,X,O,X,O,X,O,X
TZLSOJI,O,O,O,O,O,O,O,O,X,O,X
TZLOIJS,O,O,X,O,O,X,O,O,X,O,X
TZLOISJ,O,O,X,O,X,X,X,O,X,O,X
TZLOJIS,O,O,X,O,O,X,O,O,X,O,X
TZLOJSI,X,O,X,O,O,X,O,O,X,O,X
TZLOSIJ,O,O,X,O,X,O,X,O,X,O,X
TZLOSJI,O,O,X,O,O,O,O,O,X,O,X
TZJILSO,X,O,O,O,O,X,O,O,X,X,X
TZJILOS,O,O,X,O,O,X,O,O,X,X,X
TZJISLO,O,O,O,O,O,X,O,X,X,X,X
TZJISOL,O,X,O,O,O,X,O,X,X,X,X
TZJIOLS,O,X,X,O,O,X,O,O,X,X,X
TZJIOSL,O,X,O,O,O,X,O,X,X,X,X
TZJLISO,X,O,O,O,O,X,O,O,X,O,X
TZJLIOS,O,O,X,O,O,X,O,O,X,O,X
TZJLSIO,X,O,X,O,O,O,O,O,X,O,X
TZJLSOI,X,O,X,O,O,O,O,O,X,O,X
TZJLOIS,O,O,X,O,O,X,O,O,X,O,X
TZJLOSI,X,O,X,O,O,O,O,O,X,O,X
TZJSILO,O,O,O,O,O,O,O,X,X,X,X
TZJSIOL,O,X,O,O,O,O,O,X,X,X,X
TZJSLIO,O,O,O,O,O,O,O,O,X,O,X
TZJSLOI,O,O,O,O,O,O,O,O,X,O,X
TZJSOIL,O,X,O,O,O,O,O,X,X,X,X
TZJSOLI,O,X,O,O,O,O,O,O,X,X,X
TZJOILS,O,O,X,O,O,X,O,O,X,X,X
TZJOISL,O,O,O,O,O,X,O,X,X,X,X
TZJOLIS,O,O,X,O,O,X,O,O,X,X,X
TZJOLSI,X,O,X,O,O,O,O,O,X,X,X
TZJOSIL,O,O,X,O,O,O,O,X,X,X,X
TZJOSLI,O,O,X,O,O,O,O,O,X,X,X
TZSILJO,O,O,O,O,X,O,X,O,O,O,X
TZSILOJ,O,O,O,O,X,O,X,O,O,O,X
TZSIJLO,O,O,O,O,O,O,O,X,X,X,X
TZSIJOL,O,X,O,O,O,O,O,X,X,X,X
TZSIOLJ,O,O,O,O,X,O,X,O,O,X,X
TZSIOJL,O,X,O,X,O,O,O,X,X,X,X
TZSLIJO,O,O,O,O,X,O,X,O,O,O,X
TZSLIOJ,O,O,O,O,X,O,X,O,O,O,X
TZSLJIO,O,O,O,O,O,O,O,O,O,O,X
TZSLJOI,O,O,O,O,O,O,O,O,O,O,X
TZSLOIJ,O,O,O,O,X,O,X,O,O,O,X
TZSLOJI,O,O,O,O,O,O,O,O,O,O,X
TZSJILO,O,O,O,O,O,O,O,X,X,X,X
TZSJIOL,O,X,O,O,O,O,O,X,X,X,X
TZSJLIO,O,O,O,O,O,O,O,O,O,O,X
TZSJLOI,O,O,O,O,O,O,O,O,O,O,X
TZSJOIL,O,X,O,O,O,O,O,X,X,X,X
TZSJOLI,O,X,O,O,O,O,O,O,O,X,X
TZSOILJ,O,O,O,O,X,O,X,O,O,X,X
TZSOIJL,O,O,O,O,O,O,O,X,X,X,X
TZSOLIJ,O,O,O,O,X,O,X,O,O,O,X
TZSOLJI,O,O,O,O,O,O,O,O,O,O,X
TZSOJIL,O,O,O,O,O,O,O,X,X,X,X
TZSOJLI,O,O,O,O,O,O,O,O,O,X,X
TZOILJS,O,O,X,O,O,X,O,O,X,X,X
TZOILSJ,O,O,X,O,X,X,X,O,X,X,X
TZOIJLS,O,O,X,O,O,X,O,O,X,X,X
TZOIJSL,O,O,O,O,O,X,O,X,X,X,X
TZOISLJ,O,O,O,O,X,X,X,O,O,X,X
TZOISJL,O,O,O,O,O,X,O,X,X,X,X
TZOLIJS,O,O,X,O,O,X,O,O,X,O,X
TZOLISJ,O,O,X,O,X,X,X,O,X,O,X
TZOLJIS,O,O,X,O,O,X,O,O,X,O,X
TZOLJSI,X,O,X,O,O,X,O,O,X,O,X
TZOLSIJ,O,O,X,O,X,O,X,O,X,O,X
TZOLSJI,O,O,X,O,O,O,O,O,X,O,X
TZOJILS,O,O,X,O,O,X,O,O,X,X,X
TZOJISL,O,O,O,O,O,X,O,X,X,X,X
TZOJLIS,O,O,X,O,O,X,O,O,X,X,X
TZOJLSI,X,O,X,O,O,O,O,O,X,X,X
TZOJSIL,O,O,X,O,O,O,O,X,X,X,X
TZOJSLI,O,O,X,O,O,O,O,O,X,X,X
TZOSILJ,O,O,O,O,X,O,X,O,O,X,X
TZOSIJL,O,O,O,O,O,O,O,X,X,X,X
TZOSLIJ,O,O,O,O,X,O,X,O,O,O,X
TZOSLJI,O,O,O,O,O,O,O,O,O,O,X
TZOSJIL,O,O,O,O,O,O,O,X,X,X,X
TZOSJLI,O,O,O,O,O,O,O,O,O,X,X
TOILJSZ,X,O,X,X,X,X,X,X,X,X,X
TOILJZS,X,O,O,O,X,X,X,O,X,X,X
TOILSJZ,X,O,O,X,X,X,X,X,O,X,X
TOILSZJ,X,O,O,O,X,O,X,X,O,O,X
TOILZJS,X,O,O,O,X,X,X,O,X,O,X
TOILZSJ,X,O,O,O,X,X,X,O,X,O,X
TOIJLSZ,X,O,X,O,X,O,X,X,X,X,X
TOIJLZS,X,O,O,O,O,X,X,X,X,X,X
TOIJSLZ,X,X,O,O,X,O,X,X,O,X,X
TOIJSZL,X,X,O,O,X,O,O,X,X,X,X
TOIJZLS,O,O,O,O,O,X,O,X,X,X,X
TOIJZSL,O,O,O,O,O,X,O,X,X,X,X
TOISLJZ,O,O,O,X,X,X,X,X,O,X,X
TOISLZJ,O,O,O,O,X,O,X,X,O,O,X
TOISJLZ,X,X,O,X,X,O,X,X,O,X,X
TOISJZL,O,X,O,X,X,O,X,X,X,X,X
TOISZLJ,O,O,O,O,X,O,X,X,O,X,X
TOISZJL,O,O,O,O,X,O,X,X,X,X,X
TOIZLJS,O,O,O,O,O,X,O,O,X,X,X
TOIZLSJ,O,O,O,O,X,X,X,O,X,X,X
TOIZJLS,O,O,O,O,O,X,O,O,X,X,X
TOIZJSL,O,O,O,O,O,X,O,X,X,X,X
TOIZSLJ,O,O,O,O,X,X,X,O,O,X,X
TOIZSJL,O,O,O,O,O,X,O,X,X,X,X
TOLIJSZ,X,O,X,X,X,X,X,X,X,X,X
TOLIJZS,X,O,O,O,X,X,X,O,X,X,X
TOLISJZ,X,O,O,X,X,X,X,X,O,X,X
TOLISZJ,X,O,O,O,X,O,X,X,O,O,X
TOLIZJS,X,O,O,O,X,X,X,O,X,O,X
TOLIZSJ,X,O,O,O,X,X,X,O,X,O,X
TOLJISZ,X,O,X,O,X,O,X,X,X,X,O
TOLJIZS,X,O,O,O,O,X,X,O,X,X,O
TOLJSIZ,X,O,X,O,X,O,X,X,X,X,O
TOLJSZI,X,O,X,O,X,O,X,X,X,X,O
TOLJZIS,X,O,O,O,O,X,X,O,X,X,O
TOLJZSI,X,O,X,O,O,O,X,O,X,X,O
TOLSIJZ,X,O,O,X,X,X,X,X,O,X,X
TOLSIZJ,X,O,O,O,X,O,X,X,O,O,X
TOLSJIZ,X,O,O,X,X,O,X,X,O,X,X
TOLSJZI,X,O,O,X,X,O,X,X,O,X,X
TOLSZIJ,X,O,O,O,X,O,X,X,O,O,X
TOLSZJI,X,O,O,O,X,O,X,X,O,O,X
TOLZIJS,X,O,O,O,O,X,X,O,X,O,X
TOLZISJ,X,O,O,O,X,X,X,O,X,O,X
TOLZJIS,X,O,O,O,O,X,X,O,X,O,X
TOLZJSI,X,O,X,O,O,X,X,O,X,O,X
TOLZSIJ,X,O,O,O,X,O,X,O,X,O,X
TOLZSJI,X,O,O,O,O,O,X,O,X,O,X
TOJILSZ,X,O,X,O,X,O,X,X,X,X,X
TOJILZS,X,O,O,O,O,X,X,X,X,X,X
TOJISLZ,X,X,O,O,X,O,X,X,O,X,X
TOJISZL,X,X,O,O,X,O,O,X,X,X,X
TOJIZLS,O,O,O,O,O,X,O,X,X,X,X
TOJIZSL,O,O,O,O,O,X,O,X,X,X,X
TOJLISZ,X,O,X,O,X,O,X,X,X,X,O
TOJLIZS,X,O,O,O,O,X,X,O,X,X,O
TOJLSIZ,X,O,X,O,X,O,X,X,X,X,O
TOJLSZI,X,O,X,O,X,O,X,X,X,X,O
TOJLZIS,X,O,O,O,O,X,X,O,X,X,O
TOJLZSI,X,O,X,O,O,O,X,O,X,X,O
TOJSILZ,X,X,O,O,X,O,X,X,O,X,X
TOJSIZL,X,X,O,O,X,O,O,X,X,X,X
TOJSLIZ,X,X,O,O,X,O,X,X,O,X,X
TOJSLZI,X,X,O,O,X,O,X,X,O,X,X
TOJSZIL,X,X,O,O,X,O,O,X,X,X,X
TOJSZLI,X,X,O,O,X,O,O,X,O,X,X
TOJZILS,O,O,O,O,O,X,O,O,X,X,X
TOJZISL,O,O,O,O,O,X,O,X,X,X,X
TOJZLIS,O,O,O,O,O,X,O,O,X,X,X
TOJZLSI,X,O,X,O,O,O,O,O,X,X,X
TOJZSIL,O,O,O,O,O,O,O,X,X,X,X
TOJZSLI,X,O,O,O,O,O,O,O,X,X,X
TOSILJZ,O,O,O,X,X,X,X,X,O,X,X
TOSILZJ,O,O,O,O,X,O,X,X,O,O,X
TOSIJLZ,X,X,O,X,X,O,X,X,O,X,X
TOSIJZL,O,X,O,X,X,O,X,X,X,X,X
TOSIZLJ,O,O,O,O,X,O,X,X,O,X,X
TOSIZJL,O,O,O,O,X,O,X,X,X,X,X
TOSLIJZ,O,O,O,X,X,X,X,X,O,X,X
TOSLIZJ,O,O,O,O,X,O,X,X,O,O,X
TOSLJIZ,O,O,O,X,X,O,X,X,O,X,X
TOSLJZI,O,O,O,X,X,O,X,X,O,X,X
TOSLZIJ,O,O,O,O,X,O,X,X,O,O,X
TOSLZJI,O,O,O,O,X,O,X,X,O,O,X
TOSJILZ,X,X,O,O,X,O,X,X,O,X,X
TOSJIZL,O,X,O,O,X,O,O,X,X,X,X
TOSJLIZ,O,X,O,O,X,O,X,X,O,X,X
TOSJLZI,O,X,O,O,X,O,X,X,O,X,X
TOSJZIL,O,X,O,O,X,O,O,X,X,X,X
TOSJZLI,O,X,O,O,X,O,O,X,O,X,X
TOSZILJ,O,O,O,O,X,O,X,X,O,X,X
TOSZIJL,O,O,O,O,X,O,O,X,X,X,X
TOSZLIJ,O,O,O,O,X,O,X,X,O,O,X
TOSZLJI,O,O,O,O,X,O,O,X,O,O,X
TOSZJIL,O,O,O,O,X,O,O,X,X,X,X
TOSZJLI,O,O,O,O,X,O,O,X,O,X,X
TOZILJS,O,O,O,O,O,X,O,O,X,X,X
TOZILSJ,O,O,O,O,X,X,X,O,X,X,X
TOZIJLS,O,O,O,O,O,X,O,O,X,X,X
TOZIJSL,O,O,O,O,O,X,O,X,X,X,X
TOZISLJ,O,O,O,O,X,X,X,O,O,X,X
TOZISJL,O,O,O,O,O,X,O,X,X,X,X
TOZLIJS,O,O,O,O,O,X,O,O,X,O,X
TOZLISJ,O,O,O,O,X,X,X,O,X,O,X
TOZLJIS,O,O,O,O,O,X,O,O,X,O,X
TOZLJSI,X,O,X,O,O,X,O,O,X,O,X
TOZLSIJ,O,O,O,O,X,O,X,O,X,O,X
TOZLSJI,O,O,O,O,O,O,O,O,X,O,X
TOZJILS,O,O,O,O,O,X,O,O,X,X,X
TOZJISL,O,O,O,O,O,X,O,X,X,X,X
TOZJLIS,O,O,O,O,O,X,O,O,X,X,X
TOZJLSI,X,O,X,O,O,O,O,O,X,X,X
TOZJSIL,O,O,O,O,O,O,O,X,X,X,X
TOZJSLI,O,O,O,O,O,O,O,O,X,X,X
TOZSILJ,O,O,O,O,X,O,X,O,O,X,X
TOZSIJL,O,O,O,O,O,O,O,X,X,X,X
TOZSLIJ,O,O,O,O,X,O,X,O,O,O,X
TOZSLJI,O,O,O,O,O,O,O,O,O,O,X
TOZSJIL,O,O,O,O,O,O,O,X,X,X,X
TOZSJLI,O,O,O,O,O,O,O,O,O,X,X
ITLJSZO,X,O,X,X,O,X,O,O,X,O,O
ITLJSOZ,X,O,X,X,X,X,X,X,X,X,O
ITLJZSO,X,O,O,O,O,X,O,O,X,O,O
ITLJZOS,O,O,X,X,O,X,O,O,X,O,O
ITLJOSZ,X,O,X,X,X,X,X,X,X,X,O
ITLJOZS,X,O,X,O,O,X,X,O,X,X,O
ITLSJZO,O,O,O,X,X,X,X,O,O,O,X
ITLSJOZ,O,O,O,X,X,X,X,X,O,X,X
ITLSZJO,O,O,O,O,X,O,X,O,O,O,X
ITLSZOJ,O,O,O,O,X,O,X,O,O,O,X
ITLSOJZ,O,O,O,X,X,X,X,X,O,X,X
ITLSOZJ,O,O,O,O,X,O,X,X,O,O,X
ITLZJSO,X,O,O,O,O,X,O,O,X,O,X
ITLZJOS,O,O,X,X,O,X,O,O,X,O,X
ITLZSJO,O,O,O,O,X,X,X,O,X,O,X
ITLZSOJ,O,O,O,O,X,X,X,O,X,O,X
ITLZOJS,O,O,X,O,O,X,O,O,X,O,X
ITLZOSJ,O,O,X,O,X,X,X,O,X,O,X
ITLOJSZ,X,O,X,X,X,X,X,X,X,X,X
ITLOJZS,X,O,X,O,X,X,X,O,X,X,X
ITLOSJZ,X,O,X,X,X,X,X,X,O,X,X
ITLOSZJ,X,O,X,O,X,O,X,X,O,O,X
ITLOZJS,X,O,X,O,X,X,X,O,X,O,X
ITLOZSJ,X,O,X,O,X,X,X,O,X,O,X
ITJLSZO,X,O,X,O,O,O,O,O,X,O,O
ITJLSOZ,X,O,X,O,X,O,X,X,X,X,O
ITJLZSO,X,O,O,O,O,X,O,O,X,O,O
ITJLZOS,O,O,X,O,O,X,O,O,X,O,O
ITJLOSZ,X,O,X,O,X,O,X,X,X,X,O
ITJLOZS,X,O,X,O,O,X,X,O,X,X,O
ITJSLZO,O,X,O,O,O,O,O,X,O,O,X
ITJSLOZ,O,X,O,O,X,O,X,X,O,X,X
ITJSZLO,O,X,O,O,O,O,O,X,X,X,X
ITJSZOL,O,X,O,O,O,O,O,X,X,X,X
ITJSOLZ,X,X,X,O,X,O,X,X,O,X,X
ITJSOZL,O,X,O,O,X,O,O,X,X,X,X
ITJZLSO,X,O,O,O,O,X,O,O,X,X,X
ITJZLOS,O,O,X,O,O,X,O,O,X,X,X
ITJZSLO,O,O,O,O,O,X,O,X,X,X,X
ITJZSOL,O,X,O,O,O,X,O,X,X,X,X
ITJZOLS,O,X,X,O,O,X,O,O,X,X,X
ITJZOSL,O,X,O,O,O,X,O,X,X,X,X
ITJOLSZ,X,O,X,O,X,O,X,X,X,X,X
ITJOLZS,X,O,O,O,O,X,X,X,X,X,X
ITJOSLZ,X,X,X,O,X,O,X,X,O,X,X
ITJOSZL,X,X,O,O,X,O,O,X,X,X,X
ITJOZLS,O,O,O,O,O,X,O,X,X,X,X
ITJOZSL,O,O,O,O,O,X,O,X,X,X,X
ITSLJZO,O,O,O,X,X,X,X,O,O,O,X
ITSLJOZ,O,O,O,X,X,X,X,X,O,X,X
ITSLZJO,O,O,O,O,X,O,X,O,O,O,X
ITSLZOJ,O,O,O,O,X,O,X,O,O,O,X
ITSLOJZ,O,O,O,X,X,X,X,X,O,X,X
ITSLOZJ,O,O,O,O,X,O,X,X,O,O,X
ITSJLZO,O,X,O,X,O,O,O,X,O,O,X
ITSJLOZ,O,X,O,X,X,O,X,X,O,X,X
ITSJZLO,O,X,O,X,O,O,O,X,X,X,X
ITSJZOL,O,X,O,X,O,O,O,X,X,X,X
ITSJOLZ,X,X,O,X,X,O,X,X,O,X,X
ITSJOZL,O,X,O,X,X,O,O,X,X,X,X
ITSZLJO,O,O,O,O,X,O,X,O,O,O,X
ITSZLOJ,O,O,O,O,X,O,X,O,O,O,X
ITSZJLO,O,O,O,O,O,O,O,X,X,X,X
ITSZJOL,O,X,O,X,O,O,O,X,X,X,X
ITSZOLJ,O,O,O,O,X,O,X,O,O,X,X
ITSZOJL,O,X,O,X,O,O,O,X,X,X,X
ITSOLJZ,O,O,O,X,X,X,X,X,O,X,X
ITSOLZJ,O,O,O,O,X,O,X,X,O,O,X
ITSOJLZ,X,X,O,X,X,O,X,X,O,X,X
ITSOJZL,O,X,O,X,X,O,X,X,X,X,X
ITSOZLJ,O,O,O,O,X,O,X,X,O,X,X
ITSOZJL,O,O,O,O,X,O,X,X,X,X,X
ITZLJSO,X,O,O,O,O,X,O,O,X,O,X
ITZLJOS,O,O,X,X,O,X,O,O,X,O,X
ITZLSJO,O,O,O,O,X,X,X,O,X,O,X
ITZLSOJ,O,O,O,O,X,X,X,O,X,O,X
ITZLOJS,O,O,X,O,O,X,O,O,X,O,X
ITZLOSJ,O,O,X,O,X,X,X,O,X,O,X
ITZJLSO,X,O,O,O,O,X,O,O,X,X,X
ITZJLOS,O,O,X,O,O,X,O,O,X,X,X
ITZJSLO,O,O,O,O,O,X,O,X,X,X,X
ITZJSOL,O,X,O,O,O,X,O,X,X,X,X
ITZJOLS,O,X,X,O,O,X,O,O,X,X,X
ITZJOSL,O,X,O,O,O,X,O,X,X,X,X
ITZSLJO,O,O,O,O,X,X,X,O,O,O,X
ITZSLOJ,O,O,O,O,X,X,X,O,O,O,X
ITZSJLO,O,O,O,O,O,X,O,X,X,X,X
ITZSJOL,O,X,O,O,O,X,O,X,X,X,X
ITZSOLJ,O,O,O,O,X,X,X,O,O,X,X
ITZSOJL,O,X,O,X,O,X,O,X,X,X,X
ITZOLJS,O,O,X,O,O,X,O,O,X,X,X
ITZOLSJ,O,O,X,O,X,X,X,O,X,X,X
ITZOJLS,O,O,X,O,O,X,O,O,X,X,X
ITZOJSL,O,O,O,O,O,X,O,X,X,X,X
ITZOSLJ,O,O,O,O,X,X,X,O,O,X,X
ITZOSJL,O,O,O,O,O,X,O,X,X,X,X
ITOLJSZ,X,O,X,X,X,X,X,X,X,X,X
