sequence,v115@LhB8GeC8CeB8BeC8BeB8JeT/IvhFNlBRhBGjBinB0p?B3sB,v115@LhB8GeC8CeB8BeC8BeB8JeOEJvhFNlBRhB3iBcoBqp?BTsB,v115@LhB8GeC8CeB8BeC8BeB8JeNEJvhFUgBRhBGjBinBzp?B3sB,v115@LhB8GeC8CeB8BeC8BeB8Jei/IvhFRhB3iBcoB9pBOq?BTsB,v115@LhB8GeC8CeB8BeC8BeB8JeT/IvhFNlBRhBSoB2sB0p?B3sB,v115@LhB8GeC8CeB8BeC8BeB8Jei/IvhFRhBcnBTjB9pBOq?B3sB,v115@LhB8GeC8CeB8BeC8BeB8JeT/IvhFNlBRhBOsBXoB0p?BCtB,v115@LhB8GeC8CeB8BeC8BeB8JeT/IvhFNlBRhBWoBKsBXo?B0pB,v115@LhB8GeC8CeB8BeC8BeB8JeNFJvhFRhBGjBTkBinB3s?B0pB,v115@LhB8GeC8CeB8BeC8BeB8JeNEJvhFRhBunBcoBXlBKs?BzpB,v115@LhB8GeC8CeB8BeC8BeB8JeUAJvhFRhBTjBmpBisB/p?B9sB
TIZSOLJ,O,O,O,O,X,X,X,O,O,X,X
TIZSOJL,O,X,O,X,O,X,O,X,X,X,X
TIZOLJS,O,O,X,O,O,X,O,O,X,X,X
TIZOLSJ,O,O,X,O,X,X,X,O,X,X,X
TIZOJLS,O,O,X,O,O,X,O,O,X,X,X
TIZOJSL,O,O,O,O,O,X,O,X,X,X,X
TIZOSLJ,O,O,O,O,X,X,X,O,O,X,X
TIZOSJL,O,O,O,O,O,X,O,X,X,X,X
TIOLJSZ,X,O,X,X,X,X,X,X,X,X,X
TIOLJZS,X,O,O,O,X,X,X,O,X,X,X
TIOLSJZ,X,O,O,X,X,X,X,X,O,X,X
TIOLSZJ,X,O,O,O,X,O,X,X,O,O,X
TIOLZJS,X,O,O,O,X,X,X,O,X,O,X
TIOLZSJ,X,O,O,O,X,X,X,O,X,O,X
TIOJLSZ,X,O,X,O,X,O,X,X,X,X,X
TIOJLZS,X,O,O,O,O,X,X,X,X,X,X
TIOJSLZ,X,X,O,O,X,O,X,X,O,X,X
TIOJSZL,X,X,O,O,X,O,O,X,X,X,X
TIOJZLS,O,O,O,O,O,X,O,X,X,X,X
TIOJZSL,O,O,O,O,O,X,O,X,X,X,X
TIOSLJZ,O,O,O,X,X,X,X,X,O,X,X
TIOSLZJ,O,O,O,O,X,O,X,X,O,O,X
TIOSJLZ,X,X,O,X,X,O,X,X,O,X,X
TIOSJZL,O,X,O,X,X,O,X,X,X,X,X
TIOSZLJ,O,O,O,O,X,O,X,X,O,X,X
TIOSZJL,O,O,O,O,X,O,X,X,X,X,X
TIOZLJS,O,O,O,O,O,X,O,O,X,X,X
TIOZLSJ,O,O,O,O,X,X,X,O,X,X,X
TIOZJLS,O,O,O,O,O,X,O,O,X,X,X
TIOZJSL,O,O,O,O,O,X,O,X,X,X,X
TIOZSLJ,O,O,O,O,X,X,X,O,O,X,X
TIOZSJL,O,O,O,O,O,X,O,X,X,X,X
TLIJSZO,X,O,X,X,O,X,O,O,X,O,O
TLIJSOZ,X,O,X,X,X,X,X,X,X,X,O
TLIJZSO,X,O,O,O,O,X,O,O,X,O,O
TLIJZOS,O,O,X,X,O,X,O,O,X,O,O
TLIJOSZ,X,O,X,X,X,X,X,X,X,X,O
TLIJOZS,X,O,X,O,O,X,X,O,X,X,O
TLISJZO,O,O,O,X,X,X,X,O,O,O,X
TLISJOZ,O,O,O,X,X,X,X,X,O,X,X
TLISZJO,O,O,O,O,X,O,X,O,O,O,X
TLISZOJ,O,O,O,O,X,O,X,O,O,O,X
TLISOJZ,O,O,O,X,X,X,X,X,O,X,X
TLISOZJ,O,O,O,O,X,O,X,X,O,O,X
TLIZJSO,X,O,O,O,O,X,O,O,X,O,X
TLIZJOS,O,O,X,X,O,X,O,O,X,O,X
TLIZSJO,O,O,O,O,X,X,X,O,X,O,X
TLIZSOJ,O,O,O,O,X,X,X,O,X,O,X
TLIZOJS,O,O,X,O,O,X,O,O,X,O,X
TLIZOSJ,O,O,X,O,X,X,X,O,X,O,X
TLIOJSZ,X,O,X,X,X,X,X,X,X,X,X
TLIOJZS,X,O,X,O,X,X,X,O,X,X,X
