sequence,v115@9gA8IeA8IeA8AeA8CeA8CeA8AeE8BeA8Je5EJvhFmg?BtmB6nBTjB0lBXtB,v115@9gA8IeA8IeA8AeA8CeA8CeA8AeE8BeA8Je5EJvhFTg?BemBtmBXjBStB0sB,v115@9gA8IeA8IeA8AeA8CeA8CeA8AeE8BeA8Je5EJvhFyl?BumB9nBTjB0lBXtB,v115@9gA8IeA8IeA8AeA8CeA8CeA8AeE8BeA8Je5EJvhFyl?BumB3iB9oB0lBzsB,v115@9gA8IeA8IeA8AeA8CeA8CeA8AeE8BeA8JeRAJvhFtm?BXjBupBzlBctB6sB
ITLOJZS,X,O,X,O,X
ITLOSJZ,O,O,O,O,X
ITLOSZJ,O,X,O,O,X
ITLOZJS,O,X,X,O,X
ITLOZSJ,O,X,X,O,X
ITJLSZO,O,O,O,O,X
ITJLSOZ,O,O,O,O,X
ITJLZSO,O,O,O,O,X
ITJLZOS,O,O,X,X,X
ITJLOSZ,X,O,O,O,X
ITJLOZS,X,O,X,O,X
ITJSLZO,O,O,O,O,X
ITJSLOZ,O,O,O,O,X
ITJSZLO,O,X,O,O,X
ITJSZOL,O,X,O,X,X
ITJSOLZ,O,O,O,O,X
ITJSOZL,O,X,O,X,X
ITJZLSO,O,O,O,O,X
ITJZLOS,O,O,X,X,X
ITJZSLO,O,X,O,O,X
ITJZSOL,O,X,O,X,O
ITJZOLS,O,O,X,X,O
ITJZOSL,O,X,X,X,O
ITJOLSZ,X,O,O,O,X
ITJOLZS,X,O,X,O,O
ITJOSLZ,X,O,O,O,X
ITJOSZL,X,X,O,O,O
ITJOZLS,X,O,X,O,O
ITJOZSL,X,X,X,O,O
ITSLJZO,O,O,O,O,X
ITSLJOZ,O,O,O,O,X
ITSLZJO,O,O,O,O,X
ITSLZOJ,O,X,O,X,X
ITSLOJZ,O,O,O,O,X
ITSLOZJ,O,X,O,X,X
ITSJLZO,O,O,O,O,X
ITSJLOZ,O,O,O,O,X
ITSJZLO,O,X,O,O,X
ITSJZOL,O,X,O,X,X
ITSJOLZ,O,O,O,O,X
ITSJOZL,O,X,O,X,X
ITSZLJO,O,X,O,O,X
ITSZLOJ,O,X,O,X,X
ITSZJLO,O,X,O,O,X
ITSZJOL,O,X,O,X,X
ITSZOLJ,O,X,O,X,X
ITSZOJL,O,X,O,X,X
ITSOLJZ,O,X,O,O,X
ITSOLZJ,O,X,O,X,X
ITSOJLZ,O,X,O,O,X
ITSOJZL,O,X,O,X,X
ITSOZLJ,O,X,O,X,X
ITSOZJL,O,X,O,X,X
ITZLJSO,O,O,O,O,X
ITZLJOS,O,O,X,X,X
ITZLSJO,O,O,O,O,X
ITZLSOJ,O,X,O,X,X
ITZLOJS,O,X,X,X,X
ITZLOSJ,O,X,X,X,X
ITZJLSO,O,O,O,O,X
ITZJLOS,O,O,X,X,X
ITZJSLO,O,X,O,O,X
ITZJSOL,O,X,O,X,O
ITZJOLS,O,O,X,X,O
ITZJOSL,O,X,X,X,O
ITZSLJO,O,X,O,O,X
ITZSLOJ,O,X,O,X,X
ITZSJLO,O,X,O,O,X
ITZSJOL,O,X,O,X,O
ITZSOLJ,O,X,O,X,X
ITZSOJL,O,X,O,X,O
ITZOLJS,O,X,X,X,X
ITZOLSJ,O,X,X,X,X
ITZOJLS,O,X,X,X,O
ITZOJSL,O,X,X,X,O
ITZOSLJ,O,X,X,X,X
ITZOSJL,O,X,X,X,O
ITOLJSZ,X,O,O,O,X
ITOLJZS,X,O,X,O,X
ITOLSJZ,O,O,O,O,X
ITOLSZJ,O,X,O,O,X
ITOLZJS,O,X,X,O,X
ITOLZSJ,O,X,X,O,X
ITOJLSZ,X,O,O,O,X
ITOJLZS,X,O,X,O,O
ITOJSLZ,X,O,O,O,X
ITOJSZL,X,X,O,O,O
ITOJZLS,X,O,X,O,O
ITOJZSL,X,X,X,O,O
ITOSLJZ,O,X,O,O,X
ITOSLZJ,O,X,O,O,X
ITOSJLZ,O,X,O,O,X
ITOSJZL,O,X,O,O,X
ITOSZLJ,O,X,O,O,X
ITOSZJL,O,X,O,O,X
ITOZLJS,O,X,X,O,X
ITOZLSJ,O,X,X,O,X
ITOZJLS,O,X,X,O,O
ITOZJSL,O,X,X,O,O
ITOZSLJ,O,X,X,O,X
ITOZSJL,O,X,X,O,O
ILTJSZO,O,O,O,O,X
ILTJSOZ,O,O,O,O,X
ILTJZSO,O,O,O,O,X
ILTJZOS,O,O,X,X,X
ILTJOSZ,X,O,O,O,X
ILTJOZS,X,O,X,O,X
ILTSJZO,O,O,O,O,X
ILTSJOZ,O,O,O,O,X
ILTSZJO,O,O,O,O,X
ILTSZOJ,O,X,O,X,X
ILTSOJZ,O,O,O,O,X
ILTSOZJ,O,X,O,X,X
ILTZJSO,O,O,O,O,X
ILTZJOS,O,O,X,X,X
ILTZSJO,O,O,O,O,X
ILTZSOJ,O,X,O,X,X
ILTZOJS,O,X,X,X,X
ILTZOSJ,O,X,X,X,X
ILTOJSZ,X,O,O,O,X
ILTOJZS,X,O,X,O,X
ILTOSJZ,O,O,O,O,X
ILTOSZJ,O,X,O,O,X
ILTOZJS,O,X,X,O,X
ILTOZSJ,O,X,X,O,X
ILJTSZO,X,O,O,O,X
ILJTSOZ,X,O,O,O,X
ILJTZSO,X,O,O,O,X
ILJTZOS,X,O,X,X,X
ILJTOSZ,X,O,O,O,X
ILJTOZS,X,O,X,O,X
ILJSTZO,X,O,O,O,X
ILJSTOZ,X,O,O,O,X
ILJSZTO,X,O,O,X,X
ILJSZOT,X,O,X,X,X
ILJSOTZ,X,O,O,O,X
ILJSOZT,X,O,X,X,X
ILJZTSO,X,O,O,O,X
ILJZTOS,X,O,X,X,X
ILJZSTO,X,O,O,X,X
ILJZSOT,X,O,X,X,X
ILJZOTS,X,O,X,O,X
ILJZOST,X,O,X,X,X
ILJOTSZ,X,O,O,O,X
ILJOTZS,X,O,X,O,X
ILJOSTZ,X,O,O,O,X
ILJOSZT,X,O,X,X,X
ILJOZTS,X,O,X,O,X
ILJOZST,X,O,X,X,X
ILSTJZO,O,O,O,O,X
ILSTJOZ,O,O,O,O,X
ILSTZJO,O,O,O,O,X
ILSTZOJ,O,X,O,X,X
ILSTOJZ,O,O,O,O,X
ILSTOZJ,O,X,O,X,X
ILSJTZO,O,O,O,O,X
ILSJTOZ,O,O,O,O,X
ILSJZTO,O,O,O,X,X
ILSJZOT,O,O,X,X,X
ILSJOTZ,O,O,O,O,X
ILSJOZT,O,O,X,X,X
ILSZTJO,O,O,O,X,X
ILSZTOJ,O,X,O,X,X
ILSZJTO,O,O,O,X,X
ILSZJOT,O,O,X,X,X
ILSZOTJ,O,X,O,X,X
ILSZOJT,O,O,X,X,X
ILSOTJZ,O,O,O,O,X
ILSOTZJ,O,X,O,O,X
ILSOJTZ,O,O,O,O,X
ILSOJZT,O,O,X,X,X
ILSOZTJ,O,X,O,X,X
ILSOZJT,O,O,X,X,X
ILZTJSO,O,O,O,O,X
ILZTJOS,O,O,X,X,X
ILZTSJO,O,O,O,O,X
ILZTSOJ,O,X,O,X,X
ILZTOJS,O,X,X,X,X
ILZTOSJ,O,X,X,X,X
ILZJTSO,O,O,O,O,X
ILZJTOS,O,O,X,X,X
ILZJSTO,O,O,O,X,X
ILZJSOT,O,O,X,X,X
ILZJOTS,X,O,X,O,X
ILZJOST,X,O,X,X,X
ILZSTJO,O,O,O,X,X
ILZSTOJ,O,X,O,X,X
ILZSJTO,O,O,O,X,X
ILZSJOT,O,O,X,X,X
ILZSOTJ,O,X,O,X,X
ILZSOJT,O,O,X,X,X
ILZOTJS,X,X,X,O,X
ILZOTSJ,X,X,X,O,X
ILZOJTS,X,O,X,O,X
ILZOJST,X,O,X,X,X
ILZOSTJ,X,X,X,X,X
ILZOSJT,X,O,X,X,X
ILOTJSZ,X,O,O,O,X
ILOTJZS,X,O,X,O,X
ILOTSJZ,X,O,O,O,X
ILOTSZJ,X,X,O,O,X
ILOTZJS,X,X,X,O,X
ILOTZSJ,X,X,X,O,X
ILOJTSZ,X,O,O,O,X
ILOJTZS,X,O,X,O,X
ILOJSTZ,X,O,O,O,X
ILOJSZT,X,O,X,X,X
ILOJZTS,X,O,X,O,X
ILOJZST,X,O,X,X,X
ILOSTJZ,X,O,O,O,X
ILOSTZJ,X,X,O,O,X
ILOSJTZ,X,O,O,O,X
ILOSJZT,X,O,X,X,X
ILOSZTJ,X,X,O,X,X
ILOSZJT,X,O,X,X,X
ILOZTJS,X,X,X,O,X
ILOZTSJ,X,X,X,O,X
ILOZJTS,X,O,X,O,X
ILOZJST,X,O,X,X,X
ILOZSTJ,X,X,X,X,X
ILOZSJT,X,O,X,X,X
IJTLSZO,O,O,O,O,X
IJTLSOZ,O,O,O,O,X
IJTLZSO,O,O,O,O,X
IJTLZOS,O,O,X,X,X
IJTLOSZ,X,O,O,O,X
IJTLOZS,X,O,X,O,X
IJTSLZO,O,O,O,O,X
IJTSLOZ,O,O,O,O,X
IJTSZLO,O,X,O,O,X
IJTSZOL,O,X,O,X,X
IJTSOLZ,O,O,O,O,X
IJTSOZL,O,X,O,X,X
IJTZLSO,O,O,O,O,X
IJTZLOS,O,O,X,X,X
IJTZSLO,O,X,O,O,X
IJTZSOL,O,X,O,X,O
IJTZOLS,O,O,X,X,O
IJTZOSL,O,X,X,X,O
IJTOLSZ,X,O,O,O,X
IJTOLZS,X,O,X,O,O
IJTOSLZ,X,O,O,O,X
IJTOSZL,X,X,O,O,O
IJTOZLS,X,O,X,O,O
IJTOZSL,X,X,X,O,O
IJLTSZO,X,O,O,O,X
IJLTSOZ,X,O,O,O,X
IJLTZSO,X,O,O,O,X
IJLTZOS,X,O,X,X,X
IJLTOSZ,X,O,O,O,X
IJLTOZS,X,O,X,O,X
IJLSTZO,X,O,O,O,X
IJLSTOZ,X,O,O,O,X
IJLSZTO,X,O,O,X,X
IJLSZOT,X,O,X,X,X
IJLSOTZ,X,O,O,O,X
IJLSOZT,X,O,X,X,X
IJLZTSO,X,O,O,O,X
IJLZTOS,X,O,X,X,X
IJLZSTO,X,O,O,X,X
IJLZSOT,X,O,X,X,X
IJLZOTS,X,O,X,O,X
IJLZOST,X,O,X,X,X
IJLOTSZ,X,O,O,O,X
IJLOTZS,X,O,X,O,X
IJLOSTZ,X,O,O,O,X
IJLOSZT,X,O,X,X,X
IJLOZTS,X,O,X,O,X
IJLOZST,X,O,X,X,X
IJSTLZO,O,O,O,O,X
IJSTLOZ,O,O,O,O,X
IJSTZLO,O,X,O,O,X
IJSTZOL,O,X,O,X,X
IJSTOLZ,O,O,O,O,X
IJSTOZL,O,X,O,X,X
IJSLTZO,O,O,O,O,X
IJSLTOZ,O,O,O,O,X
IJSLZTO,O,O,O,X,X
IJSLZOT,O,O,X,X,X
IJSLOTZ,O,O,O,O,X
IJSLOZT,O,O,X,X,X
IJSZTLO,O,X,O,X,X
IJSZTOL,O,X,O,X,X
IJSZLTO,O,X,O,X,X
IJSZLOT,O,X,X,X,X
IJSZOTL,O,X,X,X,X
IJSZOLT,O,X,X,X,X
IJSOTLZ,O,O,O,O,X
IJSOTZL,O,X,O,O,X
IJSOLTZ,O,O,O,O,X
IJSOLZT,O,O,X,X,X
IJSOZTL,O,X,X,X,X
IJSOZLT,O,X,X,X,X
IJZTLSO,O,O,O,O,X
IJZTLOS,O,O,X,X,X
IJZTSLO,O,X,O,O,X
IJZTSOL,O,X,O,X,O
IJZTOLS,O,O,X,X,O
IJZTOSL,O,X,X,X,O
IJZLTSO,O,O,O,O,X
IJZLTOS,O,O,X,X,X
IJZLSTO,O,O,O,X,X
IJZLSOT,O,O,X,X,X
IJZLOTS,X,O,X,O,X
IJZLOST,X,O,X,X,X
IJZSTLO,O,X,O,X,X
IJZSTOL,O,X,O,X,O
IJZSLTO,O,X,O,X,X
IJZSLOT,O,X,X,X,X
IJZSOTL,O,X,X,X,O
IJZSOLT,O,X,X,X,O
IJZOTLS,O,O,X,O,O
IJZOTSL,O,X,X,O,O
IJZOLTS,X,O,X,O,O
IJZOLST,X,O,X,X,O
IJZOSTL,O,X,X,X,O
IJZOSLT,O,X,X,X,O
IJOTLSZ,X,O,O,O,X
IJOTLZS,X,O,X,O,O
IJOTSLZ,X,O,O,O,X
IJOTSZL,X,X,O,O,O
IJOTZLS,X,O,X,O,O
IJOTZSL,X,X,X,O,O
IJOLTSZ,X,O,O,O,X
IJOLTZS,X,O,X,O,O
IJOLSTZ,X,O,O,O,X
IJOLSZT,X,O,X,X,X
IJOLZTS,X,O,X,O,O
IJOLZST,X,O,X,X,O
IJOSTLZ,X,O,O,O,X
IJOSTZL,X,X,O,O,O
IJOSLTZ,X,O,O,O,X
IJOSLZT,X,O,X,X,X
IJOSZTL,X,X,X,X,O
IJOSZLT,X,X,X,X,O
IJOZTLS,X,O,X,O,O
IJOZTSL,X,X,X,O,O
IJOZLTS,X,O,X,O,O
IJOZLST,X,O,X,X,O
IJOZSTL,X,X,X,X,O
IJOZSLT,X,X,X,X,O
ISTLJZO,O,O,O,O,X
ISTLJOZ,O,O,O,O,X
ISTLZJO,O,O,O,O,X
ISTLZOJ,O,X,O,X,X
ISTLOJZ,O,O,O,O,X
ISTLOZJ,O,X,O,X,X
ISTJLZO,O,O,O,O,X
ISTJLOZ,O,O,O,O,X
ISTJZLO,O,X,O,O,X
ISTJZOL,O,X,O,X,X
ISTJOLZ,O,O,O,O,X
ISTJOZL,O,X,O,X,X
ISTZLJO,O,X,O,O,X
ISTZLOJ,O,X,O,X,X
ISTZJLO,O,X,O,O,X
ISTZJOL,O,X,O,X,X
ISTZOLJ,O,X,O,X,X
ISTZOJL,O,X,O,X,X
ISTOLJZ,O,X,O,O,X
ISTOLZJ,O,X,O,X,X
ISTOJLZ,O,X,O,O,X
ISTOJZL,O,X,O,X,X
ISTOZLJ,O,X,O,X,X
ISTOZJL,O,X,O,X,X
ISLTJZO,O,O,O,O,X
ISLTJOZ,O,O,O,O,X
ISLTZJO,O,O,O,O,X
ISLTZOJ,O,X,O,X,X
ISLTOJZ,O,O,O,O,X
ISLTOZJ,O,X,O,X,X
ISLJTZO,O,O,O,O,X
ISLJTOZ,O,O,O,O,X
ISLJZTO,O,O,O,X,X
ISLJZOT,O,O,X,X,X
ISLJOTZ,O,O,O,O,X
ISLJOZT,O,O,X,X,X
ISLZTJO,O,O,O,X,X
ISLZTOJ,O,X,O,X,X
ISLZJTO,O,O,O,X,X
ISLZJOT,O,O,X,X,X
ISLZOTJ,O,X,O,X,X
ISLZOJT,O,O,X,X,X
ISLOTJZ,O,O,O,O,X
ISLOTZJ,O,X,O,O,X
ISLOJTZ,O,O,O,O,X
ISLOJZT,O,O,X,X,X
ISLOZTJ,O,X,O,X,X
ISLOZJT,O,O,X,X,X
ISJTLZO,O,O,O,O,X
ISJTLOZ,O,O,O,O,X
ISJTZLO,O,X,O,O,X
ISJTZOL,O,X,O,X,X
ISJTOLZ,O,O,O,O,X
ISJTOZL,O,X,O,X,X
ISJLTZO,O,O,O,O,X
ISJLTOZ,O,O,O,O,X
ISJLZTO,O,O,O,X,X
ISJLZOT,O,O,X,X,X
ISJLOTZ,O,O,O,O,X
ISJLOZT,O,O,X,X,X
ISJZTLO,O,X,O,X,X
ISJZTOL,O,X,O,X,X
ISJZLTO,O,X,O,X,X
ISJZLOT,O,X,X,X,X
ISJZOTL,O,X,X,X,X
ISJZOLT,O,X,X,X,X
ISJOTLZ,O,O,O,O,X
ISJOTZL,O,X,O,O,X
ISJOLTZ,O,O,O,O,X
ISJOLZT,O,O,X,X,X
ISJOZTL,O,X,X,X,X
ISJOZLT,O,X,X,X,X
ISZTLJO,O,X,O,X,X
ISZTLOJ,O,X,O,X,X
ISZTJLO,O,X,O,X,X
ISZTJOL,O,X,O,X,X
ISZTOLJ,O,X,O,X,X
ISZTOJL,O,X,O,X,X
ISZLTJO,O,X,O,X,X
ISZLTOJ,O,X,O,X,X
ISZLJTO,O,X,O,X,X
ISZLJOT,O,X,X,X,X
ISZLOTJ,O,X,O,X,X
ISZLOJT,O,X,X,X,X
ISZJTLO,O,X,O,X,X
ISZJTOL,O,X,O,X,X
ISZJLTO,O,X,O,X,X
ISZJLOT,O,X,X,X,X
ISZJOTL,O,X,X,X,X
ISZJOLT,O,X,X,X,X
ISZOTLJ,O,X,O,X,X
ISZOTJL,O,X,O,X,X
ISZOLTJ,O,X,O,X,X
ISZOLJT,O,X,X,X,X
ISZOJTL,O,X,X,X,X
ISZOJLT,O,X,X,X,X
ISOTLJZ,O,X,O,O,X
ISOTLZJ,O,X,O,O,X
ISOTJLZ,O,X,O,O,X
ISOTJZL,O,X,O,O,X
ISOTZLJ,O,X,O,O,X
ISOTZJL,O,X,O,O,X
ISOLTJZ,O,O,O,O,X
ISOLTZJ,O,X,O,O,X
ISOLJTZ,O,O,O,O,X
ISOLJZT,O,O,X,X,X
ISOLZTJ,O,X,O,X,X
ISOLZJT,O,O,X,X,X
ISOJTLZ,O,O,O,O,X
ISOJTZL,O,X,O,O,X
ISOJLTZ,O,O,O,O,X
ISOJLZT,O,O,X,X,X
ISOJZTL,O,X,X,X,X
ISOJZLT,O,X,X,X,X
ISOZTLJ,O,X,O,X,X
ISOZTJL,O,X,O,X,X
ISOZLTJ,O,X,O,X,X
ISOZLJT,O,X,X,X,X
ISOZJTL,O,X,X,X,X
ISOZJLT,O,X,X,X,X
IZTLJSO,O,O,O,O,X
IZTLJOS,O,O,X,X,X
IZTLSJO,O,O,O,O,X
IZTLSOJ,O,X,O,X,X
IZTLOJS,O,X,X,X,X
IZTLOSJ,O,X,X,X,X
IZTJLSO,O,O,O,O,X
IZTJLOS,O,O,X,X,X
IZTJSLO,O,X,O,O,X
IZTJSOL,O,X,O,X,O
IZTJOLS,O,O,X,X,O
IZTJOSL,O,X,X,X,O
IZTSLJO,O,X,O,O,X
IZTSLOJ,O,X,O,X,X
IZTSJLO,O,X,O,O,X
IZTSJOL,O,X,O,X,O
IZTSOLJ,O,X,O,X,X
IZTSOJL,O,X,O,X,O
IZTOLJS,O,X,X,X,X
IZTOLSJ,O,X,X,X,X
IZTOJLS,O,X,X,X,O
IZTOJSL,O,X,X,X,O
IZTOSLJ,O,X,X,X,X
IZTOSJL,O,X,X,X,O
IZLTJSO,O,O,O,O,X
IZLTJOS,O,O,X,X,X
IZLTSJO,O,O,O,O,X
IZLTSOJ,O,X,O,X,X
IZLTOJS,O,X,X,X,X
IZLTOSJ,O,X,X,X,X
IZLJTSO,O,O,O,O,X
IZLJTOS,O,O,X,X,X
IZLJSTO,O,O,O,X,X
IZLJSOT,O,O,X,X,X
IZLJOTS,X,O,X,O,X
IZLJOST,X,O,X,X,X
IZLSTJO,O,O,O,X,X
IZLSTOJ,O,X,O,X,X
IZLSJTO,O,O,O,X,X
IZLSJOT,O,O,X,X,X
IZLSOTJ,O,X,O,X,X
IZLSOJT,O,O,X,X,X
IZLOTJS,X,X,X,O,X
IZLOTSJ,X,X,X,O,X
IZLOJTS,X,O,X,O,X
IZLOJST,X,O,X,X,X
IZLOSTJ,X,X,X,X,X
IZLOSJT,X,O,X,X,X
IZJTLSO,O,O,O,O,X
IZJTLOS,O,O,X,X,X
IZJTSLO,O,X,O,O,X
IZJTSOL,O,X,O,X,O
IZJTOLS,O,O,X,X,O
IZJTOSL,O,X,X,X,O
IZJLTSO,O,O,O,O,X
IZJLTOS,O,O,X,X,X
IZJLSTO,O,O,O,X,X
IZJLSOT,O,O,X,X,X
IZJLOTS,X,O,X,O,X
IZJLOST,X,O,X,X,X
IZJSTLO,O,X,O,X,X
IZJSTOL,O,X,O,X,O
IZJSLTO,O,X,O,X,X
IZJSLOT,O,X,X,X,X
IZJSOTL,O,X,X,X,O
IZJSOLT,O,X,X,X,O
IZJOTLS,O,O,X,O,O
IZJOTSL,O,X,X,O,O
IZJOLTS,X,O,X,O,O
IZJOLST,X,O,X,X,O
IZJOSTL,O,X,X,X,O
IZJOSLT,O,X,X,X,O
IZSTLJO,O,X,O,X,X
IZSTLOJ,O,X,O,X,X
IZSTJLO,O,X,O,X,X
IZSTJOL,O,X,O,X,O
IZSTOLJ,O,X,O,X,X
IZSTOJL,O,X,O,X,O
IZSLTJO,O,X,O,X,X
IZSLTOJ,O,X,O,X,X
IZSLJTO,O,X,O,X,X
IZSLJOT,O,X,X,X,X
IZSLOTJ,O,X,O,X,X
IZSLOJT,O,X,X,X,X
IZSJTLO,O,X,O,X,X
IZSJTOL,O,X,O,X,O
IZSJLTO,O,X,O,X,X
IZSJLOT,O,X,X,X,X
IZSJOTL,O,X,X,X,O
IZSJOLT,O,X,X,X,O
IZSOTLJ,O,X,O,X,X
IZSOTJL,O,X,O,X,O
IZSOLTJ,O,X,O,X,X
IZSOLJT,O,X,X,X,X
IZSOJTL,O,X,X,X,O
IZSOJLT,O,X,X,X,O
IZOTLJS,O,X,X,O,X
IZOTLSJ,O,X,X,O,X
IZOTJLS,O,X,X,O,O
IZOTJSL,O,X,X,O,O
IZOTSLJ,O,X,X,O,X
IZOTSJL,O,X,X,O,O
IZOLTJS,X,X,X,O,X
IZOLTSJ,X,X,X,O,X
IZOLJTS,X,O,X,O,X
IZOLJST,X,O,X,X,X
IZOLSTJ,X,X,X,X,X
IZOLSJT,X,O,X,X,X
IZOJTLS,O,O,X,O,O
IZOJTSL,O,X,X,O,O
IZOJLTS,X,O,X,O,O
IZOJLST,X,O,X,X,O
IZOJSTL,O,X,X,X,O
IZOJSLT,O,X,X,X,O
IZOSTLJ,O,X,X,X,X
IZOSTJL,O,X,X,X,O
IZOSLTJ,O,X,X,X,X
IZOSLJT,O,X,X,X,X
IZOSJTL,O,X,X,X,O
IZOSJLT,O,X,X,X,O
IOTLJSZ,X,O,O,O,X
IOTLJZS,X,O,X,O,X
IOTLSJZ,O,O,O,O,X
IOTLSZJ,O,X,O,O,X
IOTLZJS,O,X,X,O,X
IOTLZSJ,O,X,X,O,X
IOTJLSZ,X,O,O,O,X
IOTJLZS,X,O,X,O,O
IOTJSLZ,X,O,O,O,X
IOTJSZL,X,X,O,O,O
IOTJZLS,X,O,X,O,O
IOTJZSL,X,X,X,O,O
IOTSLJZ,O,X,O,O,X
IOTSLZJ,O,X,O,O,X
IOTSJLZ,O,X,O,O,X
IOTSJZL,O,X,O,O,X
IOTSZLJ,O,X,O,O,X
IOTSZJL,O,X,O,O,X
IOTZLJS,O,X,X,O,X
IOTZLSJ,O,X,X,O,X
IOTZJLS,O,X,X,O,O
IOTZJSL,O,X,X,O,O
IOTZSLJ,O,X,X,O,X
IOTZSJL,O,X,X,O,O
IOLTJSZ,X,O,O,O,X
IOLTJZS,X,O,X,O,X
IOLTSJZ,X,O,O,O,X
IOLTSZJ,X,X,O,O,X
IOLTZJS,X,X,X,O,X
IOLTZSJ,X,X,X,O,X
IOLJTSZ,X,O,O,O,X
IOLJTZS,X,O,X,O,X
IOLJSTZ,X,O,O,O,X
IOLJSZT,X,O,X,X,X
IOLJZTS,X,O,X,O,X
IOLJZST,X,O,X,X,X
IOLSTJZ,X,O,O,O,X
IOLSTZJ,X,X,O,O,X
IOLSJTZ,X,O,O,O,X
IOLSJZT,X,O,X,X,X
IOLSZTJ,X,X,O,X,X
IOLSZJT,X,O,X,X,X
IOLZTJS,X,X,X,O,X
IOLZTSJ,X,X,X,O,X
IOLZJTS,X,O,X,O,X
IOLZJST,X,O,X,X,X
IOLZSTJ,X,X,X,X,X
IOLZSJT,X,O,X,X,X
IOJTLSZ,X,O,O,O,X
IOJTLZS,X,O,X,O,O
IOJTSLZ,X,O,O,O,X
IOJTSZL,X,X,O,O,O
IOJTZLS,X,O,X,O,O
IOJTZSL,X,X,X,O,O
IOJLTSZ,X,O,O,O,X
IOJLTZS,X,O,X,O,O
IOJLSTZ,X,O,O,O,X
IOJLSZT,X,O,X,X,X
IOJLZTS,X,O,X,O,O
IOJLZST,X,O,X,X,O
IOJSTLZ,X,O,O,O,X
IOJSTZL,X,X,O,O,O
IOJSLTZ,X,O,O,O,X
IOJSLZT,X,O,X,X,X
IOJSZTL,X,X,X,X,O
IOJSZLT,X,X,X,X,O
IOJZTLS,X,O,X,O,O
IOJZTSL,X,X,X,O,O
IOJZLTS,X,O,X,O,O
IOJZLST,X,O,X,X,O
IOJZSTL,X,X,X,X,O
IOJZSLT,X,X,X,X,O
IOSTLJZ,O,X,O,O,X
IOSTLZJ,O,X,O,O,X
IOSTJLZ,O,X,O,O,X
IOSTJZL,O,X,O,O,X
IOSTZLJ,O,X,O,O,X
IOSTZJL,O,X,O,O,X
IOSLTJZ,O,O,O,O,X
IOSLTZJ,O,X,O,O,X
IOSLJTZ,O,O,O,O,X
IOSLJZT,O,O,X,X,X
IOSLZTJ,O,X,O,X,X
IOSLZJT,O,O,X,X,X
IOSJTLZ,O,O,O,O,X
IOSJTZL,O,X,O,O,X
IOSJLTZ,O,O,O,O,X
IOSJLZT,O,O,X,X,X
IOSJZTL,O,X,X,X,X
IOSJZLT,O,X,X,X,X
IOSZTLJ,O,X,O,X,X
IOSZTJL,O,X,O,X,X
IOSZLTJ,O,X,O,X,X
IOSZLJT,O,X,X,X,X
IOSZJTL,O,X,X,X,X
IOSZJLT,O,X,X,X,X
IOZTLJS,O,X,X,O,X
IOZTLSJ,O,X,X,O,X
IOZTJLS,O,X,X,O,O
IOZTJSL,O,X,X,O,O
IOZTSLJ,O,X,X,O,X
IOZTSJL,O,X,X,O,O
IOZLTJS,X,X,X,O,X
IOZLTSJ,X,X,X,O,X
IOZLJTS,X,O,X,O,X
IOZLJST,X,O,X,X,X
IOZLSTJ,X,X,X,X,X
IOZLSJT,X,O,X,X,X
IOZJTLS,O,O,X,O,O
IOZJTSL,O,X,X,O,O
IOZJLTS,X,O,X,O,O
IOZJLST,X,O,X,X,O
IOZJSTL,O,X,X,X,O
IOZJSLT,O,X,X,X,O
IOZSTLJ,O,X,X,X,X
IOZSTJL,O,X,X,X,O
IOZSLTJ,O,X,X,X,X
IOZSLJT,O,X,X,X,X
IOZSJTL,O,X,X,X,O
IOZSJLT,O,X,X,X,O
LTIJSZO,O,O,O,O,X
LTIJSOZ,O,O,O,O,X
LTIJZSO,O,O,O,O,X
LTIJZOS,O,O,X,X,X
LTIJOSZ,X,O,O,O,X
LTIJOZS,X,O,X,O,X
LTISJZO,O,O,O,O,X
LTISJOZ,O,O,O,O,X
LTISZJO,O,O,O,O,X
LTISZOJ,O,X,O,X,X
LTISOJZ,O,O,O,O,X
LTISOZJ,O,X,O,X,X
LTIZJSO,O,O,O,O,X
LTIZJOS,O,O,X,X,X
LTIZSJO,O,O,O,O,X
LTIZSOJ,O,X,O,X,X
LTIZOJS,O,X,X,X,X
LTIZOSJ,O,X,X,X,X
LTIOJSZ,X,O,O,O,X
LTIOJZS,X,O,X,O,X
LTIOSJZ,O,O,O,O,X
LTIOSZJ,O,X,O,O,X
LTIOZJS,O,X,X,O,X
LTIOZSJ,O,X,X,O,X
LTJISZO,O,O,O,O,X
LTJISOZ,O,O,O,O,X
LTJIZSO,O,O,O,O,X
LTJIZOS,O,O,X,X,X
LTJIOSZ,X,O,O,O,X
LTJIOZS,X,O,X,O,X
LTJSIZO,O,O,O,O,X
LTJSIOZ,O,O,O,O,X
LTJSZIO,O,O,O,O,X
LTJSZOI,O,O,O,X,X
LTJSOIZ,O,O,O,O,X
LTJSOZI,O,O,O,X,X
LTJZISO,O,O,O,O,X
LTJZIOS,O,O,X,X,X
LTJZSIO,O,O,O,O,X
LTJZSOI,O,O,O,X,O
LTJZOIS,O,O,X,X,O
LTJZOSI,O,O,X,X,O
LTJOISZ,X,O,O,O,X
LTJOIZS,X,O,X,O,O
LTJOSIZ,X,O,O,O,X
LTJOSZI,X,O,O,O,X
LTJOZIS,X,O,X,O,O
