sequence,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFtlBxhBXjBurBct?BTsB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFtlBxhBTjBurBcs?BXtB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFulB9mBxiBToBXs?B0sB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFulB9mBxiBToB0s?BXsB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFulB9mBTjBxsBXs?B0sB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFulBRiB9oB0mBzs?BXsB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFtlBXiBTjBWtB0m?BRxB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFulB9mBxnBToBXs?B0sB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFulB9mBxnBToB0s?BXsB
TILJSZO,O,O,X,X,O,X,O,O,X
TILJSOZ,O,O,O,X,O,O,O,O,X
TILJZSO,O,O,X,X,O,X,O,X,O
TILJZOS,O,O,X,O,O,O,O,X,O
TILJOSZ,O,X,O,O,O,O,O,X,X
TILJOZS,O,O,O,O,O,O,O,X,X
TILSJZO,O,O,X,X,O,X,O,O,X
TILSJOZ,O,O,O,X,O,O,O,O,X
TILSZJO,O,O,X,X,X,X,X,O,X
TILSZOJ,O,O,X,X,X,X,X,X,X
TILSOJZ,X,O,O,X,O,X,X,O,X
TILSOZJ,O,O,O,X,X,X,X,X,X
TILZJSO,O,O,X,X,O,X,O,X,O
TILZJOS,O,O,X,O,O,O,O,X,O
TILZSJO,O,O,X,X,X,X,X,X,O
TILZSOJ,O,O,X,X,X,X,X,X,X
TILZOJS,O,X,X,O,O,X,X,X,O
TILZOSJ,O,O,X,O,X,X,X,X,X
TILOJSZ,O,X,O,O,O,O,O,X,X
TILOJZS,O,O,O,O,O,O,O,X,X
TILOSJZ,X,O,O,O,O,O,X,X,X
TILOSZJ,O,O,O,X,X,X,X,X,X
TILOZJS,O,X,O,O,O,O,X,X,X
TILOZSJ,O,O,X,O,X,O,X,X,X
TIJLSZO,O,O,X,X,O,X,O,O,X
TIJLSOZ,O,O,O,X,O,O,O,O,X
TIJLZSO,O,O,X,X,O,X,O,X,O
TIJLZOS,O,O,X,O,O,O,O,X,O
TIJLOSZ,O,X,O,O,O,O,O,X,X
TIJLOZS,O,O,O,O,O,O,O,X,X
TIJSLZO,O,O,X,X,O,X,O,O,X
TIJSLOZ,O,O,O,X,O,O,O,O,X
TIJSZLO,O,O,X,X,O,X,O,O,X
TIJSZOL,O,O,X,X,O,X,O,X,X
TIJSOLZ,O,O,O,X,O,X,O,O,X
TIJSOZL,O,X,O,X,O,X,O,X,X
TIJZLSO,O,O,X,X,O,X,O,X,O
TIJZLOS,O,O,X,O,O,O,O,X,O
TIJZSLO,O,O,X,X,O,X,O,X,O
TIJZSOL,O,O,X,X,O,X,O,X,X
TIJZOLS,O,O,X,O,O,X,O,X,O
TIJZOSL,O,O,X,O,O,X,O,X,X
TIJOLSZ,O,X,O,O,O,O,O,X,X
TIJOLZS,O,O,O,O,O,O,O,X,X
TIJOSLZ,O,X,O,O,O,O,O,X,X
TIJOSZL,O,X,O,X,O,X,O,X,X
TIJOZLS,O,O,O,O,O,O,O,X,X
TIJOZSL,O,O,X,O,O,O,O,X,X
TISLJZO,O,O,X,X,O,X,O,O,X
TISLJOZ,O,O,O,X,O,O,O,O,X
TISLZJO,O,O,X,X,X,X,X,O,X
TISLZOJ,O,O,X,X,X,X,X,X,X
TISLOJZ,X,O,O,X,O,X,X,O,X
TISLOZJ,O,O,O,X,X,X,X,X,X
TISJLZO,O,O,X,X,O,X,O,O,X
TISJLOZ,O,O,O,X,O,O,O,O,X
TISJZLO,O,O,X,X,O,X,O,O,X
TISJZOL,O,O,X,X,O,X,O,X,X
TISJOLZ,O,O,O,X,O,X,O,O,X
TISJOZL,O,X,O,X,O,X,O,X,X
TISZLJO,O,O,X,X,X,X,X,O,X
TISZLOJ,O,O,X,X,X,X,X,X,X
