sequence,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeRAJvhF3hBzkBtqB8?rB+sBatB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeuEJvhFzgBRiB/qB9?rB0sBisB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JetEJvhFThBmiBxqBX?sB6qB0sB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeGAJvhFxhBzkB/sBC?rBdtB0rB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeGAJvhFxhBzkB8qBq?rB/sBdtB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeuEJvhFziBxqB0sB9?qB/rBasB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeuEJvhFThBynBxqB0?sB9qBXsB,v115@9gA8HeB8HeB8GeE8AeA8DeA8Jez/IvhF6mBmiBRqBX?sBtqB0sB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeuEJvhFThBynBxqBX?sB9qB0sB,v115@9gA8HeB8HeB8GeE8AeA8DeA8Jez/IvhFfmBxhBGqBC?sBdtBUsB,v115@9gA8HeB8HeB8GeE8AeA8DeA8Jez/IvhF0hBRqBCsBt?qB3sBmsB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeqEJvhFUhBRiBNsBG?rB/qBzsB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeRAJvhFCiBzkBuqB/?sB0rBdtB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeRAJvhF3hBzkBtqBC?sBcsBetB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeuEJvhFUiBxqBTsB9?qB/rBatB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeuEJvhFRhB/qBUmB9?sBatBzrB,v115@9gA8HeB8HeB8GeE8AeA8DeA8Jez/IvhF/nBRqBUsBu?qB9rBatB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeCAJvhFxhBXlB8qBu?rBTsBdtB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeuEJvhFzgB/qBxrBd?tBUsBCsB,v115@9gA8HeB8HeB8GeE8AeA8DeA8Jez/IvhF9mBynBRqBX?sBuqB0sB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JexBJvhFzkBCmB/sB0?rBdtBGqB,v115@9gA8HeB8HeB8GeE8AeA8DeA8Jez/IvhF9mBynBRqB0?sBuqBXsB,v115@9gA8HeB8HeB8GeE8AeA8DeA8JeWFJvhF8qBRnBXlB6?rBNsBzsB
TILOZSJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TIJLSZO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJLZSO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJLZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJLOZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJSLZO,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X
TIJSLOZ,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X
TIJSZLO,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X
TIJSZOL,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X
TIJSOLZ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TIJSOZL,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TIJZLSO,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TIJZLOS,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJZSLO,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJZSOL,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJZOLS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJZOSL,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJOLSZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIJOLZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJOSLZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TIJOSZL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TIJOZLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TIJOZSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TISLJZO,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TISLJOZ,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TISLZJO,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISLZOJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISLOJZ,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISLOZJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISJLZO,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X
TISJLOZ,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X
TISJZLO,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X
TISJZOL,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X
TISJOLZ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TISJOZL,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TISZLJO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X
TISZLOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TISZJLO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X
TISZJOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X
TISZOLJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TISZOJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X
TISOLJZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISOLZJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISOJLZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TISOJZL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TISOZLJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TISOZJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TIZLJSO,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TIZLJOS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZLSJO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZLSOJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZLOJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZLOSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZJLSO,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
TIZJLOS,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O
