sequence,v115@vhHcEJGjB6qB/rBFnBVtBzpBxxB,v115@vhHi/I/oB1pBllBcrBOsBzsBxuB,v115@vhHZEJukB/oBllBcrBTnBVvByxB,v115@vhHcEJaoB5oBTlB/rBFnBWvB1xB,v115@vhHl/I/oB2pBllBcrBTnByxBxuB,v115@vhHcEJFjBTlB/rBFnBStBWvBxxB,v115@vhHFAJ5oBTkBFmBmnBXqBSwB0sB,v115@vhHZEJliBClBlmBToBXqB2wB0sB,v115@vhHc+I2kB5oB3lB1rBlnBTpByxB,v115@vhH/6IZkBSoBFlBVrBUnBWvBTtB,v115@vhH6+I/oBmkB0nBTpB1vBlrBxxB,v115@vhHO6IckBXlBCoBFrBVxBTtBxuB,v115@vhHeCJ5jBziBKpBUqBFrBXsBVyB,v115@vhHZ/IqgBzfB+tB1uB0qBlrB3sB,v115@vhHZEJTgB2mBqpB/tBlqB1wB0sB,v115@vhHSGJTiB5oBcpBetBXqBVwBFsB,v115@vhHFCJ5oB/pBUlBFmBznBSwB2xB,v115@vhHZEJlgBzkBlmB3nBctBSvB2wB,v115@vhH2EJlgBlmB3nBctBTpBiqBRwB,v115@vhHFCJSoB/pBUlBFmBGsBTtBRwB,v115@vhHN7I0fBfmBKpBFqBGsBTtBRwB,v115@vhH99I8mBXjB+tBTpBiqBlsBRwB,v115@vhH//ITeB2pBFoBUrBFsBSyBxuB,v115@vhHT6IcjBlkBStB2uBlqB3rBxxB,v115@vhHO+I5jBikBfrB0mBlnBzpBVyB,v115@vhH66IZfBFlBXmB8rBGoB1uBzsB,v115@vhHT+I0iBKpB3mB+tBFqBlsBRwB,v115@vhHT6IXgBKpBUmB+tBFqBlsBRwB,v115@vhHT+IXiB2pBFoBUrBFsBSyBxuB,v115@vhHT6I0gBlkBStB2uBlqB3rBxxB,v115@vhHO/IflB0gBStBTpB1vBlrBxxB,v115@vhH6DJXiB8nB2pBFrBVxBTtBxuB,v115@vhHZ6IamBFlBfsBlnBctBTpBWwB,v115@vhH5+IumB/pBFlB8qBlnBywBTtB,v115@vhHz6IZkBcoBFlBWvBFrBXsBSyB,v115@vhHz9I/kB5oBlnB2uB0qBlrByxB,v115@vhHT5IZkBcoBFlBWvBFrBXsBSyB,v115@vhHT1I/kB5oBlnB2uB0qBlrByxB,v115@vhHu6ITgBcoB1pBFrBXsBSyBxuB,v115@vhHa+I/kBTiBVtB2uB0qBlrBxxB,v115@vhHT5ItkB8nB5oB2uBlqB3rByxB,v115@vhHT1IZkBflBdoBWvBUrBFsBSyB,v115@vhH5+IWmB8nBKpBFqBXrBVxBTtB,v115@vhHZ6IflBymB+tBTpB1vB0rBlsB,v115@vhHT+IXgB2pBFoBUrBFsBSyBxuB,v115@vhHT6I0iBlkBStB2uBlqB3rBxxB,v115@vhHT+I0gBlkBFnBXoB2uBxqBSyB,v115@vhHT6IXiB0kBllBFoB2uBxrBSyB,v115@vhH2CJ5jBTfB0lBlmB3nBipBVyB,v115@vhHZ/ISgBTjBUlBFmBXnB1uBGtB,v115@vhHT1IZkBcoBFlBWvBFrBXsBSyB,v115@vhHT5I/kB5oBlnB2uB0qBlrByxB,v115@vhHT6IXgBKpBFmBxnBFqBUsBGtB,v115@vhHT+I0iBxkBlmB+tBipB3qBlsB,v115@vhHT6I0gBlkBFnB6tB2uBxqB3sB,v115@vhHT+IXiBOpBllBFoBUqBxrBSyB,v115@vhHT6IVlB5oBKpBetBUqBFrBXsB,v115@vhHT+IZkB1nBqpB+tB0qBlrB3sB,v115@vhHT6IVlBcoB2pBFrBXsBSyBxuB,v115@vhHT+I/kB1nBStB2uB0qBlrBxxB,v115@vhHT6IVnB5oBKpBetBUqBFrBXsB,v115@vhHT+IZkB1lBqpB+tB0qBlrB3sB,v115@vhHT6IVnBcoB2pBFrBXsBSyBxuB,v115@vhHT+I/kB1lBStB2uB0qBlrBxxB,v115@vhH//ITjBKpBFnBUqBFrBGtBRxB,v115@vhHcDJTfBllB+tBipBlrB3sBRvB,v115@vhH//I8nB+oBKpBzmBFqBVwBxxB,v115@vhHcDJKkBflBzlB+tB1wBlsBxuB,v115@vhHZ6I+eBaqBfrB0mBlnB9tBTpB,v115@vhHK6I5eBNpBFlBXmB8rBusBTtB,v115@vhHcCJTjBikBWtB1uBlqB3rBxxB,v115@vhH/AJTfBypBGoBUrBFsBVyBxuB,v115@vhHy/IclBTkBGoBFrBXsBVyBxuB,v115@vhHWDJ/nBikBToB1uB0qBlrBxxB,v115@vhHcCJTjBikBWtB3pB1vBlrBxxB,v115@vhH/AJTfBypBGoBFrBVxBUtBxuB,v115@vhH/AJOkBzkBFoBUrBFsBSyBxuB,v115@vhHcCJ6oBlkBznB2uBlqB3rBxxB,v115@vhHcCJXjBmkBStBTpB1vBlrBxxB,v115@vhH/AJ0fB2pBCoBFrBVxBTtBxuB,v115@vhHVAJZkBzkBFmBXnB8sB+tBSvB,v115@vhHVAJZkBUlBFmBXnB6tBWvBzsB,v115@vhH1CJ5oBKpBfqB0lBlmBznB2xB,v115@vhH1CJ5oBOpB0lBlmB3nBzpByxB,v115@vhHVAJKkBUlBFmBXnBToBWyBxuB,v115@vhH1CJ+oBTkB0lBlmB3nByuBxxB,v115@vhHz4IXiBdoB2pBUrBFsBSyBxuB,v115@vhHz1ItkB0gBStB2uBlqB3rBxxB,v115@vhHz4IdnBunBKpB/tBUqBFrBRxB,v115@vhHz1IalBtlBcpB+tBlrB3sBRvB,v115@vhHz1I+kBNlBcoBFrBXsBSyBxuB,v115@vhHz4I/kB9nBKoB2uB0qBlrBxxB,v115@vhHZEJXgBcoBFmBzpBWwBFsBSyB,v115@vhH/EJ0iB5oBlmB2uBlqBywBzsB,v115@vhHz7IVlB5oBKpBetBUqBFrBXsB,v115@vhHz8IZkB1nBqpB+tB0qBlrB3sB,v115@vhHz7IVlBcoB2pBFrBXsBSyBxuB,v115@vhHz8I/kB1nBStB2uB0qBlrBxxB,v115@vhH//IxgBTjBKpBVqBUmBFnBGtB,v115@vhHcDJTfBxhBllB3mB1sB+tBipB,v115@vhHVAJZkBupBFmB0nB6tBTqB3rB,v115@vhH1CJ5oBOpBXlBlmBatBUrBTsB,v115@vhHZ6I3gBTjBcpBlmB1sBmqBSyB,v115@vhH5+ITfBUiBVqBFmB/tB2uBCsB,v115@vhHcDJKpBzkBxmB+tB3qB1wBlsB,v115@vhH//IKpBxlBznB+tBFqBVwBUsB,v115@vhH5+IzgBKpBfsBUoBFqBVwBWyB,v115@vhHZ6IzhB3kB8qB+tByuB1wBlsB,v115@vhHG5ItlBdoB5oBKpBzkB3mB0sB,v115@vhHi1IZkBtkBdnBUmBznB+tBXqB,v115@vhH01I/fBKpBVqBFmBxnBGsBTtB,v115@vhHX5IcjBxkBlmB1sB+tBTpBiqB,v115@vhH88IXiByqBGoBTpBFsBVyBxvB,v115@vhHf8I0gBikBWsB1uBlqBTtBxwB,v115@vhHx4IcjBKpBzkB+tB3qB1wBlsB,v115@vhHx1I/fBKpBznB+tBFqBVwBUsB,v115@vhHT5I8nB+oBikB1uBlqB3rBxxB,v115@vhHT1IKkBflBGoBUrBFsBVyBxuB,v115@vhHT5I8nB5oBlkB2uBlqB3rByxB,v115@vhHT1IZkBflBFoBWvBUrBFsBSyB,v115@vhHZ6IXhBcpB2qBFnBToBSwB1xB,v115@vhH5+I0hBTkBllBSsB/tBVvB2wB,v115@vhH9DJOkBfoBzkBUrBFsBSyBxuB,v115@vhHN/I8kB6oBznB2uBlqB3rBxxB,v115@vhH2/IdoB5oBTkBllB3mByuB0sB,v115@vhHSDJZkBtkBUmBFnBToBXqBWyB,v115@vhHcFJ2mB6oBTkBFrBXsBVyBxuB,v115@vhHOEJSmB/nBToB1uB0qBlrBxxB,v115@vhH//I8mB5oBKpBznBFqBVwB2xB,v115@vhHcDJZkBfmBzkB+tBSvB1wBlsB,v115@vhHT6I8nB+oBikB1uBlqB3rBxxB,v115@vhHT+IKkBflBGoBUrBFsBVyBxuB,v115@vhHT6I8nB5oBlkB2uBlqB3rByxB,v115@vhHT+IZkBflBFoBWvBUrBFsBSyB,v115@vhH5+IejBfnBcpBVvBFrBSxBTtB,v115@vhHZ6IqfB8lB/tBTpB2vBlrB1xB,v115@vhHcDJxhBTkBllB3mB1sB+tByuB,v115@vhH//IxgBKpBVqBUmBFnBToBWyB,v115@vhHO+I5jBKpBzkBfrB0mBlnBVyB,v115@vhH66IZfBFlBXmB8rBznB+tB1uB,v115@vhHZ6I3gBcpBlmBCoBmqBVxBTtB,v115@vhH5+IUiBmkBFmB/tBTpB1vBCsB,v115@vhH++IclBTkBftB6tBFrBVxBxuB,v115@vhHK6I/nBOpB8pBToB1vBlrBxxB,v115@vhH++IclBTkBFoBFrBXsBSyBxuB,v115@vhHK6I/nBlkBToB2uB0qBlrBxxB,v115@vhH++IFiB/pBUlBFmBSsBToBxxB,v115@vhHK6IlgBTkB2qBlmB3nBctBxuB,v115@vhHT1I0fBKpB3mB+tBFqBlsBRwB,v115@vhHT5IXjBKpBUmB+tBFqBlsBRwB,v115@vhH8BJ2kB5oB3lBlnBTpBlrByxB,v115@vhHfBJZkBSoBFlBUnBWvBFrBTtB,v115@vhHK6I/oBmkB0nBTpB1vBlrBxxB,v115@vhH++IckBXlBCoBFrBVxBTtBxuB,v115@vhHZ/IFgB+pBFmB0nB6tBTqB3rB,v115@vhH5DJliBOpBXlBlmBKtBUrBTsB,v115@vhH8/I+jBZkBllB3mB1sBzpBSyB,v115@vhHK/IfjB5oBVqBUmBFnB2uBzsB,v115@vhHx6IOkBFlBXmB0nB6tB1uBzrB,v115@vhHx9I6oBOpBXlB0mBlnBzqBVyB,v115@vhH5+IOkBFlB8qBqrBTnB/tB1uB,v115@vhHZ6I6oBcpBTlBerBfsBlnBVyB,v115@vhHcDJTgBKpBfqBVrB+tBlsBRwB,v115@vhH//ITiBKpB1rB8sB+tBFqBRwB,v115@vhH//I8mB+nBKpBToBFqBVwBxxB,v115@vhHcDJKlBfmBTkB+tB1wBlsBxuB,v115@vhH++IfmBUlBFoBTpBFsBSyBxvB,v115@vhHK6I8mBlkB3nB2uBlqBTtBxwB,v115@vhHT5IVlB5oBKpBetBUqBFrBXsB,v115@vhHT1IZkB1nBqpB+tB0qBlrB3sB,v115@vhHT5IVlBcoB2pBFrBXsBSyBxuB,v115@vhHT1I/kB1nBStB2uB0qBlrBxxB,v115@vhHZEJWlB6oB8qBfsBlnBzpBVyB,v115@vhHOEJynB5oBFlB8qBfsB1uBzsB,v115@vhH0/I6oB2pBzlBfsBlnBVyBxuB,v115@vhHOEJXjBFlB8qBzmBStB1uBxxB
comments,T-01/MKO,T-01M/MKO,T-01M/MKO,T-01/MKO,T-01M/MKO,T-01/MKO,T-02,T-02M,T-03,T-03M,T-04,T-04M,T-05/Torchlight,T-05M/Torchlight,T-06,T-06M,T-07,T-07M,T-07M,T-07,T-08,T-08M,T-09,T-09M,T-10,T-10M,T-11,T-11M,T-11,T-11M,T-11M,T-11,T-12,T-12M,T-13,T-13M,T-14,T-14M,T-15,T-15M,T-16,T-16M,T-17,T-17M,T-18,T-18M,T-19,T-19M,T-20,T-20M,T-21,T-21M,T-22,T-22M,T-22,T-22M,T-23,T-23M,T-23,T-23M,T-24,T-24M,T-24,T-24M,T-25,T-25M,T-25,T-25M,T-26,T-26M,T-27,T-27M,T-27M,T-27,T-27,T-27M,T-27M,T-27,T-27,T-27M,T-28,T-28,T-28M,T-28M,T-28,T-28M,T-29,T-29M,T-29,T-29M,T-30,T-30M,T-31,T-31M,T-32,T-32M,T-32,T-32M,T-33,T-33M,T-34,T-34M,T-35,T-35M,T-36,T-36M,T-37,T-37M,T-38,T-38M,T-39,T-39M,T-40,T-40M,T-41,T-41M,T-42,T-42M,T-42,T-42M,T-43,T-43M,T-44,T-44M,T-45,T-45M,T-46,T-46M,T-47,T-47M,T-48,T-48M,T-48,T-48M,T-49,T-49M,T-50,T-50M,T-51,T-51M,T-52,T-52M,T-53,T-53M,T-53,T-53M,T-54,T-54M,T-55,T-55M,T-56,T-56M,T-57,T-57M,T-58,T-58M,T-59,T-59M,T-60,T-60M,T-61,T-61M,T-62,T-62M,T-62M,T-62,T-63,T-63M,T-64,T-64M,T-64,T-64M,T-65,T-65,T-65,T-65
score,4718.075396825397,4718.075396825397,4718.075396825397,4718.075396825397,4718.075396825397,4718.075396825397,4708.809523809524,4708.809523809524,4491.785714285715,4491.785714285715,4490.257936507936,4490.257936507936,4472.123015873016,4472.123015873016,4456.4682539682535,4456.4682539682535,4456.4682539682535,4456.4682539682535,4456.4682539682535,4456.4682539682535,4427.539682539683,4427.539682539683,4396.865079365079,4396.865079365079,4389.900793650793,4389.900793650793,4379.047619047619,4379.047619047619,4379.047619047619,4379.047619047619,4379.047619047619,4379.047619047619,4374.68253968254,4374.68253968254,4366.25,4366.25,4363.809523809524,4363.809523809524,4344.087301587301,4344.087301587301,4340.496031746032,4340.496031746032,4324.107142857143,4324.107142857143,4321.111111111111,4321.111111111111,4321.111111111111,4321.111111111111,4316.428571428572,4316.428571428572,4308.353174603175,4308.353174603175,4307.619047619048,4307.619047619048,4307.619047619048,4307.619047619048,4299.503968253968,4299.503968253968,4299.503968253968,4299.503968253968,4298.353174603175,4298.353174603175,4298.353174603175,4298.353174603175,4289.126984126984,4289.126984126984,4289.126984126984,4289.126984126984,4277.043650793651,4277.043650793651,4275.555555555556,4275.555555555556,4275.555555555556,4275.555555555556,4275.555555555556,4275.555555555556,4275.555555555556,4275.555555555556,4275.555555555556,4275.555555555556,4275.555555555556,4275.555555555556,4275.555555555556,4275.555555555556,4275.555555555556,4275.555555555556,4271.210317460317,4271.210317460317,4271.210317460317,4271.210317460317,4271.210317460317,4271.210317460317,4261.4682539682535,4261.4682539682535,4260.873015873017,4260.873015873017,4260.873015873017,4260.873015873017,4259.305555555557,4259.305555555557,4248.0952380952385,4248.0952380952385,4247.876984126984,4247.876984126984,4247.142857142857,4247.142857142857,4239.900793650793,4239.900793650793,4238.1349206349205,4238.1349206349205,4236.666666666667,4236.666666666667,4232.876984126984,4232.876984126984,4229.027777777778,4229.027777777778,4219.265873015873,4219.265873015873,4219.265873015873,4219.265873015873,4217.361111111111,4217.361111111111,4211.011904761905,4211.011904761905,4211.011904761905,4211.011904761905,4205.496031746032,4205.496031746032,4197.440476190476,4197.440476190476,4194.821428571428,4194.821428571428,4194.821428571428,4194.821428571428,4190.952380952381,4190.952380952381,4182.083333333333,4182.083333333333,4181.56746031746,4181.56746031746,4179.3849206349205,4179.3849206349205,4177.361111111111,4177.361111111111,4177.361111111111,4177.361111111111,4174.38492063492,4174.38492063492,4174.285714285715,4174.285714285715,4173.0952380952385,4173.0952380952385,4171.765873015873,4171.765873015873,4171.289682539683,4171.289682539683,4170.6349206349205,4170.6349206349205,4169.424603174603,4169.424603174603,4169.06746031746,4169.06746031746,4168.472222222223,4168.472222222223,4168.472222222223,4168.472222222223,4167.81746031746,4167.81746031746,4167.400793650793,4167.400793650793,4167.400793650793,4167.400793650793,4162.142857142857,4162.142857142857,4162.142857142857,4162.142857142857
TILJSZO,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O
TILJSOZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O
TILJZSO,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O
TILJZOS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O
TILJOSZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O
TILJOZS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O
TILSJZO,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O
TILSJOZ,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O
