sequence,v115@vhHT5I5oBdtBCnBsqBXlBOpBywB,v115@vhHT1IZkB6tBPtBmmB0lBtpBSwB,v115@vhHT1IZkBGoBimB6qBtpBUtB3rB,v115@vhHT1IZkB6tBPtBsrBOrB6qBtpB,v115@vhHa+IPoBOkBzkBSyBFsBUrBxuB,v115@vhH6IJzhBKtB+sB3lBMpBlrBRvB,v115@vhHTDJanBWtBFmBUlBvpBSwBxxB,v115@vhHPIJymBOkBzkBSyBFsBUrBxuB,v115@vhHzCJ6kB+tB3mBMqBKpBlsBRwB,v115@vhHUDJOkBFnBRlBTtBSxBCrB3pB,v115@vhHTDJPnBylBKpBGtBFrBUqBRxB,v115@vhHzCJPnBylBKpBGtBFrBUqBRxB,v115@vhHa9ITjBPnBKpBGtBFrBUqBRxB,v115@vhHa9IziBPnBKpBGtBFrBUqBRxB,v115@vhHx8IslB+tBtrBzkBKpB3sByvB,v115@vhHx7IPnBCoBdrBKpBTtBWxBUqB,v115@vhHx7IWnBXoBdrBKpBSyBzrBUqB,v115@vhH6+IKjB+sB3lBMpBTtBlrBRvB,v115@vhHT5I6oBKtB+sB3lBMpBlrBRvB,v115@vhH66IKfB+tB3mBMqBlsBTpBRwB,v115@vhHT1I6kB+tB3mBMqBKpBlsBRwB,v115@vhHK6IykB+tB3mBMqBlsBTpBRwB,v115@vhHM+ISoBPnB2pBTtBSxBFrBxuB,v115@vhH5+IejBPnBKpBTtBSxBFrBUqB,v115@vhHa7IqfB+tB3mBMqBlsBTpBRwB,v115@vhHa+IPoBzlBspBOpBSyBFsBxvB,v115@vhHyCJPmBUoBzmBKpBWyBFqBRwB,v115@vhHqAJPoBzfB2pBSyBFsBUrBxuB,v115@vhHSAJPoBzlBspBOpBSyBFsBxvB,v115@vhHe9IxbBvsBqrBdrBKpBTtBUqB,v115@vhHqGJPmBzfBUoBKpBWyBFqBRwB,v115@vhHPIJzhB5lBKrB0kBSyBFsB2uB,v115@vhHq6IynB+tBTlBMpB3sBlrBRvB,v115@vhHq6IvoB0nBqqBzkBlrB2uBxxB,v115@vhHe+IMkBinBXlBTtBSxBFrBxuB,v115@vhHK/IXjBsmB+tBlsBiqBTpBRwB,v115@vhHS+I5oBPlBdtBKrB+qBUsBTpB,v115@vhHPAJKfBsmB+tBlsBiqBTpBRwB,v115@vhHK6IPoBzlBspBOpBSyBFsBxvB,v115@vhHS8IumBvtBTnBdrBKpBUqBRxB,v115@vhHS+I5oBPmBdtBaqBUsBWwBTpB,v115@vhH26IsmBZkBznBtpBSyBywB3qB,v115@vhH28IslBPlBStBtrByvBTpBxxB,v115@vhHS8IPoB5mB+tBdrBKpBTsBUqB,v115@vhHSAJZkB6tB0nBFmBupB3rBTqB,v115@vhHMAJTfBxnBFmBGtB3rBSvBipB,v115@vhHMAJ6kBxnBFmBKpBGtB3rBTqB,v115@vhH6+IKfB+tB3mBMqBlsBTpBRwB,v115@vhH6+IqfB+tB3mBMqBlsBTpBRwB,v115@vhHM+ISoBPmBKpBTtBGsBFqBRwB,v115@vhHM+I5oBPmBznBKpB2xBSwBFqB,v115@vhHPIJzhBZkBKrBUlBSyBFsBWvB,v115@vhHK6IziBPnBKpBGtBFrBUqBRxB,v115@vhH01IKfBGoBRmBNqBisBXrBTpB,v115@vhHa+IPoBzhB2pBSyBFsBUrBxuB,v115@vhHa+I0iBPnB2pBTtBSxBFrBxuB,v115@vhHa+I+nBzhBvtBKpBFrBUqBRxB,v115@vhH69IKjB+sB3lBMpBTtBlrBRvB,v115@vhHi1ItkBZkBGoBasBUmBzsBXqB,v115@vhHG5I5oBdoB3mBilBTkB0sBSvB,v115@vhHK6IPoBOlBTkBSyBFsBUrBxuB,v115@vhHK6ITjBPnBKpBGtBFrBUqBRxB,v115@vhHO6IqfBvsBUmBKpBTtBFqBRwB,v115@vhHKDJPmB0fBKpBTtBGsBFqBRwB,v115@vhHZDJPmB0fB+tBKpBTsBSwBFqB,v115@vhHK/IPnB0gBKqBGtBFrBTpBRxB,v115@vhHZ/IPnB0gBKqB+pBTtBSxBFrB,v115@vhHaAJslBTfB+tB3sBlrBipBRvB,v115@vhHz9ISoBPnBKpBGtBFrBUqBRxB,v115@vhH36IslBykBStBlrB2vBTpBxxB,v115@vhHz6IylBZkB+tBqpB3sBlrB0qB,v115@vhHz6IylBvkBStBlrB0qB2uBxxB,v115@vhH5IJPmBzfBetBMsBKpBSwBFqB,v115@vhHKCJMoBXmBmkBSyBFsBTpBxvB,v115@vhHT8IMoBPmBWsBKpBSyBFqBRwB,v115@vhH26IPoBTfBypBSyBFsBUrBxuB,v115@vhHZ6IufBPoBKqBSyBFsBUrBTpB,v115@vhHS+I6oBskBznB3rBlqB2uBxxB,v115@vhHZ6IMoBWnBKqBSyBXsBFrBTpB,v115@vhH5+IMnBWmBKpBTtBSxBXrBFqB
comments,L-01/STSD,L-02/STSD,L-02/STSD,L-02/STSD,L-03/Drawbridge,L-04/Hold O_tetramino L_tetramino Centre TKI,L-05/W DPC,L-06/Black Tea Cannon,L-07/Hold O_tetramino L_tetramino TKI,L-08/Drawbridge,L-09/Hold L_tetramino Glitter Brooch,L-10/Shifted Hold L_tetramino Glitter Brooch,L-11/Adorned Brooch,L-12/Shifted Adorned Brooch,L-13,L-13M,L-13M,L-14/Centre Castle Tower,L-14/Centre Castle Tower,L-15/TKI Castle Tower,L-15/TKI Castle Tower,L-16,L-17,L-17,L-18/Shifted Castle Tower,L-19/Stooge,L-20/Shifted Stooge,L-21/Stooge,L-21/Stooge,L-22,L-23/Hold O_tetramino Snail,L-24/Hold O_tetramino Shifted Snail,L-25,L-25,L-25M,L-26,L-27,L-28,L-29/Stooge Tower,L-30/Fintech,L-31/Shifted Fintech,L-31M/Shifted Fintech,L-32,L-33,L-34/Orange Butter,L-34/Orange Butter,L-34/Orange Butter,L-35,L-36,L-37,L-37,L-38,L-39/L_tetramino Tower Shifted Glitter Brooch,L-40,L-41,L-41,L-41,L-42,L-43/Fin Bridge,L-43M/Fin Bridge,L-44/Shifted Glitter Brooch,L-45/L_tetramino Tower Glitter Brooch,L-46,L-47,L-47,L-48,L-48,L-49,L-49M,L-49,L-49,L-49,L-50,L-51,L-52,L-53/JOL Iwamispin,L-53/JOL Iwamispin,L-53M/JOL Iwamispin,L-54,L-55
score,5161.8849206349205,5102.400793650793,5102.400793650793,5102.400793650793,4983.392857142857,4974.087301587301,4974.087301587301,4965.873015873016,4964.523809523809,4964.523809523809,4952.460317460317,4947.380952380952,4931.091269841269,4931.091269841269,4894.523809523809,4894.523809523809,4894.523809523809,4845.337301587301,4845.337301587301,4845.337301587301,4845.337301587301,4825.079365079365,4810.992063492064,4810.992063492064,4808.630952380952,4808.1349206349205,4780.238095238095,4771.686507936508,4771.686507936508,4751.825396825398,4734.3452380952385,4728.908730158731,4706.09126984127,4706.09126984127,4706.09126984127,4671.805555555556,4670.93253968254,4668.710317460317,4661.0317460317465,4654.603174603175,4638.888888888889,4638.888888888889,4611.210317460317,4600.972222222223,4597.956349206349,4597.956349206349,4597.956349206349,4590.31746031746,4574.444444444444,4568.253968253968,4568.253968253968,4563.9682539682535,4563.809523809524,4563.194444444444,4540.6547619047615,4540.6547619047615,4540.6547619047615,4540.1984126984125,4526.8849206349205,4526.8849206349205,4522.162698412699,4520.119047619048,4517.976190476191,4517.619047619048,4517.619047619048,4517.619047619048,4517.619047619048,4516.309523809524,4516.309523809524,4516.309523809524,4516.309523809524,4516.309523809524,4497.380952380952,4497.361111111111,4493.591269841269,4491.0515873015875,4491.0515873015875,4491.0515873015875,4485.694444444444,4471.25
TILJSZO,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILJZSO,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TILJZOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILJOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILSJZO,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TILSJOZ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
