sequence,v115@HhB8HeB8DeB8BeC8DeC8Jex/IvhFmhBCjB/qBToB0r?BFrB,v115@HhB8HeB8DeB8BeC8DeC8Jem/IvhFChBxiB/rBToB0q?BFsB,v115@HhB8HeB8DeB8BeC8DeC8Jem/IvhF8mBCjB3lBToBFm?BRwB,v115@HhB8HeB8DeB8BeC8DeC8Jex/IvhFymBTlBFoBGoB0r?BXrB,v115@HhB8HeB8DeB8BeC8DeC8Jex/IvhFymBTlBFoBGoBXr?B0rB,v115@HhB8HeB8DeB8BeC8DeC8Jex/IvhF/mBGjBTlBUoBVw?BasB,v115@HhB8HeB8DeB8BeC8DeC8Jex/IvhFlhBziB+oB/qBUm?BywB,v115@HhB8HeB8DeB8BeC8DeC8Jex/IvhFzhBfoB6oB2qB1w?B8qB,v115@HhB8HeB8DeB8BeC8DeC8Jex/IvhFVmBGjB/qBUoBTr?BasB,v115@HhB8HeB8DeB8BeC8DeC8Jex/IvhFylB3mBFoBGoB0q?BzrB,v115@HhB8HeB8DeB8BeC8DeC8JeFBJvhF6qBcrBxnBmkBTo?BXsB,v115@HhB8HeB8DeB8BeC8DeC8Je3AJvhFCiB8qBxnBmkBTo?B1wB
TILJSZO,O,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,O,X,X,X,X,X,X,X,X,X,X,X
TILJZSO,O,X,X,X,X,X,X,X,X,X,X,O
TILJZOS,O,X,X,X,X,X,X,X,X,X,X,X
TILJOSZ,O,X,X,X,X,X,X,X,X,X,X,X
TILJOZS,O,X,X,X,X,X,X,X,X,X,X,X
TILSJZO,O,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,O,X,X,X,X,X,X,X,X,X,X,X
TILSZJO,O,X,X,X,X,X,X,X,X,X,X,O
TILSZOJ,X,X,X,X,X,X,X,X,X,X,X,O
TILSOJZ,X,X,X,X,O,X,X,X,X,X,X,X
TILSOZJ,X,X,X,X,O,X,X,X,X,X,X,X
TILZJSO,O,X,X,X,X,X,X,X,X,X,O,O
TILZJOS,O,X,X,X,X,X,X,X,X,X,O,X
TILZSJO,X,X,X,X,X,X,X,X,X,O,O,O
TILZSOJ,X,X,X,X,X,X,X,X,X,O,O,O
TILZOJS,X,X,X,O,X,X,X,X,X,X,O,X
TILZOSJ,X,X,X,O,X,X,X,X,X,X,O,O
TILOJSZ,X,X,X,O,O,X,X,X,X,X,X,X
TILOJZS,X,X,X,O,O,X,X,X,X,X,X,X
TILOSJZ,X,X,X,O,O,X,X,X,X,X,X,X
TILOSZJ,X,X,X,O,O,X,X,X,X,X,X,X
TILOZJS,X,X,X,O,O,X,X,X,X,X,X,X
TILOZSJ,X,X,X,O,O,X,X,X,X,X,X,O
TIJLSZO,O,X,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,O,X,X,X,X,X,X,X,X,X,X,X
TIJLZSO,O,X,X,X,X,X,X,X,X,X,X,O
TIJLZOS,O,X,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,O,X,X,X,X,X,X,X,X,X,X,X
TIJLOZS,O,X,X,X,X,X,X,X,X,X,X,X
TIJSLZO,X,X,X,X,X,X,X,O,X,X,X,X
TIJSLOZ,X,X,X,X,X,X,X,O,X,X,X,X
TIJSZLO,X,X,X,X,X,X,O,X,X,X,X,X
TIJSZOL,X,X,X,X,X,X,O,X,X,X,X,X
TIJSOLZ,X,X,X,X,X,X,X,O,X,X,X,X
TIJSOZL,X,X,X,X,X,X,O,X,X,X,X,X
TIJZLSO,X,X,X,X,X,X,X,X,X,X,X,O
TIJZLOS,X,X,X,X,X,X,X,X,X,X,X,X
TIJZSLO,X,X,X,X,X,X,X,X,X,O,X,O
TIJZSOL,X,X,X,X,X,X,X,X,X,X,X,X
TIJZOLS,X,X,X,X,X,X,X,X,X,X,X,X
TIJZOSL,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,O,X,X,O,O,X,X,X,X,X,X,X
TIJOLZS,O,X,X,O,O,X,X,X,X,X,X,X
TIJOSLZ,X,X,X,X,O,X,X,O,X,X,X,X
TIJOSZL,X,X,X,X,X,X,O,X,X,X,X,X
TIJOZLS,X,X,X,O,X,X,X,X,X,X,X,X
TIJOZSL,X,X,X,X,X,X,X,X,X,X,X,X
TISLJZO,O,X,X,X,X,X,X,O,X,X,X,X
TISLJOZ,O,X,X,X,X,X,X,O,X,X,X,X
TISLZJO,O,X,X,X,X,X,X,X,X,X,X,O
TISLZOJ,X,X,X,X,X,X,X,X,X,X,X,O
TISLOJZ,X,X,X,X,O,X,X,O,X,X,X,X
TISLOZJ,X,X,X,X,O,X,X,X,X,X,X,X
TISJLZO,O,X,X,X,X,X,X,O,X,X,X,X
TISJLOZ,O,X,X,X,X,X,X,O,X,X,X,X
TISJZLO,X,X,X,X,X,X,O,X,X,X,X,X
TISJZOL,X,X,X,X,X,X,O,X,X,X,X,X
TISJOLZ,O,X,X,X,X,X,X,O,X,X,X,X
TISJOZL,X,X,X,X,X,X,O,X,X,X,X,X
TISZLJO,O,X,X,X,X,X,O,X,X,O,X,O
TISZLOJ,X,X,X,X,X,X,X,X,X,O,X,O
TISZJLO,O,X,X,X,X,X,O,X,X,O,X,O
TISZJOL,O,X,X,X,X,O,O,X,O,X,X,X
TISZOLJ,O,X,X,X,X,O,X,X,O,O,X,O
TISZOJL,O,X,X,X,X,O,O,X,O,X,X,X
TISOLJZ,O,X,X,O,O,X,X,O,X,X,X,X
TISOLZJ,O,X,X,O,O,O,X,X,O,X,X,X
TISOJLZ,O,X,X,X,O,X,X,O,X,X,X,X
TISOJZL,X,X,X,X,X,O,X,X,O,X,X,X
TISOZLJ,O,X,X,O,O,O,X,X,O,X,X,X
TISOZJL,O,X,X,X,X,O,X,X,O,X,X,X
TIZLJSO,O,X,X,X,X,X,X,X,X,X,O,O
TIZLJOS,O,X,X,X,X,X,X,X,X,X,O,X
TIZLSJO,X,X,X,X,X,X,X,X,X,O,O,O
TIZLSOJ,X,X,X,X,X,X,X,X,X,O,O,O
TIZLOJS,X,X,X,O,X,X,X,X,X,X,O,X
TIZLOSJ,X,X,X,O,X,X,X,X,X,X,O,O
TIZJLSO,O,X,X,X,X,X,X,X,X,X,X,O
TIZJLOS,O,X,X,X,X,X,X,X,X,X,X,X
TIZJSLO,X,X,X,X,X,X,X,X,X,O,X,O
TIZJSOL,X,X,X,X,X,O,X,X,O,X,X,X
TIZJOLS,O,X,X,X,X,O,X,X,X,X,X,X
TIZJOSL,X,X,X,X,X,O,X,X,X,X,X,X
TIZSLJO,X,X,X,X,X,X,X,X,X,O,X,O
TIZSLOJ,X,X,X,X,X,X,X,X,X,O,X,O
TIZSJLO,X,X,X,X,X,X,X,X,X,O,X,O
TIZSJOL,X,X,X,X,X,O,X,X,O,X,X,X
TIZSOLJ,X,X,X,X,X,O,X,X,O,O,X,O
TIZSOJL,X,X,X,X,X,O,X,X,O,X,X,X
TIZOLJS,O,X,X,O,O,O,X,X,X,X,X,X
TIZOLSJ,X,X,X,O,O,O,X,X,X,X,X,O
TIZOJLS,O,X,X,O,X,O,X,X,X,X,X,X
TIZOJSL,X,X,X,X,X,O,X,X,X,X,X,X
TIZOSLJ,X,X,X,O,O,O,X,X,X,O,X,O
TIZOSJL,X,X,X,X,X,O,X,X,X,X,X,X
TIOLJSZ,O,X,X,O,O,X,X,X,X,X,X,X
TIOLJZS,O,X,X,O,O,X,X,X,X,X,X,X
TIOLSJZ,O,X,X,O,O,X,X,X,X,X,X,X
TIOLSZJ,O,X,X,O,O,O,X,X,X,X,X,X
