sequence,v115@EhB8IeA8HeB8AeE8BeB8KeOEJvhFXgBThBNnB5oBSq?B0rB,v115@EhB8IeA8HeB8AeE8BeB8Kei/IvhF+lBThBNnB5oB3k?B0rB,v115@EhB8IeA8HeB8AeE8BeB8KeKEJvhFzfBGhBNnB5oB3l?B0rB,v115@EhB8IeA8HeB8AeE8BeB8KeOEJvhFXgBNmBUiB5oBSq?BzrB,v115@EhB8IeA8HeB8AeE8BeB8Kei/IvhF+lBNmBUiB5oB3k?BzrB,v115@EhB8IeA8HeB8AeE8BeB8Kei/IvhF+lBNnB5oB3kBTm?B0rB,v115@EhB8IeA8HeB8AeE8BeB8Kem/IvhFSmBNnB5oBTkB3l?B0rB
TILJSZO,O,O,O,O,O,O,X
TILJSOZ,O,O,O,O,O,O,X
TILJZSO,O,O,X,O,O,X,X
TILJZOS,O,O,X,O,X,X,X
TILJOSZ,O,X,O,O,X,O,X
TILJOZS,O,X,X,O,X,X,X
TILSJZO,O,O,O,O,X,O,X
TILSJOZ,O,O,O,O,X,O,X
TILSZJO,O,O,O,O,X,O,X
TILSZOJ,O,X,O,O,X,O,X
TILSOJZ,O,O,O,O,X,O,X
TILSOZJ,O,X,O,O,X,O,X
TILZJSO,O,X,O,O,O,X,X
TILZJOS,O,X,O,O,X,X,X
TILZSJO,O,X,O,O,X,X,X
TILZSOJ,O,X,O,O,X,X,X
TILZOJS,O,X,O,O,X,X,X
TILZOSJ,O,X,O,O,X,X,X
TILOJSZ,O,X,O,O,X,O,X
TILOJZS,O,X,X,O,X,X,X
TILOSJZ,O,X,O,O,X,O,X
TILOSZJ,O,X,O,O,X,O,X
TILOZJS,O,X,O,O,X,X,X
TILOZSJ,O,X,O,O,X,X,X
TIJLSZO,O,O,O,O,O,O,X
TIJLSOZ,O,O,O,O,O,O,X
TIJLZSO,O,O,X,O,O,X,X
TIJLZOS,O,O,X,O,X,X,X
TIJLOSZ,O,X,O,O,X,O,X
TIJLOZS,O,X,X,O,X,X,X
TIJSLZO,O,O,O,O,O,O,X
TIJSLOZ,O,O,O,O,O,O,X
TIJSZLO,X,O,O,O,O,O,X
TIJSZOL,X,O,X,X,O,O,X
TIJSOLZ,X,O,O,X,O,O,X
TIJSOZL,X,O,X,X,O,O,X
TIJZLSO,O,O,X,O,O,X,X
TIJZLOS,O,O,X,O,X,X,X
TIJZSLO,O,O,X,O,O,O,X
TIJZSOL,O,O,X,X,O,O,X
TIJZOLS,O,O,X,O,X,X,X
TIJZOSL,O,O,X,X,O,O,X
TIJOLSZ,O,X,X,O,O,O,X
TIJOLZS,O,X,X,O,O,X,X
TIJOSLZ,X,O,X,O,O,O,X
TIJOSZL,X,O,X,O,O,O,X
TIJOZLS,X,O,X,O,O,X,X
TIJOZSL,X,O,X,O,O,O,X
TISLJZO,O,O,O,O,O,O,X
TISLJOZ,O,O,O,O,O,O,X
TISLZJO,O,O,O,O,X,O,X
TISLZOJ,O,O,O,O,X,O,X
TISLOJZ,O,O,O,O,O,O,X
TISLOZJ,O,X,O,O,X,O,X
TISJLZO,O,O,O,O,O,O,X
