sequence,v115@LhB8DeA8CeC8CeB8BeC8BeA8Jei/IvhFRhB9nBTjBG?lBUqBXtB,v115@LhB8DeA8CeC8CeB8BeC8BeA8Je/EJvhFUgBRhB9nB6?oBetBTqB,v115@LhB8DeA8CeC8CeB8BeC8BeA8Jei/IvhFRhB3iB9oBG?lBUqBzsB,v115@LhB8DeA8CeC8CeB8BeC8BeA8Je/EJvhFUgBRhBGjB6?sBNtBTqB,v115@LhB8DeA8CeC8CeB8BeC8BeA8Je2EJvhFRhB9nBTjBS?qBXtBUqB,v115@LhB8DeA8CeC8CeB8BeC8BeA8JeT/IvhF/lBRhBGjB6?sBNtBUqB,v115@LhB8DeA8CeC8CeB8BeC8BeA8JeRBJvhF9nBTjB0kB6?qBXtBmpB,v115@LhB8DeA8CeC8CeB8BeC8BeA8JeyEJvhFRhB9nBTjB+?qB0kBXtB,v115@LhB8DeA8CeC8CeB8BeC8BeA8Jei/IvhFRhB9nBGlBT?oBUqBXtB,v115@LhB8DeA8CeC8CeB8BeC8BeA8Je/EJvhFalBRhB9oB+?qB0nBzsB,v115@LhB8DeA8CeC8CeB8BeC8BeA8JeT/IvhFRhB3iBGqBC?tBNqBctB
TILJSZO,X,O,O,O,O,X,O,O,X,O,O
TILJSOZ,O,O,X,O,O,X,O,O,X,O,O
TILJZSO,X,O,X,O,O,O,O,O,X,O,O
TILJZOS,X,O,X,O,X,O,X,X,X,X,O
TILJOSZ,X,O,X,O,O,X,X,O,X,X,O
TILJOZS,X,O,X,O,X,O,X,X,X,X,O
TILSJZO,X,O,O,O,O,X,O,O,X,X,X
TILSJOZ,O,O,X,O,O,X,O,O,X,X,X
TILSZJO,O,O,O,O,O,X,O,X,X,X,X
TILSZOJ,O,X,O,O,O,X,O,X,X,X,X
TILSOJZ,O,X,X,O,O,X,O,O,X,X,X
TILSOZJ,O,X,O,O,O,X,O,X,X,X,X
TILZJSO,O,X,O,O,O,O,O,X,O,O,X
TILZJOS,O,X,O,O,X,O,X,X,O,X,X
TILZSJO,O,X,O,O,O,O,O,X,X,X,X
TILZSOJ,O,X,O,O,O,O,O,X,X,X,X
TILZOJS,X,X,X,O,X,O,X,X,O,X,X
TILZOSJ,O,X,O,O,X,O,O,X,X,X,X
TILOJSZ,X,O,O,O,O,X,X,X,X,X,X
TILOJZS,X,O,X,O,X,O,X,X,X,X,X
TILOSJZ,O,O,O,O,O,X,O,X,X,X,X
TILOSZJ,O,O,O,O,O,X,O,X,X,X,X
TILOZJS,X,X,X,O,X,O,X,X,O,X,X
TILOZSJ,X,X,O,O,X,O,O,X,X,X,X
TIJLSZO,X,O,O,O,O,X,O,O,X,O,O
TIJLSOZ,O,O,X,X,O,X,O,O,X,O,O
TIJLZSO,X,O,X,X,O,X,O,O,X,O,O
TIJLZOS,X,O,X,X,X,X,X,X,X,X,O
TIJLOSZ,X,O,X,O,O,X,X,O,X,X,O
TIJLOZS,X,O,X,X,X,X,X,X,X,X,O
TIJSLZO,X,O,O,O,O,X,O,O,X,O,X
TIJSLOZ,O,O,X,X,O,X,O,O,X,O,X
TIJSZLO,O,O,O,O,X,X,X,O,X,O,X
TIJSZOL,O,O,O,O,X,X,X,O,X,O,X
TIJSOLZ,O,O,X,O,O,X,O,O,X,O,X
TIJSOZL,O,O,X,O,X,X,X,O,X,O,X
TIJZLSO,O,O,O,X,X,X,X,O,O,O,X
