sequence,v115@GhA8HeB8EeA8BeB8AeA8CeE8JeZEJvhFXhBliBzkBU?nBGlByvB,v115@GhA8HeB8EeA8BeB8AeA8CeE8JeZEJvhFUgBFhBfqBG?nBinBzqB,v115@GhA8HeB8EeA8BeB8AeA8CeE8JeZEJvhFzfBFhBfrBG?nBinBUqB,v115@GhA8HeB8EeA8BeB8AeA8CeE8JeZEJvhFqkBTgBliBU?nB3qBOrB,v115@GhA8HeB8EeA8BeB8AeA8CeE8JeUBJvhFRiBOpBKqBf?rBTsBlpB,v115@GhA8HeB8EeA8BeB8AeA8CeE8JeZEJvhFVmBanBunBz?kBfrBUqB,v115@GhA8HeB8EeA8BeB8AeA8CeE8Jex/IvhFXhBliBUnBm?pBzqBipB,v115@GhA8HeB8EeA8BeB8AeA8CeE8Je3CJvhFOpBxlBlkBU?nBiqBzqB,v115@GhA8HeB8EeA8BeB8AeA8CeE8JeRCJvhF3kBFmBTnB0?qBOpBiqB,v115@GhA8HeB8EeA8BeB8AeA8CeE8JeUBJvhFRiB1pBfrBT?nBOpBKqB,v115@GhA8HeB8EeA8BeB8AeA8CeE8Je2EJvhFVmBRiBTnBf?rBipBUqB,v115@GhA8HeB8EeA8BeB8AeA8CeE8JeUCJvhFOpBxlBlkB3?nBiqBzqB
TILJSZO,X,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,O,X,X,X,X,X,X
TILJZSO,X,X,X,X,X,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,O,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,O,X,X,X,X,O,X
TILJOZS,X,X,X,X,X,O,X,X,X,X,O,X
TILSJZO,X,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,X,X,X,X,X,O,X,X,X,X,X,X
TILSZJO,O,X,X,O,X,X,X,X,X,X,X,X
TILSZOJ,O,X,X,O,X,X,X,X,X,X,X,X
TILSOJZ,X,X,X,X,X,O,X,X,X,X,X,X
TILSOZJ,O,X,X,O,X,X,X,X,X,X,X,X
TILZJSO,O,X,X,O,X,X,X,X,X,X,X,X
TILZJOS,O,X,X,X,X,O,X,X,X,X,X,X
TILZSJO,O,X,X,O,X,X,X,X,X,X,X,X
TILZSOJ,O,X,X,O,X,X,X,X,X,X,X,X
TILZOJS,O,X,X,X,X,O,X,X,X,X,X,X
TILZOSJ,O,X,X,O,X,X,X,X,X,X,X,X
TILOJSZ,X,X,X,X,X,O,X,X,X,X,O,X
TILOJZS,X,X,X,X,X,O,X,X,X,X,O,X
TILOSJZ,X,X,X,X,X,O,X,X,X,X,O,X
TILOSZJ,O,X,X,X,X,X,X,X,X,X,X,X
TILOZJS,O,X,X,X,X,O,X,X,X,X,O,X
TILOZSJ,O,X,X,X,X,X,X,X,X,X,X,X
TIJLSZO,X,O,O,X,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,O,X,X,X,X,X,X
TIJLZSO,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZOS,X,X,X,X,X,O,X,X,X,X,X,X
TIJLOSZ,X,O,X,X,X,O,X,X,X,X,X,X
TIJLOZS,X,X,X,X,X,O,X,X,X,X,X,X
TIJSLZO,X,O,O,X,X,X,X,O,X,X,X,X
TIJSLOZ,X,X,X,X,X,O,X,O,X,X,X,X
TIJSZLO,X,O,O,X,X,X,X,O,X,X,X,X
TIJSZOL,X,O,O,X,X,X,X,O,X,X,X,X
TIJSOLZ,X,O,X,X,X,O,X,O,X,X,X,X
TIJSOZL,X,O,O,X,X,X,X,O,X,X,X,X
TIJZLSO,X,X,X,X,X,X,X,X,X,X,X,O
TIJZLOS,X,X,X,X,X,O,X,X,X,X,X,O
TIJZSLO,X,O,O,X,X,X,X,X,X,X,X,O
TIJZSOL,X,O,O,X,X,X,X,X,X,X,X,O
TIJZOLS,X,X,X,X,X,O,X,X,X,X,X,O
TIJZOSL,X,O,O,X,X,X,X,X,X,X,X,O
TIJOLSZ,X,O,X,X,X,O,X,X,X,X,X,X
TIJOLZS,X,X,X,X,X,O,X,X,X,X,X,X
TIJOSLZ,X,O,X,X,X,O,O,X,X,X,X,X
TIJOSZL,X,O,O,X,X,X,O,X,X,X,X,X
TIJOZLS,X,X,X,X,X,O,X,X,X,X,X,X
TIJOZSL,X,O,X,X,X,X,X,X,X,X,X,X
TISLJZO,X,X,O,X,X,X,X,X,X,X,X,X
TISLJOZ,X,X,X,X,X,O,X,X,X,X,X,X
TISLZJO,X,X,O,O,X,X,X,X,X,X,X,X
TISLZOJ,X,X,O,O,X,X,X,X,X,X,X,X
TISLOJZ,X,X,X,X,X,O,X,X,X,X,X,X
TISLOZJ,X,X,X,O,X,X,X,X,X,X,X,X
TISJLZO,X,O,O,X,X,X,X,O,X,X,X,X
TISJLOZ,X,X,X,X,X,O,X,O,X,X,X,X
TISJZLO,X,O,O,X,X,X,X,O,X,X,X,X
TISJZOL,X,O,O,X,X,X,X,O,X,X,X,X
TISJOLZ,X,O,X,X,X,O,X,O,X,X,X,X
TISJOZL,X,O,O,X,X,X,X,O,X,X,X,X
TISZLJO,X,O,O,O,X,X,X,X,X,X,X,X
TISZLOJ,X,X,O,O,X,X,X,X,X,X,X,X
TISZJLO,X,O,O,O,X,X,X,X,X,X,X,X
TISZJOL,X,O,O,X,X,X,X,X,X,X,X,X
TISZOLJ,X,X,O,O,X,X,X,X,X,O,X,X
TISZOJL,X,O,O,X,X,X,X,X,X,O,X,X
TISOLJZ,X,O,X,X,X,O,X,X,X,O,X,X
TISOLZJ,X,O,X,X,X,X,X,X,X,O,X,X
TISOJLZ,X,O,X,X,X,O,X,X,X,O,X,X
TISOJZL,X,O,O,X,X,X,X,X,X,O,X,X
TISOZLJ,X,O,O,X,X,X,X,X,X,O,X,X
TISOZJL,X,O,O,X,X,X,X,X,X,O,X,X
TIZLJSO,O,X,X,O,X,X,X,X,X,X,X,X
TIZLJOS,O,X,X,X,X,O,X,X,X,X,X,X
TIZLSJO,O,X,X,O,X,X,X,X,X,X,X,X
TIZLSOJ,O,X,X,O,X,X,X,X,X,X,X,X
TIZLOJS,O,X,X,X,X,O,X,X,X,X,X,X
TIZLOSJ,O,X,X,O,X,X,X,X,X,X,X,X
TIZJLSO,O,X,X,O,X,X,X,X,X,X,X,O
TIZJLOS,O,X,X,X,X,O,X,X,X,X,X,O
TIZJSLO,O,X,O,O,X,X,X,X,X,X,X,O
TIZJSOL,O,X,O,X,X,X,X,X,X,X,X,O
TIZJOLS,O,X,X,X,X,O,X,X,X,X,X,O
TIZJOSL,O,X,O,X,X,X,X,X,X,X,X,O
TIZSLJO,O,X,O,O,X,X,X,X,X,X,X,X
TIZSLOJ,O,X,O,O,X,X,X,X,X,X,X,X
TIZSJLO,O,X,O,O,X,X,X,X,X,X,X,X
TIZSJOL,O,X,O,X,X,X,X,X,X,X,X,X
TIZSOLJ,O,X,O,O,X,X,X,X,O,X,X,X
TIZSOJL,O,X,O,X,X,X,X,X,O,X,X,X
TIZOLJS,O,X,X,X,X,O,X,X,X,X,X,X
TIZOLSJ,O,X,X,O,X,X,X,X,O,X,X,X
TIZOJLS,O,X,X,X,X,O,X,X,X,X,X,X
TIZOJSL,O,X,O,X,X,X,X,X,O,X,X,X
TIZOSLJ,O,X,O,O,X,X,X,X,O,X,X,X
TIZOSJL,O,X,O,X,X,X,X,X,O,X,X,X
TIOLJSZ,X,O,X,X,X,O,X,X,X,X,O,X
TIOLJZS,X,X,X,X,X,O,X,X,X,X,O,X
TIOLSJZ,X,O,X,X,X,O,X,X,X,O,O,X
TIOLSZJ,O,O,X,X,X,X,X,X,X,O,X,X
TIOLZJS,O,X,X,X,X,O,X,X,X,X,O,X
TIOLZSJ,O,X,X,X,X,X,X,X,O,X,X,X
TIOJLSZ,X,O,X,X,X,O,X,X,X,X,O,X
TIOJLZS,X,X,X,X,X,O,X,X,X,X,O,X
TIOJSLZ,X,O,X,X,X,O,O,X,X,O,X,X
TIOJSZL,X,O,X,X,X,X,O,X,X,O,X,X
TIOJZLS,X,X,X,X,X,O,X,X,X,X,X,X
TIOJZSL,X,O,X,X,X,X,X,X,O,X,X,X
TIOSLJZ,X,O,X,X,X,O,O,X,X,O,O,X
TIOSLZJ,X,O,X,X,X,X,O,X,X,O,X,X
