sequence,v115@HhA8IeB8FeD8CeE8Jel/IvhFRhB+nBTjB3mB0qBiqB,v115@HhA8IeB8FeD8CeE8Jel/IvhF6nBTjBmmBxqBcqBXrB,v115@HhA8IeB8FeD8CeE8Jel/IvhF3gBGiBTjBUnBxqByvB,v115@HhA8IeB8FeD8CeE8Jex/IvhFTjBUlBFmBXnBGnByvB,v115@HhA8IeB8FeD8CeE8Jex/IvhF8lBTjBaqBFnBGnBXrB
TLOSJZI,X,X,X,X,O
TLOSZIJ,X,X,X,X,O
TLOSZJI,X,X,X,X,O
TLOZIJS,X,O,O,X,X
TLOZISJ,X,X,O,X,X
TLOZJIS,X,O,O,X,X
TLOZJSI,O,X,X,X,X
TLOZSIJ,X,X,X,X,O
TLOZSJI,X,X,X,X,O
TJILSZO,X,O,X,X,X
TJILSOZ,X,O,X,X,X
TJILZSO,X,O,X,X,X
TJILZOS,X,O,X,X,X
TJILOSZ,X,O,X,X,X
TJILOZS,X,O,X,X,X
TJISLZO,X,O,X,X,X
TJISLOZ,O,O,X,X,X
TJISZLO,O,X,O,X,X
TJISZOL,O,X,O,X,X
TJISOLZ,O,O,X,X,X
TJISOZL,O,X,O,X,X
TJIZLSO,X,O,O,X,X
TJIZLOS,X,O,O,X,X
TJIZSLO,O,X,O,X,X
TJIZSOL,O,X,O,X,X
TJIZOLS,X,O,O,X,X
TJIZOSL,O,X,O,X,X
TJIOLSZ,X,O,X,X,X
TJIOLZS,X,O,X,X,X
TJIOSLZ,O,O,X,X,X
TJIOSZL,O,X,O,X,X
TJIOZLS,X,O,O,X,X
TJIOZSL,O,X,O,X,X
TJLISZO,X,O,X,X,X
TJLISOZ,X,O,X,X,X
TJLIZSO,X,O,X,X,X
TJLIZOS,X,O,X,X,X
TJLIOSZ,X,O,X,X,X
TJLIOZS,X,O,X,X,X
TJLSIZO,X,O,X,X,X
TJLSIOZ,O,O,X,X,X
TJLSZIO,O,X,X,X,O
TJLSZOI,O,X,X,X,O
TJLSOIZ,O,O,X,X,X
TJLSOZI,O,X,X,X,O
TJLZISO,X,O,X,X,X
TJLZIOS,X,O,X,X,X
TJLZSIO,O,X,X,X,X
