sequence,v115@QhA8FeE8CeF8Jex/IvhF/mBUiBFjBTkB2qBSvB,v115@QhA8FeE8CeF8Jei/IvhF3gBUiBFjBTmBxpBWvB,v115@QhA8FeE8CeF8Jex/IvhFFiBXjBTkBeqBSrB8qB,v115@QhA8FeE8CeF8JeKEJvhFRgBUiBFjBTmBXqBGqB,v115@QhA8FeE8CeF8JeKEJvhFUhBFiBXjBxqBupBTqB,v115@QhA8FeE8CeF8Jex/IvhFFiBXjB2pBSrB8qBzpB,v115@QhA8FeE8CeF8JeT/IvhFXjB2qBRmBCnB0pBlqB,v115@QhA8FeE8CeF8JeT/IvhFRhBFjBmlBCnB/qB0pB
TZISOLJ,O,O,X,X,O,X,X,X
TZISOJL,O,X,X,X,X,X,O,X
TZIOLJS,X,O,X,O,O,X,X,O
TZIOLSJ,X,O,X,O,O,X,X,X
TZIOJLS,X,O,X,X,X,X,X,O
TZIOJSL,X,O,X,X,X,X,O,X
TZIOSLJ,O,O,X,O,O,X,X,X
TZIOSJL,O,O,X,X,X,X,O,X
TZLIJSO,X,O,X,X,O,X,X,X
TZLIJOS,X,X,X,X,O,X,X,O
TZLISJO,X,O,X,X,O,X,X,X
TZLISOJ,X,O,X,X,O,X,X,X
TZLIOJS,X,X,X,O,O,X,X,O
TZLIOSJ,X,O,X,O,O,X,X,X
TZLJISO,X,X,X,X,X,O,X,X
TZLJIOS,X,X,X,X,X,O,X,O
TZLJSIO,X,X,X,X,X,O,X,X
TZLJSOI,X,X,O,X,X,O,X,O
TZLJOIS,X,X,O,O,X,O,X,O
TZLJOSI,X,X,O,O,X,O,X,O
TZLSIJO,X,X,X,X,O,X,X,X
TZLSIOJ,X,X,X,X,O,X,X,X
TZLSJIO,O,X,X,X,X,O,X,X
TZLSJOI,O,X,O,X,X,O,X,O
TZLSOIJ,O,X,X,O,X,X,X,X
TZLSOJI,O,X,O,O,X,X,X,O
TZLOIJS,X,O,X,O,X,X,X,O
TZLOISJ,X,O,X,O,X,X,X,X
TZLOJIS,X,X,O,O,X,X,X,O
TZLOJSI,X,X,O,O,X,X,X,O
TZLOSIJ,O,O,X,O,X,X,X,X
TZLOSJI,O,O,O,O,X,X,X,O
TZJILSO,X,O,X,X,X,X,X,X
TZJILOS,X,X,X,X,X,X,X,O
TZJISLO,O,O,X,X,X,X,X,X
TZJISOL,O,X,X,X,X,X,O,X
TZJIOLS,X,X,X,X,X,X,X,O
TZJIOSL,X,X,X,X,X,X,O,X
TZJLISO,X,X,X,X,X,O,X,X
TZJLIOS,X,X,X,X,X,O,X,O
TZJLSIO,X,X,X,X,X,O,X,X
TZJLSOI,X,X,O,X,X,O,X,O
TZJLOIS,X,X,O,O,X,O,X,O
TZJLOSI,X,X,O,O,X,O,X,O
TZJSILO,O,X,X,X,X,X,X,X
TZJSIOL,O,X,X,X,X,X,O,X
TZJSLIO,O,X,X,X,X,O,X,X
TZJSLOI,O,X,O,X,X,O,X,O
TZJSOIL,O,X,X,X,X,X,O,X
TZJSOLI,O,X,O,X,X,X,X,O
TZJOILS,X,O,X,X,X,X,X,O
TZJOISL,O,O,X,X,X,X,O,X
TZJOLIS,X,X,O,O,X,X,X,O
TZJOLSI,X,X,O,O,X,X,X,O
TZJOSIL,O,O,X,X,X,X,O,X
TZJOSLI,O,O,O,O,X,X,X,O
TZSILJO,X,O,X,X,O,X,X,X
TZSILOJ,X,O,X,X,O,X,X,X
TZSIJLO,O,O,X,X,O,X,X,X
TZSIJOL,O,X,X,X,X,X,O,X
TZSIOLJ,O,O,X,X,O,X,X,X
TZSIOJL,O,X,X,X,X,X,O,X
TZSLIJO,X,X,X,X,O,X,X,X
TZSLIOJ,X,X,X,X,O,X,X,X
TZSLJIO,O,X,X,X,X,O,X,X
TZSLJOI,O,X,O,X,X,O,X,O
TZSLOIJ,O,X,X,O,X,X,X,X
TZSLOJI,O,X,O,O,X,X,X,O
TZSJILO,O,X,X,X,X,X,X,X
TZSJIOL,O,X,X,X,X,X,O,X
TZSJLIO,O,X,X,X,X,O,X,X
TZSJLOI,O,X,O,X,X,O,X,O
TZSJOIL,O,X,X,X,X,X,O,X
TZSJOLI,O,X,O,X,X,X,X,O
TZSOILJ,O,O,X,O,X,X,X,X
TZSOIJL,O,O,X,X,X,X,O,X
TZSOLIJ,O,O,X,O,X,X,X,X
TZSOLJI,O,O,O,O,X,X,X,O
TZSOJIL,O,O,X,X,X,X,O,X
TZSOJLI,O,O,O,O,X,X,X,O
TZOILJS,X,O,X,O,X,X,X,O
TZOILSJ,X,O,X,O,X,X,X,X
TZOIJLS,X,O,X,X,X,X,X,O
TZOIJSL,O,O,X,X,X,X,O,X
TZOISLJ,O,O,X,O,X,X,X,X
TZOISJL,O,O,X,X,X,X,O,X
TZOLIJS,X,O,X,O,X,X,X,O
TZOLISJ,X,O,X,O,X,X,X,X
TZOLJIS,X,X,O,O,X,X,X,O
TZOLJSI,X,X,O,O,X,X,X,O
TZOLSIJ,O,O,X,O,X,X,X,X
TZOLSJI,O,O,O,O,X,X,X,O
TZOJILS,X,O,X,X,X,X,X,O
TZOJISL,O,O,X,X,X,X,O,X
TZOJLIS,X,X,O,O,X,X,X,O
TZOJLSI,X,X,O,O,X,X,X,O
TZOJSIL,O,O,X,X,X,X,O,X
TZOJSLI,O,O,O,O,X,X,X,O
TZOSILJ,O,O,X,O,X,X,X,X
TZOSIJL,O,O,X,X,X,X,O,X
TZOSLIJ,O,O,X,O,X,X,X,X
TZOSLJI,O,O,O,O,X,X,X,O
TZOSJIL,O,O,X,X,X,X,O,X
TZOSJLI,O,O,O,O,X,X,X,O
TOILJSZ,O,O,O,X,O,X,X,X
TOILJZS,X,O,O,O,O,X,X,X
TOILSJZ,X,O,O,O,O,X,X,X
TOILSZJ,O,O,X,O,O,X,X,X
TOILZJS,X,O,X,O,O,X,X,X
TOILZSJ,X,O,X,O,O,X,X,X
TOIJLSZ,O,O,O,X,X,X,X,X
TOIJLZS,X,O,O,X,X,X,X,X
TOIJSLZ,O,O,O,X,X,X,X,X
TOIJSZL,O,O,X,X,X,X,X,X
TOIJZLS,X,O,X,X,X,X,X,X
TOIJZSL,O,O,X,X,X,X,X,X
TOISLJZ,X,O,O,O,O,X,X,X
TOISLZJ,O,O,X,O,O,X,X,X
TOISJLZ,O,O,O,X,X,X,X,X
TOISJZL,O,O,X,X,X,X,X,X
TOISZLJ,O,O,X,O,O,X,X,X
TOISZJL,O,O,X,X,X,X,X,X
TOIZLJS,X,O,X,O,O,X,X,X
TOIZLSJ,X,O,X,O,O,X,X,X
TOIZJLS,X,O,X,X,X,X,X,X
TOIZJSL,O,O,X,X,X,X,X,X
TOIZSLJ,O,O,X,O,O,X,X,X
TOIZSJL,O,O,X,X,X,X,X,X
TOLIJSZ,O,O,O,X,O,X,X,X
TOLIJZS,X,O,O,O,O,X,X,X
TOLISJZ,X,O,O,O,O,X,X,X
TOLISZJ,O,O,X,O,O,X,X,X
TOLIZJS,X,O,X,O,O,X,X,X
TOLIZSJ,X,O,X,O,O,X,X,X
TOLJISZ,O,X,O,X,X,O,X,X
TOLJIZS,X,X,O,O,X,O,X,X
TOLJSIZ,O,X,O,O,X,O,X,X
TOLJSZI,O,X,O,O,X,O,X,X
TOLJZIS,X,X,O,O,X,O,X,O
TOLJZSI,X,X,O,O,X,O,X,O
TOLSIJZ,X,O,O,O,O,X,X,X
TOLSIZJ,O,O,X,O,O,X,X,X
TOLSJIZ,O,X,O,O,X,O,X,X
TOLSJZI,O,O,O,O,X,O,X,X
TOLSZIJ,O,O,X,O,X,X,X,X
TOLSZJI,O,O,O,O,X,X,X,X
TOLZIJS,X,O,X,O,X,X,X,O
TOLZISJ,X,O,X,O,X,X,X,X
TOLZJIS,X,X,O,O,X,X,X,O
TOLZJSI,X,X,O,O,X,X,X,O
TOLZSIJ,O,O,X,O,X,X,X,X
TOLZSJI,O,O,O,O,X,X,X,O
TOJILSZ,O,O,O,X,X,X,X,X
TOJILZS,X,O,O,X,X,X,X,X
TOJISLZ,O,O,O,X,X,X,X,X
TOJISZL,O,O,X,X,X,X,X,X
TOJIZLS,X,O,X,X,X,X,X,X
TOJIZSL,O,O,X,X,X,X,X,X
TOJLISZ,O,X,O,X,X,O,X,X
TOJLIZS,X,X,O,O,X,O,X,X
TOJLSIZ,O,X,O,O,X,O,X,X
TOJLSZI,O,X,O,O,X,O,X,X
TOJLZIS,X,X,O,O,X,O,X,O
TOJLZSI,X,X,O,O,X,O,X,O
TOJSILZ,O,O,O,X,X,X,X,X
TOJSIZL,O,O,X,X,X,X,X,X
TOJSLIZ,O,X,O,O,X,O,X,X
TOJSLZI,O,O,O,O,X,O,X,X
TOJSZIL,O,O,X,X,X,X,X,X
TOJSZLI,O,O,O,O,X,X,X,X
TOJZILS,X,O,X,X,X,X,X,O
TOJZISL,O,O,X,X,X,X,X,X
TOJZLIS,X,X,O,O,X,X,X,O
TOJZLSI,X,X,O,O,X,X,X,O
TOJZSIL,O,O,X,X,X,X,X,X
TOJZSLI,O,O,O,O,X,X,X,O
TOSILJZ,X,O,O,O,O,X,X,X
TOSILZJ,O,O,X,O,O,X,X,X
TOSIJLZ,O,O,O,X,X,X,X,X
TOSIJZL,O,O,X,X,X,X,X,X
TOSIZLJ,O,O,X,O,O,X,X,X
TOSIZJL,O,O,X,X,X,X,X,X
TOSLIJZ,X,O,O,O,O,X,X,X
TOSLIZJ,O,O,X,O,O,X,X,X
TOSLJIZ,O,X,O,O,X,O,X,X
TOSLJZI,O,O,O,O,X,O,X,X
TOSLZIJ,O,O,X,O,X,X,X,X
TOSLZJI,O,O,O,O,X,X,X,X
TOSJILZ,O,O,O,X,X,X,X,X
TOSJIZL,O,O,X,X,X,X,X,X
TOSJLIZ,O,X,O,O,X,O,X,X
TOSJLZI,O,O,O,O,X,O,X,X
TOSJZIL,O,O,X,X,X,X,X,X
TOSJZLI,O,O,O,O,X,X,X,X
TOSZILJ,O,O,X,O,X,X,X,X
TOSZIJL,O,O,X,X,X,X,X,X
TOSZLIJ,O,O,X,O,X,X,X,X
TOSZLJI,O,O,O,O,X,X,X,X
TOSZJIL,O,O,X,X,X,X,X,X
TOSZJLI,O,O,O,O,X,X,X,X
TOZILJS,X,O,X,O,X,X,X,O
TOZILSJ,X,O,X,O,X,X,X,X
TOZIJLS,X,O,X,X,X,X,X,O
TOZIJSL,O,O,X,X,X,X,X,X
TOZISLJ,O,O,X,O,X,X,X,X
TOZISJL,O,O,X,X,X,X,X,X
TOZLIJS,X,O,X,O,X,X,X,O
TOZLISJ,X,O,X,O,X,X,X,X
TOZLJIS,X,X,O,O,X,X,X,O
TOZLJSI,X,X,O,O,X,X,X,O
TOZLSIJ,O,O,X,O,X,X,X,X
TOZLSJI,O,O,O,O,X,X,X,O
TOZJILS,X,O,X,X,X,X,X,O
TOZJISL,O,O,X,X,X,X,X,X
TOZJLIS,X,X,O,O,X,X,X,O
TOZJLSI,X,X,O,O,X,X,X,O
TOZJSIL,O,O,X,X,X,X,X,X
TOZJSLI,O,O,O,O,X,X,X,O
TOZSILJ,O,O,X,O,X,X,X,X
TOZSIJL,O,O,X,X,X,X,X,X
TOZSLIJ,O,O,X,O,X,X,X,X
TOZSLJI,O,O,O,O,X,X,X,O
TOZSJIL,O,O,X,X,X,X,X,X
TOZSJLI,O,O,O,O,X,X,X,O
ITLJSZO,X,O,X,X,O,O,X,X
ITLJSOZ,X,X,O,X,O,O,X,X
ITLJZSO,X,O,X,X,O,O,X,X
ITLJZOS,X,X,X,X,O,O,X,O
ITLJOSZ,X,O,O,X,O,O,X,X
ITLJOZS,X,O,O,X,O,O,X,X
ITLSJZO,X,O,X,X,O,O,X,X
ITLSJOZ,X,X,O,X,O,O,X,X
ITLSZJO,X,O,X,X,O,X,X,X
ITLSZOJ,X,O,X,X,O,X,X,X
ITLSOJZ,X,O,O,O,O,X,X,X
ITLSOZJ,X,O,X,O,O,X,X,X
ITLZJSO,X,O,X,X,O,X,X,X
ITLZJOS,X,X,X,X,O,X,X,O
ITLZSJO,X,O,X,X,O,X,X,X
ITLZSOJ,X,O,X,X,O,X,X,X
ITLZOJS,X,O,X,O,O,X,X,O
ITLZOSJ,X,O,X,O,O,X,X,X
ITLOJSZ,X,O,O,X,O,X,X,X
ITLOJZS,X,O,O,O,O,X,X,X
ITLOSJZ,X,O,O,O,O,X,X,X
ITLOSZJ,X,O,X,O,O,X,X,X
ITLOZJS,X,O,X,O,O,X,X,X
ITLOZSJ,X,O,X,O,O,X,X,X
ITJLSZO,O,O,X,X,O,O,X,X
ITJLSOZ,X,X,O,X,O,O,X,X
ITJLZSO,X,O,X,X,O,O,X,X
ITJLZOS,X,X,X,X,O,O,X,O
ITJLOSZ,X,O,O,X,O,O,X,X
ITJLOZS,X,O,O,X,O,O,X,X
ITJSLZO,O,O,X,X,O,O,X,X
ITJSLOZ,X,X,O,X,O,O,X,X
ITJSZLO,O,O,X,X,O,X,X,X
ITJSZOL,O,X,X,X,X,X,O,X
ITJSOLZ,O,X,O,X,X,X,X,X
ITJSOZL,O,X,X,X,X,X,X,X
ITJZLSO,X,O,X,X,O,X,X,X
ITJZLOS,X,X,X,X,O,X,X,O
ITJZSLO,O,O,X,X,O,X,X,X
ITJZSOL,O,X,X,X,X,X,O,X
ITJZOLS,X,X,X,X,X,X,X,O
ITJZOSL,X,X,X,X,X,X,O,X
ITJOLSZ,O,O,O,X,X,X,X,X
ITJOLZS,X,O,O,X,X,X,X,X
ITJOSLZ,O,O,O,X,X,X,X,X
ITJOSZL,O,O,X,X,X,X,X,X
ITJOZLS,X,O,X,X,X,X,X,X
ITJOZSL,O,O,X,X,X,X,X,X
ITSLJZO,X,O,X,X,O,O,X,X
ITSLJOZ,X,X,O,X,O,O,X,X
ITSLZJO,X,O,X,X,O,X,X,X
ITSLZOJ,X,O,X,X,O,X,X,X
ITSLOJZ,X,O,O,O,O,X,X,X
ITSLOZJ,X,O,X,O,O,X,X,X
ITSJLZO,O,O,X,X,O,O,X,X
ITSJLOZ,X,X,O,X,O,O,X,X
ITSJZLO,O,O,X,X,O,X,X,X
ITSJZOL,O,X,X,X,X,X,O,X
ITSJOLZ,O,X,O,X,X,X,X,X
ITSJOZL,O,X,X,X,X,X,X,X
ITSZLJO,X,O,X,X,O,X,X,X
ITSZLOJ,X,O,X,X,O,X,X,X
ITSZJLO,O,O,X,X,O,X,X,X
ITSZJOL,O,X,X,X,X,X,O,X
ITSZOLJ,O,O,X,X,O,X,X,X
ITSZOJL,O,X,X,X,X,X,O,X
ITSOLJZ,X,O,O,O,O,X,X,X
ITSOLZJ,O,O,X,O,O,X,X,X
ITSOJLZ,O,O,O,X,X,X,X,X
ITSOJZL,O,O,X,X,X,X,X,X
ITSOZLJ,O,O,X,O,O,X,X,X
ITSOZJL,O,O,X,X,X,X,X,X
ITZLJSO,X,O,X,X,O,X,X,X
ITZLJOS,X,X,X,X,O,X,X,O
ITZLSJO,X,O,X,X,O,X,X,X
ITZLSOJ,X,O,X,X,O,X,X,X
ITZLOJS,X,O,X,O,O,X,X,O
ITZLOSJ,X,O,X,O,O,X,X,X
ITZJLSO,X,O,X,X,O,X,X,X
ITZJLOS,X,X,X,X,O,X,X,O
ITZJSLO,X,O,X,X,O,X,X,X
ITZJSOL,X,X,X,X,X,X,O,X
ITZJOLS,X,X,X,X,X,X,X,O
ITZJOSL,X,X,X,X,X,X,O,X
ITZSLJO,X,O,X,X,O,X,X,X
ITZSLOJ,X,O,X,X,O,X,X,X
ITZSJLO,O,O,X,X,O,X,X,X
ITZSJOL,O,X,X,X,X,X,O,X
ITZSOLJ,O,O,X,X,O,X,X,X
ITZSOJL,O,X,X,X,X,X,O,X
ITZOLJS,X,O,X,O,O,X,X,O
ITZOLSJ,X,O,X,O,O,X,X,X
ITZOJLS,X,O,X,X,X,X,X,O
ITZOJSL,X,O,X,X,X,X,O,X
ITZOSLJ,O,O,X,O,O,X,X,X
ITZOSJL,O,O,X,X,X,X,O,X
ITOLJSZ,O,O,O,X,O,X,X,X
ITOLJZS,X,O,O,O,O,X,X,X
ITOLSJZ,X,O,O,O,O,X,X,X
ITOLSZJ,O,O,X,O,O,X,X,X
ITOLZJS,X,O,X,O,O,X,X,X
ITOLZSJ,X,O,X,O,O,X,X,X
ITOJLSZ,O,O,O,X,X,X,X,X
ITOJLZS,X,O,O,X,X,X,X,X
ITOJSLZ,O,O,O,X,X,X,X,X
ITOJSZL,O,O,X,X,X,X,X,X
ITOJZLS,X,O,X,X,X,X,X,X
ITOJZSL,O,O,X,X,X,X,X,X
ITOSLJZ,X,O,O,O,O,X,X,X
ITOSLZJ,O,O,X,O,O,X,X,X
ITOSJLZ,O,O,O,X,X,X,X,X
ITOSJZL,O,O,X,X,X,X,X,X
ITOSZLJ,O,O,X,O,O,X,X,X
ITOSZJL,O,O,X,X,X,X,X,X
ITOZLJS,X,O,X,O,O,X,X,X
ITOZLSJ,X,O,X,O,O,X,X,X
ITOZJLS,X,O,X,X,X,X,X,X
ITOZJSL,O,O,X,X,X,X,X,X
ITOZSLJ,O,O,X,O,O,X,X,X
ITOZSJL,O,O,X,X,X,X,X,X
ILTJSZO,X,O,X,X,O,O,X,X
ILTJSOZ,X,X,O,X,O,O,X,X
ILTJZSO,X,O,X,X,O,O,X,X
ILTJZOS,X,X,X,X,O,O,X,O
ILTJOSZ,X,O,O,X,O,O,X,X
ILTJOZS,X,O,O,X,O,O,X,X
ILTSJZO,X,O,X,X,O,O,X,X
ILTSJOZ,X,X,O,X,O,O,X,X
ILTSZJO,X,O,X,X,O,X,X,X
ILTSZOJ,X,O,X,X,O,X,X,X
ILTSOJZ,X,O,O,O,O,X,X,X
ILTSOZJ,X,O,X,O,O,X,X,X
ILTZJSO,X,O,X,X,O,X,X,X
ILTZJOS,X,X,X,X,O,X,X,O
ILTZSJO,X,O,X,X,O,X,X,X
ILTZSOJ,X,O,X,X,O,X,X,X
ILTZOJS,X,O,X,O,O,X,X,O
ILTZOSJ,X,O,X,O,O,X,X,X
ILTOJSZ,X,O,O,X,O,X,X,X
ILTOJZS,X,O,O,O,O,X,X,X
ILTOSJZ,X,O,O,O,O,X,X,X
ILTOSZJ,X,O,X,O,O,X,X,X
ILTOZJS,X,O,X,O,O,X,X,X
ILTOZSJ,X,O,X,O,O,X,X,X
ILJTSZO,X,O,X,X,O,O,X,X
ILJTSOZ,X,X,O,X,O,O,X,X
ILJTZSO,X,O,X,X,O,O,X,X
ILJTZOS,X,X,X,X,O,O,X,O
ILJTOSZ,X,O,O,X,O,O,X,X
ILJTOZS,X,O,O,X,O,O,X,X
ILJSTZO,X,O,X,X,O,O,X,X
ILJSTOZ,X,X,O,X,O,O,X,X
ILJSZTO,X,O,X,X,O,O,X,X
ILJSZOT,X,X,X,X,O,O,O,X
ILJSOTZ,X,X,O,X,O,O,X,X
ILJSOZT,X,X,O,X,O,O,X,X
ILJZTSO,X,O,X,X,O,O,X,X
ILJZTOS,X,X,X,X,O,O,X,O
ILJZSTO,X,O,X,X,O,O,X,X
ILJZSOT,X,X,X,X,O,O,O,X
ILJZOTS,X,X,X,X,O,O,X,O
ILJZOST,X,X,X,X,O,O,O,X
ILJOTSZ,X,O,O,X,O,O,X,X
ILJOTZS,X,O,O,X,O,O,X,X
ILJOSTZ,X,O,O,X,O,O,X,X
ILJOSZT,X,O,O,X,O,O,X,X
ILJOZTS,X,O,O,X,O,O,X,X
ILJOZST,X,O,O,X,O,O,X,X
ILSTJZO,X,O,X,X,O,O,X,X
ILSTJOZ,X,X,O,X,O,O,X,X
ILSTZJO,X,O,X,X,O,X,X,X
ILSTZOJ,X,O,X,X,O,X,X,X
ILSTOJZ,X,O,O,O,O,X,X,X
ILSTOZJ,X,O,X,O,O,X,X,X
ILSJTZO,X,O,X,X,O,O,X,X
ILSJTOZ,X,X,O,X,O,O,X,X
ILSJZTO,X,O,X,X,O,O,X,X
ILSJZOT,X,X,X,X,O,O,O,X
ILSJOTZ,X,X,O,X,O,O,X,X
ILSJOZT,X,X,O,X,O,O,X,X
ILSZTJO,X,O,X,X,O,X,X,X
ILSZTOJ,X,O,X,X,O,X,X,X
ILSZJTO,X,O,X,X,O,X,X,X
ILSZJOT,X,X,X,X,O,X,O,X
ILSZOTJ,X,O,X,X,O,X,X,X
ILSZOJT,X,X,X,X,O,X,O,X
ILSOTJZ,X,O,O,O,O,X,X,X
ILSOTZJ,X,O,X,O,O,X,X,X
ILSOJTZ,X,O,O,O,O,X,X,X
ILSOJZT,X,O,O,O,O,X,X,X
ILSOZTJ,X,O,X,O,O,X,X,X
ILSOZJT,X,O,X,O,O,X,X,X
ILZTJSO,X,O,X,X,O,X,X,X
ILZTJOS,X,X,X,X,O,X,X,O
ILZTSJO,X,O,X,X,O,X,X,X
ILZTSOJ,X,O,X,X,O,X,X,X
ILZTOJS,X,O,X,O,O,X,X,O
ILZTOSJ,X,O,X,O,O,X,X,X
ILZJTSO,X,O,X,X,O,X,X,X
ILZJTOS,X,X,X,X,O,X,X,O
ILZJSTO,X,O,X,X,O,X,X,X
ILZJSOT,X,X,X,X,O,X,O,X
ILZJOTS,X,X,X,X,O,X,X,O
ILZJOST,X,X,X,X,O,X,O,X
ILZSTJO,X,O,X,X,O,X,X,X
ILZSTOJ,X,O,X,X,O,X,X,X
ILZSJTO,X,O,X,X,O,X,X,X
ILZSJOT,X,X,X,X,O,X,O,X
ILZSOTJ,X,O,X,X,O,X,X,X
ILZSOJT,X,X,X,X,O,X,O,X
ILZOTJS,X,O,X,O,O,X,X,O
ILZOTSJ,X,O,X,O,O,X,X,X
ILZOJTS,X,O,X,O,O,X,X,O
ILZOJST,X,O,X,X,O,X,O,X
ILZOSTJ,X,O,X,O,O,X,X,X
ILZOSJT,X,O,X,O,O,X,O,X
ILOTJSZ,X,O,O,X,O,X,X,X
ILOTJZS,X,O,O,O,O,X,X,X
ILOTSJZ,X,O,O,O,O,X,X,X
ILOTSZJ,X,O,X,O,O,X,X,X
ILOTZJS,X,O,X,O,O,X,X,X
ILOTZSJ,X,O,X,O,O,X,X,X
ILOJTSZ,X,O,O,X,O,X,X,X
ILOJTZS,X,O,O,O,O,X,X,X
ILOJSTZ,X,O,O,X,O,X,X,X
ILOJSZT,X,O,O,X,O,X,X,X
ILOJZTS,X,O,O,O,O,X,X,X
ILOJZST,X,O,O,X,O,X,X,X
ILOSTJZ,X,O,O,O,O,X,X,X
ILOSTZJ,X,O,X,O,O,X,X,X
ILOSJTZ,X,O,O,O,O,X,X,X
ILOSJZT,X,O,O,O,O,X,X,X
ILOSZTJ,X,O,X,O,O,X,X,X
ILOSZJT,X,O,X,O,O,X,X,X
ILOZTJS,X,O,X,O,O,X,X,X
ILOZTSJ,X,O,X,O,O,X,X,X
ILOZJTS,X,O,X,O,O,X,X,X
ILOZJST,X,O,X,X,O,X,X,X
ILOZSTJ,X,O,X,O,O,X,X,X
ILOZSJT,X,O,X,O,O,X,X,X
IJTLSZO,O,O,X,X,O,O,X,X
IJTLSOZ,X,X,O,X,O,O,X,X
IJTLZSO,X,O,X,X,O,O,X,X
IJTLZOS,X,X,X,X,O,O,X,O
IJTLOSZ,X,O,O,X,O,O,X,X
IJTLOZS,X,O,O,X,O,O,X,X
IJTSLZO,O,O,X,X,O,O,X,X
IJTSLOZ,X,X,O,X,O,O,X,X
IJTSZLO,O,O,X,X,O,X,X,X
IJTSZOL,O,X,X,X,X,X,O,X
IJTSOLZ,O,X,O,X,X,X,X,X
IJTSOZL,O,X,X,X,X,X,X,X
IJTZLSO,X,O,X,X,O,X,X,X
IJTZLOS,X,X,X,X,O,X,X,O
IJTZSLO,O,O,X,X,O,X,X,X
IJTZSOL,O,X,X,X,X,X,O,X
IJTZOLS,X,X,X,X,X,X,X,O
IJTZOSL,X,X,X,X,X,X,O,X
IJTOLSZ,O,O,O,X,X,X,X,X
IJTOLZS,X,O,O,X,X,X,X,X
IJTOSLZ,O,O,O,X,X,X,X,X
IJTOSZL,O,O,X,X,X,X,X,X
IJTOZLS,X,O,X,X,X,X,X,X
IJTOZSL,O,O,X,X,X,X,X,X
IJLTSZO,O,O,X,X,O,O,X,X
IJLTSOZ,X,X,O,X,O,O,X,X
IJLTZSO,X,O,X,X,O,O,X,X
IJLTZOS,X,X,X,X,O,O,X,O
IJLTOSZ,X,O,O,X,O,O,X,X
IJLTOZS,X,O,O,X,O,O,X,X
IJLSTZO,O,O,X,X,O,O,X,X
IJLSTOZ,X,X,O,X,O,O,X,X
IJLSZTO,O,O,X,X,O,O,X,X
IJLSZOT,X,X,X,X,O,O,O,X
IJLSOTZ,X,X,O,X,O,O,X,X
IJLSOZT,X,X,O,X,O,O,X,X
IJLZTSO,X,O,X,X,O,O,X,X
IJLZTOS,X,X,X,X,O,O,X,O
IJLZSTO,X,O,X,X,O,O,X,X
IJLZSOT,X,X,X,X,O,O,O,X
IJLZOTS,X,X,X,X,O,O,X,O
IJLZOST,X,X,X,X,O,O,O,X
IJLOTSZ,X,O,O,X,O,O,X,X
IJLOTZS,X,O,O,X,O,O,X,X
IJLOSTZ,X,O,O,X,O,O,X,X
IJLOSZT,X,O,O,X,O,O,X,X
IJLOZTS,X,O,O,X,O,O,X,X
IJLOZST,X,O,O,X,O,O,X,X
IJSTLZO,O,O,X,X,O,O,X,X
IJSTLOZ,X,X,O,X,O,O,X,X
IJSTZLO,O,O,X,X,O,X,X,X
IJSTZOL,O,X,X,X,X,X,O,X
IJSTOLZ,O,X,O,X,X,X,X,X
IJSTOZL,O,X,X,X,X,X,X,X
IJSLTZO,O,O,X,X,O,O,X,X
IJSLTOZ,X,X,O,X,O,O,X,X
IJSLZTO,O,O,X,X,O,O,X,X
IJSLZOT,X,X,X,X,O,O,O,X
IJSLOTZ,X,X,O,X,O,O,X,X
IJSLOZT,X,X,O,X,O,O,X,X
IJSZTLO,O,O,X,X,O,X,X,X
IJSZTOL,O,X,X,X,X,X,O,X
IJSZLTO,O,O,X,X,O,X,X,X
IJSZLOT,X,X,X,X,O,X,O,X
IJSZOTL,O,X,X,X,X,X,O,X
IJSZOLT,O,X,X,X,X,X,O,X
IJSOTLZ,O,X,O,X,X,X,X,X
IJSOTZL,O,X,X,X,X,X,X,X
IJSOLTZ,O,X,O,X,X,X,X,X
IJSOLZT,O,X,O,X,X,X,X,X
IJSOZTL,O,X,X,X,X,X,O,X
IJSOZLT,O,X,X,X,X,X,O,X
IJZTLSO,X,O,X,X,O,X,X,X
IJZTLOS,X,X,X,X,O,X,X,O
IJZTSLO,O,O,X,X,O,X,X,X
IJZTSOL,O,X,X,X,X,X,O,X
IJZTOLS,X,X,X,X,X,X,X,O
IJZTOSL,X,X,X,X,X,X,O,X
IJZLTSO,X,O,X,X,O,X,X,X
IJZLTOS,X,X,X,X,O,X,X,O
IJZLSTO,X,O,X,X,O,X,X,X
IJZLSOT,X,X,X,X,O,X,O,X
IJZLOTS,X,X,X,X,O,X,X,O
IJZLOST,X,X,X,X,O,X,O,X
IJZSTLO,O,O,X,X,O,X,X,X
IJZSTOL,O,X,X,X,X,X,O,X
IJZSLTO,O,O,X,X,O,X,X,X
IJZSLOT,X,X,X,X,O,X,O,X
IJZSOTL,O,X,X,X,X,X,O,X
IJZSOLT,X,X,X,X,X,X,O,X
IJZOTLS,X,X,X,X,X,X,X,O
IJZOTSL,X,X,X,X,X,X,O,X
IJZOLTS,X,X,X,X,X,X,X,O
IJZOLST,X,X,X,X,X,X,O,X
IJZOSTL,X,X,X,X,X,X,O,X
IJZOSLT,X,X,X,X,X,X,O,X
IJOTLSZ,O,O,O,X,X,X,X,X
IJOTLZS,X,O,O,X,X,X,X,X
IJOTSLZ,O,O,O,X,X,X,X,X
IJOTSZL,O,O,X,X,X,X,X,X
