sequence,v115@QhA8FeE8CeF8Jex/IvhF/mBUiBFjBTkB2qBSvB,v115@QhA8FeE8CeF8Jei/IvhF3gBUiBFjBTmBxpBWvB,v115@QhA8FeE8CeF8Jex/IvhFFiBXjBTkBeqBSrB8qB,v115@QhA8FeE8CeF8JeKEJvhFRgBUiBFjBTmBXqBGqB,v115@QhA8FeE8CeF8JeKEJvhFUhBFiBXjBxqBupBTqB,v115@QhA8FeE8CeF8Jex/IvhFFiBXjB2pBSrB8qBzpB,v115@QhA8FeE8CeF8JeT/IvhFXjB2qBRmBCnB0pBlqB,v115@QhA8FeE8CeF8JeT/IvhFRhBFjBmlBCnB/qB0pB
TIOZSJL,O,O,X,X,X,X,X,X
TLIJSZO,X,O,X,X,O,O,X,X
TLIJSOZ,X,X,O,X,O,O,X,X
TLIJZSO,X,O,X,X,O,O,X,X
TLIJZOS,X,X,X,X,O,O,X,O
TLIJOSZ,X,O,O,X,O,O,X,X
TLIJOZS,X,O,O,X,O,O,X,X
TLISJZO,X,O,X,X,O,O,X,X
TLISJOZ,X,X,O,X,O,O,X,X
TLISZJO,X,O,X,X,O,X,X,X
TLISZOJ,X,O,X,X,O,X,X,X
TLISOJZ,X,O,O,O,O,X,X,X
TLISOZJ,X,O,X,O,O,X,X,X
TLIZJSO,X,O,X,X,O,X,X,X
TLIZJOS,X,X,X,X,O,X,X,O
TLIZSJO,X,O,X,X,O,X,X,X
TLIZSOJ,X,O,X,X,O,X,X,X
TLIZOJS,X,O,X,O,O,X,X,O
TLIZOSJ,X,O,X,O,O,X,X,X
TLIOJSZ,X,O,O,X,O,X,X,X
TLIOJZS,X,O,O,O,O,X,X,X
TLIOSJZ,X,O,O,O,O,X,X,X
TLIOSZJ,X,O,X,O,O,X,X,X
TLIOZJS,X,O,X,O,O,X,X,X
TLIOZSJ,X,O,X,O,O,X,X,X
TLJISZO,O,X,X,X,O,O,X,X
TLJISOZ,X,X,O,X,O,O,X,X
TLJIZSO,X,X,X,X,O,O,X,X
TLJIZOS,X,X,X,X,O,O,X,O
TLJIOSZ,X,X,O,X,O,O,X,X
TLJIOZS,X,X,O,X,O,O,X,X
TLJSIZO,O,X,X,X,O,O,X,X
TLJSIOZ,X,X,O,X,O,O,X,X
TLJSZIO,O,X,X,X,X,O,X,X
TLJSZOI,O,X,O,X,X,O,X,O
TLJSOIZ,O,X,O,O,X,O,X,X
TLJSOZI,O,X,O,O,X,O,X,X
TLJZISO,X,X,X,X,X,O,X,X
TLJZIOS,X,X,X,X,X,O,X,O
TLJZSIO,X,X,X,X,X,O,X,X
TLJZSOI,X,X,O,X,X,O,X,O
TLJZOIS,X,X,O,O,X,O,X,O
TLJZOSI,X,X,O,O,X,O,X,O
TLJOISZ,O,X,O,X,X,O,X,X
TLJOIZS,X,X,O,O,X,O,X,X
TLJOSIZ,O,X,O,O,X,O,X,X
TLJOSZI,O,X,O,O,X,O,X,X
TLJOZIS,X,X,O,O,X,O,X,O
TLJOZSI,X,X,O,O,X,O,X,O
TLSIJZO,X,X,X,X,O,O,X,X
TLSIJOZ,X,X,O,X,O,O,X,X
TLSIZJO,X,X,X,X,O,X,X,X
TLSIZOJ,X,X,X,X,O,X,X,X
TLSIOJZ,X,X,O,O,O,X,X,X
TLSIOZJ,X,X,X,O,O,X,X,X
TLSJIZO,O,X,X,X,O,O,X,X
TLSJIOZ,X,X,O,X,O,O,X,X
TLSJZIO,O,X,X,X,X,O,X,X
TLSJZOI,O,X,O,X,X,O,X,O
TLSJOIZ,O,X,O,O,X,O,X,X
TLSJOZI,O,X,O,O,X,O,X,X
TLSZIJO,X,X,X,X,O,X,X,X
TLSZIOJ,X,X,X,X,O,X,X,X
TLSZJIO,O,X,X,X,X,O,X,X
TLSZJOI,O,X,O,X,X,O,X,O
TLSZOIJ,O,X,X,O,X,X,X,X
TLSZOJI,O,X,O,O,X,X,X,O
TLSOIJZ,X,X,O,O,O,X,X,X
TLSOIZJ,O,X,X,O,O,X,X,X
TLSOJIZ,O,X,O,O,X,O,X,X
TLSOJZI,O,X,O,O,X,O,X,X
TLSOZIJ,O,X,X,O,X,X,X,X
TLSOZJI,O,X,O,O,X,X,X,X
TLZIJSO,X,O,X,X,O,X,X,X
TLZIJOS,X,X,X,X,O,X,X,O
TLZISJO,X,O,X,X,O,X,X,X
TLZISOJ,X,O,X,X,O,X,X,X
TLZIOJS,X,X,X,O,O,X,X,O
TLZIOSJ,X,O,X,O,O,X,X,X
TLZJISO,X,X,X,X,X,O,X,X
TLZJIOS,X,X,X,X,X,O,X,O
TLZJSIO,X,X,X,X,X,O,X,X
TLZJSOI,X,X,O,X,X,O,X,O
TLZJOIS,X,X,O,O,X,O,X,O
TLZJOSI,X,X,O,O,X,O,X,O
TLZSIJO,X,X,X,X,O,X,X,X
TLZSIOJ,X,X,X,X,O,X,X,X
TLZSJIO,O,X,X,X,X,O,X,X
TLZSJOI,O,X,O,X,X,O,X,O
TLZSOIJ,O,X,X,O,X,X,X,X
TLZSOJI,O,X,O,O,X,X,X,O
TLZOIJS,X,O,X,O,X,X,X,O
TLZOISJ,X,O,X,O,X,X,X,X
TLZOJIS,X,X,O,O,X,X,X,O
TLZOJSI,X,X,O,O,X,X,X,O
TLZOSIJ,O,O,X,O,X,X,X,X
TLZOSJI,O,O,O,O,X,X,X,O
TLOIJSZ,O,O,O,X,O,X,X,X
TLOIJZS,X,O,O,O,O,X,X,X
TLOISJZ,X,O,O,O,O,X,X,X
TLOISZJ,O,O,X,O,O,X,X,X
TLOIZJS,X,O,X,O,O,X,X,X
TLOIZSJ,X,O,X,O,O,X,X,X
TLOJISZ,O,X,O,X,X,O,X,X
TLOJIZS,X,X,O,O,X,O,X,X
TLOJSIZ,O,X,O,O,X,O,X,X
TLOJSZI,O,X,O,O,X,O,X,X
TLOJZIS,X,X,O,O,X,O,X,O
TLOJZSI,X,X,O,O,X,O,X,O
TLOSIJZ,X,O,O,O,O,X,X,X
TLOSIZJ,O,O,X,O,O,X,X,X
TLOSJIZ,O,X,O,O,X,O,X,X
TLOSJZI,O,O,O,O,X,O,X,X
TLOSZIJ,O,O,X,O,X,X,X,X
TLOSZJI,O,O,O,O,X,X,X,X
TLOZIJS,X,O,X,O,X,X,X,O
TLOZISJ,X,O,X,O,X,X,X,X
TLOZJIS,X,X,O,O,X,X,X,O
TLOZJSI,X,X,O,O,X,X,X,O
TLOZSIJ,O,O,X,O,X,X,X,X
TLOZSJI,O,O,O,O,X,X,X,O
TJILSZO,O,O,X,X,O,O,X,X
TJILSOZ,X,X,O,X,O,O,X,X
TJILZSO,X,O,X,X,O,O,X,X
TJILZOS,X,X,X,X,O,O,X,O
TJILOSZ,X,O,O,X,O,O,X,X
TJILOZS,X,O,O,X,O,O,X,X
TJISLZO,O,O,X,X,O,O,X,X
TJISLOZ,X,X,O,X,O,O,X,X
TJISZLO,O,O,X,X,O,X,X,X
TJISZOL,O,X,X,X,X,X,O,X
TJISOLZ,O,X,O,X,X,X,X,X
