sequence,v115@9gD8FeA8IeB8HeB8EeC8JefIJvhF6oBRlBUnBlmBTq?B2wB,v115@9gD8FeA8IeB8HeB8EeC8JeGDJvhFaqBRmBUoBlmBzq?BXsB,v115@9gD8FeA8IeB8HeB8EeC8JeXBJvhFxiBToBmqBCsBUq?BFsB,v115@9gD8FeA8IeB8HeB8EeC8Je0BJvhFxiBFlBSsBToB3q?B2wB,v115@9gD8FeA8IeB8HeB8EeC8JexBJvhFTjBFlB0mBWtB3q?BywB,v115@9gD8FeA8IeB8HeB8EeC8JexBJvhF8nB+oBFlB3qBzr?BirB,v115@9gD8FeA8IeB8HeB8EeC8JeVGJvhFUlBOsBToB3mBCo?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JezCJvhF+oBRlBiqBFsB8r?BXrB,v115@9gD8FeA8IeB8HeB8EeC8JeKGJvhFWnBxiBToB0qBXs?BFqB,v115@9gD8FeA8IeB8HeB8EeC8JemBJvhFCjBToBxqBXsBUq?BFrB,v115@9gD8FeA8IeB8HeB8EeC8JeXBJvhFVnBUlBToBCoBmr?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JemBJvhFCjBUlBToBxrB3q?B1wB,v115@9gD8FeA8IeB8HeB8EeC8JeUFJvhFFmBXnBToBCoBmr?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JeRFJvhFFnBXoBGoBTqB0r?BirB,v115@9gD8FeA8IeB8HeB8EeC8JeeGJvhFUiBFlBfsBToBCo?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JeVHJvhFUjBRlBXmBStB2v?BzrB,v115@9gD8FeA8IeB8HeB8EeC8JeXBJvhF6oBUlB1rBznBOs?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JexBJvhF6oB1qBznB3rBUq?BmrB,v115@9gD8FeA8IeB8HeB8EeC8JeWIJvhFUlBRmBlmBToByv?BXsB,v115@9gD8FeA8IeB8HeB8EeC8JeTBJvhF6oBUlBmnBxrB1v?BXsB,v115@9gD8FeA8IeB8HeB8EeC8Je0CJvhF6oBFlB3qBRsBmr?BTrB
TISLOJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O
TISLOZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
TISJLZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TISJLOZ,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O
TISJZLO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TISJZOL,X,X,X,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TISJOLZ,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TISJOZL,X,X,X,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TISZLJO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TISZLOJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
TISZJLO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TISZJOL,X,X,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TISZOLJ,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O
TISZOJL,X,X,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TISOLJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O
TISOLZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
TISOJLZ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TISOJZL,O,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TISOZLJ,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O
TISOZJL,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TIZLJSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJOS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSOJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TIZLOJS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZLOSJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TIZJLSO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZJLOS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZJSLO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TIZJSOL,X,X,X,X,X,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,X
TIZJOLS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIZJOSL,X,X,X,X,X,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,X
TIZSLJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSLOJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TIZSJLO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZSJOL,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X
TIZSOLJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TIZSOJL,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X
TIZOLJS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZOLSJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TIZOJLS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIZOJSL,X,X,X,X,X,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,X
TIZOSLJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
