sequence,v115@9gD8FeA8IeB8HeB8EeC8JefIJvhF6oBRlBUnBlmBTq?B2wB,v115@9gD8FeA8IeB8HeB8EeC8JeGDJvhFaqBRmBUoBlmBzq?BXsB,v115@9gD8FeA8IeB8HeB8EeC8JeXBJvhFxiBToBmqBCsBUq?BFsB,v115@9gD8FeA8IeB8HeB8EeC8Je0BJvhFxiBFlBSsBToB3q?B2wB,v115@9gD8FeA8IeB8HeB8EeC8JexBJvhFTjBFlB0mBWtB3q?BywB,v115@9gD8FeA8IeB8HeB8EeC8JexBJvhF8nB+oBFlB3qBzr?BirB,v115@9gD8FeA8IeB8HeB8EeC8JeVGJvhFUlBOsBToB3mBCo?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JezCJvhF+oBRlBiqBFsB8r?BXrB,v115@9gD8FeA8IeB8HeB8EeC8JeKGJvhFWnBxiBToB0qBXs?BFqB,v115@9gD8FeA8IeB8HeB8EeC8JemBJvhFCjBToBxqBXsBUq?BFrB,v115@9gD8FeA8IeB8HeB8EeC8JeXBJvhFVnBUlBToBCoBmr?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JemBJvhFCjBUlBToBxrB3q?B1wB,v115@9gD8FeA8IeB8HeB8EeC8JeUFJvhFFmBXnBToBCoBmr?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JeRFJvhFFnBXoBGoBTqB0r?BirB,v115@9gD8FeA8IeB8HeB8EeC8JeeGJvhFUiBFlBfsBToBCo?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JeVHJvhFUjBRlBXmBStB2v?BzrB,v115@9gD8FeA8IeB8HeB8EeC8JeXBJvhF6oBUlB1rBznBOs?BxvB,v115@9gD8FeA8IeB8HeB8EeC8JexBJvhF6oB1qBznB3rBUq?BmrB,v115@9gD8FeA8IeB8HeB8EeC8JeWIJvhFUlBRmBlmBToByv?BXsB,v115@9gD8FeA8IeB8HeB8EeC8JeTBJvhF6oBUlBmnBxrB1v?BXsB,v115@9gD8FeA8IeB8HeB8EeC8Je0CJvhF6oBFlB3qBRsBmr?BTrB
IZLTOSJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZLJTSO,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IZLJTOS,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X
IZLJSTO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IZLJSOT,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZLJOTS,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,O,X
IZLJOST,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZLSTJO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLSTOJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZLSJTO,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X
IZLSJOT,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X
IZLSOTJ,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
IZLSOJT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IZLOTJS,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IZLOTSJ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X
IZLOJTS,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,O,X
IZLOJST,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZLOSTJ,O,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X
IZLOSJT,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZJTLSO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IZJTLOS,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X
IZJTSLO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJTSOL,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
IZJTOLS,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
IZJTOSL,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
IZJLTSO,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X
IZJLTOS,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X
IZJLSTO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IZJLSOT,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZJLOTS,X,O,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,O,X
IZJLOST,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZJSTLO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IZJSTOL,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X
IZJSLTO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X
IZJSLOT,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZJSOTL,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IZJSOLT,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZJOTLS,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,O,O,X,X,X,X
IZJOTSL,X,X,X,X,X,X,O,X,X,X,O,O,O,X,X,O,O,X,X,X,X
IZJOLTS,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,O,X
IZJOLST,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZJOSTL,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
IZJOSLT,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZSTLJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTLOJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZSTJLO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZSTJOL,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,O,X,X
IZSTOLJ,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
IZSTOJL,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X
IZSLTJO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLTOJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IZSLJTO,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X
IZSLJOT,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X
IZSLOTJ,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
IZSLOJT,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IZSJTLO,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X
IZSJTOL,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X
IZSJLTO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X
IZSJLOT,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X
IZSJOTL,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X
IZSJOLT,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X
IZSOTLJ,O,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,O,X,X,X,X
IZSOTJL,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X
IZSOLTJ,O,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,O,X,X,X,X
IZSOLJT,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZSOJTL,O,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X
IZSOJLT,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X
IZOTLJS,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X
IZOTLSJ,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,O,X,X,X,X
IZOTJLS,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,O,O,X,X,X,X
IZOTJSL,X,X,X,X,X,X,O,X,X,X,O,O,O,O,O,O,O,X,X,X,X
IZOTSLJ,O,X,X,X,X,X,X,X,O,X,X,O,O,O,X,O,O,X,X,X,X
IZOTSJL,X,X,X,X,X,X,O,X,X,X,X,O,O,O,O,O,O,X,X,X,X
IZOLTJS,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IZOLTSJ,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X
IZOLJTS,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,O,X
IZOLJST,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZOLSTJ,O,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,O,X,X,X,X
IZOLSJT,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOJTLS,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
IZOJTSL,O,X,X,X,X,X,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X
IZOJLTS,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,O,X
IZOJLST,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IZOJSTL,O,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IZOJSLT,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IZOSTLJ,O,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,O,X,X,X,X
IZOSTJL,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X
IZOSLTJ,O,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,O,X,X,X,X
IZOSLJT,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOSJTL,O,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IZOSJLT,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IOTLJSZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTLJZS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTLSJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IOTLSZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOTLZJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOTLZSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOTJLSZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTJLZS,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
IOTJSLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTJSZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IOTJZLS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOTJZSL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IOTSLJZ,O,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
IOTSLZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTSJLZ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOTSJZL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOTSZLJ,O,X,X,O,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
IOTSZJL,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X
IOTZLJS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOTZLSJ,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X
IOTZJLS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X
IOTZJSL,X,X,X,X,X,X,O,X,X,X,O,X,O,O,O,O,O,X,X,X,X
IOTZSLJ,O,X,X,O,X,X,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X
IOTZSJL,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,O,O,X,X,X,X
IOLTJSZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLTJZS,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLTSJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IOLTSZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOLTZJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOLTZSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOLJTSZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJTZS,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLJSTZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IOLJSZT,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLJZTS,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
IOLJZST,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLSTJZ,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X
IOLSTZJ,O,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X
IOLSJTZ,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
IOLSJZT,O,X,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOLSZTJ,O,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X,O,O,X,X,X
IOLSZJT,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOLZTJS,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOLZTSJ,X,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X
IOLZJTS,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
IOLZJST,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOLZSTJ,O,X,X,O,X,X,X,X,O,X,X,O,O,O,X,X,O,O,X,X,X
IOLZSJT,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJTLSZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJTLZS,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
IOJTSLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJTSZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IOJTZLS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJTZSL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IOJLTSZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLTZS,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
IOJLSTZ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IOJLSZT,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJLZTS,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
IOJLZST,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJSTLZ,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJSTZL,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
IOJSLTZ,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJSLZT,O,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJSZTL,O,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
IOJSZLT,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJZTLS,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X
IOJZTSL,O,X,X,X,X,O,O,X,X,X,O,X,O,O,X,O,O,X,X,X,X
IOJZLTS,X,X,O,X,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X
IOJZLST,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOJZSTL,O,X,X,X,X,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOJZSLT,O,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOSTLJZ,O,X,X,O,X,X,X,X,O,O,X,X,X,O,O,X,X,O,X,X,X
IOSTLZJ,O,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X
IOSTJLZ,O,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X
IOSTJZL,O,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X
IOSTZLJ,O,X,X,O,X,X,X,X,O,O,X,X,O,O,X,O,X,O,X,X,X
IOSTZJL,X,X,X,X,X,X,X,X,X,O,X,X,O,O,O,O,X,X,X,X,X
IOSLTJZ,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X
IOSLTZJ,O,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X
IOSLJTZ,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
IOSLJZT,O,X,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOSLZTJ,O,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X,O,O,X,X,X
IOSLZJT,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOSJTLZ,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOSJTZL,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOSJLTZ,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
IOSJLZT,O,X,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOSJZTL,O,X,X,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
IOSJZLT,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOSZTLJ,O,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,O,X,X,X,X
IOSZTJL,X,X,X,X,X,X,O,X,X,O,X,X,O,O,X,X,O,X,X,X,X
IOSZLTJ,O,X,X,O,X,X,X,X,O,O,X,X,O,O,X,X,O,O,X,X,X
IOSZLJT,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
IOSZJTL,O,X,X,X,X,X,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X
IOSZJLT,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
IOZTLJS,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X
IOZTLSJ,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,O,X,X,X,X
IOZTJLS,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,O,O,X,X,X,X
IOZTJSL,X,X,X,X,X,X,O,X,X,X,O,O,O,O,O,O,O,X,X,X,X
IOZTSLJ,O,X,X,O,X,X,X,X,O,X,X,O,O,O,X,O,O,X,X,X,X
IOZTSJL,X,X,X,X,X,X,O,X,X,X,X,O,O,O,O,O,O,X,X,X,X
IOZLTJS,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
IOZLTSJ,X,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X
IOZLJTS,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
IOZLJST,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOZLSTJ,O,X,X,O,X,X,X,X,O,X,X,O,O,O,X,X,O,O,X,X,X
IOZLSJT,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOZJTLS,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
IOZJTSL,O,X,X,X,X,X,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X
IOZJLTS,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
IOZJLST,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
IOZJSTL,O,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOZJSLT,O,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
IOZSTLJ,O,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,O,X,X,X,X
IOZSTJL,X,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X
IOZSLTJ,O,X,X,O,X,X,X,X,O,X,X,O,O,O,X,X,O,X,X,X,X
IOZSLJT,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IOZSJTL,O,X,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
IOZSJLT,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
LTIJSZO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIJSOZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIJZSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJZOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJOSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIJOZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISJZO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O
LTISJOZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O
LTISZJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LTISZOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LTISOJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
LTISOZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LTIZJSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZJOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZSJO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZSOJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZOJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTIZOSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTIOJSZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIOJZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOSJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIOSZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOZJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTIOZSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
LTJISZO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJISOZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJIZSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJIZOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJIOSZ,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJIOZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSIZO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
LTJSIOZ,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
LTJSZIO,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSZOI,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSOIZ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSOZI,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZISO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
LTJZIOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
LTJZSIO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZSOI,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZOIS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZOSI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOISZ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOIZS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOSIZ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOSZI,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
