sequence,v115@PhB8FeE8AeB8CeC8JeT/IvhF/lBWnBxiBlpB0rBarB,v115@PhB8FeE8AeB8CeC8Je0/IvhFlgBzhBCjB/pBxqB2wB,v115@PhB8FeE8AeB8CeC8Jel/IvhFWnBxiB/pBTlB0rBarB,v115@PhB8FeE8AeB8CeC8JeKEJvhFFhBxiBTlBcrBupBXsB,v115@PhB8FeE8AeB8CeC8JeT/IvhFigBxiBWrBlpBcrBXsB,v115@PhB8FeE8AeB8CeC8JeT/IvhF2lBxiBCnBfrBlpB0rB,v115@PhB8FeE8AeB8CeC8JexCJvhFTkB2qBCnBfrBlpB0rB,v115@PhB8FeE8AeB8CeC8Je3AJvhFCjBTkBxqBcrBesBlpB,v115@PhB8FeE8AeB8CeC8JeOEJvhFXgBxiBUmBCqBFsBTrB
TILJSZO,X,O,X,X,O,X,X,X,X
TILJSOZ,X,O,X,X,O,O,X,X,X
TILJZSO,O,X,X,X,O,X,X,X,X
TILJZOS,O,X,X,X,O,O,X,X,X
TILJOSZ,X,O,X,X,O,O,O,X,X
TILJOZS,O,X,X,X,O,O,X,X,X
TILSJZO,X,O,X,X,X,X,X,X,X
TILSJOZ,X,O,X,X,X,O,X,X,X
TILSZJO,O,O,X,X,X,X,X,X,X
TILSZOJ,O,O,X,X,X,X,X,X,X
TILSOJZ,X,O,X,X,X,O,X,X,X
TILSOZJ,O,O,X,X,X,X,X,X,X
TILZJSO,O,X,X,X,X,X,X,X,X
TILZJOS,O,X,X,X,X,O,X,X,X
TILZSJO,O,O,X,X,X,X,X,X,X
TILZSOJ,O,O,X,X,X,X,X,X,X
TILZOJS,O,X,X,O,X,O,X,X,X
TILZOSJ,O,O,X,O,X,X,X,X,X
TILOJSZ,X,O,X,X,O,O,O,X,X
TILOJZS,O,X,X,X,O,O,X,O,X
TILOSJZ,X,O,X,X,X,O,X,X,X
TILOSZJ,O,O,X,X,X,X,X,X,X
TILOZJS,O,X,X,O,X,O,X,X,X
TILOZSJ,O,O,X,O,X,X,X,X,X
TIJLSZO,X,O,X,X,O,X,X,X,X
TIJLSOZ,X,O,X,X,O,O,X,X,X
TIJLZSO,O,X,X,X,O,X,X,X,X
TIJLZOS,O,X,X,X,O,O,X,X,X
TIJLOSZ,X,O,X,X,O,O,O,X,X
TIJLOZS,O,X,X,X,O,O,X,X,X
TIJSLZO,X,O,X,X,O,X,X,X,X
TIJSLOZ,X,O,X,X,O,O,X,X,X
TIJSZLO,O,O,X,X,O,X,X,X,X
TIJSZOL,O,O,O,X,O,X,X,X,X
TIJSOLZ,X,O,X,X,O,O,X,X,X
TIJSOZL,O,O,X,X,O,X,X,X,X
TIJZLSO,O,X,X,X,O,X,X,X,X
TIJZLOS,O,X,X,X,O,O,X,X,X
TIJZSLO,O,X,X,X,O,X,X,X,X
TIJZSOL,O,X,O,X,O,X,X,X,X
TIJZOLS,O,X,X,X,O,O,X,X,X
TIJZOSL,O,X,O,X,O,X,X,X,X
TIJOLSZ,X,O,X,X,O,O,O,X,X
TIJOLZS,O,X,X,X,O,O,X,X,X
TIJOSLZ,X,O,X,X,O,O,X,X,X
TIJOSZL,O,O,X,X,O,X,X,X,X
TIJOZLS,O,X,X,X,O,O,X,X,X
TIJOZSL,O,X,X,X,O,X,X,X,X
TISLJZO,X,O,X,X,X,X,X,X,X
TISLJOZ,X,O,X,X,X,O,X,X,X
TISLZJO,O,O,X,X,X,X,X,X,X
TISLZOJ,O,O,X,X,X,X,X,X,X
TISLOJZ,X,O,X,X,X,O,X,X,X
TISLOZJ,O,O,O,X,X,X,X,X,X
TISJLZO,X,O,X,X,O,X,X,X,X
TISJLOZ,X,O,X,X,O,O,X,X,X
TISJZLO,O,O,X,X,O,X,X,X,X
TISJZOL,O,O,O,X,O,X,X,X,X
TISJOLZ,X,O,X,X,O,O,X,X,X
TISJOZL,O,O,O,X,O,X,X,X,X
TISZLJO,O,O,X,X,X,X,X,X,X
TISZLOJ,O,O,X,X,X,X,X,X,X
TISZJLO,O,O,X,X,X,X,X,X,X
TISZJOL,O,O,O,X,X,X,X,X,X
TISZOLJ,O,O,O,X,X,X,X,X,X
TISZOJL,O,O,O,X,X,X,X,X,X
TISOLJZ,X,O,X,X,X,O,X,X,X
TISOLZJ,O,O,O,X,X,X,X,X,X
TISOJLZ,X,O,X,X,O,O,X,X,X
TISOJZL,O,O,O,X,O,X,X,X,X
TISOZLJ,O,O,O,X,X,X,X,X,X
TISOZJL,O,O,O,X,X,X,X,O,X
TIZLJSO,O,X,X,X,X,X,X,X,X
TIZLJOS,O,X,X,X,X,O,X,X,X
TIZLSJO,O,O,X,X,X,X,X,X,X
TIZLSOJ,O,O,X,X,X,X,X,X,X
TIZLOJS,O,X,X,O,X,O,X,X,X
TIZLOSJ,O,O,X,O,X,X,X,X,X
TIZJLSO,O,X,X,X,O,X,X,X,X
TIZJLOS,O,X,X,X,O,O,X,X,X
TIZJSLO,O,X,X,X,O,X,X,X,X
TIZJSOL,O,X,O,X,O,X,X,X,X
TIZJOLS,O,X,X,O,O,O,X,X,X
TIZJOSL,O,X,O,X,O,X,X,X,X
TIZSLJO,O,O,X,X,X,X,X,X,X
TIZSLOJ,O,O,X,X,X,X,X,X,X
TIZSJLO,O,O,X,X,X,X,X,X,X
TIZSJOL,O,O,O,X,X,X,X,X,X
TIZSOLJ,O,O,O,O,X,X,X,X,X
TIZSOJL,O,O,O,X,X,X,X,X,X
TIZOLJS,O,X,X,O,X,O,X,X,X
TIZOLSJ,O,O,X,O,X,X,X,X,X
TIZOJLS,O,X,X,O,O,O,X,X,X
TIZOJSL,O,X,O,X,O,X,X,X,X
TIZOSLJ,O,O,O,O,X,X,X,X,X
TIZOSJL,O,O,O,X,X,X,X,X,X
