sequence,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeOEJvhFXgBaoBRmBc?sBlmBzpB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeT/IvhFxgBilBfsBm?nBlnB0pB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeFBJvhFiiBxkBfsBz?nBmkB0pB,v115@GhA8IeA8CeB8DeB8BeC8AeC8Jex/IvhFXhB8mBziBl?pBisBmpB,v115@GhA8IeA8CeB8DeB8BeC8AeC8Jel/IvhFUhBziB2pBR?sBasBXqB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeXAJvhFVmBziB2pBR?sBasB0pB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeUAJvhFRhBziBlmBm?pBisB/pB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeFBJvhFmiBxkBfsB0?nBikBzpB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeUBJvhFziB/pBFlBR?sBasBmpB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JexAJvhFTkBilBfsBm?nBlnB0pB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeUBJvhFeoBxkBXnBi?kBzpBFsB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeFBJvhFTiBeoBxkBf?sBypB0pB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeUBJvhFxkBlnBikBf?sBmnBzpB,v115@GhA8IeA8CeB8DeB8BeC8AeC8Je0/IvhFziB/pBRmBO?qBlmBisB
TISOJLZ,X,X,O,X,X,O,X,X,O,X,X,O,X,X
TISOJZL,X,X,X,X,X,O,X,O,O,X,X,O,X,X
TISOZLJ,X,X,O,O,X,X,X,O,O,X,X,X,X,X
TISOZJL,X,X,O,X,X,O,X,O,O,X,X,X,X,X
TIZLJSO,X,X,X,O,X,X,O,X,X,X,X,X,O,X
TIZLJOS,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TIZLSJO,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TIZLSOJ,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TIZLOJS,X,X,X,O,X,X,O,X,X,X,X,X,O,X
TIZLOSJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TIZJLSO,X,X,X,X,O,O,O,X,X,X,X,X,O,X
TIZJLOS,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIZJSLO,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TIZJSOL,X,X,O,X,O,O,X,X,X,X,O,O,O,X
TIZJOLS,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TIZJOSL,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TIZSLJO,X,X,X,O,X,X,X,O,O,X,X,X,O,X
TIZSLOJ,X,X,O,O,X,X,X,X,O,X,X,X,O,X
TIZSJLO,X,X,X,O,X,O,X,O,O,X,X,X,O,X
TIZSJOL,X,X,O,X,X,O,X,O,O,X,X,O,O,X
TIZSOLJ,X,X,O,O,X,X,X,X,O,X,X,X,O,X
TIZSOJL,X,X,O,X,X,O,X,O,O,X,X,X,O,X
TIZOLJS,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZOLSJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIZOJLS,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TIZOJSL,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TIZOSLJ,X,X,O,X,X,X,X,X,O,X,X,X,O,X
TIZOSJL,X,X,O,X,X,O,X,X,O,X,X,X,O,X
TIOLJSZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIOLJZS,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIOLSJZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIOLSZJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOLZJS,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TIOLZSJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOJLSZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIOJLZS,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIOJSLZ,X,X,X,X,O,O,X,X,X,X,X,O,X,X
TIOJSZL,X,X,X,X,O,O,X,O,X,X,X,O,X,X
TIOJZLS,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TIOJZSL,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TIOSLJZ,X,X,O,X,X,O,X,X,O,X,X,X,X,X
TIOSLZJ,X,X,O,X,X,X,X,O,O,X,X,X,X,X
