sequence,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeOEJvhFXgBaoBRmBc?sBlmBzpB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeT/IvhFxgBilBfsBm?nBlnB0pB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeFBJvhFiiBxkBfsBz?nBmkB0pB,v115@GhA8IeA8CeB8DeB8BeC8AeC8Jex/IvhFXhB8mBziBl?pBisBmpB,v115@GhA8IeA8CeB8DeB8BeC8AeC8Jel/IvhFUhBziB2pBR?sBasBXqB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeXAJvhFVmBziB2pBR?sBasB0pB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeUAJvhFRhBziBlmBm?pBisB/pB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeFBJvhFmiBxkBfsB0?nBikBzpB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeUBJvhFziB/pBFlBR?sBasBmpB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JexAJvhFTkBilBfsBm?nBlnB0pB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeUBJvhFeoBxkBXnBi?kBzpBFsB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeFBJvhFTiBeoBxkBf?sBypB0pB,v115@GhA8IeA8CeB8DeB8BeC8AeC8JeUBJvhFxkBlnBikBf?sBmnBzpB,v115@GhA8IeA8CeB8DeB8BeC8AeC8Je0/IvhFziB/pBRmBO?qBlmBisB
IZLJOST,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IZLSTJO,O,O,X,O,X,X,X,X,O,X,X,X,X,X
IZLSTOJ,X,O,O,O,X,X,X,X,O,X,X,X,X,O
IZLSJTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLSJOT,O,O,X,O,X,X,X,X,X,X,X,X,X,O
IZLSOTJ,O,O,O,O,X,X,X,X,O,X,X,X,X,O
IZLSOJT,O,O,O,O,X,X,X,X,X,X,X,X,X,O
IZLOTJS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLOTSJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IZLOJTS,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZLOJST,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IZLOSTJ,O,O,O,O,X,X,X,X,O,X,X,X,X,O
IZLOSJT,O,O,O,O,X,X,X,X,X,X,X,X,X,O
IZJTLSO,O,X,X,X,O,O,X,X,X,X,X,X,O,X
IZJTLOS,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZJTSLO,O,X,X,X,O,O,X,X,X,X,X,X,O,X
IZJTSOL,X,X,O,X,O,O,X,X,X,X,O,O,O,X
IZJTOLS,X,X,X,X,O,O,X,X,X,X,X,X,O,X
IZJTOSL,X,X,X,X,O,O,X,X,X,X,X,X,O,X
IZJLTSO,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IZJLTOS,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IZJLSTO,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJLSOT,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IZJLOTS,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IZJLOST,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJSTLO,O,X,X,X,O,X,X,X,O,X,X,X,X,X
IZJSTOL,X,X,O,X,O,X,X,X,O,X,O,O,X,X
IZJSLTO,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZJSLOT,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IZJSOTL,X,X,O,X,O,X,X,X,O,X,O,O,X,X
IZJSOLT,O,X,O,X,O,X,X,X,X,X,O,X,X,X
IZJOTLS,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IZJOTSL,O,X,X,X,O,O,X,X,X,X,O,X,X,X
IZJOLTS,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IZJOLST,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IZJOSTL,O,X,O,X,O,X,X,X,O,X,O,X,X,X
IZJOSLT,O,X,O,X,O,X,X,X,X,X,O,X,X,X
IZSTLJO,O,X,X,O,X,X,X,O,O,X,X,X,O,X
IZSTLOJ,X,X,O,O,X,X,X,X,O,X,X,X,O,O
IZSTJLO,O,X,X,O,X,X,X,O,O,X,X,X,O,X
IZSTJOL,X,X,O,X,X,X,X,O,O,X,X,O,O,X
IZSTOLJ,X,X,O,O,X,X,X,X,O,X,X,X,O,X
IZSTOJL,X,X,O,X,X,X,X,O,O,X,X,X,O,X
IZSLTJO,O,O,X,O,X,X,X,O,O,X,X,X,X,X
IZSLTOJ,X,O,O,O,X,X,X,X,O,X,X,X,X,O
IZSLJTO,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IZSLJOT,O,O,X,O,X,X,X,X,X,X,X,X,X,O
IZSLOTJ,O,O,O,O,X,X,X,X,O,X,X,X,X,O
IZSLOJT,O,O,O,O,X,X,X,X,X,X,X,X,X,O
IZSJTLO,O,X,X,X,O,X,X,O,O,X,X,X,X,X
IZSJTOL,X,X,O,X,O,X,X,O,O,X,O,O,X,X
IZSJLTO,O,O,X,X,O,X,X,O,X,X,X,X,X,X
IZSJLOT,O,O,X,O,O,X,X,X,X,X,O,X,X,O
IZSJOTL,X,X,O,X,O,X,X,O,O,X,O,O,X,X
IZSJOLT,O,O,O,X,O,X,X,X,X,X,O,X,X,X
IZSOTLJ,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IZSOTJL,O,X,O,X,X,X,X,O,O,X,X,X,X,X
IZSOLTJ,O,O,O,O,X,X,X,X,O,X,X,X,X,O
IZSOLJT,O,O,O,O,X,X,X,X,X,X,X,X,X,O
IZSOJTL,O,X,O,X,O,X,X,O,O,X,X,X,X,X
IZSOJLT,O,O,O,X,O,X,X,X,X,X,X,X,X,X
IZOTLJS,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOTLSJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOTJLS,O,X,X,X,O,O,X,X,X,X,X,X,O,X
IZOTJSL,O,X,X,X,O,O,X,X,X,X,O,X,O,X
IZOTSLJ,O,X,O,X,X,X,X,X,O,X,X,X,O,X
IZOTSJL,O,X,O,X,X,O,X,X,O,X,X,X,O,X
IZOLTJS,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZOLTSJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X
IZOLJTS,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOLJST,O,O,X,X,O,X,X,X,X,X,O,X,X,X
IZOLSTJ,O,O,O,X,X,X,X,X,O,X,X,X,X,X
IZOLSJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IZOJTLS,O,X,X,X,O,O,X,X,X,X,X,X,O,X
IZOJTSL,O,X,X,X,O,O,X,X,X,X,O,X,O,X
IZOJLTS,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IZOJLST,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IZOJSTL,O,X,O,X,O,X,X,X,O,X,O,X,X,X
IZOJSLT,O,X,O,X,O,X,X,X,X,X,O,X,X,X
IZOSTLJ,O,X,O,X,X,X,X,X,O,X,X,X,O,X
IZOSTJL,O,X,O,X,X,X,X,X,O,X,X,X,O,X
IZOSLTJ,O,O,O,X,X,X,X,X,O,X,X,X,X,X
IZOSLJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IZOSJTL,O,X,O,X,O,X,X,X,O,X,O,X,X,X
IZOSJLT,O,O,O,X,O,X,X,X,X,X,O,X,X,X
IOTLJSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTLJZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTLSJZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTLSZJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTLZJS,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTLZSJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTJLSZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOTJLZS,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOTJSLZ,X,X,X,X,O,O,X,X,X,X,X,O,X,X
IOTJSZL,X,X,X,X,O,O,X,O,X,X,O,O,X,X
IOTJZLS,X,X,X,X,O,O,X,X,X,X,X,X,O,X
IOTJZSL,X,X,X,X,O,O,X,X,X,X,O,X,O,X
IOTSLJZ,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOTSLZJ,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IOTSJLZ,X,X,O,X,X,O,X,X,O,X,X,O,X,X
IOTSJZL,X,X,X,X,X,O,X,O,O,X,X,O,X,X
IOTSZLJ,X,X,O,X,X,X,X,O,O,X,X,X,O,X
IOTSZJL,X,X,X,X,X,O,X,O,O,X,X,X,O,X
IOTZLJS,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTZLSJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOTZJLS,X,X,X,X,O,O,X,X,X,X,X,X,O,X
IOTZJSL,X,X,X,X,O,O,X,X,X,X,O,X,O,X
IOTZSLJ,X,X,X,X,X,X,X,O,O,X,X,X,O,X
IOTZSJL,X,X,X,X,X,O,X,O,O,X,X,X,O,X
IOLTJSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLTJZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLTSJZ,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IOLTSZJ,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IOLTZJS,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLTZSJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLJTSZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOLJTZS,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOLJSTZ,X,X,X,X,O,O,X,X,X,O,X,X,X,X
IOLJSZT,O,X,X,X,O,X,X,X,X,O,O,X,X,O
IOLJZTS,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOLJZST,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IOLSTJZ,X,X,O,X,X,X,X,X,O,O,X,X,X,X
IOLSTZJ,X,X,O,X,X,X,X,O,O,X,X,X,X,O
IOLSJTZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOLSJZT,O,X,X,X,X,X,X,X,X,O,X,X,X,O
IOLSZTJ,O,X,O,X,X,X,X,O,O,X,X,X,X,O
IOLSZJT,O,X,X,X,X,X,X,O,X,O,X,X,X,O
IOLZTJS,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLZTSJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOLZJTS,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLZJST,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IOLZSTJ,O,X,X,X,X,X,X,X,O,X,X,X,X,O
IOLZSJT,O,X,X,X,X,X,X,X,X,O,X,X,X,O
IOJTLSZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOJTLZS,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOJTSLZ,X,X,X,X,O,O,X,X,X,X,X,O,X,X
IOJTSZL,X,X,X,X,O,O,X,O,X,X,O,O,X,X
IOJTZLS,X,X,X,X,O,O,X,X,X,X,X,X,O,X
IOJTZSL,X,X,X,X,O,O,X,X,X,X,O,X,O,X
IOJLTSZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOJLTZS,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOJLSTZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
IOJLSZT,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IOJLZTS,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOJLZST,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IOJSTLZ,X,X,O,X,O,O,X,X,O,X,X,O,X,X
IOJSTZL,X,X,X,X,O,O,X,O,O,X,O,O,X,X
IOJSLTZ,X,X,O,X,O,O,X,X,X,X,X,O,X,X
IOJSLZT,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IOJSZTL,O,X,X,X,O,X,X,O,O,X,O,O,X,X
IOJSZLT,O,X,X,X,O,X,X,O,X,X,O,X,X,X
IOJZTLS,O,X,X,X,O,O,X,X,X,X,X,X,O,X
IOJZTSL,O,X,X,X,O,O,X,X,X,X,O,X,O,X
IOJZLTS,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOJZLST,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IOJZSTL,O,X,X,X,O,X,X,X,O,X,O,X,X,X
IOJZSLT,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IOSTLJZ,X,X,O,X,X,O,X,X,O,X,X,X,X,X
IOSTLZJ,X,X,O,X,X,X,X,O,O,X,X,X,X,X
IOSTJLZ,X,X,O,X,X,O,X,X,O,X,X,O,X,X
IOSTJZL,X,X,X,X,X,O,X,O,O,X,X,O,X,X
IOSTZLJ,X,X,O,X,X,X,X,O,O,X,X,X,O,X
IOSTZJL,X,X,O,X,X,O,X,O,O,X,X,X,O,X
IOSLTJZ,X,X,O,X,X,X,X,X,O,O,X,X,X,X
IOSLTZJ,X,X,O,X,X,X,X,O,O,X,X,X,X,O
IOSLJTZ,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSLJZT,O,X,X,X,X,X,X,X,X,O,X,X,X,O
IOSLZTJ,O,X,O,X,X,X,X,O,O,X,X,X,X,O
IOSLZJT,O,X,O,X,X,X,X,O,X,O,X,X,X,O
IOSJTLZ,X,X,O,X,O,O,X,X,O,X,X,O,X,X
IOSJTZL,X,X,X,X,O,O,X,O,O,X,O,O,X,X
IOSJLTZ,X,X,O,X,O,O,X,X,X,O,X,O,X,X
IOSJLZT,O,X,X,X,O,X,X,X,X,O,O,X,X,X
IOSJZTL,O,X,X,X,O,X,X,O,O,X,O,O,X,X
IOSJZLT,O,X,X,X,O,X,X,O,X,X,O,X,X,X
IOSZTLJ,O,X,O,X,X,X,X,O,O,X,X,X,O,X
IOSZTJL,O,X,O,X,X,X,X,O,O,X,X,X,O,X
IOSZLTJ,O,X,O,X,X,X,X,O,O,X,X,X,X,O
IOSZLJT,O,X,O,X,X,X,X,O,X,X,X,X,X,O
IOSZJTL,O,X,O,X,O,X,X,O,O,X,O,X,X,X
IOSZJLT,O,X,O,X,O,X,X,O,X,X,O,X,X,X
IOZTLJS,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOZTLSJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOZTJLS,O,X,X,X,O,O,X,X,X,X,X,X,O,X
IOZTJSL,O,X,X,X,O,O,X,X,X,X,O,X,O,X
IOZTSLJ,O,X,O,X,X,X,X,O,O,X,X,X,O,X
IOZTSJL,O,X,O,X,X,O,X,O,O,X,X,X,O,X
IOZLTJS,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOZLTSJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IOZLJTS,O,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZLJST,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IOZLSTJ,O,X,O,X,X,X,X,X,O,X,X,X,X,X
IOZLSJT,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZJTLS,O,X,X,X,O,O,X,X,X,X,X,X,O,X
IOZJTSL,O,X,X,X,O,O,X,X,X,X,O,X,O,X
IOZJLTS,O,X,X,X,O,O,X,X,X,X,X,X,X,X
IOZJLST,O,X,X,X,O,X,X,X,X,X,O,X,X,X
IOZJSTL,O,X,O,X,O,X,X,X,O,X,O,X,X,X
IOZJSLT,O,X,O,X,O,X,X,X,X,X,O,X,X,X
IOZSTLJ,O,X,O,X,X,X,X,O,O,X,X,X,O,X
IOZSTJL,O,X,O,X,X,X,X,O,O,X,X,X,O,X
IOZSLTJ,O,X,O,X,X,X,X,O,O,X,X,X,X,X
IOZSLJT,O,X,O,X,X,X,X,O,X,X,X,X,X,X
IOZSJTL,O,X,O,X,O,X,X,O,O,X,O,X,X,X
IOZSJLT,O,X,O,X,O,X,X,O,X,X,O,X,X,X
LTIJSZO,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTIJSOZ,X,X,X,X,X,O,O,X,X,X,X,O,X,X
LTIJZSO,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTIJZOS,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTIJOSZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTIJOZS,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTISJZO,X,O,X,X,X,O,O,X,X,X,X,X,X,X
LTISJOZ,X,X,X,X,X,O,O,X,X,O,X,O,X,X
LTISZJO,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LTISZOJ,X,O,X,X,X,X,X,X,X,X,X,X,X,O
LTISOJZ,X,X,O,X,X,O,O,X,X,O,X,X,X,X
LTISOZJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O
LTIZJSO,X,X,X,O,X,X,O,X,X,X,X,X,O,X
LTIZJOS,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTIZSJO,X,O,X,O,X,X,X,X,X,X,X,X,O,X
LTIZSOJ,X,O,X,O,X,X,X,X,X,X,X,X,O,X
LTIZOJS,X,X,X,O,X,X,O,X,X,X,X,X,O,X
LTIZOSJ,X,O,X,O,X,X,X,X,X,X,X,X,O,X
LTIOJSZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTIOJZS,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTIOSJZ,X,X,X,X,X,O,O,X,X,O,X,X,X,X
LTIOSZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LTIOZJS,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTIOZSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTJISZO,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTJISOZ,X,X,X,X,X,O,O,X,X,X,X,O,X,X
LTJIZSO,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTJIZOS,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTJIOSZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTJIOZS,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTJSIZO,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTJSIOZ,X,X,X,X,X,O,O,X,X,X,X,O,X,X
LTJSZIO,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJSZOI,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJSOIZ,X,X,X,X,X,X,O,X,X,X,X,O,X,X
LTJSOZI,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJZISO,O,X,X,O,X,X,O,X,X,X,X,X,X,X
LTJZIOS,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTJZSIO,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTJZSOI,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTJZOIS,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTJZOSI,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTJOISZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJOIZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJOSIZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJOSZI,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJOZIS,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTJOZSI,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTSIJZO,X,O,X,X,X,O,O,X,X,X,X,X,X,X
LTSIJOZ,X,X,X,X,X,O,O,X,X,O,X,O,X,X
LTSIZJO,X,O,X,O,X,X,X,O,X,X,X,X,X,X
LTSIZOJ,X,O,X,O,X,X,X,X,X,X,X,X,X,O
LTSIOJZ,X,X,O,X,X,O,O,X,X,O,X,X,X,X
LTSIOZJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O
LTSJIZO,X,O,X,X,X,O,O,X,X,X,X,X,X,X
LTSJIOZ,X,X,X,X,X,O,O,X,X,O,X,O,X,X
LTSJZIO,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LTSJZOI,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LTSJOIZ,X,X,X,X,X,X,O,X,X,O,X,O,X,X
LTSJOZI,X,X,X,X,X,X,O,X,X,O,X,X,X,X
LTSZIJO,X,O,X,O,X,X,X,O,X,X,X,X,X,X
LTSZIOJ,X,O,O,O,X,X,X,X,X,X,X,X,X,O
LTSZJIO,X,O,X,O,X,X,X,O,X,X,X,X,X,X
LTSZJOI,X,O,X,O,X,X,X,O,X,X,X,X,X,X
LTSZOIJ,X,O,O,O,X,X,X,O,X,X,X,X,X,O
LTSZOJI,X,O,O,O,X,X,X,O,X,X,X,X,X,X
LTSOIJZ,X,X,O,X,X,X,O,X,X,O,X,X,X,X
LTSOIZJ,X,X,O,X,X,X,X,O,X,X,X,X,X,O
LTSOJIZ,X,X,O,X,X,X,O,X,X,O,X,X,X,X
LTSOJZI,X,X,O,X,X,X,O,X,X,O,X,X,X,X
LTSOZIJ,X,X,O,O,X,X,X,O,X,X,X,X,X,O
LTSOZJI,X,X,O,O,X,X,X,O,X,X,X,X,X,X
LTZIJSO,O,X,X,O,X,X,O,X,X,X,X,X,O,X
LTZIJOS,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTZISJO,O,O,X,O,X,X,X,X,X,X,X,X,O,X
LTZISOJ,X,O,O,O,X,X,X,X,X,X,X,X,O,X
LTZIOJS,O,X,X,O,X,X,O,X,X,X,X,X,O,X
LTZIOSJ,O,O,X,O,X,X,X,X,X,X,X,X,O,X
LTZJISO,O,X,X,O,X,X,O,X,X,X,X,X,X,X
LTZJIOS,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTZJSIO,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTZJSOI,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTZJOIS,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTZJOSI,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTZSIJO,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZSIOJ,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTZSJIO,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZSJOI,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZSOIJ,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTZSOJI,X,O,O,O,X,X,X,X,X,X,X,X,X,X
LTZOIJS,O,X,X,O,X,X,O,X,X,X,X,X,O,X
LTZOISJ,O,O,X,O,X,X,X,X,X,X,X,X,O,X
LTZOJIS,O,X,X,O,X,X,O,X,X,X,X,X,X,X
LTZOJSI,O,X,X,O,X,X,O,X,X,X,X,X,X,X
LTZOSIJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZOSJI,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOIJSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOIJZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOISJZ,X,X,X,X,X,X,O,X,X,O,X,X,X,X
LTOISZJ,X,X,X,X,X,X,X,O,X,X,X,X,X,O
LTOIZJS,X,X,X,O,X,X,O,X,X,X,X,X,O,X
LTOIZSJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X
LTOJISZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOJIZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOJSIZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOJSZI,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOJZIS,O,X,X,O,X,X,O,X,X,X,X,X,X,X
LTOJZSI,O,X,X,O,X,X,O,X,X,X,X,X,X,X
LTOSIJZ,X,X,X,X,X,X,O,X,X,O,X,X,X,X
LTOSIZJ,X,X,X,X,X,X,X,O,X,X,X,X,X,O
LTOSJIZ,X,X,X,X,X,X,O,X,X,O,X,X,X,X
LTOSJZI,O,X,X,X,X,X,O,X,X,O,X,X,X,X
LTOSZIJ,O,X,X,O,X,X,X,O,X,X,X,X,X,O
LTOSZJI,O,X,X,O,X,X,X,O,X,X,X,X,X,X
LTOZIJS,O,X,X,O,X,X,O,X,X,X,X,X,O,X
LTOZISJ,O,X,X,O,X,X,X,X,X,X,X,X,O,X
LTOZJIS,O,X,X,O,X,X,O,X,X,X,X,X,X,X
LTOZJSI,O,X,X,O,X,X,O,X,X,X,X,X,X,X
LTOZSIJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTOZSJI,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LITJSZO,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LITJSOZ,X,X,X,X,X,O,O,X,X,X,X,O,X,X
LITJZSO,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LITJZOS,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LITJOSZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LITJOZS,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LITSJZO,X,O,X,X,X,O,O,X,X,X,X,X,X,X
LITSJOZ,X,X,X,X,X,O,O,X,X,O,X,O,X,X
LITSZJO,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LITSZOJ,X,O,X,X,X,X,X,X,X,X,X,X,X,O
LITSOJZ,X,X,O,X,X,O,O,X,X,O,X,X,X,X
LITSOZJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O
LITZJSO,X,X,X,O,X,X,O,X,X,X,X,X,O,X
LITZJOS,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LITZSJO,X,O,X,O,X,X,X,X,X,X,X,X,O,X
LITZSOJ,X,O,X,O,X,X,X,X,X,X,X,X,O,X
LITZOJS,X,X,X,O,X,X,O,X,X,X,X,X,O,X
LITZOSJ,X,O,X,O,X,X,X,X,X,X,X,X,O,X
LITOJSZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LITOJZS,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LITOSJZ,X,X,X,X,X,O,O,X,X,O,X,X,X,X
LITOSZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LITOZJS,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LITOZSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LIJTSZO,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LIJTSOZ,X,X,X,X,O,O,O,X,X,X,X,O,X,X
LIJTZSO,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LIJTZOS,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LIJTOSZ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LIJTOZS,X,X,X,X,O,O,O,X,X,X,X,X,X,X
LIJSTZO,X,O,X,X,O,O,X,X,X,X,X,X,X,X
LIJSTOZ,X,X,X,X,O,O,X,X,X,O,X,O,X,X
LIJSZTO,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LIJSZOT,X,O,X,X,O,X,X,X,X,O,O,X,X,O
LIJSOTZ,X,X,X,X,O,O,X,X,X,O,X,O,X,X
LIJSOZT,X,O,X,X,O,X,X,X,X,O,X,X,X,O
LIJZTSO,O,X,X,X,O,O,X,X,X,X,X,X,X,X
LIJZTOS,X,X,X,X,O,O,X,X,X,X,X,X,X,X
LIJZSTO,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LIJZSOT,O,O,X,X,O,X,X,X,X,X,O,X,X,X
