sequence,v115@9gB8HeC8GeA8IeE8AeA8Me8FJvhFWnBxiB6tBXlBlr?BzsB,v115@9gB8HeC8GeA8IeE8AeA8MexAJvhFTjBSqB/rBFnBGt?B0sB,v115@9gB8HeC8GeA8IeE8AeA8MelAJvhF3hBGjB8rBznBRq?BSyB,v115@9gB8HeC8GeA8IeE8AeA8MelAJvhF3hBCjB8rBToBRq?BWyB,v115@9gB8HeC8GeA8IeE8AeA8Me0AJvhFGjBzmBqsB/tBRq?BlrB,v115@9gB8HeC8GeA8IeE8AeA8MelAJvhF3hBWoB8rB6tBRq?BzsB,v115@9gB8HeC8GeA8IeE8AeA8MelAJvhF3hBSoB8rBusBRq?BTtB,v115@9gB8HeC8GeA8IeE8AeA8Me0BJvhFliB5oBzlBetBXl?BCsB,v115@9gB8HeC8GeA8IeE8AeA8Me8FJvhFzhB5nBOtBXlB6t?BlrB,v115@9gB8HeC8GeA8IeE8AeA8Me8FJvhFCiBxnBXlBToBlr?BWyB,v115@9gB8HeC8GeA8IeE8AeA8Me8FJvhFzhB5nB6tBXlBOt?BlrB,v115@9gB8HeC8GeA8IeE8AeA8Me0AJvhFfoB6oBzmBRqBWy?BlrB,v115@9gB8HeC8GeA8IeE8AeA8Me0BJvhFxiBzlBGoBXlBCs?BVyB
TIZLSOJ,X,X,O,X,O,O,O,X,X,O,O,X,X
TIZLOJS,O,X,O,X,X,O,O,X,O,O,O,X,X
TIZLOSJ,X,X,O,X,O,O,O,X,X,O,O,X,X
TIZJLSO,O,X,O,O,X,X,X,X,X,O,X,X,X
TIZJLOS,O,X,O,O,X,X,X,X,O,O,O,X,X
TIZJSLO,X,X,O,O,X,X,X,X,X,O,X,O,X
TIZJSOL,X,X,X,O,X,O,O,X,O,X,X,O,X
TIZJOLS,O,X,X,O,X,O,O,X,O,O,O,X,X
TIZJOSL,X,X,X,O,X,O,O,X,O,X,X,O,X
TIZSLJO,X,X,O,O,O,X,X,X,X,O,X,X,X
TIZSLOJ,X,X,O,X,O,O,O,X,X,O,O,X,X
TIZSJLO,X,X,O,O,O,X,X,X,X,X,X,X,X
TIZSJOL,X,X,X,O,X,O,O,X,O,X,X,X,X
TIZSOLJ,X,X,O,X,X,O,O,X,X,X,O,X,X
TIZSOJL,X,X,X,O,X,O,O,X,O,X,X,X,X
TIZOLJS,O,X,O,X,X,O,O,X,O,O,O,X,X
TIZOLSJ,O,X,O,X,O,O,O,X,X,O,O,X,X
TIZOJLS,O,X,X,O,X,O,O,X,O,X,O,X,X
TIZOJSL,X,X,X,O,X,O,O,X,O,X,X,O,X
TIZOSLJ,X,X,O,X,X,O,O,X,X,X,O,X,X
TIZOSJL,X,X,X,O,X,O,O,X,O,X,X,X,X
TIOLJSZ,O,X,O,X,X,X,X,X,X,X,X,X,O
TIOLJZS,O,X,O,X,X,O,O,X,O,X,O,X,O
TIOLSJZ,O,X,O,X,O,X,X,X,X,X,X,X,X
TIOLSZJ,O,X,O,X,O,X,O,X,X,X,O,X,X
TIOLZJS,O,X,O,X,X,O,O,X,O,O,O,X,O
TIOLZSJ,O,X,O,X,O,O,O,X,X,O,O,X,X
TIOJLSZ,O,X,X,O,X,X,X,O,X,X,X,X,O
TIOJLZS,O,X,X,O,X,O,O,O,O,X,O,X,O
TIOJSLZ,X,X,X,O,X,X,X,O,X,X,X,O,O
TIOJSZL,X,X,X,O,X,O,X,O,O,X,X,O,O
TIOJZLS,O,X,X,O,X,O,O,O,O,X,O,X,O
TIOJZSL,X,X,X,O,X,O,O,O,O,X,X,O,O
