sequence,v115@9gB8HeC8GeA8IeE8AeA8Me8FJvhFWnBxiB6tBXlBlr?BzsB,v115@9gB8HeC8GeA8IeE8AeA8MexAJvhFTjBSqB/rBFnBGt?B0sB,v115@9gB8HeC8GeA8IeE8AeA8MelAJvhF3hBGjB8rBznBRq?BSyB,v115@9gB8HeC8GeA8IeE8AeA8MelAJvhF3hBCjB8rBToBRq?BWyB,v115@9gB8HeC8GeA8IeE8AeA8Me0AJvhFGjBzmBqsB/tBRq?BlrB,v115@9gB8HeC8GeA8IeE8AeA8MelAJvhF3hBWoB8rB6tBRq?BzsB,v115@9gB8HeC8GeA8IeE8AeA8MelAJvhF3hBSoB8rBusBRq?BTtB,v115@9gB8HeC8GeA8IeE8AeA8Me0BJvhFliB5oBzlBetBXl?BCsB,v115@9gB8HeC8GeA8IeE8AeA8Me8FJvhFzhB5nBOtBXlB6t?BlrB,v115@9gB8HeC8GeA8IeE8AeA8Me8FJvhFCiBxnBXlBToBlr?BWyB,v115@9gB8HeC8GeA8IeE8AeA8Me8FJvhFzhB5nB6tBXlBOt?BlrB,v115@9gB8HeC8GeA8IeE8AeA8Me0AJvhFfoB6oBzmBRqBWy?BlrB,v115@9gB8HeC8GeA8IeE8AeA8Me0BJvhFxiBzlBGoBXlBCs?BVyB
TJZISOL,X,X,X,O,X,X,X,X,O,X,X,O,X
TJZIOLS,O,X,X,O,X,X,X,O,O,O,O,X,O
TJZIOSL,X,X,X,O,X,X,X,O,O,X,X,O,O
TJZLISO,O,X,O,O,X,X,X,X,X,O,X,X,X
TJZLIOS,O,X,X,O,X,X,X,X,O,O,O,X,X
TJZLSIO,O,X,O,O,X,X,X,X,X,O,X,X,X
TJZLSOI,O,X,O,O,X,X,X,X,X,X,X,X,X
TJZLOIS,O,X,O,O,X,X,X,X,O,O,O,X,X
TJZLOSI,O,X,O,O,X,X,X,X,X,X,X,X,X
TJZSILO,X,X,X,O,X,X,X,X,X,O,X,O,X
TJZSIOL,X,X,X,O,X,X,X,X,O,X,X,O,X
TJZSLIO,O,X,O,O,X,X,X,X,X,O,X,O,X
TJZSLOI,O,X,O,O,X,X,X,X,X,X,X,X,X
TJZSOIL,X,X,X,O,X,O,X,X,O,X,X,X,X
TJZSOLI,O,X,X,O,X,O,O,X,X,X,X,X,X
TJZOILS,O,X,X,O,X,X,X,O,O,O,O,X,O
TJZOISL,X,X,X,O,X,O,X,O,O,X,X,X,O
TJZOLIS,O,X,X,O,X,X,X,O,O,O,O,X,O
TJZOLSI,O,X,X,O,X,O,O,O,X,X,X,X,O
TJZOSIL,X,X,X,O,X,O,X,O,O,X,X,X,O
TJZOSLI,O,X,X,O,X,O,O,X,X,X,X,X,O
TJOILSZ,O,O,X,O,X,X,X,O,X,X,X,X,O
TJOILZS,O,X,X,O,X,O,O,O,O,O,O,X,O
TJOISLZ,X,X,X,O,X,X,X,O,X,X,X,X,O
TJOISZL,X,X,X,O,X,O,X,O,O,X,X,X,O
TJOIZLS,O,X,X,O,X,O,O,O,O,O,O,X,O
TJOIZSL,X,X,X,O,X,O,O,O,O,X,X,X,O
TJOLISZ,O,O,X,O,X,X,X,O,X,X,X,X,O
TJOLIZS,O,X,X,O,X,O,O,O,O,O,O,X,O
TJOLSIZ,O,O,X,O,X,X,X,O,X,X,X,X,O
TJOLSZI,O,O,X,O,X,X,X,O,X,X,X,X,O
TJOLZIS,O,X,X,O,X,X,X,O,O,O,O,X,O
TJOLZSI,O,X,X,O,X,O,O,O,X,X,X,X,O
TJOSILZ,X,O,X,O,X,X,X,O,X,X,X,X,O
TJOSIZL,X,X,X,O,X,O,X,O,O,X,X,X,O
TJOSLIZ,O,O,X,O,X,X,X,O,X,X,X,X,O
TJOSLZI,O,O,X,O,X,X,X,O,X,X,X,X,O
TJOSZIL,X,X,X,O,X,O,X,O,O,X,X,X,O
TJOSZLI,O,O,X,O,X,O,X,X,X,X,X,X,O
TJOZILS,O,X,X,O,X,O,X,O,O,O,O,X,O
TJOZISL,X,X,X,O,X,O,X,O,O,X,X,X,O
TJOZLIS,O,X,X,O,X,X,X,O,O,O,O,X,O
TJOZLSI,O,X,X,O,X,O,O,O,X,X,X,X,O
TJOZSIL,X,X,X,O,X,O,X,O,O,X,X,X,O
TJOZSLI,O,X,X,O,X,O,O,X,X,X,X,X,O
TSILJZO,X,O,O,X,O,X,X,X,X,X,X,X,X
TSILJOZ,X,O,O,X,O,X,X,X,X,X,X,X,X
TSILZJO,X,O,O,X,O,X,X,X,X,O,X,X,X
TSILZOJ,X,X,O,X,O,X,X,X,X,O,O,X,X
TSILOJZ,X,O,O,X,O,X,X,X,X,X,X,X,X
TSILOZJ,X,X,O,X,O,X,X,X,X,X,O,X,X
TSIJLZO,X,O,X,O,O,X,X,X,X,X,X,X,X
TSIJLOZ,X,O,X,X,O,X,X,X,X,X,X,X,X
TSIJZLO,X,X,X,O,O,X,X,X,X,X,X,X,X
TSIJZOL,X,X,X,O,X,X,X,X,O,X,X,X,X
TSIJOLZ,X,O,X,O,X,X,X,X,X,X,X,X,X
TSIJOZL,X,X,X,O,X,X,X,X,O,X,X,X,X
TSIZLJO,X,X,O,O,O,X,X,X,X,O,X,X,X
TSIZLOJ,X,X,O,X,O,O,O,X,X,O,O,X,X
TSIZJLO,X,X,O,O,O,X,X,X,X,X,X,X,X
TSIZJOL,X,X,X,O,X,O,O,X,O,X,X,X,X
TSIZOLJ,X,X,O,X,X,O,O,X,X,X,O,X,X
TSIZOJL,X,X,X,O,X,O,O,X,O,X,X,X,X
TSIOLJZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TSIOLZJ,X,X,X,X,X,X,O,X,X,X,O,X,X
TSIOJLZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TSIOJZL,X,X,X,X,X,O,X,X,O,X,X,X,X
TSIOZLJ,X,X,X,X,X,O,O,X,X,X,O,X,X
TSIOZJL,X,X,X,X,X,O,O,X,O,X,X,X,X
TSLIJZO,O,O,O,X,O,X,X,X,X,X,X,X,X
TSLIJOZ,X,O,O,X,O,X,X,X,X,X,X,X,X
TSLIZJO,O,O,O,X,O,X,X,X,X,O,X,X,X
TSLIZOJ,X,X,O,X,O,X,X,X,X,O,O,X,X
TSLIOJZ,X,O,O,X,O,X,X,X,X,X,X,X,X
TSLIOZJ,X,X,O,X,O,X,X,X,X,X,O,X,X
TSLJIZO,O,O,O,X,O,X,X,X,X,O,X,X,X
TSLJIOZ,X,O,O,X,O,X,X,X,X,X,X,X,O
TSLJZIO,O,O,O,X,O,X,X,X,X,O,X,X,X
TSLJZOI,O,O,O,X,X,X,X,X,X,X,X,X,X
TSLJOIZ,X,O,O,X,X,X,X,X,X,X,X,X,O
TSLJOZI,X,O,O,X,X,X,X,X,X,X,X,X,O
TSLZIJO,O,O,O,X,O,X,X,X,X,O,X,X,X
TSLZIOJ,X,X,O,X,O,X,X,X,X,O,O,X,X
TSLZJIO,O,O,O,X,O,X,X,X,X,O,X,X,X
TSLZJOI,O,O,O,X,X,X,X,X,X,X,X,X,X
TSLZOIJ,X,X,O,X,X,X,X,X,X,X,O,X,X
TSLZOJI,X,X,O,X,X,X,X,X,X,X,X,X,X
TSLOIJZ,X,O,O,X,X,X,X,X,X,X,X,X,X
TSLOIZJ,X,X,O,X,X,X,X,X,X,X,O,X,X
TSLOJIZ,X,O,O,X,X,X,X,X,X,X,X,X,O
TSLOJZI,X,O,O,X,X,X,X,X,X,X,X,X,O
TSLOZIJ,X,X,O,X,X,X,X,X,X,X,O,X,X
TSLOZJI,X,X,O,X,X,X,X,X,X,X,X,X,O
TSJILZO,X,O,X,O,O,X,X,X,X,O,X,X,X
TSJILOZ,X,O,X,X,O,X,X,X,X,X,X,X,X
TSJIZLO,X,X,X,O,O,X,X,X,X,O,X,X,X
TSJIZOL,X,X,X,O,X,X,X,X,O,X,X,X,X
TSJIOLZ,X,O,X,O,X,X,X,X,X,X,X,X,O
TSJIOZL,X,X,X,O,X,X,X,X,O,X,X,X,O
TSJLIZO,O,O,X,O,O,X,X,X,X,O,X,X,X
TSJLIOZ,X,O,X,X,O,X,X,X,X,X,X,X,X
TSJLZIO,O,O,X,O,O,X,X,X,X,O,X,X,X
TSJLZOI,O,O,X,O,X,X,X,X,X,X,X,X,X
TSJLOIZ,X,O,X,X,X,X,X,X,X,X,X,X,X
TSJLOZI,X,O,X,X,X,X,X,X,X,X,X,X,X
TSJZILO,X,X,X,O,O,X,X,X,X,O,X,X,X
TSJZIOL,X,X,X,O,X,X,X,X,O,X,X,X,X
TSJZLIO,O,O,X,O,O,X,X,X,X,O,X,X,X
TSJZLOI,O,O,X,O,X,X,X,X,X,X,X,X,X
TSJZOIL,X,X,X,O,X,X,X,X,O,X,X,X,X
TSJZOLI,O,O,X,O,X,X,X,X,X,X,X,X,X
TSJOILZ,X,O,X,O,X,X,X,X,X,X,X,X,O
TSJOIZL,X,X,X,O,X,X,X,X,O,X,X,X,O
TSJOLIZ,O,O,X,O,X,X,X,X,X,X,X,X,O
TSJOLZI,O,O,X,O,X,X,X,X,X,X,X,X,O
TSJOZIL,X,X,X,O,X,X,X,X,O,X,X,X,O
TSJOZLI,O,O,X,O,X,X,X,X,X,X,X,X,O
TSZILJO,X,X,O,X,O,X,X,X,X,O,X,X,X
TSZILOJ,X,X,O,X,O,X,X,X,X,O,O,X,X
TSZIJLO,X,X,X,O,O,X,X,X,X,X,X,X,X
TSZIJOL,X,X,X,O,X,X,X,X,O,X,X,X,X
TSZIOLJ,X,X,X,X,X,X,O,X,X,X,O,X,X
TSZIOJL,X,X,X,X,X,O,X,X,O,X,X,X,X
TSZLIJO,O,O,O,X,O,X,X,X,X,O,X,X,X
TSZLIOJ,X,X,O,X,O,X,X,X,X,O,O,X,X
TSZLJIO,O,O,O,O,O,X,X,X,X,O,X,X,X
TSZLJOI,O,O,O,O,X,X,X,X,X,X,X,X,X
TSZLOIJ,X,X,O,X,X,X,O,X,X,X,O,X,X
TSZLOJI,X,X,O,X,X,O,O,X,X,X,X,X,X
TSZJILO,X,X,X,O,O,X,X,X,X,O,X,X,X
TSZJIOL,X,X,X,O,X,X,X,X,O,X,X,X,X
TSZJLIO,O,O,O,O,O,X,X,X,X,O,X,X,X
TSZJLOI,O,O,O,O,X,X,X,X,X,X,X,X,X
TSZJOIL,X,X,X,O,X,O,X,X,O,X,X,X,X
TSZJOLI,O,O,X,O,X,O,O,X,X,X,X,X,X
TSZOILJ,X,X,X,X,X,X,O,X,X,X,O,X,X
TSZOIJL,X,X,X,X,X,O,X,X,O,X,X,X,X
TSZOLIJ,O,X,O,X,X,X,O,X,X,X,O,X,X
TSZOLJI,O,X,O,X,X,O,O,X,X,X,X,X,X
TSZOJIL,X,X,X,O,X,O,X,X,O,X,X,X,X
TSZOJLI,O,X,X,O,X,O,O,X,X,X,X,X,X
TSOILJZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TSOILZJ,X,X,X,X,X,X,O,X,X,X,O,X,X
TSOIJLZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TSOIJZL,X,X,X,X,X,O,X,X,O,X,X,X,X
TSOIZLJ,X,X,X,X,X,O,O,X,X,X,O,X,X
TSOIZJL,X,X,X,X,X,O,O,X,O,X,X,X,X
TSOLIJZ,O,O,X,X,X,X,X,X,X,X,X,X,X
TSOLIZJ,O,X,X,X,X,X,O,X,X,X,O,X,X
TSOLJIZ,O,O,X,X,X,X,X,X,X,X,X,X,O
TSOLJZI,O,O,X,X,X,X,X,X,X,X,X,X,O
TSOLZIJ,O,X,X,X,X,X,O,X,X,X,O,X,X
TSOLZJI,O,X,X,X,X,X,O,X,X,X,X,X,O
TSOJILZ,X,O,X,X,X,X,X,X,X,X,X,X,O
TSOJIZL,X,X,X,X,X,O,X,X,O,X,X,X,O
TSOJLIZ,O,O,X,X,X,X,X,X,X,X,X,X,O
TSOJLZI,O,O,X,X,X,X,X,X,X,X,X,X,O
TSOJZIL,X,X,X,X,X,O,X,X,O,X,X,X,O
TSOJZLI,O,O,X,X,X,O,X,X,X,X,X,X,O
TSOZILJ,X,X,X,X,X,X,O,X,X,X,O,X,X
TSOZIJL,X,X,X,X,X,O,X,X,O,X,X,X,X
TSOZLIJ,O,X,X,X,X,X,O,X,X,X,O,X,X
TSOZLJI,O,X,X,X,X,O,O,X,X,X,X,X,O
TSOZJIL,X,X,X,X,X,O,X,X,O,X,X,X,O
TSOZJLI,O,X,X,X,X,O,O,X,X,X,X,X,O
TZILJSO,O,X,O,O,X,X,X,X,X,O,X,X,X
TZILJOS,O,X,O,O,X,X,X,X,O,O,O,X,X
TZILSJO,O,X,O,O,O,X,X,X,X,O,X,X,X
TZILSOJ,X,X,O,X,O,O,O,X,X,O,O,X,X
TZILOJS,O,X,O,X,X,O,O,X,O,O,O,X,X
TZILOSJ,X,X,O,X,O,O,O,X,X,O,O,X,X
TZIJLSO,O,X,O,O,X,X,X,X,X,O,X,X,X
TZIJLOS,O,X,O,O,X,X,X,X,O,O,O,X,X
TZIJSLO,X,X,O,O,X,X,X,X,X,O,X,O,X
TZIJSOL,X,X,X,O,X,O,O,X,O,X,X,O,X
TZIJOLS,O,X,X,O,X,O,O,X,O,O,O,X,X
TZIJOSL,X,X,X,O,X,O,O,X,O,X,X,O,X
TZISLJO,X,X,O,O,O,X,X,X,X,O,X,X,X
TZISLOJ,X,X,O,X,O,O,O,X,X,O,O,X,X
TZISJLO,X,X,O,O,O,X,X,X,X,X,X,X,X
TZISJOL,X,X,X,O,X,O,O,X,O,X,X,X,X
TZISOLJ,X,X,O,X,X,O,O,X,X,X,O,X,X
TZISOJL,X,X,X,O,X,O,O,X,O,X,X,X,X
TZIOLJS,O,X,O,X,X,O,O,X,O,O,O,X,X
TZIOLSJ,O,X,O,X,O,O,O,X,X,O,O,X,X
TZIOJLS,O,X,X,O,X,O,O,X,O,X,O,X,X
TZIOJSL,X,X,X,O,X,O,O,X,O,X,X,O,X
TZIOSLJ,X,X,O,X,X,O,O,X,X,X,O,X,X
TZIOSJL,X,X,X,O,X,O,O,X,O,X,X,X,X
TZLIJSO,O,X,O,X,X,X,X,X,X,O,X,X,X
TZLIJOS,O,X,O,X,X,X,X,X,O,O,O,X,X
TZLISJO,O,X,O,X,O,X,X,X,X,O,X,X,X
TZLISOJ,X,X,O,X,O,X,X,X,X,O,O,X,X
TZLIOJS,O,X,O,X,X,X,X,X,O,O,O,X,X
TZLIOSJ,X,X,O,X,O,X,X,X,X,O,O,X,X
TZLJISO,O,X,O,O,X,X,X,X,X,O,X,X,X
TZLJIOS,O,X,O,X,X,X,X,X,O,O,O,X,O
TZLJSIO,O,X,O,O,X,X,X,X,X,O,X,X,X
TZLJSOI,O,X,O,O,X,X,X,X,X,X,X,X,X
TZLJOIS,O,X,O,O,X,X,X,X,O,O,O,X,O
TZLJOSI,O,X,O,O,X,X,X,X,X,X,X,X,O
TZLSIJO,O,X,O,X,O,X,X,X,X,O,X,X,X
TZLSIOJ,X,X,O,X,O,X,X,X,X,O,O,X,X
TZLSJIO,O,X,O,O,O,X,X,X,X,O,X,X,X
TZLSJOI,O,X,O,O,X,X,X,X,X,X,X,X,X
TZLSOIJ,X,X,O,X,X,X,O,X,X,X,O,X,X
TZLSOJI,X,X,O,X,X,O,O,X,X,X,X,X,X
TZLOIJS,O,X,O,X,X,X,X,X,O,O,O,X,O
TZLOISJ,O,X,O,X,X,X,O,X,X,O,O,X,X
TZLOJIS,O,X,O,X,X,X,X,X,O,O,O,X,O
TZLOJSI,O,X,O,X,X,O,O,X,X,X,X,X,O
TZLOSIJ,O,X,O,X,X,X,O,X,X,X,O,X,X
TZLOSJI,O,X,O,X,X,O,O,X,X,X,X,X,O
TZJILSO,O,X,X,O,X,X,X,X,X,O,X,X,X
TZJILOS,O,X,X,O,X,X,X,X,O,O,O,X,X
TZJISLO,X,X,X,O,X,X,X,X,X,O,X,O,X
TZJISOL,X,X,X,O,X,X,X,X,O,X,X,O,X
TZJIOLS,O,X,X,O,X,X,X,X,O,O,O,X,O
TZJIOSL,X,X,X,O,X,X,X,X,O,X,X,O,O
TZJLISO,O,X,O,O,X,X,X,X,X,O,X,X,X
TZJLIOS,O,X,X,O,X,X,X,X,O,O,O,X,X
TZJLSIO,O,X,O,O,X,X,X,X,X,O,X,X,X
TZJLSOI,O,X,O,O,X,X,X,X,X,X,X,X,X
TZJLOIS,O,X,O,O,X,X,X,X,O,O,O,X,X
TZJLOSI,O,X,O,O,X,X,X,X,X,X,X,X,X
TZJSILO,X,X,X,O,X,X,X,X,X,O,X,O,X
TZJSIOL,X,X,X,O,X,X,X,X,O,X,X,O,X
TZJSLIO,O,X,O,O,X,X,X,X,X,O,X,O,X
TZJSLOI,O,X,O,O,X,X,X,X,X,X,X,X,X
TZJSOIL,X,X,X,O,X,O,X,X,O,X,X,X,X
TZJSOLI,O,X,X,O,X,O,O,X,X,X,X,X,X
TZJOILS,O,X,X,O,X,X,X,X,O,O,O,X,O
TZJOISL,X,X,X,O,X,O,X,X,O,X,X,X,O
TZJOLIS,O,X,X,O,X,X,X,X,O,O,O,X,O
TZJOLSI,O,X,X,O,X,O,O,X,X,X,X,X,O
TZJOSIL,X,X,X,O,X,O,X,X,O,X,X,X,O
TZJOSLI,O,X,X,O,X,O,O,X,X,X,X,X,O
TZSILJO,X,X,O,X,O,X,X,X,X,O,X,X,X
TZSILOJ,X,X,O,X,O,X,X,X,X,O,O,X,X
TZSIJLO,X,X,X,O,O,X,X,X,X,X,X,X,X
TZSIJOL,X,X,X,O,X,X,X,X,O,X,X,X,X
TZSIOLJ,X,X,X,X,X,X,O,X,X,X,O,X,X
TZSIOJL,X,X,X,X,X,O,X,X,O,X,X,X,X
TZSLIJO,O,X,O,X,O,X,X,X,X,O,X,X,X
TZSLIOJ,X,X,O,X,O,X,X,X,X,O,O,X,X
TZSLJIO,O,X,O,O,O,X,X,X,X,O,X,X,X
TZSLJOI,O,X,O,O,X,X,X,X,X,X,X,X,X
TZSLOIJ,X,X,O,X,X,X,O,X,X,X,O,X,X
TZSLOJI,X,X,O,X,X,O,O,X,X,X,X,X,X
TZSJILO,X,X,X,O,O,X,X,X,X,O,X,X,X
TZSJIOL,X,X,X,O,X,X,X,X,O,X,X,X,X
TZSJLIO,O,X,O,O,O,X,X,X,X,O,X,X,X
TZSJLOI,O,X,O,O,X,X,X,X,X,X,X,X,X
TZSJOIL,X,X,X,O,X,O,X,X,O,X,X,X,X
TZSJOLI,O,X,X,O,X,O,O,X,X,X,X,X,X
TZSOILJ,X,X,X,X,X,X,O,X,X,X,O,X,X
TZSOIJL,X,X,X,X,X,O,X,X,O,X,X,X,X
TZSOLIJ,O,X,O,X,X,X,O,X,X,X,O,X,X
TZSOLJI,O,X,O,X,X,O,O,X,X,X,X,X,X
TZSOJIL,X,X,X,O,X,O,X,X,O,X,X,X,X
TZSOJLI,O,X,X,O,X,O,O,X,X,X,X,X,X
TZOILJS,O,X,X,X,X,O,O,X,O,O,O,X,O
TZOILSJ,O,X,X,X,X,O,O,X,X,O,O,X,X
TZOIJLS,O,X,X,X,X,O,O,X,O,X,O,X,O
TZOIJSL,X,X,X,X,X,O,O,X,O,X,X,X,O
TZOISLJ,X,X,X,X,X,O,O,X,X,X,O,X,X
TZOISJL,X,X,X,X,X,O,O,X,O,X,X,X,X
TZOLIJS,O,X,O,X,X,X,O,X,O,O,O,X,O
TZOLISJ,O,X,O,X,X,X,O,X,X,O,O,X,X
TZOLJIS,O,X,O,X,X,X,X,X,O,O,O,X,O
TZOLJSI,O,X,O,X,X,O,O,X,X,X,X,X,O
TZOLSIJ,O,X,O,X,X,X,O,X,X,X,O,X,X
TZOLSJI,O,X,O,X,X,O,O,X,X,X,X,X,O
TZOJILS,O,X,X,O,X,O,X,X,O,O,O,X,O
TZOJISL,X,X,X,O,X,O,X,X,O,X,X,X,O
TZOJLIS,O,X,X,O,X,X,X,X,O,O,O,X,O
TZOJLSI,O,X,X,O,X,O,O,X,X,X,X,X,O
TZOJSIL,X,X,X,O,X,O,X,X,O,X,X,X,O
TZOJSLI,O,X,X,O,X,O,O,X,X,X,X,X,O
TZOSILJ,X,X,X,X,X,X,O,X,X,X,O,X,X
TZOSIJL,X,X,X,X,X,O,X,X,O,X,X,X,X
TZOSLIJ,O,X,O,X,X,X,O,X,X,X,O,X,X
TZOSLJI,O,X,O,X,X,O,O,X,X,X,X,X,O
TZOSJIL,X,X,X,O,X,O,X,X,O,X,X,X,O
TZOSJLI,O,X,X,O,X,O,O,X,X,X,X,X,O
TOILJSZ,O,X,O,X,X,X,X,X,X,X,X,X,O
TOILJZS,O,X,O,X,X,O,O,X,O,X,O,X,O
TOILSJZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOILSZJ,O,X,O,X,X,X,O,X,X,X,O,X,X
TOILZJS,O,X,O,X,X,O,O,X,O,O,O,X,O
TOILZSJ,O,X,O,X,X,O,O,X,X,O,O,X,X
TOIJLSZ,O,X,X,O,X,X,X,O,X,X,X,X,O
TOIJLZS,O,X,X,O,X,O,O,O,O,X,O,X,O
TOIJSLZ,X,X,X,O,X,X,X,O,X,X,X,X,O
TOIJSZL,X,X,X,O,X,O,X,O,O,X,X,X,O
TOIJZLS,O,X,X,O,X,O,O,O,O,X,O,X,O
TOIJZSL,X,X,X,O,X,O,O,O,O,X,X,X,O
TOISLJZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TOISLZJ,X,X,X,X,X,X,O,X,X,X,O,X,X
TOISJLZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TOISJZL,X,X,X,X,X,O,X,X,O,X,X,X,X
TOISZLJ,X,X,X,X,X,O,O,X,X,X,O,X,X
TOISZJL,X,X,X,X,X,O,O,X,O,X,X,X,X
TOIZLJS,O,X,O,X,X,O,O,X,O,O,O,X,O
TOIZLSJ,O,X,O,X,X,O,O,X,X,O,O,X,X
TOIZJLS,O,X,X,O,X,O,O,O,O,X,O,X,O
TOIZJSL,X,X,X,O,X,O,O,O,O,X,X,X,O
TOIZSLJ,X,X,O,X,X,O,O,X,X,X,O,X,X
TOIZSJL,X,X,X,O,X,O,O,X,O,X,X,X,X
TOLIJSZ,O,X,O,X,X,X,X,X,X,X,X,X,O
TOLIJZS,O,X,O,X,X,O,O,X,O,X,O,X,O
TOLISJZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOLISZJ,O,X,O,X,X,X,O,X,X,X,O,X,X
TOLIZJS,O,X,O,X,X,O,O,X,O,O,O,X,O
TOLIZSJ,O,X,O,X,X,O,O,X,X,O,O,X,X
TOLJISZ,O,X,O,X,X,X,X,O,X,X,X,X,O
TOLJIZS,O,X,O,X,X,O,O,O,O,O,O,X,O
TOLJSIZ,O,X,O,X,X,X,X,O,X,X,X,X,O
TOLJSZI,O,X,O,X,X,X,X,O,X,X,X,X,O
TOLJZIS,O,X,O,X,X,X,X,O,O,O,O,X,O
TOLJZSI,O,X,O,X,X,O,O,O,X,X,X,X,O
TOLSIJZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TOLSIZJ,O,X,O,X,X,X,O,X,X,X,O,X,X
TOLSJIZ,O,X,O,X,X,X,X,X,X,X,X,X,O
TOLSJZI,O,X,O,X,X,X,X,X,X,X,X,X,O
TOLSZIJ,O,X,O,X,X,X,O,X,X,X,O,X,X
TOLSZJI,O,X,O,X,X,X,O,X,X,X,X,X,O
TOLZIJS,O,X,O,X,X,X,O,X,O,O,O,X,O
TOLZISJ,O,X,O,X,X,X,O,X,X,O,O,X,X
TOLZJIS,O,X,O,X,X,X,X,O,O,O,O,X,O
TOLZJSI,O,X,O,X,X,O,O,O,X,X,X,X,O
TOLZSIJ,O,X,O,X,X,X,O,X,X,X,O,X,X
TOLZSJI,O,X,O,X,X,O,O,X,X,X,X,X,O
TOJILSZ,O,X,X,O,X,X,X,O,X,X,X,X,O
TOJILZS,O,X,X,O,X,O,O,O,O,O,O,X,O
TOJISLZ,X,X,X,O,X,X,X,O,X,X,X,X,O
TOJISZL,X,X,X,O,X,O,X,O,O,X,X,X,O
TOJIZLS,O,X,X,O,X,O,O,O,O,O,O,X,O
TOJIZSL,X,X,X,O,X,O,O,O,O,X,X,X,O
TOJLISZ,O,X,X,O,X,X,X,O,X,X,X,X,O
TOJLIZS,O,X,X,O,X,O,O,O,O,O,O,X,O
TOJLSIZ,O,X,X,O,X,X,X,O,X,X,X,X,O
TOJLSZI,O,X,X,O,X,X,X,O,X,X,X,X,O
TOJLZIS,O,X,X,O,X,X,X,O,O,O,O,X,O
TOJLZSI,O,X,X,O,X,O,O,O,X,X,X,X,O
TOJSILZ,X,X,X,O,X,X,X,O,X,X,X,X,O
TOJSIZL,X,X,X,O,X,O,X,O,O,X,X,X,O
TOJSLIZ,O,X,X,O,X,X,X,O,X,X,X,X,O
TOJSLZI,O,X,X,O,X,X,X,O,X,X,X,X,O
TOJSZIL,X,X,X,O,X,O,X,O,O,X,X,X,O
TOJSZLI,O,X,X,O,X,O,X,X,X,X,X,X,O
TOJZILS,O,X,X,O,X,O,X,O,O,O,O,X,O
TOJZISL,X,X,X,O,X,O,X,O,O,X,X,X,O
TOJZLIS,O,X,X,O,X,X,X,O,O,O,O,X,O
TOJZLSI,O,X,X,O,X,O,O,O,X,X,X,X,O
TOJZSIL,X,X,X,O,X,O,X,O,O,X,X,X,O
TOJZSLI,O,X,X,O,X,O,O,X,X,X,X,X,O
TOSILJZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TOSILZJ,X,X,X,X,X,X,O,X,X,X,O,X,X
TOSIJLZ,X,X,X,X,X,X,X,X,X,X,X,X,X
TOSIJZL,X,X,X,X,X,O,X,X,O,X,X,X,X
TOSIZLJ,X,X,X,X,X,O,O,X,X,X,O,X,X
TOSIZJL,X,X,X,X,X,O,O,X,O,X,X,X,X
TOSLIJZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TOSLIZJ,O,X,X,X,X,X,O,X,X,X,O,X,X
TOSLJIZ,O,X,X,X,X,X,X,X,X,X,X,X,O
TOSLJZI,O,X,X,X,X,X,X,X,X,X,X,X,O
TOSLZIJ,O,X,X,X,X,X,O,X,X,X,O,X,X
TOSLZJI,O,X,X,X,X,X,O,X,X,X,X,X,O
TOSJILZ,X,X,X,X,X,X,X,X,X,X,X,X,O
TOSJIZL,X,X,X,X,X,O,X,X,O,X,X,X,O
TOSJLIZ,O,X,X,X,X,X,X,X,X,X,X,X,O
TOSJLZI,O,X,X,X,X,X,X,X,X,X,X,X,O
TOSJZIL,X,X,X,X,X,O,X,X,O,X,X,X,O
TOSJZLI,O,X,X,X,X,O,X,X,X,X,X,X,O
TOSZILJ,X,X,X,X,X,X,O,X,X,X,O,X,X
TOSZIJL,X,X,X,X,X,O,X,X,O,X,X,X,X
TOSZLIJ,O,X,X,X,X,X,O,X,X,X,O,X,X
TOSZLJI,O,X,X,X,X,O,O,X,X,X,X,X,O
TOSZJIL,X,X,X,X,X,O,X,X,O,X,X,X,O
TOSZJLI,O,X,X,X,X,O,O,X,X,X,X,X,O
TOZILJS,O,X,X,X,X,O,O,X,O,O,O,X,O
TOZILSJ,O,X,X,X,X,O,O,X,X,O,O,X,X
TOZIJLS,O,X,X,X,X,O,O,O,O,X,O,X,O
TOZIJSL,X,X,X,X,X,O,O,O,O,X,X,X,O
TOZISLJ,X,X,X,X,X,O,O,X,X,X,O,X,X
TOZISJL,X,X,X,X,X,O,O,X,O,X,X,X,X
TOZLIJS,O,X,O,X,X,X,O,X,O,O,O,X,O
TOZLISJ,O,X,O,X,X,X,O,X,X,O,O,X,X
TOZLJIS,O,X,O,X,X,X,X,O,O,O,O,X,O
TOZLJSI,O,X,O,X,X,O,O,O,X,X,X,X,O
