sequence,v115@ShB8CeA8AeB8AeB8BeE8Jex/IvhF0hB6nBTjBOpBll?BXrB,v115@ShB8CeA8AeB8AeB8BeE8Jex/IvhF6nBTjBOpB0lBlm?BXrB,v115@ShB8CeA8AeB8AeB8BeE8JeZEJvhFzfB3hBGjBqqBls?BUrB
TLZOSJI,X,X,X
TLOIJSZ,X,X,O
TLOIJZS,X,X,X
TLOISJZ,X,X,O
TLOISZJ,X,X,X
TLOIZJS,O,X,X
TLOIZSJ,X,X,X
TLOJISZ,X,X,O
TLOJIZS,O,X,X
TLOJSIZ,X,X,O
TLOJSZI,X,X,X
TLOJZIS,O,O,X
TLOJZSI,X,O,X
TLOSIJZ,X,X,O
TLOSIZJ,X,X,X
TLOSJIZ,X,X,O
TLOSJZI,X,X,X
TLOSZIJ,X,X,X
TLOSZJI,X,X,X
TLOZIJS,O,X,X
TLOZISJ,X,X,X
TLOZJIS,O,O,X
TLOZJSI,X,O,X
TLOZSIJ,X,X,X
TLOZSJI,X,X,X
TJILSZO,X,X,X
TJILSOZ,X,X,O
TJILZSO,X,X,X
TJILZOS,O,X,X
TJILOSZ,X,X,O
TJILOZS,O,X,X
TJISLZO,X,X,X
TJISLOZ,X,X,O
TJISZLO,X,X,X
TJISZOL,X,X,X
TJISOLZ,X,X,X
TJISOZL,X,X,X
TJIZLSO,X,X,X
TJIZLOS,O,X,X
TJIZSLO,X,X,X
TJIZSOL,X,X,X
TJIZOLS,O,X,X
TJIZOSL,X,X,X
TJIOLSZ,X,X,O
TJIOLZS,O,X,X
TJIOSLZ,X,X,X
TJIOSZL,X,X,X
TJIOZLS,O,X,X
TJIOZSL,X,X,X
TJLISZO,X,X,X
TJLISOZ,X,X,O
TJLIZSO,X,X,X
TJLIZOS,O,X,X
TJLIOSZ,X,X,O
TJLIOZS,O,X,X
TJLSIZO,X,X,X
TJLSIOZ,X,X,O
TJLSZIO,X,X,X
TJLSZOI,X,X,X
TJLSOIZ,X,X,O
TJLSOZI,X,X,X
TJLZISO,X,X,X
TJLZIOS,O,O,X
TJLZSIO,X,X,X
TJLZSOI,X,X,X
TJLZOIS,O,O,X
TJLZOSI,X,O,X
TJLOISZ,X,X,O
TJLOIZS,O,X,X
TJLOSIZ,X,X,O
TJLOSZI,X,X,X
TJLOZIS,O,O,X
TJLOZSI,X,O,X
TJSILZO,X,X,X
TJSILOZ,X,X,O
TJSIZLO,X,X,X
TJSIZOL,X,X,X
TJSIOLZ,X,X,X
TJSIOZL,X,X,X
TJSLIZO,X,X,X
TJSLIOZ,X,X,O
TJSLZIO,X,X,X
TJSLZOI,X,X,X
TJSLOIZ,X,X,O
TJSLOZI,X,X,X
TJSZILO,X,X,X
TJSZIOL,X,X,X
TJSZLIO,X,X,X
TJSZLOI,X,X,X
TJSZOIL,X,X,X
TJSZOLI,X,X,X
TJSOILZ,X,X,X
TJSOIZL,X,X,X
TJSOLIZ,X,X,X
TJSOLZI,X,X,X
TJSOZIL,X,X,X
TJSOZLI,X,X,X
TJZILSO,X,X,X
TJZILOS,O,O,X
TJZISLO,X,X,X
TJZISOL,X,X,X
TJZIOLS,O,O,X
TJZIOSL,X,X,X
TJZLISO,X,X,X
TJZLIOS,O,O,X
TJZLSIO,X,X,X
TJZLSOI,X,X,X
TJZLOIS,O,O,X
TJZLOSI,X,O,X
TJZSILO,X,X,X
TJZSIOL,X,X,X
TJZSLIO,X,X,X
TJZSLOI,X,X,X
TJZSOIL,X,X,X
TJZSOLI,X,X,X
TJZOILS,O,O,X
TJZOISL,X,X,X
TJZOLIS,O,O,X
TJZOLSI,X,O,X
TJZOSIL,X,X,X
TJZOSLI,X,X,X
TJOILSZ,X,X,O
TJOILZS,O,X,X
TJOISLZ,X,X,X
TJOISZL,X,X,X
TJOIZLS,O,X,X
TJOIZSL,X,X,X
TJOLISZ,X,X,O
TJOLIZS,O,X,X
TJOLSIZ,X,X,O
TJOLSZI,X,X,X
TJOLZIS,O,O,X
TJOLZSI,X,O,X
TJOSILZ,X,X,X
TJOSIZL,X,X,X
TJOSLIZ,X,X,X
TJOSLZI,X,X,X
TJOSZIL,X,X,X
TJOSZLI,X,X,X
TJOZILS,O,O,X
TJOZISL,X,X,X
TJOZLIS,O,O,X
TJOZLSI,X,O,X
TJOZSIL,X,X,X
TJOZSLI,X,X,X
TSILJZO,X,X,X
TSILJOZ,X,X,O
TSILZJO,X,X,X
TSILZOJ,X,X,X
TSILOJZ,X,X,O
TSILOZJ,X,X,X
TSIJLZO,X,X,X
TSIJLOZ,X,X,O
TSIJZLO,X,X,X
TSIJZOL,X,X,X
TSIJOLZ,X,X,X
TSIJOZL,X,X,X
TSIZLJO,X,X,X
TSIZLOJ,X,X,X
TSIZJLO,X,X,X
TSIZJOL,X,X,X
TSIZOLJ,X,X,X
TSIZOJL,X,X,X
TSIOLJZ,X,X,X
TSIOLZJ,X,X,X
TSIOJLZ,X,X,X
TSIOJZL,X,X,X
TSIOZLJ,X,X,X
TSIOZJL,X,X,X
TSLIJZO,X,X,X
TSLIJOZ,X,X,O
TSLIZJO,X,X,X
TSLIZOJ,X,X,X
TSLIOJZ,X,X,O
