sequence,v115@9gB8HeC8GeC8GeC8CeA8Me0AJvhFxhBTjB3mB1sBWw?BSyB,v115@9gB8HeC8GeC8GeC8CeA8Me0AJvhFlhB3iB5oBetBzq?BCsB,v115@9gB8HeC8GeC8GeC8CeA8MexAJvhFXiBTjBUmB1sBWw?BSyB,v115@9gB8HeC8GeC8GeC8CeA8MelAJvhFzhB5nB8qB6tBOt?B3rB,v115@9gB8HeC8GeC8GeC8CeA8MexAJvhFTjBqqB/rBFnBGt?B0sB,v115@9gB8HeC8GeC8GeC8CeA8MelAJvhFRiBSoB8qB+rB/s?BTtB,v115@9gB8HeC8GeC8GeC8CeA8MeXBJvhFxiBFnB6tBGrBzs?B0qB,v115@9gB8HeC8GeC8GeC8CeA8Me6FJvhFThBxiBXnB8sB+t?BVwB,v115@9gB8HeC8GeC8GeC8CeA8MeXBJvhF5oBFnB8sB6qBTr?BmsB,v115@9gB8HeC8GeC8GeC8CeA8MeXBJvhFxiBFnB8sB+tB6q?BTrB,v115@9gB8HeC8GeC8GeC8CeA8MeXBJvhFxiBFnBGrBCtBTt?B0qB
TILJSZO,O,X,O,X,O,X,X,O,X,X,X
TILJSOZ,O,X,O,X,O,X,O,O,X,X,O
TILJZSO,O,X,O,O,X,X,X,O,X,X,X
TILJZOS,O,X,O,X,X,X,X,O,X,X,X
TILJOSZ,O,X,O,X,O,X,X,O,X,X,O
TILJOZS,O,X,O,X,X,X,X,O,X,X,O
TILSJZO,O,X,O,X,O,X,X,X,X,X,X
TILSJOZ,O,X,O,X,O,X,O,X,X,X,X
TILSZJO,O,X,X,O,O,X,X,X,X,X,X
TILSZOJ,O,X,O,O,X,X,X,X,X,X,X
TILSOJZ,O,X,O,X,O,X,O,X,X,X,X
TILSOZJ,O,X,O,O,X,X,O,X,X,X,X
TILZJSO,O,X,X,O,X,X,X,X,X,X,X
TILZJOS,O,X,X,X,X,X,X,X,X,X,X
TILZSJO,O,X,X,O,X,X,X,X,X,X,X
TILZSOJ,O,X,O,O,X,X,X,X,X,X,X
TILZOJS,O,X,X,X,X,X,X,X,X,X,X
TILZOSJ,O,X,O,O,X,X,X,X,X,X,X
TILOJSZ,O,X,O,X,X,X,X,O,X,X,X
TILOJZS,O,X,O,X,X,X,X,O,X,X,X
TILOSJZ,O,X,O,X,X,X,X,X,X,X,X
TILOSZJ,O,X,O,X,X,X,X,X,X,X,X
TILOZJS,O,X,X,X,X,X,X,X,X,X,X
TILOZSJ,O,X,O,O,X,X,X,X,X,X,X
TIJLSZO,O,O,O,X,O,X,X,O,X,X,X
TIJLSOZ,O,O,O,X,O,X,O,O,X,X,O
TIJLZSO,O,O,O,O,X,X,X,O,X,X,X
TIJLZOS,O,O,O,X,X,X,X,O,X,X,X
TIJLOSZ,O,O,O,X,O,X,X,O,X,X,O
TIJLOZS,O,O,O,X,X,X,X,O,X,X,O
TIJSLZO,O,O,O,X,X,X,X,O,X,X,X
TIJSLOZ,O,O,O,X,X,X,O,O,X,X,O
TIJSZLO,O,O,O,X,X,X,X,O,X,X,X
TIJSZOL,O,O,O,X,X,X,X,O,X,X,X
TIJSOLZ,O,O,O,X,X,X,O,O,X,X,X
TIJSOZL,O,O,O,X,X,X,X,X,X,X,X
TIJZLSO,O,O,O,O,X,X,X,O,X,X,X
TIJZLOS,O,O,O,X,X,X,X,O,X,X,X
TIJZSLO,O,O,O,O,X,X,X,O,X,X,X
TIJZSOL,O,O,O,O,X,X,X,O,X,X,X
TIJZOLS,O,X,O,X,X,X,X,O,X,X,X
TIJZOSL,O,O,O,X,X,X,X,O,X,X,X
TIJOLSZ,O,O,O,X,O,X,O,O,X,X,X
TIJOLZS,O,O,O,X,X,X,O,O,X,X,X
TIJOSLZ,O,O,O,X,X,X,O,O,X,X,X
TIJOSZL,O,O,O,X,X,X,X,X,X,X,X
TIJOZLS,O,O,O,X,X,X,X,O,X,X,X
TIJOZSL,O,O,O,X,X,X,X,O,X,X,X
TISLJZO,O,X,O,X,X,X,X,X,X,X,X
TISLJOZ,O,X,O,X,X,X,O,X,X,X,X
TISLZJO,O,X,X,O,X,X,X,X,X,X,X
TISLZOJ,O,X,O,O,X,X,X,X,X,X,X
TISLOJZ,O,X,O,X,X,X,O,X,X,X,X
TISLOZJ,O,X,O,O,X,X,O,X,X,X,X
TISJLZO,O,X,O,X,X,X,X,X,X,X,X
TISJLOZ,O,X,O,X,X,X,X,X,X,X,X
TISJZLO,O,X,O,X,X,X,X,X,X,X,X
TISJZOL,O,X,O,X,X,X,X,X,X,X,X
TISJOLZ,O,X,O,X,X,X,X,X,X,X,X
TISJOZL,O,X,O,X,X,X,X,X,X,X,X
TISZLJO,O,X,X,O,X,X,X,X,X,X,X
TISZLOJ,O,X,O,O,X,X,X,X,X,X,X
TISZJLO,O,X,X,O,X,X,X,X,X,X,X
TISZJOL,O,X,X,O,X,X,X,X,X,X,X
TISZOLJ,O,X,X,O,X,X,X,X,X,X,X
TISZOJL,O,X,O,O,X,X,X,X,X,X,X
TISOLJZ,O,X,O,X,X,X,O,X,X,X,X
TISOLZJ,O,X,O,O,X,X,O,X,X,X,X
TISOJLZ,O,X,O,X,X,X,X,X,X,X,X
TISOJZL,O,X,O,X,X,X,X,X,X,X,X
TISOZLJ,O,X,X,O,X,X,X,X,X,X,X
TISOZJL,O,X,O,O,X,X,X,X,X,X,X
TIZLJSO,O,O,X,O,X,X,X,X,X,X,X
TIZLJOS,O,X,X,X,X,X,X,X,X,X,X
TIZLSJO,O,X,X,O,X,X,X,X,X,X,X
TIZLSOJ,O,X,O,O,X,X,X,X,X,X,X
TIZLOJS,O,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,O,X,O,O,X,X,X,X,O,X,X
TIZJLSO,O,O,X,O,X,X,X,X,X,X,X
TIZJLOS,O,O,X,X,X,X,X,X,X,X,X
TIZJSLO,O,O,X,O,X,O,X,X,X,X,X
TIZJSOL,O,O,X,O,X,O,X,X,X,X,X
TIZJOLS,O,X,X,X,X,X,X,X,X,X,X
TIZJOSL,O,O,X,X,X,O,X,X,O,X,X
TIZSLJO,O,X,X,O,X,X,X,X,X,X,X
TIZSLOJ,O,X,O,O,X,X,X,X,X,X,X
TIZSJLO,O,O,X,O,X,X,X,X,X,X,X
TIZSJOL,O,O,X,O,X,X,X,X,X,X,X
TIZSOLJ,O,X,X,O,X,X,X,X,O,X,X
TIZSOJL,O,X,O,O,X,X,X,X,O,X,X
TIZOLJS,O,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,X,X,O,X,X,X,X,O,X,X
TIZOJLS,O,X,X,X,X,X,X,X,X,X,X
TIZOJSL,O,O,X,X,X,O,X,X,O,X,X
TIZOSLJ,O,X,X,O,X,X,X,X,O,X,X
TIZOSJL,O,X,O,O,X,X,X,X,O,X,X
TIOLJSZ,O,X,O,X,X,X,O,O,X,X,X
TIOLJZS,O,X,X,X,X,X,O,O,X,X,X
TIOLSJZ,O,X,O,X,X,X,O,X,X,X,X
TIOLSZJ,O,X,O,X,X,X,O,X,X,X,X
TIOLZJS,O,X,X,X,X,X,O,X,X,X,X
TIOLZSJ,O,X,O,O,X,X,O,X,X,X,X
TIOJLSZ,O,O,O,X,X,X,O,O,X,X,X
TIOJLZS,O,O,X,X,X,X,O,O,X,X,X
TIOJSLZ,O,O,O,X,X,X,O,O,X,X,X
TIOJSZL,O,O,O,X,X,X,X,X,X,X,X
TIOJZLS,O,O,O,X,X,X,X,O,X,X,X
TIOJZSL,O,O,O,X,X,X,X,O,X,X,X
TIOSLJZ,X,X,O,X,X,X,O,X,X,X,X
TIOSLZJ,O,X,O,X,X,X,O,X,X,X,X
TIOSJLZ,O,X,O,X,X,X,X,X,X,X,X
TIOSJZL,O,X,O,X,X,X,X,X,X,X,X
TIOSZLJ,O,X,X,X,X,X,X,X,O,X,X
TIOSZJL,O,X,O,X,X,X,X,X,O,X,X
TIOZLJS,O,O,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,X,X,O,X,X,X,X,O,X,X
TIOZJLS,O,O,X,X,X,X,X,X,X,X,X
TIOZJSL,O,O,X,X,X,O,X,X,O,X,X
TIOZSLJ,O,X,X,O,X,X,X,X,O,X,X
TIOZSJL,O,O,O,O,X,X,X,X,O,X,X
TLIJSZO,O,O,O,X,O,X,X,O,X,X,X
TLIJSOZ,O,O,O,X,O,X,O,O,X,X,O
TLIJZSO,O,O,O,O,X,X,X,O,X,X,X
TLIJZOS,O,O,O,X,X,X,X,O,X,X,X
TLIJOSZ,O,O,O,X,O,X,X,O,X,X,O
TLIJOZS,O,O,O,X,X,X,X,O,X,X,O
TLISJZO,O,X,O,X,O,X,X,X,X,X,X
TLISJOZ,O,X,O,X,O,X,O,X,X,X,X
TLISZJO,O,X,X,O,O,X,X,X,X,X,X
TLISZOJ,O,X,O,O,X,X,X,X,X,X,X
TLISOJZ,O,X,O,X,O,X,O,X,X,X,X
TLISOZJ,O,X,O,O,X,X,O,X,X,X,X
TLIZJSO,O,O,X,O,X,X,X,X,X,X,X
TLIZJOS,O,O,X,X,X,X,X,X,X,X,X
TLIZSJO,O,X,X,O,X,X,X,X,X,X,X
TLIZSOJ,O,X,O,O,X,X,X,X,X,X,X
TLIZOJS,O,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,O,X,O,O,X,X,X,X,X,X,X
TLIOJSZ,O,X,O,X,X,X,X,O,X,X,X
TLIOJZS,O,X,O,X,X,X,X,O,X,X,X
TLIOSJZ,O,X,O,X,X,X,X,X,X,X,X
TLIOSZJ,O,X,O,X,X,X,X,X,X,X,X
TLIOZJS,O,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,O,X,O,O,X,X,X,X,X,X,X
TLJISZO,O,O,O,X,O,X,X,O,X,X,X
TLJISOZ,O,O,O,X,O,X,O,O,X,X,O
TLJIZSO,O,O,O,O,X,X,X,O,X,X,X
TLJIZOS,O,O,O,X,X,X,X,O,X,X,X
TLJIOSZ,O,O,O,X,O,X,X,O,X,X,O
TLJIOZS,O,O,O,X,X,X,X,O,X,X,O
TLJSIZO,O,O,O,X,O,X,X,O,X,X,X
TLJSIOZ,O,O,O,X,O,X,O,O,X,X,O
TLJSZIO,O,O,O,X,O,X,X,O,X,X,X
TLJSZOI,O,O,O,X,O,X,O,O,X,X,O
TLJSOIZ,O,O,O,X,O,X,O,O,X,X,O
TLJSOZI,O,O,O,X,O,X,O,O,X,X,O
TLJZISO,O,O,O,O,X,X,X,O,X,X,X
TLJZIOS,O,O,O,X,X,X,X,O,X,X,X
TLJZSIO,O,O,O,X,X,X,X,O,X,X,X
TLJZSOI,O,O,O,X,X,X,O,O,X,X,O
TLJZOIS,O,O,O,X,X,X,X,O,X,X,O
TLJZOSI,O,O,O,X,X,X,X,O,X,X,O
TLJOISZ,O,O,O,X,O,X,O,O,X,X,O
TLJOIZS,O,O,O,X,X,X,O,O,X,X,O
TLJOSIZ,O,O,O,X,O,X,O,O,X,X,O
TLJOSZI,O,O,O,X,O,X,O,O,X,X,O
TLJOZIS,O,O,O,X,X,X,O,O,X,X,O
TLJOZSI,O,O,O,X,X,X,O,O,X,X,O
TLSIJZO,O,X,O,X,O,X,X,X,X,X,X
TLSIJOZ,O,X,O,X,O,X,O,X,X,X,X
TLSIZJO,O,X,X,O,O,X,X,X,X,X,X
TLSIZOJ,O,X,O,O,X,X,X,X,X,X,X
TLSIOJZ,O,X,O,X,O,X,O,X,X,X,X
TLSIOZJ,O,X,O,O,X,X,O,X,X,X,X
TLSJIZO,O,O,O,X,O,X,X,O,X,X,X
TLSJIOZ,O,O,O,X,O,X,O,O,X,X,O
TLSJZIO,O,O,O,X,O,X,X,O,X,X,X
